First	RB	first
,	,	,
a	DT	a
video	NN	video
.	SENT	.
Yes	UH	yes
,	,	,
it	PP	it
is	VBZ	be
a	DT	a
scrambled	JJ	scrambled
egg	NN	egg
.	SENT	.
But	CC	but
as	IN	as
you	PP	you
look	VBP	look
at	IN	at
it	PP	it
,	,	,
I	PP	I
hope	VBP	hope
you	PP	you
'	''	'
ll	NNS	<unknown>
begin	VBP	begin
to	TO	to
feel	VB	feel
just	RB	just
slightly	RB	slightly
uneasy	JJ	uneasy
.	SENT	.
Because	IN	because
you	PP	you
may	MD	may
notice	VB	notice
that	IN	that
what	WP	what
'	POS	'
s	NN	S
actually	RB	actually
happening	VBG	happen
is	VBZ	be
that	IN	that
the	DT	the
egg	NN	egg
is	VBZ	be
unscrambling	VBG	unscramble
itself	PP	itself
.	SENT	.
And	CC	and
you	PP	you
'	POS	'
ll	NNS	<unknown>
now	RB	now
see	VBP	see
the	DT	the
yolk	NN	yolk
and	CC	and
the	DT	the
white	NN	white
have	VBP	have
separated	VBN	separate
.	SENT	.
And	CC	and
now	RB	now
they	PP	they
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
be	VB	be
poured	VBN	pour
back	RB	back
into	IN	into
the	DT	the
egg	NN	egg
.	SENT	.
And	CC	and
we	PP	we
all	RB	all
know	VBP	know
in	IN	in
our	PP$	our
heart	NN	heart
of	IN	of
hearts	NNS	heart
that	IN	that
this	DT	this
is	VBZ	be
not	RB	not
the	DT	the
way	NN	way
the	DT	the
universe	NN	universe
works	VBZ	work
.	SENT	.
A	DT	a
scrambled	JJ	scrambled
egg	NN	egg
is	VBZ	be
mush	NN	mush
—	:	-
tasty	JJ	tasty
mush	NN	mush
—	:	-
but	CC	but
it	PP	it
'	POS	'
s	NN	S
mush	NN	mush
.	SENT	.
An	DT	an
egg	NN	egg
is	VBZ	be
a	DT	a
beautiful	JJ	beautiful
,	,	,
sophisticated	JJ	sophisticated
thing	NN	thing
that	WDT	that
can	MD	can
create	VB	create
even	RB	even
more	RBR	more
sophisticated	JJ	sophisticated
things	NNS	thing
,	,	,
such	JJ	such
as	IN	as
chickens	NNS	chicken
.	SENT	.
And	CC	and
we	PP	we
know	VBP	know
in	IN	in
our	PP$	our
heart	NN	heart
of	IN	of
hearts	NNS	heart
that	IN	that
the	DT	the
universe	NN	universe
does	VBZ	do
not	RB	not
travel	VB	travel
from	IN	from
mush	NN	mush
to	TO	to
complexity	NN	complexity
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
this	DT	this
gut	NN	gut
instinct	NN	instinct
is	VBZ	be
reflected	VBN	reflect
in	IN	in
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
fundamental	JJ	fundamental
laws	NNS	law
of	IN	of
physics	NNS	physic
,	,	,
the	DT	the
second	JJ	second
law	NN	law
of	IN	of
thermodynamics	NNS	thermodynamics
,	,	,
or	CC	or
the	DT	the
law	NN	law
of	IN	of
entropy	NN	entropy
.	SENT	.
What	WP	what
that	WDT	that
says	VBZ	say
basically	RB	basically
is	VBZ	be
that	IN	that
the	DT	the
general	JJ	general
tendency	NN	tendency
of	IN	of
the	DT	the
universe	NN	universe
is	VBZ	be
to	TO	to
move	VB	move
from	IN	from
order	NN	order
and	CC	and
structure	NN	structure
to	TO	to
lack	NN	lack
of	IN	of
order	NN	order
,	,	,
lack	NN	lack
of	IN	of
structure	NN	structure
—	:	-
in	IN	in
fact	NN	fact
,	,	,
to	TO	to
mush	NN	mush
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
why	WRB	why
that	DT	that
video	NN	video
feels	VBZ	feel
a	DT	a
bit	NN	bit
strange	JJ	strange
.	SENT	.
And	CC	and
yet	RB	yet
,	,	,
look	VBP	look
around	IN	around
us	PP	us
.	SENT	.
What	WP	what
we	PP	we
see	VBP	see
around	IN	around
us	PP	us
is	VBZ	be
staggering	JJ	staggering
complexity	NN	complexity
.	SENT	.
Eric	NP	Eric
Beinhocker	NP	Beinhocker
estimates	VBZ	estimate
that	IN	that
in	IN	in
New	NP	New
York	NP	York
City	NP	City
alone	RB	alone
,	,	,
there	EX	there
are	VBP	be
some	DT	some
10	CD	@card@
billion	NNS	billion
SKUs	NP	<unknown>
,	,	,
or	CC	or
distinct	JJ	distinct
commodities	NNS	commodity
,	,	,
being	VBG	be
traded	VBN	trade
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
hundreds	NNS	hundred
of	IN	of
times	NNS	time
as	IN	as
many	JJ	many
species	NNS	specie
as	IN	as
there	EX	there
are	VBP	be
on	IN	on
Earth	NP	Earth
.	SENT	.
And	CC	and
they	PP	they
'	POS	'
re	NN	re
being	VBG	be
traded	VBN	trade
by	IN	by
a	DT	a
species	NN	species
of	IN	of
almost	RB	almost
seven	CD	seven
billion	NN	billion
individuals	NNS	individual
,	,	,
who	WP	who
are	VBP	be
linked	VBN	link
by	IN	by
trade	NN	trade
,	,	,
travel	NN	travel
,	,	,
and	CC	and
the	DT	the
Internet	NN	Internet
into	IN	into
a	DT	a
global	JJ	global
system	NN	system
of	IN	of
stupendous	JJ	stupendous
complexity	NN	complexity
.	SENT	.
So	RB	so
here	RB	here
'	''	'
s	VBG	<unknown>
a	DT	a
great	JJ	great
puzzle	NN	puzzle
:	:	:
in	IN	in
a	DT	a
universe	NN	universe
ruled	VBN	rule
by	IN	by
the	DT	the
second	JJ	second
law	NN	law
of	IN	of
thermodynamics	NNS	thermodynamics
,	,	,
how	WRB	how
is	VBZ	be
it	PP	it
possible	JJ	possible
to	TO	to
generate	VB	generate
the	DT	the
sort	NN	sort
of	IN	of
complexity	NN	complexity
I	NP	I
'	POS	'
ve	NN	ve
described	VBD	describe
,	,	,
the	DT	the
sort	NN	sort
of	IN	of
complexity	NN	complexity
represented	VBN	represent
by	IN	by
you	PP	you
and	CC	and
me	PP	me
and	CC	and
the	DT	the
convention	NN	convention
center	NN	center
?	SENT	?
Well	RB	well
,	,	,
the	DT	the
answer	NN	answer
seems	VBZ	seem
to	TO	to
be	VB	be
,	,	,
the	DT	the
universe	NN	universe
can	MD	can
create	VB	create
complexity	NN	complexity
,	,	,
but	CC	but
with	IN	with
great	JJ	great
difficulty	NN	difficulty
.	SENT	.
In	IN	in
pockets	NNS	pocket
,	,	,
there	RB	there
appear	VBP	appear
what	WP	what
my	PP$	my
colleague	NN	colleague
,	,	,
Fred	NP	Fred
Spier	NP	Spier
,	,	,
calls	VBZ	call
"	``	"
Goldilocks	NN	goldilocks
conditions	NNS	condition
"	''	"
—	:	-
not	RB	not
too	RB	too
hot	JJ	hot
,	,	,
not	RB	not
too	RB	too
cold	JJ	cold
,	,	,
just	RB	just
right	RB	right
for	IN	for
the	DT	the
creation	NN	creation
of	IN	of
complexity	NN	complexity
.	SENT	.
And	CC	and
slightly	RB	slightly
more	RBR	more
complex	JJ	complex
things	NNS	thing
appear	VBP	appear
.	SENT	.
And	CC	and
where	WRB	where
you	PP	you
have	VBP	have
slightly	RB	slightly
more	JJR	more
complex	JJ	complex
things	NNS	thing
,	,	,
you	PP	you
can	MD	can
get	VB	get
slightly	RB	slightly
more	RBR	more
complex	JJ	complex
things	NNS	thing
.	SENT	.
And	CC	and
in	IN	in
this	DT	this
way	NN	way
,	,	,
complexity	NN	complexity
builds	VBZ	build
stage	NN	stage
by	IN	by
stage	NN	stage
.	SENT	.
Each	DT	each
stage	NN	stage
is	VBZ	be
magical	JJ	magical
because	IN	because
it	PP	it
creates	VBZ	create
the	DT	the
impression	NN	impression
of	IN	of
something	NN	something
utterly	RB	utterly
new	JJ	new
appearing	VBG	appear
almost	RB	almost
out	RB	out
of	IN	of
nowhere	RB	nowhere
in	IN	in
the	DT	the
universe	NN	universe
.	SENT	.
We	PP	we
refer	VBP	refer
in	IN	in
big	JJ	big
history	NN	history
to	TO	to
these	DT	these
moments	NNS	moment
as	IN	as
threshold	NN	threshold
moments	NNS	moment
.	SENT	.
And	CC	and
at	IN	at
each	DT	each
threshold	NN	threshold
,	,	,
the	DT	the
going	VBG	go
gets	VBZ	get
tougher	JJR	tough
.	SENT	.
The	DT	the
complex	JJ	complex
things	NNS	thing
get	VBP	get
more	RBR	more
fragile	JJ	fragile
,	,	,
more	RBR	more
vulnerable	JJ	vulnerable
;	:	;
the	DT	the
Goldilocks	NN	goldilocks
conditions	NNS	condition
get	VBP	get
more	RBR	more
stringent	JJ	stringent
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
more	RBR	more
difficult	JJ	difficult
to	TO	to
create	VB	create
complexity	NN	complexity
.	SENT	.
Now	RB	now
,	,	,
we	PP	we
,	,	,
as	IN	as
extremely	RB	extremely
complex	JJ	complex
creatures	NNS	creature
,	,	,
desperately	RB	desperately
need	VBP	need
to	TO	to
know	VB	know
this	DT	this
story	NN	story
of	IN	of
how	WRB	how
the	DT	the
universe	NN	universe
creates	VBZ	create
complexity	NN	complexity
despite	IN	despite
the	DT	the
second	JJ	second
law	NN	law
,	,	,
and	CC	and
why	WRB	why
complexity	NN	complexity
means	VBZ	mean
vulnerability	NN	vulnerability
and	CC	and
fragility	NN	fragility
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NNS	<unknown>
the	DT	the
story	NN	story
that	IN	that
we	PP	we
tell	VBP	tell
in	IN	in
big	JJ	big
history	NN	history
.	SENT	.
But	CC	but
to	TO	to
do	VB	do
it	PP	it
,	,	,
you	PP	you
have	VBP	have
do	VB	do
something	NN	something
that	WDT	that
may	MD	may
,	,	,
at	IN	at
first	JJ	first
sight	NN	sight
,	,	,
seem	VBP	seem
completely	RB	completely
impossible	JJ	impossible
.	SENT	.
You	PP	you
have	VBP	have
to	TO	to
survey	VB	survey
the	DT	the
whole	JJ	whole
history	NN	history
of	IN	of
the	DT	the
universe	NN	universe
.	SENT	.
So	RB	so
let	VB	let
'	''	'
s	NNS	<unknown>
do	VBP	do
it	PP	it
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
begin	VBP	begin
by	IN	by
winding	VBG	wind
the	DT	the
timeline	NN	timeline
back	RB	back
13	CD	@card@
.	SENT	.
7	CD	@card@
billion	NN	billion
years	NNS	year
,	,	,
to	TO	to
the	DT	the
beginning	NN	beginning
of	IN	of
time	NN	time
.	SENT	.
Around	IN	around
us	PP	us
,	,	,
there	EX	there
'	''	'
s	NN	S
nothing	NN	nothing
.	SENT	.
There	EX	there
'	POS	'
s	NN	S
not	RB	not
even	RB	even
time	NN	time
or	CC	or
space	NN	space
.	SENT	.
Imagine	VB	imagine
the	DT	the
darkest	JJS	dark
,	,	,
emptiest	JJS	empty
thing	NN	thing
you	PP	you
can	MD	can
and	CC	and
cube	VB	cube
it	PP	it
a	DT	a
gazillion	NN	gazillion
times	NNS	time
and	CC	and
that	IN	that
'	POS	'
s	NN	S
where	WRB	where
we	PP	we
are	VBP	be
.	SENT	.
And	CC	and
then	RB	then
suddenly	RB	suddenly
,	,	,
bang	NN	bang
!	SENT	!
A	DT	a
universe	NN	universe
appears	VBZ	appear
,	,	,
an	DT	an
entire	JJ	entire
universe	NN	universe
.	SENT	.
And	CC	and
we	PP	we
'	POS	'
ve	NN	ve
crossed	VBD	cross
our	PP$	our
first	JJ	first
threshold	NN	threshold
.	SENT	.
The	DT	the
universe	NN	universe
is	VBZ	be
tiny	JJ	tiny
;	:	;
it	PP	it
'	POS	'
s	JJ	<unknown>
smaller	JJR	small
than	IN	than
an	DT	an
atom	NN	atom
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
incredibly	RB	incredibly
hot	JJ	hot
.	SENT	.
It	PP	it
contains	VBZ	contain
everything	NN	everything
that	RB	that
'	POS	'
s	NN	S
in	IN	in
today	NN	today
'	POS	'
s	NN	S
universe	NN	universe
,	,	,
so	RB	so
you	PP	you
can	MD	can
imagine	VB	imagine
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
busting	VBG	bust
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
expanding	VBG	expand
at	IN	at
incredible	JJ	incredible
speed	NN	speed
.	SENT	.
And	CC	and
at	IN	at
first	JJ	first
,	,	,
it	PP	it
'	POS	'
s	NN	S
just	RB	just
a	DT	a
blur	NN	blur
,	,	,
but	CC	but
very	RB	very
quickly	RB	quickly
distinct	JJ	distinct
things	NNS	thing
begin	VBP	begin
to	TO	to
appear	VB	appear
in	IN	in
that	DT	that
blur	NN	blur
.	SENT	.
Within	IN	within
the	DT	the
first	JJ	first
second	NN	second
,	,	,
energy	NN	energy
itself	PP	itself
shatters	VBZ	shatter
into	IN	into
distinct	JJ	distinct
forces	NNS	force
including	VBG	include
electromagnetism	NN	electromagnetism
and	CC	and
gravity	NN	gravity
.	SENT	.
And	CC	and
energy	NN	energy
does	VBZ	do
