Ah	UH	ah
,	,	,
earth	NN	earth
'	POS	'
s	NN	S
oceans	NNS	ocean
.	SENT	.
They	PP	they
are	VBP	be
beautiful	JJ	beautiful
,	,	,
inspiring	JJ	inspiring
,	,	,
life-sustaining	VBG	life-sustain
.	SENT	.
They	PP	they
are	VBP	be
also	RB	also
,	,	,
as	IN	as
you	PP	you
'	POS	'
re	NN	re
probably	RB	probably
quite	RB	quite
aware	JJ	aware
,	,	,
more	RBR	more
or	CC	or
less	RBR	less
screwed	VBD	screw
.	SENT	.
In	IN	in
the	DT	the
Seychelles	NP	Seychelles
,	,	,
for	IN	for
example	NN	example
,	,	,
human	JJ	human
activities	NNS	activity
and	CC	and
climate	NN	climate
change	NN	change
have	VBP	have
left	VBN	leave
corals	NNS	coral
bleached	VBD	bleach
.	SENT	.
Overfishing	NN	overfishing
has	VBZ	have
caused	VBN	cause
fish	NN	fish
stocks	NNS	stock
to	TO	to
plummet	VB	plummet
.	SENT	.
Biodiversity	NP	<unknown>
is	VBZ	be
in	IN	in
peril	NN	peril
.	SENT	.
So	RB	so
what	WP	what
can	MD	can
we	PP	we
do	VB	do
?	SENT	?
Well	RB	well
,	,	,
some	DT	some
form	NN	form
of	IN	of
protection	NN	protection
,	,	,
obviously	RB	obviously
.	SENT	.
Nature	NN	nature
is	VBZ	be
very	RB	very
resilient	JJ	resilient
.	SENT	.
When	WRB	when
marine	JJ	marine
areas	NNS	area
are	VBP	be
strategically	RB	strategically
protected	VBN	protect
,	,	,
entire	JJ	entire
ecosystems	NNS	ecosystem
can	MD	can
bounce	VB	bounce
back	RB	back
.	SENT	.
However	RB	however
,	,	,
creating	VBG	create
marine	JJ	marine
protected	JJ	protected
areas	NNS	area
isn	NN	isn
'	POS	'
t	NN	t
easy	RB	easy
.	SENT	.
First	RB	first
,	,	,
you	PP	you
have	VBP	have
the	DT	the
issue	NN	issue
of	IN	of
figuring	VBG	figure
out	RP	out
where	WRB	where
to	TO	to
protect	VB	protect
.	SENT	.
This	DT	this
coral	JJ	coral
reef	NN	reef
overlaps	VBZ	overlap
with	IN	with
that	DT	that
international	JJ	international
fishing	NN	fishing
route	NN	route
,	,	,
intersects	VBZ	intersect
with	IN	with
this	DT	this
fish	NN	fish
hatchery	NN	hatchery
.	SENT	.
Everything	NN	everything
is	VBZ	be
interconnected	VBN	interconnect
.	SENT	.
And	CC	and
marine	JJ	marine
protection	NN	protection
plans	NNS	plan
must	MD	must
take	VB	take
into	IN	into
account	NN	account
how	WRB	how
one	CD	one
area	NN	area
affects	VBZ	affect
another	DT	another
.	SENT	.
Then	RB	then
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
the	DT	the
issue	NN	issue
of	IN	of
getting	VBG	get
everyone	NN	everyone
on	IN	on
board	NN	board
.	SENT	.
Coastal	JJ	coastal
economies	NNS	economy
often	RB	often
rely	VBP	rely
on	IN	on
fishing	NN	fishing
and	CC	and
tourism	NN	tourism
.	SENT	.
If	IN	if
people	NNS	people
think	VBP	think
they	PP	they
can	MD	can
'	''	'
t	NN	t
do	VBP	do
their	PP$	their
work	NN	work
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
no	DT	no
chance	NN	chance
of	IN	of
getting	VBG	get
the	DT	the
local	JJ	local
buy-in	NN	<unknown>
you	PP	you
need	VBP	need
for	IN	for
the	DT	the
area	NN	area
to	TO	to
be	VB	be
successful	JJ	successful
.	SENT	.
Marine	NP	Marine
protected	VBD	protect
areas	NNS	area
must	MD	must
also	RB	also
be	VB	be
enforced	VBN	enforce
.	SENT	.
That	DT	that
means	VBZ	mean
the	DT	the
government	NN	government
itself	PP	itself
must	MD	must
be	VB	be
deeply	RB	deeply
invested	VBN	invest
in	IN	in
the	DT	the
plan	NN	plan
.	SENT	.
Token	JJ	token
support	NN	support
will	MD	will
not	RB	not
cut	VB	cut
it	PP	it
.	SENT	.
And	CC	and
finally	RB	finally
,	,	,
conservation	NN	conservation
requires	VBZ	require
money	NN	money
.	SENT	.
A	DT	a
lot	NN	lot
of	IN	of
it	PP	it
.	SENT	.
Governments	NNS	government
in	IN	in
island	NN	island
and	CC	and
coastal	JJ	coastal
nations	NNS	nation
may	MD	may
want	VB	want
to	TO	to
protect	VB	protect
their	PP$	their
waters	NNS	water
,	,	,
but	CC	but
often	RB	often
these	DT	these
nations	NNS	nation
have	VBP	have
very	RB	very
high	JJ	high
debt	NN	debt
and	CC	and
can	NN	can
'	POS	'
t	NN	t
afford	VB	afford
to	TO	to
prioritize	VB	<unknown>
conservation	NN	conservation
.	SENT	.
If	IN	if
we	PP	we
rely	VBP	rely
on	IN	on
philanthropic	JJ	philanthropic
dollars	NNS	dollar
alone	RB	alone
to	TO	to
fund	VB	fund
marine	JJ	marine
protection	NN	protection
,	,	,
we	PP	we
might	MD	might
get	VB	get
a	DT	a
small	JJ	small
marine-protected	JJ	marine-protected
area	NN	area
here	RB	here
,	,	,
another	DT	another
little	JJ	little
one	CD	one
there	RB	there
.	SENT	.
But	CC	but
we	PP	we
need	VBP	need
more	JJR	more
marine	JJ	marine
protected	VBN	protect
areas	NNS	area
faster	RBR	faster
,	,	,
to	TO	to
have	VB	have
lasting	JJ	lasting
impact	NN	impact
.	SENT	.
So	RB	so
what	WP	what
exactly	RB	exactly
does	VBZ	do
smart	JJ	smart
ocean	NN	ocean
conservation	NN	conservation
look	VBP	look
like	IN	like
?	SENT	?
How	WRB	how
do	VBP	do
we	PP	we
get	VB	get
the	DT	the
money	NN	money
,	,	,
government	NN	government
support	NN	support
and	CC	and
careful	JJ	careful
planning	NN	planning
that	WDT	that
takes	VBZ	take
into	IN	into
account	NN	account
both	CC	both
local	JJ	local
economies	NNS	economy
and	CC	and
complex	JJ	complex
ecosystems	NNS	ecosystem
?	SENT	?
We	PP	we
want	VBP	want
to	TO	to
share	VB	share
with	IN	with
you	PP	you
an	DT	an
audacious	JJ	audacious
idea	NN	idea
from	IN	from
