Welcome	JJ	welcome
.	SENT	.
If	IN	if
I	PP	I
could	MD	could
have	VB	have
the	DT	the
first	JJ	first
slide	NN	slide
,	,	,
please	UH	please
?	SENT	?
Contrary	JJ	contrary
to	TO	to
calculations	NNS	calculation
made	VBN	make
by	IN	by
some	DT	some
engineers	NNS	engineer
,	,	,
bees	NNS	bee
can	MD	can
fly	VB	fly
,	,	,
dolphins	NNS	dolphin
can	MD	can
swim	VB	swim
,	,	,
and	CC	and
geckos	NNS	gecko
can	MD	can
even	RB	even
climb	VB	climb
up	RP	up
the	DT	the
smoothest	JJS	smooth
surfaces	NNS	surface
.	SENT	.
Now	RB	now
,	,	,
what	WP	what
I	PP	I
want	VBP	want
to	TO	to
do	VB	do
,	,	,
in	IN	in
the	DT	the
short	JJ	short
time	NN	time
I	PP	I
have	VBP	have
,	,	,
is	VBZ	be
to	TO	to
try	VB	try
to	TO	to
allow	VB	allow
each	DT	each
of	IN	of
you	PP	you
to	TO	to
experience	VB	experience
the	DT	the
thrill	NN	thrill
of	IN	of
revealing	JJ	revealing
nature	NN	nature
'	POS	'
s	NN	S
design	NN	design
.	SENT	.
I	PP	I
get	VBP	get
to	TO	to
do	VB	do
this	DT	this
all	PDT	all
the	DT	the
time	NN	time
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
just	RB	just
incredible	JJ	incredible
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
try	VB	try
to	TO	to
share	VB	share
just	RB	just
a	DT	a
little	JJ	little
bit	NN	bit
of	IN	of
that	DT	that
with	IN	with
you	PP	you
in	IN	in
this	DT	this
presentation	NN	presentation
.	SENT	.
The	DT	the
challenge	NN	challenge
of	IN	of
looking	VBG	look
at	IN	at
nature	NN	nature
'	POS	'
s	NN	S
designs	NNS	design
—	:	-
and	CC	and
I	PP	I
'	POS	'
ll	NNS	<unknown>
tell	VBP	tell
you	PP	you
the	DT	the
way	NN	way
that	IN	that
we	PP	we
perceive	VBP	perceive
it	PP	it
,	,	,
and	CC	and
the	DT	the
way	NN	way
we	PP	we
'	POS	'
ve	NN	ve
used	VBD	use
it	PP	it
.	SENT	.
The	DT	the
challenge	NN	challenge
,	,	,
of	IN	of
course	NN	course
,	,	,
is	VBZ	be
to	TO	to
answer	VB	answer
this	DT	this
question	NN	question
:	:	:
what	WP	what
permits	VBZ	permit
this	DT	this
extraordinary	JJ	extraordinary
performance	NN	performance
of	IN	of
animals	NNS	animal
that	WDT	that
allows	VBZ	allow
them	PP	them
basically	RB	basically
to	TO	to
go	VB	go
anywhere	RB	anywhere
?	SENT	?
And	CC	and
if	IN	if
we	PP	we
could	MD	could
figure	VB	figure
that	IN	that
out	RB	out
,	,	,
how	WRB	how
can	MD	can
we	PP	we
implement	VB	implement
those	DT	those
designs	NNS	design
?	SENT	?
Well	RB	well
,	,	,
many	JJ	many
biologists	NNS	biologist
will	MD	will
tell	VB	tell
engineers	NNS	engineer
,	,	,
and	CC	and
others	NNS	other
