How	WRB	how
many	JJ	many
companies	NNS	company
have	VBP	have
you	PP	you
interacted	VBN	interact
with	IN	with
today	NN	today
?	SENT	?
Well	RB	well
,	,	,
you	PP	you
got	VBD	get
up	RP	up
in	IN	in
the	DT	the
morning	NN	morning
,	,	,
took	VBD	take
a	DT	a
shower	NN	shower
,	,	,
washed	VBD	wash
your	PP$	your
hair	NN	hair
,	,	,
used	VBD	use
a	DT	a
hair	NN	hair
dryer	NN	dryer
,	,	,
ate	VBD	eat
breakfast	NN	breakfast
—	:	-
ate	VBD	eat
cereals	NNS	cereal
,	,	,
fruit	NN	fruit
,	,	,
yogurt	NN	yogurt
,	,	,
whatever	WDT	whatever
—	:	-
had	VBD	have
coffee	NN	coffee
—	:	-
tea	NN	tea
.	SENT	.
You	PP	you
took	VBD	take
public	JJ	public
transport	NN	transport
to	TO	to
come	VB	come
here	RB	here
,	,	,
or	CC	or
maybe	RB	maybe
used	VBN	use
your	PP$	your
private	JJ	private
car	NN	car
.	SENT	.
You	PP	you
interacted	VBD	interact
with	IN	with
the	DT	the
company	NN	company
that	IN	that
you	PP	you
work	VBP	work
for	IN	for
or	CC	or
that	IN	that
you	PP	you
own	VBP	own
.	SENT	.
You	PP	you
interacted	VBD	interact
with	IN	with
your	PP$	your
clients	NNS	client
,	,	,
your	PP$	your
customers	NNS	customer
,	,	,
and	CC	and
so	RB	so
on	RB	on
and	CC	and
so	RB	so
forth	RB	forth
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
pretty	RB	pretty
sure	RB	sure
there	EX	there
are	VBP	be
at	IN	at
least	JJS	least
seven	CD	seven
companies	NNS	company
you	PP	you
'	POS	'
ve	NN	ve
interacted	VBD	interact
with	IN	with
today	NN	today
.	SENT	.
Let	VB	let
me	PP	me
tell	VB	tell
you	PP	you
a	DT	a
stunning	JJ	stunning
statistic	NN	statistic
.	SENT	.
One	CD	one
out	RB	out
of	IN	of
seven	CD	seven
large	JJ	large
,	,	,
public	JJ	public
corporations	NNS	corporation
commit	VBP	commit
fraud	NN	fraud
every	DT	every
year	NN	year
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
US	NP	US
academic	JJ	academic
study	NN	study
that	WDT	that
looks	VBZ	look
at	IN	at
US	NP	US
companies	NNS	company
—	:	-
I	PP	I
have	VBP	have
no	DT	no
reason	NN	reason
to	TO	to
believe	VB	believe
that	IN	that
it	PP	it
'	POS	'
s	NNS	<unknown>
different	JJ	different
in	IN	in
Europe	NP	Europe
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
study	NN	study
that	WDT	that
looks	VBZ	look
at	IN	at
both	DT	both
detected	VBN	detect
and	CC	and
undetected	JJ	undetected
fraud	NN	fraud
using	VBG	use
statistical	JJ	statistical
methods	NNS	method
.	SENT	.
This	DT	this
is	VBZ	be
not	RB	not
petty	JJ	petty
fraud	NN	fraud
.	SENT	.
These	DT	these
frauds	NNS	fraud
cost	VBP	cost
the	DT	the
shareholders	NNS	shareholder
of	IN	of
these	DT	these
companies	NNS	company
,	,	,
and	CC	and
therefore	RB	therefore
society	NN	society
,	,	,
on	IN	on
the	DT	the
order	NN	order
of	IN	of
380	CD	@card@
billion	NN	billion
dollars	NNS	dollar
per	IN	per
year	NN	year
.	SENT	.
We	PP	we
can	MD	can
all	RB	all
think	VB	think
of	IN	of
some	DT	some
examples	NNS	example
,	,	,
right	RB	right
?	SENT	?
The	DT	the
car	NN	car
industry	NN	industry
'	POS	'
s	JJ	<unknown>
secrets	NNS	secret
aren	NNS	<unknown>
'	POS	'
t	NN	t
quite	RB	quite
so	RB	so
secret	JJ	secret
anymore	RB	anymore
.	SENT	.
Fraud	NN	fraud
has	VBZ	have
become	VBN	become
a	DT	a
feature	NN	feature
,	,	,
not	RB	not
a	DT	a
bug	NN	bug
,	,	,
of	IN	of
the	DT	the
financial	JJ	financial
services	NNS	service
industry	NN	industry
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
not	RB	not
me	PP	me
who	WP	who
'	POS	'
s	NN	S
claiming	VBG	claim
that	IN	that
,	,	,
that	WDT	that
'	POS	'
s	NNS	<unknown>
the	DT	the
president	NN	president
of	IN	of
the	DT	the
American	NP	American
Finance	NP	Finance
Association	NP	Association
who	WP	who
stated	VBD	state
that	IN	that
in	IN	in
his	PP$	his
presidential	JJ	presidential
address	NN	address
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
a	DT	a
huge	JJ	huge
problem	NN	problem
if	IN	if
you	PP	you
think	VBP	think
about	RB	about
,	,	,
especially	RB	especially
,	,	,
an	DT	an
economy	NN	economy
like	IN	like
Switzerland	NP	Switzerland
,	,	,
which	WDT	which
relies	VBZ	rely
so	RB	so
much	RB	much
on	IN	on
the	DT	the
trust	NN	trust
put	VBN	put
into	IN	into
its	PP$	its
financial	JJ	financial
industry	NN	industry
.	SENT	.
On	IN	on
the	DT	the
other	JJ	other
hand	NN	hand
,	,	,
there	EX	there
are	VBP	be
six	CD	six
out	IN	out
of	IN	of
seven	CD	seven
companies	NNS	company
who	WP	who
actually	RB	actually
remain	VBP	remain
honest	JJ	honest
despite	IN	despite
all	DT	all
temptations	NNS	temptation
to	TO	to
start	VB	start
engaging	VBG	engage
in	IN	in
fraud	NN	fraud
.	SENT	.
There	EX	there
are	VBP	be
whistle-	NN	<unknown>
blowers	NNS	blower
like	IN	like
Michael	NP	Michael
Woodford	NP	Woodford
,	,	,
who	WP	who
blew	VBD	blow
the	DT	the
whistle	NN	whistle
on	IN	on
Olympus	NP	Olympus
.	SENT	.
These	DT	these
whistle-	NN	<unknown>
blowers	NNS	blower
risk	VBP	risk
their	PP$	their
careers	NNS	career
,	,	,
their	PP$	their
friendships	NNS	friendship
,	,	,
to	TO	to
bring	VB	bring
out	RP	out
the	DT	the
truth	NN	truth
about	IN	about
their	PP$	their
companies	NNS	company
.	SENT	.
There	EX	there
are	VBP	be
journalists	NNS	journalist
like	IN	like
Anna	NP	Anna
Politkovskaya	NP	<unknown>
who	WP	who
risk	VBP	risk
even	RB	even
their	PP$	their
lives	NNS	life
to	TO	to
report	VB	report
human	JJ	human
rights	NNS	right
violations	NNS	violation
.	SENT	.
She	PP	she
got	VBD	get
killed	VBN	kill
—	:	-
every	DT	every
year	NN	year
,	,	,
around	RB	around
100	CD	@card@
journalists	NNS	journalist
get	VBP	get
killed	VBN	kill
because	IN	because
of	IN	of
their	PP$	their
conviction	NN	conviction
to	TO	to
bring	VB	bring
out	RP	out
the	DT	the
truth	NN	truth
.	SENT	.
So	RB	so
in	IN	in
my	PP$	my
talk	NN	talk
today	NN	today
,	,	,
I	PP	I
want	VBP	want
to	TO	to
share	VB	share
with	IN	with
you	PP	you
some	DT	some
insights	NNS	insight
I	PP	I
'	POS	'
ve	NN	ve
obtained	VBD	obtain
and	CC	and
learned	VBD	learn
in	IN	in
the	DT	the
last	JJ	last
10	CD	@card@
years	NNS	year
of	IN	of
conducting	VBG	conduct
research	NN	research
in	IN	in
this	DT	this
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
a	DT	a
researcher	NN	researcher
,	,	,
a	DT	a
scientist	NN	scientist
working	VBG	work
with	IN	with
economists	NNS	economist
,	,	,
financial	JJ	financial
economists	NNS	economist
,	,	,
ethicists	NNS	ethicist
,	,	,
neuroscientists	NNS	neuroscientist
,	,	,
lawyers	NNS	lawyer
and	CC	and
others	NNS	other
trying	VBG	try
to	TO	to
understand	VB	understand
what	WP	what
makes	VBZ	make
humans	NNS	human
tick	VB	tick
,	,	,
and	CC	and
how	WRB	how
can	MD	can
we	PP	we
address	VB	address
this	DT	this
issue	NN	issue
of	IN	of
fraud	NN	fraud
in	IN	in
corporations	NNS	corporation
and	CC	and
therefore	RB	therefore
contribute	VB	contribute
to	TO	to
the	DT	the
improvement	NN	improvement
of	IN	of
the	DT	the
world	NN	world
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
start	VB	start
by	IN	by
sharing	VBG	share
with	IN	with
you	PP	you
two	CD	two
very	RB	very
distinct	JJ	distinct
visions	NNS	vision
of	IN	of
how	WRB	how
people	NNS	people
behave	VBP	behave
.	SENT	.
First	RB	first
,	,	,
meet	VB	meet
Adam	NP	Adam
Smith	NP	Smith
,	,	,
founding	VBG	found
father	NN	father
of	IN	of
modern	JJ	modern
economics	NNS	economics
.	SENT	.
His	PP$	his
basic	JJ	basic
idea	NN	idea
was	VBD	be
that	IN	that
if	IN	if
everybody	NN	everybody
behaves	VBZ	behave
in	IN	in
their	PP$	their
own	JJ	own
self-interests	NNS	self-interest
,	,	,
that	WDT	that
'	POS	'
s	NNS	<unknown>
good	JJ	good
for	IN	for
everybody	NN	everybody
in	IN	in
the	DT	the
end	NN	end
.	SENT	.
Self-interest	NN	self-interest
isn	NN	isn
'	POS	'
t	NN	t
a	DT	a
narrowly	RB	narrowly
defined	VBN	define
concept	NN	concept
just	RB	just
for	IN	for
your	PP$	your
immediate	JJ	immediate
utility	NN	utility
.	SENT	.
It	PP	it
has	VBZ	have
a	DT	a
long-run	NN	long-run
implication	NN	implication
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
