Hello	UH	hello
.	SENT	.
We	PP	we
are	VBP	be
living	VBG	live
during	IN	during
a	DT	a
historic	JJ	historic
moment	NN	moment
that	RB	that
'	POS	'
s	NN	S
marked	VBD	mark
by	IN	by
difficult	JJ	difficult
challenges	NNS	challenge
,	,	,
as	IN	as
we	PP	we
all	RB	all
know	VBP	know
,	,	,
on	IN	on
the	DT	the
East	NP	East
Coast	NP	Coast
,	,	,
so	RB	so
that	IN	that
the	DT	the
world	NN	world
is	VBZ	be
shaken	VBN	shake
by	IN	by
the	DT	the
crisis	NN	crisis
caused	VBN	cause
by	IN	by
the	DT	the
covid-19	JJ	<unknown>
pandemic	NN	pandemic
,	,	,
which	WDT	which
highlights	VBZ	highlight
yet	RB	yet
an	DT	an
even	RB	even
bigger	JJR	big
challenge	NN	challenge
now	RB	now
kuraishi	NN	<unknown>
social	JJ	social
and	CC	and
social	JJ	social
environmental	JJ	environmental
crisis	NN	crisis
.	SENT	.
This	DT	this
requires	VBZ	require
us	PP	us
,	,	,
all	RB	all
of	IN	of
us	PP	us
,	,	,
to	TO	to
face	VB	face
a	DT	a
choice	NN	choice
.	SENT	.
The	DT	the
choice	NN	choice
between	IN	between
what	WP	what
matters	VBZ	matter
and	CC	and
what	WP	what
doesn	NN	<unknown>
'	POS	'
t	NN	t
change	NN	change
the	DT	the
choice	NN	choice
between	IN	between
continuing	VBG	continue
to	TO	to
ignore	VB	ignore
the	DT	the
suffering	NN	suffering
of	IN	of
the	DT	the
poorest	JJS	poor
Yamal	NP	Yamal
and	CC	and
to	TO	to
abuse	VB	abuse
our	PP$	our
common	JJ	common
home	NN	home
,	,	,
the	DT	the
planet	NN	planet
,	,	,
or	CC	or
in	IN	in
or	CC	or
engaging	VBG	engage
at	IN	at
every	DT	every
level	NN	level
that	IN	that
it	PP	it
has	VBZ	have
to	TO	to
transform	VB	transform
the	DT	the
way	NN	way
we	PP	we
act	VBP	act
.	SENT	.
Science	NP	Science
tells	VBZ	tell
us	PP	us
every	DT	every
day	NN	day
with	IN	with
more	JJR	more
precision	NN	precision
that	IN	that
urgent	JJ	urgent
action	NN	action
is	VBZ	be
needed	VBN	need
and	CC	and
I	PP	I
'	POS	'
m	NN	m
not	RB	not
dramatizing	VBG	dramatize
here	RB	here
,	,	,
this	DT	this
is	VBZ	be
what	WP	what
science	NN	science
says	VBZ	say
if	IN	if
we	PP	we
are	VBP	be
to	TO	to
keep	VB	keep
the	DT	the
hope	NN	hope
of	IN	of
avoiding	VBG	avoid
radical	JJ	radical
and	CC	and
catastrophic	JJ	catastrophic
climate	NN	climate
change	NN	change
.	SENT	.
And	CC	and
for	IN	for
this	DT	this
,	,	,
we	PP	we
must	MD	must
act	VB	act
now	RB	now
that	IN	that
this	DT	this
is	VBZ	be
a	DT	a
scientific	JJ	scientific
fact	NN	fact
on	IN	on
our	PP$	our
conscience	NN	conscience
tells	VBZ	tell
us	PP	us
that	IN	that
we	PP	we
cannot	MD	can
remain	VB	remain
indifferent	JJ	indifferent
to	TO	to
the	DT	the
suffering	NN	suffering
of	IN	of
those	DT	those
in	IN	in
need	NN	need
and	CC	and
recognition	NN	recognition
,	,	,
these	DT	these
sort	NN	sort
of	IN	of
growing	VBG	grow
economic	JJ	economic
inequalities	NNS	inequality
and	CC	and
social	JJ	social
injustices	NNS	injustice
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NNS	<unknown>
the	DT	the
economy	NN	economy
itself	PP	itself
cannot	MD	can
be	VB	be
limited	VBN	limit
to	TO	to
production	NN	production
and	CC	and
distribution	NN	distribution
,	,	,
and	CC	and
it	PP	it
must	MD	must
also	RB	also
consider	VB	consider
its	PP$	its
impacts	NNS	impact
on	IN	on
both	CC	both
the	DT	the
environment	NN	environment
and	CC	and
on	IN	on
the	DT	the
dignity	NN	dignity
of	IN	of
people	NNS	people
.	SENT	.
But	CC	but
we	PP	we
could	MD	could
say	VB	say
that	IN	that
the	DT	the
economy	NN	economy
should	MD	should
be	VB	be
strictly	RB	strictly
a	DT	a
creative	JJ	creative
.	SENT	.
In	IN	in
itself	PP	itself
and	CC	and
in	IN	in
its	PP$	its
methods	NNS	method
.	SENT	.
In	IN	in
the	DT	the
way	NN	way
it	PP	it
acts	VBZ	act
,	,	,
creative	JJ	creative
creativity	NN	creativity
,	,	,
what	WP	what
I	PP	I
would	MD	would
like	VB	like
to	TO	to
invite	VB	invite
you	PP	you
to	TO	to
go	VB	go
on	IN	on
a	DT	a
journey	NN	journey
together	RB	together
,	,	,
a	DT	a
journey	NN	journey
of	IN	of
transformation	NN	transformation
and	CC	and
of	IN	of
action	NN	action
made	VBN	make
not	RB	not
so	RB	so
much	JJ	much
of	IN	of
words	NNS	word
,	,	,
but	CC	but
rather	RB	rather
of	IN	of
concrete	JJ	concrete
and	CC	and
pressing	JJ	pressing
actions	NNS	action
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
calling	VBG	call
it	PP	it
a	DT	a
journey	NN	journey
because	IN	because
it	PP	it
requires	VBZ	require
a	DT	a
shift	NN	shift
,	,	,
a	DT	a
change	NN	change
that	WDT	that
came	VBD	come
from	IN	from
this	DT	this
crisis	NN	crisis
.	SENT	.
None	NN	none
of	IN	of
us	PP	us
must	MD	must
come	VB	come
out	RP	out
to	TO	to
the	DT	the
same	JJ	same
.	SENT	.
We	PP	we
cannot	MD	can
come	VB	come
out	RP	out
to	TO	to
the	DT	the
same	JJ	same
from	IN	from
a	DT	a
crisis	NN	crisis
we	PP	we
never	RB	never
come	VBP	come
out	RP	out
of	IN	of
the	DT	the
same	JJ	same
.	SENT	.
It	PP	it
will	MD	will
take	VB	take
time	NN	time
.	SENT	.
Effort	NN	effort
and	CC	and
hard	JJ	hard
work	NN	work
to	TO	to
overcome	VB	overcome
it	PP	it
.	SENT	.
We	PP	we
will	MD	will
have	VB	have
to	TO	to
take	VB	take
it	PP	it
one	CD	one
step	NN	step
at	IN	at
a	DT	a
time	NN	time
of	IN	of
the	DT	the
week	NN	week
,	,	,
persuade	VB	persuade
those	DT	those
in	IN	in
doubt	NN	doubt
.	SENT	.
Imagine	VB	imagine
new	JJ	new
solutions	NNS	solution
and	CC	and
commit	VBP	commit
to	TO	to
carry	VB	carry
them	PP	them
out	RP	out
.	SENT	.
Our	PP$	our
goal	NN	goal
is	VBZ	be
clear	JJ	clear
to	TO	to
build	VB	build
an	DT	an
approach	NN	approach
within	IN	within
the	DT	the
next	JJ	next
decade	NN	decade
,	,	,
plus	CC	plus
a	DT	a
world	NN	world
where	WRB	where
we	PP	we
can	MD	can
meet	VB	meet
the	DT	the
needs	NNS	need
of	IN	of
the	DT	the
present	JJ	present
generations	NNS	generation
and	CC	and
.	SENT	.
Included	VBN	include
,	,	,
including	VBG	include
everyone	NN	everyone
since	IN	since
her	PP$	her
compromise	NN	compromise
without	IN	without
compromising	VBG	compromise
the	DT	the
possibilities	NNS	possibility
of	IN	of
future	JJ	future
generations	NNS	generation
.	SENT	.
I	PP	I
would	MD	would
like	VB	like
to	TO	to
invite	VB	invite
all	DT	all
people	NNS	people
of	IN	of
faith	NN	faith
,	,	,
Christian	JJ	Christian
or	CC	or
not	RB	not
.	SENT	.
And	CC	and
all	DT	all
people	NNS	people
of	IN	of
goodwill	NN	goodwill
.	SENT	.
I	PP	I
intend	VBP	intend
to	TO	to
embark	VB	embark
on	IN	on
this	DT	this
journey	NN	journey
.	SENT	.
From	IN	from
your	PP$	your
own	JJ	own
faith	NN	faith
,	,	,
or	CC	or
if	IN	if
you	PP	you
do	VBP	do
not	RB	not
have	VB	have
a	DT	a
faith	NN	faith
from	IN	from
your	PP$	your
own	JJ	own
intention	NN	intention
,	,	,
from	IN	from
your	PP$	your
own	JJ	own
good	NN	good
,	,	,
will	MD	will
each	DT	each
one	CD	one
of	IN	of
us	PP	us
as	IN	as
individuals	NNS	individual
or	CC	or
members	NNS	member
of	IN	of
a	DT	a
group	NN	group
,	,	,
families	NNS	family
,	,	,
communities	NNS	community
of	IN	of
faith	NN	faith
,	,	,
businesses	NNS	business
,	,	,
associations	NNS	association
,	,	,
institutions	NNS	institution
,	,	,
can	MD	can
make	VB	make
a	DT	a
substantial	JJ	substantial
contribution	NN	contribution
.	SENT	.
Only	RB	only
five	CD	five
years	NNS	year
ago	RB	ago
,	,	,
I	PP	I
wrote	VBD	write
the	DT	the
encyclical	JJ	encyclical
letter	NN	letter
Lerato	NP	Lerato
C	NP	C
,	,	,
dedicated	VBN	dedicate
to	TO	to
the	DT	the
care	NN	care
of	IN	of
our	PP$	our
common	JJ	common
home	NN	home
.	SENT	.
She	PP	she
proposes	VBZ	propose
the	DT	the
concept	NN	concept
of	IN	of
integral	JJ	integral
ecology	NN	ecology
to	TO	to
respond	VB	respond
,	,	,
to	TO	to
respond	VB	respond
together	RB	together
to	TO	to
the	DT	the
cry	NN	cry
of	IN	of
the	DT	the
Earth	NN	earth
,	,	,
as	RB	as
well	RB	well
as	IN	as
to	TO	to
the	DT	the
cry	NN	cry
of	IN	of
the	DT	the
poor	JJ	poor
ecology	NN	ecology
.	SENT	.
Integrally	RB	integrally
integral	JJ	integral
ecology	NN	ecology
is	VBZ	be
an	DT	an
invitation	NN	invitation
to	TO	to
an	DT	an
integral	JJ	integral
vision	NN	vision
on	IN	on
life	NN	life
aberrated	NN	<unknown>
,	,	,
starting	VBG	start
from	IN	from
the	DT	the
conviction	NN	conviction
that	IN	that
everything	NN	everything
in	IN	in
the	DT	the
world	NN	world
is	VBZ	be
connected	VBN	connect
and	CC	and
that	IN	that
,	,	,
as	IN	as
the	DT	the
pandemic	NN	pandemic
made	VBD	make
sure	RB	sure
to	TO	to
remind	VB	remind
us	PP	us
,	,	,
we	PP	we
are	VBP	be
interdependent	JJ	interdependent
on	IN	on
each	DT	each
other	JJ	other
.	SENT	.
And	CC	and
that	IN	that
,	,	,
as	IN	as
well	RB	well
as	RB	as
on	IN	on
our	PP$	our
Mother	NP	Mother
Earth	NP	Earth
.	SENT	.
The	DT	the
television	NN	television
from	IN	from
such	PDT	such
a	DT	a
vision	NN	vision
stems	VBZ	stem
to	TO	to
the	DT	the
need	NN	need
to	TO	to
find	VB	find
new	JJ	new
ways	NNS	way
of	IN	of
defining	VBG	define
progress	NN	progress
and	CC	and
measuring	VBG	measure
insincerely	RB	insincerely
mythology	NN	mythology
without	IN	without
limiting	VBG	limit
ourselves	PP	ourselves
to	TO	to
the	DT	the
economic	JJ	economic
,	,	,
technological	JJ	technological
,	,	,
financial	JJ	financial
and	CC	and
gross	JJ	gross
product	NN	product
aspects	NNS	aspect
not	RB	not
done	VBN	do
,	,	,
but	CC	but
rather	RB	rather
giving	VBG	give
central	JJ	central
relevance	NN	relevance
to	TO	to
its	PP$	its
ethical	JJ	ethical
,	,	,
social	JJ	social
and	CC	and
educational	JJ	educational
dimensions	NNS	dimension
.	SENT	.
But	CC	but
I	PP	I
would	MD	would
like	VB	like
to	TO	to
propose	VB	propose
today	NN	today
three	CD	three
courses	NNS	course
of	IN	of
action	NN	action
.	SENT	.
Got	VBN	get
to	TO	to
see	VB	see
,	,	,
as	IN	as
I	PP	I
wrote	VBD	write
in	IN	in
Lerato	NP	Lerato
see	VBP	see
the	DT	the
change	NN	change
and	CC	and
the	DT	the
right	JJ	right
orientation	NN	orientation
for	IN	for
our	PP$	our
journey	NN	journey
of	IN	of
integral	JJ	integral
ecology	NN	ecology
required	VBD	require
first	JJ	first
that	IN	that
we	PP	we
all	RB	all
take	VBP	take
an	DT	an
educational	JJ	educational
step	NN	step
.	SENT	.
We	PP	we
.	SENT	.
So	IN	so
my	PP$	my
first	JJ	first
suggestion	NN	suggestion
is	VBZ	be
to	TO	to
promote	VB	promote
at	IN	at
every	DT	every
level	NN	level
and	CC	and
education	NN	education
geared	VBN	gear
towards	IN	towards
the	DT	the
care	NN	care
