Hi	UH	hi
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
here	RB	here
to	TO	to
talk	VB	talk
to	TO	to
you	PP	you
about	IN	about
the	DT	the
importance	NN	importance
of	IN	of
praise	NN	praise
,	,	,
admiration	NN	admiration
and	CC	and
thank	VB	thank
you	PP	you
,	,	,
and	CC	and
having	VBG	have
it	PP	it
be	VB	be
specific	JJ	specific
and	CC	and
genuine	JJ	genuine
.	SENT	.
And	CC	and
the	DT	the
way	NN	way
I	PP	I
got	VBD	get
interested	JJ	interested
in	IN	in
this	DT	this
was	VBD	be
,	,	,
I	PP	I
noticed	VBD	notice
in	IN	in
myself	PP	myself
,	,	,
when	WRB	when
I	PP	I
was	VBD	be
growing	VBG	grow
up	RP	up
,	,	,
and	CC	and
until	IN	until
about	IN	about
a	DT	a
few	JJ	few
years	NNS	year
ago	RB	ago
,	,	,
that	IN	that
I	PP	I
would	MD	would
want	VB	want
to	TO	to
say	VB	say
thank	VB	thank
you	PP	you
to	TO	to
someone	NN	someone
,	,	,
I	PP	I
would	MD	would
want	VB	want
to	TO	to
praise	VB	praise
them	PP	them
,	,	,
I	PP	I
would	MD	would
want	VB	want
to	TO	to
take	VB	take
in	IN	in
their	PP$	their
praise	NN	praise
of	IN	of
me	PP	me
and	CC	and
I	PP	I
'	POS	'
d	NN	d
just	RB	just
stop	VB	stop
it	PP	it
.	SENT	.
And	CC	and
I	PP	I
asked	VBD	ask
myself	PP	myself
,	,	,
why	WRB	why
?	SENT	?
I	PP	I
felt	VBD	feel
shy	JJ	shy
,	,	,
I	PP	I
felt	VBD	feel
embarrassed	JJ	embarrassed
.	SENT	.
And	CC	and
then	RB	then
my	PP$	my
question	NN	question
became	VBD	become
,	,	,
am	VBP	be
I	PP	I
the	DT	the
only	JJ	only
one	CD	one
who	WP	who
does	VBZ	do
this	DT	this
?	SENT	?
So	RB	so
,	,	,
I	PP	I
decided	VBD	decide
to	TO	to
investigate	VB	investigate
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
fortunate	JJ	fortunate
enough	RB	enough
to	TO	to
work	VB	work
in	IN	in
the	DT	the
rehab	NN	rehab
facility	NN	facility
,	,	,
so	RB	so
I	PP	I
get	VBP	get
to	TO	to
see	VB	see
people	NNS	people
who	WP	who
are	VBP	be
facing	VBG	face
life	NN	life
and	CC	and
death	NN	death
with	IN	with
addiction	NN	addiction
.	SENT	.
And	CC	and
sometimes	RB	sometimes
it	PP	it
comes	VBZ	come
down	RP	down
to	TO	to
something	NN	something
as	IN	as
simple	JJ	simple
as	RB	as
,	,	,
their	PP$	their
core	NN	core
wound	NN	wound
is	VBZ	be
their	PP$	their
father	NN	father
died	VBD	die
without	IN	without
ever	RB	ever
saying	VBG	say
he	PP	he
'	POS	'
s	NNS	<unknown>
proud	JJ	proud
of	IN	of
them	PP	them
.	SENT	.
But	CC	but
then	RB	then
,	,	,
they	PP	they
hear	VBP	hear
from	IN	from
all	PDT	all
the	DT	the
family	NN	family
and	CC	and
friends	NNS	friend
that	IN	that
the	DT	the
father	NN	father
told	VBD	tell
everybody	NN	everybody
else	RB	else
that	IN	that
he	PP	he
was	VBD	be
proud	JJ	proud
of	IN	of
him	PP	him
,	,	,
but	CC	but
he	PP	he
never	RB	never
told	VBD	tell
the	DT	the
son	NN	son
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
because	IN	because
he	PP	he
didn	NN	<unknown>
'	POS	'
t	NN	t
know	VBP	know
that	IN	that
his	PP$	his
son	NN	son
needed	VBD	need
to	TO	to
hear	VB	hear
it	PP	it
.	SENT	.
So	IN	so
my	PP$	my
question	NN	question
is	VBZ	be
,	,	,
why	WRB	why
don	NN	don
'	POS	'
t	NN	t
we	PP	we
ask	VBP	ask
for	IN	for
the	DT	the
things	NNS	thing
that	WDT	that
we	PP	we
need	VBP	need
?	SENT	?
I	PP	I
know	VBP	know
a	DT	a
gentleman	NN	gentleman
,	,	,
married	VBN	marry
for	IN	for
25	CD	@card@
years	NNS	year
,	,	,
who	WP	who
'	POS	'
s	JJ	<unknown>
longing	NN	longing
to	TO	to
hear	VB	hear
his	PP$	his
wife	NN	wife
say	VBP	say
,	,	,
"	``	"
Thank	VB	thank
you	PP	you
for	IN	for
being	VBG	be
the	DT	the
breadwinner	NN	breadwinner
,	,	,
so	RB	so
I	PP	I
can	MD	can
stay	VB	stay
home	NN	home
with	IN	with
the	DT	the
kids	NNS	kid
,	,	,
"	''	"
but	CC	but
won	NN	won
'	POS	'
t	NN	t
ask	VB	ask
.	SENT	.
I	PP	I
know	VBP	know
a	DT	a
woman	NN	woman
who	WP	who
'	POS	'
s	NNS	<unknown>
good	JJ	good
at	IN	at
this	DT	this
.	SENT	.
She	PP	she
,	,	,
once	RB	once
a	DT	a
week	NN	week
,	,	,
meets	VBZ	meet
with	IN	with
her	PP$	her
husband	NN	husband
and	CC	and
says	VBZ	say
,	,	,
"	``	"
I	NP	I
'	''	'
d	SYM	d
really	RB	really
like	IN	like
you	PP	you
to	TO	to
thank	VB	thank
me	PP	me
for	IN	for
all	PDT	all
these	DT	these
things	NNS	thing
I	PP	I
did	VBD	do
in	IN	in
the	DT	the
house	NN	house
and	CC	and
with	IN	with
the	DT	the
kids	NNS	kid
.	SENT	.
