Good	JJ	good
evening	NN	evening
,	,	,
welcome	JJ	welcome
to	TO	to
New	NP	New
Orleans	NP	Orleans
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
if	IN	if
you	PP	you
knew	VBD	know
this	DT	this
,	,	,
but	CC	but
you	PP	you
are	VBP	be
sitting	VBG	sit
within	IN	within
15	CD	@card@
minutes	NNS	minute
of	IN	of
one	CD	one
of	IN	of
the	DT	the
largest	JJS	large
rivers	NNS	river
in	IN	in
the	DT	the
world	NN	world
:	:	:
the	DT	the
Mississippi	NP	Mississippi
river	NN	river
.	SENT	.
Old	NP	Old
Man	NP	Man
River	NP	River
,	,	,
Big	NP	Big
Muddy	JJ	muddy
.	SENT	.
And	CC	and
it	PP	it
goes	VBZ	go
as	RB	as
far	RB	far
north	RB	north
as	IN	as
the	DT	the
state	NN	state
of	IN	of
Minnesota	NP	Minnesota
,	,	,
as	IN	as
far	RB	far
east	JJ	east
as	IN	as
the	DT	the
state	NN	state
of	IN	of
New	NP	New
York	NP	York
,	,	,
as	IN	as
far	RB	far
west	JJ	west
as	IN	as
Montana	NP	Montana
.	SENT	.
And	CC	and
100	CD	@card@
miles	NNS	mile
from	IN	from
here	RB	here
,	,	,
river	NN	river
miles	NNS	mile
,	,	,
it	PP	it
empties	VBZ	empty
its	PP$	its
fresh	JJ	fresh
water	NN	water
and	CC	and
sediments	NNS	sediment
into	IN	into
the	DT	the
Gulf	NP	Gulf
of	IN	of
Mexico	NP	Mexico
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
the	DT	the
end	NN	end
of	IN	of
Geography	NN	geography
101	CD	@card@
.	SENT	.
Now	RB	now
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
go	VB	go
to	TO	to
what	WP	what
is	VBZ	be
in	IN	in
that	DT	that
water	NN	water
.	SENT	.
Besides	IN	besides
the	DT	the
sediment	NN	sediment
,	,	,
there	EX	there
are	VBP	be
dissolved	VBN	dissolve
molecules	NNS	molecule
,	,	,
nitrogen	NN	nitrogen
and	CC	and
phosphorus	NN	phosphorus
.	SENT	.
And	CC	and
those	DT	those
,	,	,
through	IN	through
a	DT	a
biological	JJ	biological
process	NN	process
,	,	,
lead	VBP	lead
to	TO	to
the	DT	the
formation	NN	formation
of	IN	of
areas	NNS	area
called	VBD	call
dead	JJ	dead
zones	NNS	zone
.	SENT	.
Now	RB	now
,	,	,
dead	JJ	dead
zone	NN	zone
is	VBZ	be
a	DT	a
quite	RB	quite
ominous	JJ	ominous
word	NN	word
if	IN	if
you	PP	you
'	''	'
re	IN	re
a	DT	a
fish	NN	fish
or	CC	or
a	DT	a
crab	NN	crab
.	SENT	.
Even	RB	even
a	DT	a
little	JJ	little
worm	NN	worm
in	IN	in
the	DT	the
sediments	NNS	sediment
.	SENT	.
Which	WDT	which
means	VBZ	mean
that	IN	that
there	EX	there
'	''	'
s	NNS	<unknown>
not	RB	not
enough	JJ	enough
oxygen	NN	oxygen
for	IN	for
those	DT	those
animals	NNS	animal
to	TO	to
survive	VB	survive
.	SENT	.
So	RB	so
,	,	,
how	WRB	how
does	VBZ	do
this	DT	this
happen	VB	happen
?	SENT	?
The	DT	the
nitrogen	NN	nitrogen
and	CC	and
the	DT	the
phosphorus	NN	phosphorus
stimulate	VB	stimulate
the	DT	the
growth	NN	growth
of	IN	of
microscopic	JJ	microscopic
plants	NNS	plant
called	VBD	call
phytoplankton	NN	phytoplankton
.	SENT	.
And	CC	and
small	JJ	small
animals	NNS	animal
called	VBD	call
zooplankton	NN	zooplankton
eat	VB	eat
the	DT	the
phytoplankton	NN	phytoplankton
,	,	,
small	JJ	small
fish	NN	fish
eat	VB	eat
the	DT	the
zooplankton	NN	zooplankton
,	,	,
large	JJ	large
fish	NN	fish
eat	VB	eat
the	DT	the
small	JJ	small
fish	NN	fish
and	CC	and
it	PP	it
goes	VBZ	go
on	RP	on
up	RB	up
into	IN	into
the	DT	the
food	NN	food
web	NN	web
.	SENT	.
The	DT	the
problem	NN	problem
is	VBZ	be
that	IN	that
there	EX	there
'	''	'
s	NNS	<unknown>
just	RB	just
too	RB	too
much	JJ	much
nitrogen	NN	nitrogen
and	CC	and
phosphorus	NN	phosphorus
right	NN	right
now	RB	now
,	,	,
too	RB	too
much	JJ	much
phytoplankton	NN	phytoplankton
falling	VBG	fall
to	TO	to
the	DT	the
bottom	NN	bottom
and	CC	and
decomposed	VBN	decompose
by	IN	by
bacteria	NNS	bacterium
that	WDT	that
use	VBP	use
up	RP	up
the	DT	the
oxygen	NN	oxygen
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
the	DT	the
biology	NN	biology
.	SENT	.
Now	RB	now
,	,	,
you	PP	you
can	MD	can
'	''	'
t	NN	t
see	VB	see
it	PP	it
from	IN	from
the	DT	the
surface	NN	surface
of	IN	of
the	DT	the
water	NN	water
,	,	,
you	PP	you
can	MD	can
'	''	'
t	NN	t
see	VB	see
it	PP	it
in	IN	in
satellite	NN	satellite
images	NNS	image
,	,	,
so	RB	so
how	WRB	how
do	VBP	do
we	PP	we
know	VB	know
it	PP	it
'	POS	'
s	NN	S
there	RB	there
?	SENT	?
Well	RB	well
,	,	,
a	DT	a
trawler	NN	trawler
can	MD	can
tell	VB	tell
you	PP	you
,	,	,
when	WRB	when
she	PP	she
puts	VBZ	put
her	PP$	her
net	NN	net
over	IN	over
the	DT	the
side	NN	side
and	CC	and
drags	VBZ	drag
for	IN	for
20	CD	@card@
minutes	NNS	minute
and	CC	and
comes	VBZ	come
up	RB	up
empty	VB	empty
,	,	,
that	IN	that
she	PP	she
knows	VBZ	know
she	PP	she
'	''	'
s	NN	S
in	IN	in
the	DT	the
dead	JJ	dead
zone	NN	zone
.	SENT	.
And	CC	and
