Ten	CD	ten
years	NNS	year
ago	RB	ago
,	,	,
computer	NN	computer
vision	NN	vision
researchers	NNS	researcher
thought	VBD	think
that	IN	that
getting	VBG	get
a	DT	a
computer	NN	computer
to	TO	to
tell	VB	tell
the	DT	the
difference	NN	difference
between	IN	between
a	DT	a
cat	NN	cat
and	CC	and
a	DT	a
dog	NN	dog
would	MD	would
be	VB	be
almost	RB	almost
impossible	JJ	impossible
,	,	,
even	RB	even
with	IN	with
the	DT	the
significant	JJ	significant
advance	NN	advance
in	IN	in
the	DT	the
state	NN	state
of	IN	of
artificial	JJ	artificial
intelligence	NN	intelligence
.	SENT	.
Now	RB	now
we	PP	we
can	MD	can
do	VB	do
it	PP	it
at	IN	at
a	DT	a
level	NN	level
greater	JJR	great
than	IN	than
99	CD	@card@
percent	NN	percent
accuracy	NN	accuracy
.	SENT	.
This	DT	this
is	VBZ	be
called	VBN	call
image	NN	image
classification	NN	classification
—	:	-
give	VB	give
it	PP	it
an	DT	an
image	NN	image
,	,	,
put	VBD	put
a	DT	a
label	NN	label
to	TO	to
that	DT	that
image	NN	image
—	:	-
and	CC	and
computers	NNS	computer
know	VBP	know
thousands	NNS	thousand
of	IN	of
other	JJ	other
categories	NNS	category
as	IN	as
well	RB	well
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
a	DT	a
graduate	JJ	graduate
student	NN	student
at	IN	at
the	DT	the
University	NP	University
of	IN	of
Washington	NP	Washington
,	,	,
and	CC	and
I	PP	I
work	VBP	work
on	IN	on
a	DT	a
project	NN	project
called	VBN	call
Darknet	NP	<unknown>
,	,	,
which	WDT	which
is	VBZ	be
a	DT	a
neural	JJ	neural
network	NN	network
framework	NN	framework
for	IN	for
training	NN	training
and	CC	and
testing	NN	testing
computer	NN	computer
vision	NN	vision
models	NNS	model
.	SENT	.
So	RB	so
let	VB	let
'	''	'
s	NNS	<unknown>
just	RB	just
see	VBP	see
what	WP	what
Darknet	NP	<unknown>
thinks	VBZ	think
of	IN	of
this	DT	this
image	NN	image
that	IN	that
we	PP	we
have	VBP	have
.	SENT	.
When	WRB	when
we	PP	we
run	VBP	run
our	PP$	our
classifier	NN	classifier
on	IN	on
this	DT	this
image	NN	image
,	,	,
we	PP	we
see	VBP	see
we	PP	we
don	NN	don
'	POS	'
t	NN	t
just	RB	just
get	VB	get
a	DT	a
prediction	NN	prediction
of	IN	of
dog	NN	dog
or	CC	or
cat	NN	cat
,	,	,
we	PP	we
actually	RB	actually
get	VBP	get
specific	JJ	specific
breed	NN	breed
predictions	NNS	prediction
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
the	DT	the
level	NN	level
of	IN	of
granularity	NN	granularity
we	PP	we
have	VBP	have
now	RB	now
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
correct	VBP	correct
.	SENT	.
My	PP$	my
dog	NN	dog
is	VBZ	be
in	IN	in
fact	NN	fact
a	DT	a
malamute	NN	malamute
.	SENT	.
So	IN	so
we	PP	we
'	POS	'
ve	NN	ve
made	VBD	make
amazing	JJ	amazing
strides	NNS	stride
in	IN	in
