Once	RB	once
there	EX	there
was	VBD	be
a	DT	a
star	NN	star
.	SENT	.
Like	IN	like
everything	NN	everything
else	RB	else
,	,	,
she	PP	she
was	VBD	be
born	VBN	bear
;	:	;
grew	VBD	grow
to	TO	to
be	VB	be
around	RB	around
30	CD	@card@
times	NNS	time
the	DT	the
mass	NN	mass
of	IN	of
our	PP$	our
sun	NN	sun
and	CC	and
lived	VBD	live
for	IN	for
a	DT	a
very	RB	very
long	JJ	long
time	NN	time
.	SENT	.
Exactly	RB	exactly
how	WRB	how
long	RB	long
,	,	,
people	NNS	people
cannot	MD	can
really	RB	really
tell	VB	tell
.	SENT	.
Just	RB	just
like	IN	like
everything	NN	everything
in	IN	in
life	NN	life
,	,	,
she	PP	she
reached	VBD	reach
the	DT	the
end	NN	end
of	IN	of
her	PP$	her
regular	JJ	regular
star	NN	star
days	NNS	day
when	WRB	when
her	PP$	her
heart	NN	heart
,	,	,
the	DT	the
core	NN	core
of	IN	of
her	PP$	her
life	NN	life
,	,	,
exhausted	VBD	exhaust
its	PP$	its
fuel	NN	fuel
.	SENT	.
But	CC	but
that	DT	that
was	VBD	be
no	DT	no
end	NN	end
.	SENT	.
She	PP	she
transformed	VBD	transform
into	IN	into
a	DT	a
supernova	NN	supernova
,	,	,
and	CC	and
in	IN	in
the	DT	the
process	NN	process
releasing	VBG	release
a	DT	a
tremendous	JJ	tremendous
amount	NN	amount
of	IN	of
energy	NN	energy
,	,	,
outshining	VBG	outshine
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
galaxy	NN	galaxy
and	CC	and
emitting	VBG	emit
,	,	,
in	IN	in
one	CD	one
second	NN	second
,	,	,
the	DT	the
same	JJ	same
amount	NN	amount
of	IN	of
energy	NN	energy
our	PP$	our
sun	NN	sun
will	MD	will
release	VB	release
in	IN	in
10	CD	@card@
days	NNS	day
.	SENT	.
And	CC	and
she	PP	she
evolved	VBD	evolve
into	IN	into
another	DT	another
role	NN	role
in	IN	in
our	PP$	our
galaxy	NN	galaxy
.	SENT	.
Supernova	NN	supernova
explosions	NNS	explosion
are	VBP	be
very	RB	very
extreme	JJ	extreme
.	SENT	.
But	CC	but
the	DT	the
ones	NNS	one
that	WDT	that
emit	VBP	emit
gamma	NN	gamma
rays	NNS	ray
are	VBP	be
even	RB	even
more	RBR	more
extreme	JJ	extreme
.	SENT	.
In	IN	in
the	DT	the
process	NN	process
of	IN	of
becoming	VBG	become
a	DT	a
supernova	NN	supernova
,	,	,
the	DT	the
interior	NN	interior
of	IN	of
the	DT	the
star	NN	star
collapses	VBZ	collapse
under	IN	under
its	PP$	its
own	JJ	own
weight	NN	weight
and	CC	and
it	PP	it
starts	VBZ	start
rotating	VBG	rotate
ever	RB	ever
faster	RBR	faster
,	,	,
like	IN	like
an	DT	an
ice	NN	ice
skater	NN	skater
when	WRB	when
pulling	VBG	pull
their	PP$	their
arms	NNS	arm
in	IN	in
close	NN	close
to	TO	to
their	PP$	their
body	NN	body
.	SENT	.
In	IN	in
that	DT	that
way	NN	way
,	,	,
it	PP	it
starts	VBZ	start
rotating	VBG	rotate
very	RB	very
fast	RB	fast
and	CC	and
it	PP	it
increases	VBZ	increase
,	,	,
powerfully	RB	powerfully
,	,	,
its	PP$	its
magnetic	JJ	magnetic
field	NN	field
.	SENT	.
The	DT	the
matter	NN	matter
around	IN	around
the	DT	the
star	NN	star
is	VBZ	be
dragged	VBN	drag
around	RP	around
,	,	,
and	CC	and
some	DT	some
energy	NN	energy
from	IN	from
that	DT	that
rotation	NN	rotation
is	VBZ	be
transferred	VBN	transfer
to	TO	to
that	DT	that
matter	NN	matter
and	CC	and
the	DT	the
magnetic	JJ	magnetic
field	NN	field
is	VBZ	be
increased	VBN	increase
even	RB	even
further	RBR	further
.	SENT	.
In	IN	in
that	DT	that
way	NN	way
,	,	,
our	PP$	our
star	NN	star
had	VBD	have
extra	JJ	extra
energy	NN	energy
to	TO	to
outshine	VB	outshine
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
galaxy	NN	galaxy
in	IN	in
brightness	NN	brightness
and	CC	and
gamma	NN	gamma
ray	NN	ray
emission	NN	emission
.	SENT	.
My	PP$	my
star	NN	star
,	,	,
the	DT	the
one	CD	one
in	IN	in
my	PP$	my
story	NN	story
,	,	,
became	VBD	become
what	WP	what
is	VBZ	be
known	VBN	know
as	IN	as
a	DT	a
magnetar	NN	<unknown>
.	SENT	.
And	CC	and
just	RB	just
for	IN	for
your	PP$	your
information	NN	information
,	,	,
the	DT	the
magnetic	JJ	magnetic
field	NN	field
of	IN	of
a	DT	a
magnetar	NN	<unknown>
is	VBZ	be
1	CD	@card@
,	,	,
000	CD	@card@
trillion	CD	trillion
times	NNS	time
the	DT	the
magnetic	JJ	magnetic
field	NN	field
of	IN	of
Earth	NP	Earth
.	SENT	.
The	DT	the
most	RBS	most
energetic	JJ	energetic
events	NNS	event
ever	RB	ever
measured	VBN	measure
by	IN	by
astronomers	NNS	astronomer
carry	VBP	carry
the	DT	the
name	NN	name
gamma-ray	NN	gamma-ray
bursts	NNS	burst
because	IN	because
we	PP	we
observe	VBP	observe
them	PP	them
as	RB	as
bursts	VBZ	burst
most	JJS	most
or	CC	or
explosions	NNS	explosion
,	,	,
most	RBS	most
strongly	RB	strongly
measured	VBN	measure
as	IN	as
gamma-ray	NN	gamma-ray
light	NN	light
.	SENT	.
Our	PP$	our
star	NN	star
,	,	,
like	IN	like
the	DT	the
one	CD	one
in	IN	in
our	PP$	our
story	NN	story
that	WDT	that
became	VBD	become
a	DT	a
magnetar	NN	<unknown>
,	,	,
is	VBZ	be
detected	VBN	detect
as	IN	as
a	DT	a
gamma-ray	NN	gamma-ray
burst	NN	burst
during	IN	during
the	DT	the
most	RBS	most
energetic	JJ	energetic
portion	NN	portion
of	IN	of
the	DT	the
explosion	NN	explosion
.	SENT	.
Yet	RB	yet
,	,	,
even	RB	even
though	IN	though
gamma-ray	NN	gamma-ray
bursts	NNS	burst
are	VBP	be
the	DT	the
strongest	JJS	strong
events	NNS	event
ever	RB	ever
measured	VBN	measure
by	IN	by
astronomers	NNS	astronomer
,	,	,
we	PP	we
cannot	MD	can
see	VB	see
them	PP	them
with	IN	with
our	PP$	our
naked	JJ	naked
eye	NN	eye
.	SENT	.
We	PP	we
depend	VBP	depend
,	,	,
we	PP	we
rely	VBP	rely
on	IN	on
other	JJ	other
methods	NNS	method
in	IN	in
order	NN	order
to	TO	to
study	VB	study
this	DT	this
gamma-ray	NN	gamma-ray
light	NN	light
.	SENT	.
