So	IN	so
today	NN	today
,	,	,
what	WP	what
I	PP	I
want	VBP	want
to	TO	to
do	VB	do
is	VBZ	be
talk	VB	talk
to	TO	to
you	PP	you
about	IN	about
the	DT	the
most	RBS	most
important	JJ	important
conversations	NNS	conversation
you	PP	you
have	VBP	have
each	DT	each
day	NN	day
:	:	:
the	DT	the
conversations	NNS	conversation
you	PP	you
have	VBP	have
with	IN	with
yourselves	PP	yourselves
.	SENT	.
My	PP$	my
name	NN	name
is	VBZ	be
Ethan	NP	Ethan
Kross	NP	Kross
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
the	DT	the
director	NN	director
of	IN	of
the	DT	the
Emotion	NN	emotion
and	CC	and
Self	NP	Self
Control	NP	Control
Lab	NP	Lab
at	IN	at
the	DT	the
University	NP	University
of	IN	of
Michigan	NP	Michigan
,	,	,
and	CC	and
for	IN	for
the	DT	the
past	JJ	past
25	CD	@card@
years	NNS	year
,	,	,
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
studying	VBG	study
how	WRB	how
people	NNS	people
can	MD	can
manage	VB	manage
their	PP$	their
emotions	NNS	emotion
.	SENT	.
And	CC	and
one	CD	one
of	IN	of
the	DT	the
things	NNS	thing
that	IN	that
I	NP	I
'	POS	'
ve	NN	ve
learned	VBD	learn
during	IN	during
that	DT	that
time	NN	time
--	:	--
See	VB	see
?	SENT	?
I	NP	I
'	POS	'
m	NN	m
managing	VBG	manage
my	PP$	my
emotions	NNS	emotion
right	RB	right
now	RB	now
.	SENT	.
One	CD	one
of	IN	of
the	DT	the
things	NNS	thing
that	IN	that
I	NP	I
'	POS	'
ve	NN	ve
learned	VBD	learn
during	IN	during
that	DT	that
time	NN	time
is	VBZ	be
that	IN	that
a	DT	a
key	NN	key
to	TO	to
managing	VBG	manage
one	PP	one
'	POS	'
s	NN	S
emotions	NNS	emotion
effectively	RB	effectively
involves	VBZ	involve
understanding	VBG	understand
how	WRB	how
to	TO	to
harness	VB	harness
this	DT	this
mysterious	JJ	mysterious
force	NN	force
called	VBD	call
the	DT	the
voices	NNS	voice
inside	IN	inside
our	PP$	our
head	NN	head
.	SENT	.
Now	RB	now
I	PP	I
realize	VBP	realize
some	DT	some
of	IN	of
you	PP	you
may	MD	may
be	VB	be
asking	VBG	ask
yourself	PP	yourself
right	RB	right
now	RB	now
,	,	,
"	``	"
What	WP	what
is	VBZ	be
a	DT	a
purported	JJ	purported
serious	JJ	serious
scientist	NN	scientist
doing	VBG	do
talking	NN	talking
about	IN	about
a	DT	a
squishy	JJ	squishy
topic	NN	topic
like	IN	like
the	DT	the
voices	NNS	voice
inside	IN	inside
our	PP$	our
head	NN	head
?	SENT	?
"	``	"
But	CC	but
I	PP	I
want	VBP	want
to	TO	to
point	VB	point
out	RP	out
the	DT	the
elephant	NN	elephant
in	IN	in
the	DT	the
room	NN	room
--	:	--
that	WDT	that
,	,	,
you	PP	you
know	VBP	know
,	,	,
if	IN	if
you	PP	you
'	POS	'
ve	NN	ve
just	RB	just
asked	VBD	ask
yourself	PP	yourself
that	DT	that
question	NN	question
,	,	,
you	PP	you
are	VBP	be
talking	VBG	talk
to	TO	to
yourself	PP	yourself
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
totally	RB	totally
OK	JJ	OK
,	,	,
because	IN	because
the	DT	the
vast	JJ	vast
majority	NN	majority
of	IN	of
us	PP	us
have	VBP	have
a	DT	a
voice	NN	voice
inside	IN	inside
our	PP$	our
head	NN	head
.	SENT	.
Here	RB	here
'	''	'
s	VBG	<unknown>
a	DT	a
scientific	JJ	scientific
fact	NN	fact
that	IN	that
I	PP	I
absolutely	RB	absolutely
love	VBP	love
.	SENT	.
We	PP	we
spend	VBP	spend
between	IN	between
one	CD	one
half	NN	half
and	CC	and
one-third	NN	one-third
of	IN	of
our	PP$	our
waking	VBG	wake
hours	NNS	hour
not	RB	not
focused	VBN	focus
on	IN	on
the	DT	the
present	NN	present
.	SENT	.
Between	IN	between
one	CD	one
half	NN	half
and	CC	and
one-third	NN	one-third
of	IN	of
the	DT	the
time	NN	time
,	,	,
our	PP$	our
minds	NNS	mind
,	,	,
they	PP	they
are	VBP	be
drifting	VBG	drift
away	RB	away
.	SENT	.
We	PP	we
are	VBP	be
thinking	VBG	think
about	IN	about
other	JJ	other
things	NNS	thing
.	SENT	.
Some	DT	some
of	IN	of
you	PP	you
are	VBP	be
doing	VBG	do
that	IN	that
right	RB	right
now	RB	now
.	SENT	.
Please	UH	please
stop	VB	stop
.	SENT	.
Once	RB	once
we	PP	we
find	VBP	find
ourselves	PP	ourselves
drifting	VBG	drift
away	RB	away
,	,	,
one	CD	one
of	IN	of
the	DT	the
things	NNS	thing
that	IN	that
we	PP	we
'	POS	'
re	NN	re
doing	VBG	do
is	VBZ	be
talking	VBG	talk
to	TO	to
ourselves	PP	ourselves
and	CC	and
listening	VBG	listen
to	TO	to
what	WP	what
we	PP	we
say	VBP	say
.	SENT	.
Now	RB	now
when	WRB	when
scientists	NNS	scientist
like	VBP	like
myself	PP	myself
use	VB	use
the	DT	the
term	NN	term
"	``	"
inner	JJ	inner
voice	NN	voice
,	,	,
"	``	"
what	WP	what
we	PP	we
'	POS	'
re	NN	re
talking	VBG	talk
about	RB	about
is	VBZ	be
our	PP$	our
ability	NN	ability
to	TO	to
silently	RB	silently
use	VB	use
language	NN	language
to	TO	to
reflect	VB	reflect
on	IN	on
our	PP$	our
lives	NNS	life
.	SENT	.
And	CC	and
it	PP	it
turns	VBZ	turn
out	RP	out
this	DT	this
is	VBZ	be
one	CD	one
of	IN	of
your	PP$	your
superpowers	NNS	superpower
,	,	,
because	IN	because
your	PP$	your
inner	JJ	inner
voice	NN	voice
lets	VBZ	let
you	PP	you
keep	VB	keep
information	NN	information
active	JJ	active
in	IN	in
your	PP$	your
head	NN	head
for	IN	for
short	JJ	short
periods	NNS	period
of	IN	of
time	NN	time
,	,	,
like	IN	like
when	WRB	when
you	PP	you
go	VBP	go
to	TO	to
the	DT	the
grocery	NN	grocery
store	NN	store
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
'	POS	'
re	NN	re
like	IN	like
me	PP	me
,	,	,
15	CD	@card@
seconds	NNS	second
into	IN	into
the	DT	the
expedition	NN	expedition
,	,	,
you	PP	you
forget	VBP	forget
what	WP	what
you	PP	you
'	POS	'
re	NN	re
supposed	VBN	suppose
to	TO	to
buy	VB	buy
,	,	,
and	CC	and
you	PP	you
repeat	VBP	repeat
that	DT	that
list	NN	list
in	IN	in
your	PP$	your
head	NN	head
.	SENT	.
"	''	"
Apples	NNS	apple
,	,	,
cheese	NN	cheese
.	SENT	.
Pepto	NP	<unknown>
Bismol	NP	<unknown>
.	SENT	.
"	``	"
TMI	NP	TMI
.	SENT	.
We	PP	we
also	RB	also
use	VBP	use
our	PP$	our
inner	JJ	inner
voice	NN	voice
to	TO	to
simulate	VB	simulate
and	CC	and
plan	VB	plan
,	,	,
like	IN	like
when	WRB	when
we	PP	we
silently	RB	silently
rehearse	VBP	rehearse
what	WP	what
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
say	VB	say
before	IN	before
an	DT	an
important	JJ	important
presentation	NN	presentation
or	CC	or
an	DT	an
interview	NN	interview
.	SENT	.
And	CC	and
of	IN	of
course	NN	course
,	,	,
we	PP	we
use	VBP	use
our	PP$	our
inner	JJ	inner
voice	NN	voice
to	TO	to
control	VB	control
and	CC	and
motivate	VB	motivate
ourselves	PP	ourselves
,	,	,
as	IN	as
I	PP	I
did	VBD	do
just	RB	just
before	IN	before
I	PP	I
came	VBD	come
on	IN	on
stage	NN	stage
.	SENT	.
It	PP	it
'	POS	'
s	JJ	<unknown>
right	NN	right
around	IN	around
the	DT	the
corner	NN	corner
,	,	,
over	IN	over
there	RB	there
.	SENT	.
I	PP	I
silently	RB	silently
said	VBD	say
to	TO	to
myself	PP	myself
,	,	,
"	''	"
Come	VBN	come
on	IN	on
,	,	,
man	UH	man
,	,	,
you	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
this	DT	this
.	SENT	.
Deep	JJ	deep
breath	NN	breath
.	SENT	.
45	CD	@card@
minutes	NNS	minute
,	,	,
and	CC	and
you	PP	you
are	VBP	be
done	VBN	do
.	SENT	.
"	''	"
And	CC	and
of	IN	of
course	NN	course
,	,	,
all	RB	all
of	IN	of
you	PP	you
just	RB	just
said	VBD	say
to	TO	to
yourself	PP	yourself
,	,	,
"	''	"
This	DT	this
guy	NN	guy
thinks	VBZ	think
he	PP	he
'	''	'
s	NNS	<unknown>
talking	VBG	talk
for	IN	for
45	CD	@card@
minutes	NNS	minute
.	SENT	.
He	PP	he
'	POS	'
