Hello	UH	hello
.	SENT	.
I	NP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
introduce	VB	introduce
you	PP	you
to	TO	to
a	DT	a
word	NN	word
you	PP	you
may	MD	may
never	RB	never
have	VB	have
heard	VBN	hear
before	RB	before
,	,	,
but	CC	but
you	PP	you
ought	MD	ought
to	TO	to
know	VB	know
:	:	:
drawdown	NN	drawdown
.	SENT	.
Drawdown	NN	drawdown
is	VBZ	be
a	DT	a
new	JJ	new
way	NN	way
of	IN	of
thinking	VBG	think
about	RB	about
and	CC	and
acting	VBG	act
on	IN	on
global	JJ	global
warming	NN	warming
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
goal	NN	goal
for	IN	for
a	DT	a
future	NN	future
that	IN	that
we	PP	we
want	VBP	want
,	,	,
a	DT	a
future	NN	future
where	WRB	where
reversing	VBG	reverse
global	JJ	global
warming	NN	warming
is	VBZ	be
possible	JJ	possible
.	SENT	.
Drawdown	NN	drawdown
is	VBZ	be
that	DT	that
point	NN	point
in	IN	in
time	NN	time
when	WRB	when
atmospheric	JJ	atmospheric
concentrations	NNS	concentration
of	IN	of
greenhouse	NN	greenhouse
gases	NNS	gas
begin	VBP	begin
to	TO	to
decline	VB	decline
on	IN	on
a	DT	a
year-to-	NN	<unknown>
year	NN	year
basis	NN	basis
.	SENT	.
More	RBR	more
simply	RB	simply
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
that	WDT	that
point	VBP	point
when	WRB	when
we	PP	we
take	VBP	take
out	RB	out
more	JJR	more
greenhouse	NN	greenhouse
gases	NNS	gas
than	IN	than
we	PP	we
put	VBD	put
into	IN	into
Earth	NP	Earth
'	POS	'
s	NN	S
atmosphere	NN	atmosphere
.	SENT	.
Now	RB	now
,	,	,
I	PP	I
know	VBP	know
we	PP	we
'	''	'
re	IN	re
all	DT	all
concerned	VBN	concern
about	IN	about
climate	NN	climate
change	NN	change
,	,	,
but	CC	but
climate	NN	climate
change	NN	change
is	VBZ	be
not	RB	not
the	DT	the
problem	NN	problem
.	SENT	.
Climate	NN	climate
change	NN	change
is	VBZ	be
the	DT	the
expression	NN	expression
of	IN	of
the	DT	the
problem	NN	problem
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
the	DT	the
feedback	NN	feedback
of	IN	of
the	DT	the
system	NN	system
of	IN	of
the	DT	the
planet	NN	planet
telling	VBG	tell
us	PP	us
what	WP	what
'	POS	'
s	NNS	<unknown>
going	VBG	go
on	IN	on
.	SENT	.
The	DT	the
problem	NN	problem
is	VBZ	be
global	JJ	global
warming	NN	warming
,	,	,
provoked	VBN	provoke
by	IN	by
the	DT	the
increasing	VBG	increase
concentrations	NNS	concentration
of	IN	of
greenhouse	NN	greenhouse
gases	NNS	gas
caused	VBN	cause
by	IN	by
human	JJ	human
activity	NN	activity
.	SENT	.
So	RB	so
how	WRB	how
do	VBP	do
we	PP	we
solve	VB	solve
the	DT	the
problem	NN	problem
?	SENT	?
How	WRB	how
do	VBP	do
we	PP	we
begin	VB	begin
the	DT	the
process	NN	process
of	IN	of
reversing	VBG	reverse
global	JJ	global
warming	NN	warming
?	SENT	?
The	DT	the
only	JJ	only
way	NN	way
we	PP	we
know	VBP	know
how	WRB	how
is	VBZ	be
to	TO	to
draw	VB	draw
down	RB	down
,	,	,
to	TO	to
avoid	VB	avoid
putting	VBG	put
greenhouse	NN	greenhouse
gases	NNS	gas
up	RB	up
and	CC	and
to	TO	to
pull	VB	pull
down	RP	down
what	WP	what
'	POS	'
s	NN	S
already	RB	already
there	RB	there
.	SENT	.
I	PP	I
know	VBP	know
.	SENT	.
Given	VBN	give
the	DT	the
current	JJ	current
situation	NN	situation
,	,	,
it	PP	it
sounds	VBZ	sound
impossible	JJ	impossible
,	,	,
but	CC	but
humanity	NN	humanity
already	RB	already
knows	VBZ	know
what	WP	what
to	TO	to
do	VB	do
.	SENT	.
We	PP	we
have	VBP	have
real	JJ	real
,	,	,
workable	JJ	workable
technologies	NNS	technology
and	CC	and
practices	NNS	practice
that	WDT	that
can	MD	can
achieve	VB	achieve
drawdown	NN	drawdown
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
already	RB	already
happening	VBG	happen
.	SENT	.
What	WP	what
we	PP	we
need	VBP	need
is	VBZ	be
to	TO	to
accelerate	VB	accelerate
implementation	NN	implementation
and	CC	and
to	TO	to
change	VB	change
the	DT	the
discourse	NN	discourse
from	IN	from
one	CD	one
of	IN	of
fear	NN	fear
and	CC	and
confusion	NN	confusion
,	,	,
which	WDT	which
only	RB	only
leads	VBZ	lead
to	TO	to
apathy	NN	apathy
,	,	,
to	TO	to
one	CD	one
of	IN	of
understanding	NN	understanding
and	CC	and
possibility	NN	possibility
,	,	,
and	CC	and
,	,	,
therefore	RB	therefore
,	,	,
opportunity	NN	opportunity
.	SENT	.
I	PP	I
work	VBP	work
for	IN	for
an	DT	an
organization	NN	organization
called	VBN	call
Project	NP	Project
Drawdown	NN	drawdown
.	SENT	.
And	CC	and
for	IN	for
the	DT	the
last	JJ	last
four	CD	four
years	NNS	year
,	,	,
together	RB	together
with	IN	with
a	DT	a
team	NN	team
of	IN	of
researchers	NNS	researcher
and	CC	and
