Catching	VBG	catch
cancer	NN	cancer
at	IN	at
its	PP$	its
earliest	JJS	early
stages	NNS	stage
,	,	,
when	WRB	when
it	PP	it
'	POS	'
s	JJ	<unknown>
most	RBS	most
treatable	JJ	treatable
,	,	,
can	MD	can
save	VB	save
countless	JJ	countless
lives	NNS	life
.	SENT	.
But	CC	but
the	DT	the
million-dollar	NN	million-dollar
question	NN	question
is	VBZ	be
:	:	:
in	IN	in
an	DT	an
otherwise	RB	otherwise
healthy	JJ	healthy
body	NN	body
made	VBN	make
up	RP	up
of	IN	of
trillions	NNS	trillion
of	IN	of
cells	NNS	cell
,	,	,
how	WRB	how
can	MD	can
we	PP	we
zero	VB	zero
in	IN	in
on	IN	on
a	DT	a
small	JJ	small
group	NN	group
of	IN	of
rogue	NN	rogue
cancer	NN	cancer
cells	NNS	cell
?	SENT	?
The	DT	the
answer	NN	answer
,	,	,
I	PP	I
think	VBP	think
,	,	,
may	MD	may
be	VB	be
rooted	VBN	root
in	IN	in
something	NN	something
that	IN	that
,	,	,
thanks	VBZ	thank
to	TO	to
the	DT	the
pandemic	NN	pandemic
,	,	,
we	PP	we
have	VBP	have
all	RB	all
come	VBN	come
to	TO	to
know	VB	know
quite	RB	quite
well	RB	well
,	,	,
and	CC	and
that	DT	that
is	VBZ	be
RNA	NP	RNA
.	SENT	.
I	PP	I
think	VBP	think
these	DT	these
days	NNS	day
,	,	,
everyone	NN	everyone
has	VBZ	have
a	DT	a
basic	JJ	basic
understanding	NN	understanding
of	IN	of
how	WRB	how
RNA	NP	RNA
works	VBZ	work
.	SENT	.
Again	RB	again
,	,	,
thanks	NNS	thanks
to	TO	to
the	DT	the
COVID	NP	<unknown>
vaccines	NNS	vaccine
.	SENT	.
But	CC	but
basically	RB	basically
,	,	,
RNA	NP	RNA
is	VBZ	be
transcribed	VBN	transcribe
from	IN	from
DNA	NN	DNA
in	IN	in
the	DT	the
cell	NN	cell
,	,	,
and	CC	and
messenger	NN	messenger
RNA	NP	RNA
specifically	RB	specifically
serves	VBZ	serve
as	IN	as
a	DT	a
template	NN	template
for	IN	for
protein	NN	protein
synthesis	NN	synthesis
.	SENT	.
So	RB	so
usually	RB	usually
the	DT	the
more	JJR	more
mRNA	NN	<unknown>
you	PP	you
have	VBP	have
in	IN	in
the	DT	the
cell	NN	cell
,	,	,
the	DT	the
more	JJR	more
protein	NN	protein
you	PP	you
get	VBP	get
.	SENT	.
But	CC	but
our	PP$	our
discovery	NN	discovery
is	VBZ	be
a	DT	a
little	JJ	little
bit	NN	bit
different	JJ	different
.	SENT	.
We	PP	we
have	VBP	have
found	VBN	find
a	DT	a
new	JJ	new
class	NN	class
of	IN	of
RNAs	NP	<unknown>
that	WDT	that
have	VBP	have
changed	VBN	change
how	WRB	how
we	PP	we
think	VBP	think
about	IN	about
cancer	NN	cancer
detection	NN	detection
.	SENT	.
These	DT	these
are	VBP	be
relatively	RB	relatively
small	JJ	small
RNAs	NP	<unknown>
,	,	,
and	CC	and
they	PP	they
don	NN	don
'	POS	'
t	NN	t
actually	RB	actually
code	NN	code
for	IN	for
any	DT	any
protein	NN	protein
.	SENT	.
So	IN	so
they	PP	they
'	POS	'
re	NN	re
non-coding	NN	<unknown>
.	SENT	.
And	CC	and
since	IN	since
we	PP	we
found	VBD	find
them	PP	them
,	,	,
we	PP	we
got	VBD	get
to	TO	to
name	VB	name
them	PP	them
.	SENT	.
And	CC	and
we	PP	we
have	VBP	have
called	VBN	call
them	PP	them
orphan	VBP	orphan
non-coding	JJ	<unknown>
RNAs	NNS	<unknown>
or	CC	or
oncRNAs	NNS	<unknown>
for	IN	for
short	JJ	short
.	SENT	.
These	DT	these
oncRNAs	NNS	<unknown>
have	VBP	have
not	RB	not
only	RB	only
changed	VBN	change
and	CC	and
transformed	VBN	transform
our	PP$	our
approach	NN	approach
to	TO	to
cancer	NN	cancer
detection	NN	detection
from	IN	from
blood	NN	blood
non-invasively	NN	<unknown>
,	,	,
but	CC	but
they	PP	they
'	POS	'
ve	NN	ve
also	RB	also
helped	VBD	help
open	RP	open
a	DT	a
window	NN	window
into	IN	into
the	DT	the
tumor	NN	tumor
itself	PP	itself
for	IN	for
us	PP	us
.	SENT	.
So	RB	so
leveraging	VBG	leverage
these	DT	these
RNAs	NP	<unknown>
,	,	,
we	PP	we
are	VBP	be
not	RB	not
only	RB	only
detecting	VBG	detect
cancer	NN	cancer
earlier	RBR	earlier
,	,	,
we	PP	we
are	VBP	be
actually	RB	actually
peering	VBG	peer
into	IN	into
its	PP$	its
biology	NN	biology
.	SENT	.
So	RB	so
with	IN	with
that	DT	that
short	JJ	short
introduction	NN	introduction
,	,	,
let	VB	let
me	PP	me
break	VB	break
down	RP	down
the	DT	the
science	NN	science
for	IN	for
you	PP	you
.	SENT	.
As	IN	as
you	PP	you
may	MD	may
know	VB	know
,	,	,
every	DT	every
cell	NN	cell
in	IN	in
our	PP$	our
body	NN	body
shares	NNS	share
the	DT	the
same	JJ	same
genetic	JJ	genetic
code	NN	code
as	IN	as
every	DT	every
other	JJ	other
cell	NN	cell
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
as	IN	as
if	IN	if
our	PP$	our
cells	NNS	cell
have	VBP	have
access	NN	access
to	TO	to
the	DT	the
same	JJ	same
pantry	NN	pantry
,	,	,
but	CC	but
then	RB	then
they	PP	they
use	VBP	use
different	JJ	different
recipes	NNS	recipe
to	TO	to
mix	VB	mix
the	DT	the
same	JJ	same
ingredients	NNS	ingredient
into	IN	into
different	JJ	different
dishes	NNS	dish
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
actually	RB	actually
the	DT	the
diversity	NN	diversity
in	IN	in
genomic	JJ	<unknown>
recipes	NNS	recipe
that	WDT	that
gives	VBZ	give
us	PP	us
the	DT	the
more	JJR	more
than	IN	than
200	CD	@card@
cell	NN	cell
types	NNS	type
we	PP	we
have	VBP	have
in	IN	in
our	PP$	our
bodies	NNS	body
,	,	,
each	DT	each
with	IN	with
their	PP$	their
own	JJ	own
distinct	JJ	distinct
role	NN	role
and	CC	and
function	NN	function
,	,	,
like	IN	like
skin	NN	skin
cells	NNS	cell
,	,	,
for	IN	for
example	NN	example
,	,	,
or	CC	or
neurons	NNS	neuron
.	SENT	.
And	CC	and
as	IN	as
you	PP	you
can	MD	can
imagine	VB	imagine
,	,	,
there	EX	there
is	VBZ	be
a	DT	a
complex	JJ	complex
machinery	NN	machinery
in	IN	in
place	NN	place
in	IN	in
the	DT	the
cell	NN	cell
that	WDT	that
governs	VBZ	govern
this	DT	this
process	NN	process
and	CC	and
tells	VBZ	tell
the	DT	the
cell	NN	cell
for	IN	for
each	DT	each
of	IN	of
its	PP$	its
20	CD	@card@
,	,	,
000	CD	@card@
genes	NNS	gene
how	WRB	how
much	JJ	much
of	IN	of
them	PP	them
it	PP	it
needs	VBZ	need
to	TO	to
express	VB	express
to	TO	to
be	VB	be
a	DT	a
healthy	JJ	healthy
,	,	,
well-functioning	VBG	well-function
cell	NN	cell
.	SENT	.
Now	RB	now
,	,	,
cancer	NN	cancer
cells	NNS	cell
,	,	,
being	VBG	be
the	DT	the
resourceful	JJ	resourceful
survivalists	NNS	survivalist
that	IN	that
they	PP	they
are	VBP	be
,	,	,
they	PP	they
actually	RB	actually
hijack	VBP	hijack
components	NNS	component
of	IN	of
this	DT	this
machinery	NN	machinery
to	TO	to
their	PP$	their
advantage	NN	advantage
.	SENT	.
And	CC	and
they	PP	they
do	VBP	do
this	DT	this
to	TO	to
increase	VB	increase
the	DT	the
expression	NN	expression
of	IN	of
genes	NNS	gene
that	WDT	that
will	MD	will
help	VB	help
the	DT	the
tumor	NN	tumor
grow	VB	grow
and	CC	and
spread	VB	spread
throughout	IN	throughout
the	DT	the
body	NN	body
,	,	,
or	CC	or
silence	NN	silence
or	CC	or
down-regulate	JJ	<unknown>
genes	NNS	gene
whose	WP$	whose
job	NN	job
is	VBZ	be
to	TO	to
keep	VB	keep
cancer	NN	cancer
in	IN	in
check	NN	check
.	SENT	.
Another	DT	another
way	NN	way
of	IN	of
putting	VBG	put
this	DT	this
is	VBZ	be
that	IN	that
cancer	NN	cancer
cells	NNS	cell
are	VBP	be
basically	RB	basically
hacking	VBG	hack
that	IN	that
original	JJ	original
genomic	JJ	<unknown>
recipe	NN	recipe
that	IN	that
I	PP	I
told	VBD	tell
you	PP	you
