If	IN	if
we	PP	we
evolved	VBD	evolve
from	IN	from
monkeys	NNS	monkey
,	,	,
why	WRB	why
are	VBP	be
there	RB	there
still	RB	still
monkeys	NNS	monkey
?	SENT	?
Well	RB	well
,	,	,
because	IN	because
we	PP	we
'	POS	'
re	NN	re
not	RB	not
monkeys	NNS	monkey
,	,	,
we	PP	we
'	POS	'
re	NN	re
fish	NN	fish
.	SENT	.
Now	RB	now
,	,	,
knowing	VBG	know
you	PP	you
'	POS	'
re	NN	re
a	DT	a
fish	NN	fish
and	CC	and
not	RB	not
a	DT	a
monkey	NN	monkey
is	VBZ	be
actually	RB	actually
really	RB	really
important	JJ	important
to	TO	to
understanding	NN	understanding
where	WRB	where
we	PP	we
came	VBD	come
from	IN	from
.	SENT	.
I	PP	I
teach	VBP	teach
one	PP	one
of	IN	of
the	DT	the
largest	JJS	large
evolutionary	JJ	evolutionary
biology	NN	biology
classes	NNS	class
in	IN	in
the	DT	the
US	NP	US
,	,	,
and	CC	and
when	WRB	when
my	PP$	my
students	NNS	student
finally	RB	finally
understand	VBP	understand
why	WRB	why
I	PP	I
call	VBP	call
them	PP	them
fish	VB	fish
all	PDT	all
the	DT	the
time	NN	time
,	,	,
then	RB	then
I	PP	I
know	VBP	know
I	PP	I
'	''	'
m	NN	m
getting	VBG	get
my	PP$	my
job	NN	job
done	VBN	do
.	SENT	.
But	CC	but
I	PP	I
always	RB	always
have	VB	have
to	TO	to
start	VB	start
my	PP$	my
classes	NNS	class
by	IN	by
dispelling	VBG	dispel
some	DT	some
hardwired	JJ	<unknown>
myths	NNS	myth
,	,	,
because	IN	because
without	IN	without
really	RB	really
knowing	VBG	know
it	PP	it
,	,	,
many	JJ	many
of	IN	of
us	PP	us
were	VBD	be
taught	VBN	teach
evolution	NN	evolution
wrong	JJ	wrong
.	SENT	.
For	IN	for
instance	NN	instance
,	,	,
we	PP	we
'	POS	'
re	NN	re
taught	VBD	teach
to	TO	to
say	VB	say
"	''	"
the	DT	the
theory	NN	theory
of	IN	of
evolution	NN	evolution
.	SENT	.
"	``	"
There	EX	there
are	VBP	be
actually	RB	actually
many	JJ	many
theories	NNS	theory
,	,	,
and	CC	and
just	RB	just
like	IN	like
the	DT	the
process	NN	process
itself	PP	itself
,	,	,
the	DT	the
ones	NNS	one
that	IN	that
best	JJS	good
fit	VBP	fit
the	DT	the
data	NNS	datum
are	VBP	be
the	DT	the
ones	NNS	one
that	WDT	that
survive	VBP	survive
to	TO	to
this	DT	this
day	NN	day
.	SENT	.
The	DT	the
one	CD	one
we	PP	we
know	VBP	know
best	JJS	good
is	VBZ	be
Darwinian	JJ	Darwinian
natural	JJ	natural
selection	NN	selection
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
the	DT	the
process	NN	process
by	IN	by
which	WDT	which
organisms	NNS	organism
that	IN	that
best	JJS	good
fit	VBP	fit
an	DT	an
environment	NN	environment
survive	VB	survive
and	CC	and
get	VB	get
to	TO	to
reproduce	VB	reproduce
,	,	,
while	IN	while
those	DT	those
that	WDT	that
are	VBP	be
less	JJR	less
fit	VBP	fit
slowly	RB	slowly
die	VB	die
off	RP	off
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
it	PP	it
.	SENT	.
Evolution	NN	evolution
is	VBZ	be
as	RB	as
simple	JJ	simple
as	IN	as
that	DT	that
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
fact	NN	fact
.	SENT	.
Evolution	NN	evolution
is	VBZ	be
a	DT	a
fact	NN	fact
as	RB	as
much	RB	much
as	IN	as
the	DT	the
"	``	"
theory	NN	theory
of	IN	of
gravity	NN	gravity
.	SENT	.
"	``	"
You	PP	you
can	MD	can
prove	VB	prove
it	PP	it
just	RB	just
as	RB	as
easily	RB	easily
.	SENT	.
You	PP	you
just	RB	just
need	VBP	need
to	TO	to
look	VB	look
at	IN	at
your	PP$	your
bellybutton	NN	bellybutton
that	IN	that
you	PP	you
share	VBP	share
with	IN	with
other	JJ	other
placental	JJ	placental
mammals	NNS	mammal
,	,	,
or	CC	or
your	PP$	your
backbone	NN	backbone
that	IN	that
you	PP	you
share	VBP	share
with	IN	with
other	JJ	other
vertebrates	NNS	vertebrate
,	,	,
or	CC	or
your	PP$	your
DNA	NN	DNA
that	IN	that
you	PP	you
share	VBP	share
with	IN	with
all	DT	all
other	JJ	other
life	NN	life
on	IN	on
earth	NN	earth
.	SENT	.
Those	DT	those
traits	NNS	trait
didn	NN	<unknown>
'	POS	'
t	NN	t
pop	NN	pop
up	RB	up
in	IN	in
humans	NNS	human
.	SENT	.
They	PP	they
were	VBD	be
passed	VBN	pass
down	RP	down
from	IN	from
different	JJ	different
ancestors	NNS	ancestor
to	TO	to
all	PDT	all
their	PP$	their
descendants	NNS	descendant
,	,	,
not	RB	not
just	RB	just
us	PP	us
.	SENT	.
But	CC	but
that	WDT	that
'	POS	'
s	NN	S
not	RB	not
really	RB	really
how	WRB	how
we	PP	we
learn	VBP	learn
biology	NN	biology
early	RB	early
on	RB	on
,	,	,
is	VBZ	be
it	PP	it
?	SENT	?
We	PP	we
learn	VBP	learn
plants	NNS	plant
and	CC	and
bacteria	NNS	bacterium
are	VBP	be
primitive	JJ	primitive
things	NNS	thing
,	,	,
and	CC	and
fish	NN	fish
give	VBP	give
rise	NN	rise
to	TO	to
amphibians	NNS	amphibian
followed	VBN	follow
