I	NP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
speak	VB	speak
about	IN	about
technology	NN	technology
trends	NNS	trend
,	,	,
which	WDT	which
is	VBZ	be
something	NN	something
that	IN	that
many	JJ	many
of	IN	of
you	PP	you
follow	VBP	follow
â	NP	<unknown>
but	CC	but
we	PP	we
also	RB	also
follow	VBP	follow
,	,	,
for	IN	for
related	JJ	related
reasons	NNS	reason
.	SENT	.
Obviously	RB	obviously
,	,	,
being	VBG	be
a	DT	a
technology	NN	technology
magazine	NN	magazine
,	,	,
technology	NN	technology
trends	NNS	trend
are	VBP	be
something	NN	something
that	IN	that
we	PP	we
write	VBP	write
about	RB	about
and	CC	and
need	VBP	need
to	TO	to
know	VB	know
about	RB	about
.	SENT	.
But	CC	but
also	RB	also
it	PP	it
'	POS	'
s	JJ	<unknown>
part	NN	part
of	IN	of
being	VBG	be
any	DT	any
monthly	JJ	monthly
magazine	NN	magazine
â	NP	<unknown>
you	PP	you
live	VBP	live
in	IN	in
the	DT	the
future	NN	future
.	SENT	.
And	CC	and
we	PP	we
have	VBP	have
a	DT	a
long	JJ	long
lead-time	NN	lead-time
.	SENT	.
We	PP	we
have	VBP	have
to	TO	to
plan	NN	plan
issues	NNS	issue
many	JJ	many
months	NNS	month
in	IN	in
advance	NN	advance
;	:	;
we	PP	we
have	VBP	have
to	TO	to
guess	VB	guess
at	IN	at
what	WP	what
public	JJ	public
appetites	NNS	appetite
are	VBP	be
going	VBG	go
to	TO	to
be	VB	be
six	CD	six
months	NNS	month
,	,	,
nine	CD	nine
months	NNS	month
down	IN	down
the	DT	the
road	NN	road
.	SENT	.
So	IN	so
we	PP	we
'	POS	'
re	NN	re
in	IN	in
the	DT	the
forecasting	NN	forecasting
business	NN	business
.	SENT	.
We	PP	we
also	RB	also
,	,	,
like	IN	like
a	DT	a
lot	NN	lot
of	IN	of
companies	NNS	company
,	,	,
create	VB	create
a	DT	a
product	NN	product
that	RB	that
'	POS	'
s	NNS	<unknown>
based	VBN	base
on	IN	on
technology	NN	technology
trends	NNS	trend
.	SENT	.
In	IN	in
this	DT	this
case	NN	case
,	,	,
ours	PP	ours
is	VBZ	be
about	IN	about
ideas	NNS	idea
and	CC	and
information	NN	information
,	,	,
and	CC	and
,	,	,
if	IN	if
we	PP	we
'	POS	'
re	NN	re
lucky	JJ	lucky
,	,	,
some	DT	some
entertainment	NN	entertainment
.	SENT	.
But	CC	but
the	DT	the
concept	NN	concept
'	POS	'
s	VBG	<unknown>
quite	PDT	quite
the	DT	the
same	JJ	same
.	SENT	.
And	CC	and
so	RB	so
we	PP	we
have	VBP	have
to	TO	to
understand	VB	understand
not	RB	not
only	RB	only
why	WRB	why
tech	NN	tech
'	POS	'
s	NNS	<unknown>
important	JJ	important
,	,	,
where	WRB	where
it	PP	it
'	POS	'
s	NN	S
going	VBG	go
,	,	,
but	CC	but
also	RB	also
,	,	,
very	RB	very
importantly	RB	importantly
,	,	,
when	WRB	when
â	NP	<unknown>
the	DT	the
timing	NN	timing
is	VBZ	be
everything	NN	everything
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
interesting	JJ	interesting
,	,	,
when	WRB	when
you	PP	you
look	VBP	look
at	IN	at
the	DT	the
predictions	NNS	prediction
made	VBN	make
during	IN	during
the	DT	the
peak	NN	peak
of	IN	of
the	DT	the
boom	NN	boom
in	IN	in
the	DT	the
1990s	NNS	1990s
,	,	,
about	IN	about
e-commerce	NP	e-commerce
,	,	,
or	CC	or
Internet	NN	Internet
traffic	NN	traffic
,	,	,
or	CC	or
broadband	NN	<unknown>
adoption	NN	adoption
,	,	,
or	CC	or
Internet	NN	Internet
advertising	NN	advertising
,	,	,
they	PP	they
were	VBD	be
all	DT	all
right	JJ	right
â	NP	<unknown>
they	PP	they
were	VBD	be
just	RB	just
wrong	JJ	wrong
in	IN	in
time	NN	time
.	SENT	.
Almost	RB	almost
every	DT	every
one	CD	one
of	IN	of
those	DT	those
has	VBZ	have
come	VBN	come
true	JJ	true
just	RB	just
a	DT	a
few	JJ	few
years	NNS	year
later	RBR	later
.	SENT	.
But	CC	but
the	DT	the
difference	NN	difference
of	IN	of
a	DT	a
few	JJ	few
years	NNS	year
on	IN	on
stock-market	NN	stock-market
valuations	NNS	valuation
is	VBZ	be
obviously	RB	obviously
extreme	JJ	extreme
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
why	WRB	why
timing	NN	timing
is	VBZ	be
everything	NN	everything
.	SENT	.
You	PP	you
'	POS	'
ve	NN	ve
probably	RB	probably
seen	VBN	see
something	NN	something
like	IN	like
this	DT	this
before	IN	before
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
classic	JJ	classic
Gartner	NP	<unknown>
Hype	NN	hype
Curve	NN	curve
,	,	,
which	WDT	which
talks	VBZ	talk
about	IN	about
kind	NN	kind
of	IN	of
the	DT	the
trajectory	NN	trajectory
of	IN	of
a	DT	a
technology	NN	technology
'	POS	'
s	NN	S
lifespan	NN	lifespan
.	SENT	.
And	CC	and
just	RB	just
for	IN	for
fun	NN	fun
,	,	,
we	PP	we
put	VBD	put
a	DT	a
bunch	NN	bunch
of	IN	of
technologies	NNS	technology
on	IN	on
it	PP	it
,	,	,
to	TO	to
show	VB	show
whether	IN	whether
they	PP	they
were	VBD	be
kind	NN	kind
of	IN	of
rising	VBG	rise
for	IN	for
the	DT	the
first	JJ	first
high	JJ	high
peak	NN	peak
,	,	,
or	CC	or
whether	IN	whether
they	PP	they
were	VBD	be
about	RB	about
to	TO	to
crash	VB	crash
into	IN	into
the	DT	the
trough	NN	trough
of	IN	of
disillusionment	NN	disillusionment
,	,	,
or	CC	or
rise	VB	rise
back	RB	back
in	IN	in
the	DT	the
slope	NN	slope
of	IN	of
enlightenment	NN	enlightenment
,	,	,
etc	FW	etc
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
one	CD	one
way	NN	way
to	TO	to
do	VB	do
technology	NN	technology
forecasting	NN	forecasting
:	:	:
get	VB	get
a	DT	a
sense	NN	sense
of	IN	of
where	WRB	where
technology	NN	technology
is	VBZ	be
and	CC	and
then	RB	then
anticipate	VB	anticipate
the	DT	the
next	JJ	next
upturn	NN	upturn
.	SENT	.
We	PP	we
tend	VBP	tend
to	TO	to
do	VB	do
any	DT	any
technology	NN	technology
that	IN	that
we	PP	we
think	VBP	think
is	VBZ	be
sufficiently	RB	sufficiently
important	JJ	important
;	:	;
we	PP	we
'	POS	'
ll	NNS	<unknown>
typically	RB	typically
do	VBP	do
it	PP	it
twice	RB	twice
.	SENT	.
Once	RB	once
,	,	,
we	PP	we
want	VBP	want
to	TO	to
do	VB	do
it	PP	it
first	JJ	first
.	SENT	.
We	PP	we
want	VBP	want
to	TO	to
be	VB	be
the	DT	the
first	JJ	first
to	TO	to
do	VB	do
it	PP	it
,	,	,
for	IN	for
the	DT	the
geeks	NNS	geek
who	WP	who
appreciate	VBP	appreciate
that	IN	that
,	,	,
we	PP	we
'	POS	'
ll	NNS	<unknown>
catch	VB	catch
it	PP	it
right	RB	right
there	RB	there
at	IN	at
the	DT	the
technology-trigger	NN	technology-trigger
.	SENT	.
You	PP	you
can	MD	can
see	VB	see
in	IN	in
1997	CD	@card@
,	,	,
we	PP	we
put	VBD	put
Linux	NP	Linux
on	IN	on
the	DT	the
cover	NN	cover
.	SENT	.
But	CC	but
then	RB	then
it	PP	it
comes	VBZ	come
back	RB	back
.	SENT	.
And	CC	and
sufficiently	RB	sufficiently
big	JJ	big
technologies	NNS	technology
are	VBP	be
going	VBG	go
to	TO	to
hit	VB	hit
the	DT	the
mainstream	NN	mainstream
,	,	,
and	CC	and
they	PP	they
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
burst	VB	burst
out	RP	out
.	SENT	.
And	CC	and
then	RB	then
it	PP	it
'	POS	'
s	JJ	<unknown>
time	NN	time
to	TO	to
do	VB	do
it	PP	it
again	RB	again
.	SENT	.
Last	JJ	last
year	NN	year
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
one	CD	one
way	NN	way
that	IN	that
we	PP	we
try	VBP	try
to	TO	to
time	VB	time
technology	NN	technology
trends	NNS	trend
.	SENT	.
I	NP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
talk	VB	talk
about	IN	about
a	DT	a
way	NN	way
of	IN	of
thinking	VBG	think
about	IN	about
technology	NN	technology
trends	NNS	trend
that	WDT	that
I	PP	I
call	VBP	call
my	PP$	my
"	``	"
grand	JJ	grand
unified	JJ	unified
theory	NN	theory
of	IN	of
predicting	VBG	predict
the	DT	the
future	NN	future
,	,	,
"	``	"
but	CC	but
it	PP	it
'	POS	'
s	NN	S
closer	RBR	closer
to	TO	to
a	DT	a
petite	JJ	petite
unified	JJ	unified
theory	NN	theory
of	IN	of
predicting	VBG	predict
the	DT	the
future	NN	future
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
based	VBN	base
on	IN	on
the	DT	the
presumption	NN	presumption
,	,	,
the	DT	the
observation	NN	observation
even	RB	even
,	,	,
that	IN	that
all	DT	all
important	JJ	important
technologies	NNS	technology
go	VBP	go
through	IN	through
four	CD	four
stages	NNS	stage
in	IN	in
their	PP$	their
life	NN	life
â	NP	<unknown>
at	IN	at
least	JJS	least
one	CD	one
of	IN	of
the	DT	the
four	CD	four
stages	NNS	stage
,	,	,
sometimes	RB	sometimes
all	DT	all
four	CD	four
of	IN	of
the	DT	the
stages	NNS	stage
.	SENT	.
And	CC	and
at	IN	at
each	DT	each
one	CD	one
of	IN	of
these	DT	these
stages	NNS	stage
,	,	,
can	MD	can
be	VB	be
