Hello	UH	hello
.	SENT	.
It	PP	it
is	VBZ	be
said	VBN	say
that	IN	that
you	PP	you
'	POS	'
re	NN	re
asked	VBD	ask
to	TO	to
come	VB	come
and	CC	and
give	VB	give
a	DT	a
TEDx	NP	<unknown>
talk	NN	talk
twice	RB	twice
in	IN	in
your	PP$	your
career	NN	career
:	:	:
once	RB	once
on	IN	on
the	DT	the
way	NN	way
up	RB	up
,	,	,
and	CC	and
once	RB	once
on	IN	on
the	DT	the
way	NN	way
down	RB	down
.	SENT	.
And	CC	and
may	MD	may
I	PP	I
say	VB	say
,	,	,
"	''	"
It	PP	it
'	POS	'
s	NN	S
great	JJ	great
to	TO	to
be	VB	be
back	RB	back
.	SENT	.
"	``	"
Laughter	NN	laughter
-	NN	<unknown>
that	WDT	that
is	VBZ	be
our	PP$	our
theme	NN	theme
today	NN	today
.	SENT	.
Laughter	NN	laughter
-	NN	<unknown>
I	PP	I
may	MD	may
not	RB	not
be	VB	be
able	JJ	able
to	TO	to
produce	VB	produce
much	RB	much
of	IN	of
it	PP	it
,	,	,
but	CC	but
will	MD	will
try	VB	try
to	TO	to
shine	VB	shine
some	DT	some
light	NN	light
on	IN	on
it	PP	it
,	,	,
and	CC	and
ask	VB	ask
the	DT	the
question	NN	question
:	:	:
what	WP	what
is	VBZ	be
it	PP	it
,	,	,
and	CC	and
what	WP	what
is	VBZ	be
its	PP$	its
role	NN	role
in	IN	in
our	PP$	our
lives	NNS	life
and	CC	and
in	IN	in
our	PP$	our
society	NN	society
?	SENT	?
I	PP	I
want	VBP	want
to	TO	to
tell	VB	tell
you	PP	you
four	CD	four
jokes	NNS	joke
today	NN	today
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
pretty	RB	pretty
much	RB	much
it	PP	it
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
tell	VB	tell
you	PP	you
four	CD	four
jokes	NNS	joke
,	,	,
and	CC	and
we	PP	we
will	MD	will
derive	VB	derive
whatever	WDT	whatever
lessons	NNS	lesson
we	PP	we
may	MD	may
from	IN	from
these	DT	these
four	CD	four
jokes	NNS	joke
.	SENT	.
Before	IN	before
I	PP	I
tell	VBP	tell
you	PP	you
the	DT	the
first	JJ	first
joke	NN	joke
,	,	,
as	IN	as
we	PP	we
are	VBP	be
in	IN	in
Munich	NP	Munich
,	,	,
I	NP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
conduct	VB	conduct
a	DT	a
little	JJ	little
experiment	NN	experiment
.	SENT	.
Some	DT	some
terrible	JJ	terrible
things	NNS	thing
are	VBP	be
said	VBN	say
about	IN	about
the	DT	the
German	JJ	German
sense	NN	sense
of	IN	of
humor	NN	humor
specifically	RB	specifically
that	IN	that
you	PP	you
don	VB	don
'	''	'
t	NN	t
have	VBP	have
one	CD	one
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
put	VB	put
this	DT	this
horrible	JJ	horrible
assumption	NN	assumption
to	TO	to
the	DT	the
test	NN	test
and	CC	and
do	VB	do
an	DT	an
experiment	NN	experiment
.	SENT	.
So	RB	so
when	WRB	when
I	PP	I
tell	VBP	tell
this	DT	this
first	JJ	first
joke	NN	joke
,	,	,
I	PP	I
would	MD	would
ask	VB	ask
that	IN	that
only	RB	only
the	DT	the
German	JJ	German
people	NNS	people
here	RB	here
respond	VB	respond
.	SENT	.
To	TO	to
either	DT	either
laugh	NN	laugh
or	CC	or
not	RB	not
laugh	VB	laugh
,	,	,
as	IN	as
you	PP	you
see	VBP	see
fit	NN	fit
.	SENT	.
But	CC	but
please	UH	please
,	,	,
don	NN	don
'	POS	'
t	NN	t
force	VB	force
yourself	PP	yourself
to	TO	to
laugh	VB	laugh
to	TO	to
skew	VB	skew
the	DT	the
results	NNS	result
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
scientific	JJ	scientific
experiment	NN	experiment
,	,	,
it	PP	it
'	POS	'
s	NN	S
terribly	RB	terribly
serious	JJ	serious
.	SENT	.
So	RB	so
here	RB	here
is	VBZ	be
the	DT	the
first	JJ	first
joke	NN	joke
.	SENT	.
There	EX	there
is	VBZ	be
a	DT	a
man	NN	man
,	,	,
he	PP	he
is	VBZ	be
