Several	JJ	several
years	NNS	year
ago	RB	ago
here	RB	here
at	IN	at
TED	VB	ted
,	,	,
Peter	NP	Peter
Skillman	NP	Skillman
introduced	VBD	introduce
a	DT	a
design	NN	design
challenge	NN	challenge
called	VBD	call
the	DT	the
marshmallow	NN	marshmallow
challenge	NN	challenge
.	SENT	.
And	CC	and
the	DT	the
idea	NN	idea
'	POS	'
s	NN	S
pretty	RB	pretty
simple	JJ	simple
:	:	:
Teams	NNS	team
of	IN	of
four	CD	four
have	VBP	have
to	TO	to
build	VB	build
the	DT	the
tallest	JJS	tall
free-standing	JJ	free-standing
structure	NN	structure
out	IN	out
of	IN	of
20	CD	@card@
sticks	NNS	stick
of	IN	of
spaghetti	NNS	spaghetti
,	,	,
one	CD	one
yard	NN	yard
of	IN	of
tape	NN	tape
,	,	,
one	CD	one
yard	NN	yard
of	IN	of
string	NN	string
and	CC	and
a	DT	a
marshmallow	NN	marshmallow
.	SENT	.
The	DT	the
marshmallow	NN	marshmallow
has	VBZ	have
to	TO	to
be	VB	be
on	IN	on
top	NN	top
.	SENT	.
And	CC	and
,	,	,
though	IN	though
it	PP	it
seems	VBZ	seem
really	RB	really
simple	JJ	simple
,	,	,
it	PP	it
'	POS	'
s	NN	S
actually	RB	actually
pretty	RB	pretty
hard	JJ	hard
because	IN	because
it	PP	it
forces	VBZ	force
people	NNS	people
to	TO	to
collaborate	VB	collaborate
very	RB	very
quickly	RB	quickly
.	SENT	.
And	CC	and
so	RB	so
,	,	,
I	PP	I
thought	VBD	think
this	DT	this
was	VBD	be
an	DT	an
interesting	JJ	interesting
idea	NN	idea
,	,	,
and	CC	and
I	PP	I
incorporated	VBD	incorporate
it	PP	it
into	IN	into
a	DT	a
design	NN	design
workshop	NN	workshop
.	SENT	.
And	CC	and
it	PP	it
was	VBD	be
a	DT	a
huge	JJ	huge
success	NN	success
.	SENT	.
And	CC	and
since	IN	since
then	RB	then
,	,	,
I	PP	I
'	POS	'
ve	NN	ve
conducted	VBD	conduct
about	RB	about
70	CD	@card@
design	NN	design
workshops	NNS	workshop
across	IN	across
the	DT	the
world	NN	world
with	IN	with
students	NNS	student
and	CC	and
designers	NNS	designer
and	CC	and
architects	NNS	architect
,	,	,
even	RB	even
the	DT	the
CTOs	NP	<unknown>
of	IN	of
the	DT	the
Fortune	NP	Fortune
50	CD	@card@
,	,	,
and	CC	and
there	EX	there
'	''	'
s	NN	S
something	NN	something
about	IN	about
this	DT	this
exercise	NN	exercise
that	WDT	that
reveals	VBZ	reveal
very	RB	very
deep	JJ	deep
lessons	NNS	lesson
about	IN	about
the	DT	the
nature	NN	nature
of	IN	of
collaboration	NN	collaboration
,	,	,
and	CC	and
I	PP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
share	VB	share
some	DT	some
of	IN	of
them	PP	them
with	IN	with
you	PP	you
.	SENT	.
So	RB	so
,	,	,
normally	RB	normally
,	,	,
most	JJS	most
people	NNS	people
begin	VBP	begin
by	IN	by
orienting	VBG	orient
themselves	PP	themselves
to	TO	to
the	DT	the
task	NN	task
.	SENT	.
They	PP	they
