Thank	VB	thank
you	PP	you
.	SENT	.
Ooh	NP	Ooh
,	,	,
I	NP	I
'	POS	'
m	NN	m
like	IN	like
,	,	,
"	''	"
Phew	NP	<unknown>
,	,	,
phew	NN	<unknown>
,	,	,
calm	VB	calm
down	RP	down
.	SENT	.
Get	VB	get
back	RB	back
into	IN	into
my	PP$	my
body	NN	body
now	RB	now
.	SENT	.
"	''	"
Usually	RB	usually
when	WRB	when
I	PP	I
play	VBP	play
out	RP	out
,	,	,
the	DT	the
first	JJ	first
thing	NN	thing
that	WDT	that
happens	VBZ	happen
is	VBZ	be
people	NNS	people
scream	VBP	scream
out	RP	out
,	,	,
"	``	"
What	WP	what
'	POS	'
s	NN	S
she	PP	she
doing	VBG	do
?	SENT	?
!	SENT	!
"	''	"
I	NP	I
'	POS	'
ll	JJ	<unknown>
play	NN	play
at	IN	at
these	DT	these
rock	NN	rock
shows	VBZ	show
,	,	,
be	VB	be
on	IN	on
stage	NN	stage
standing	VBG	stand
completely	RB	completely
still	RB	still
,	,	,
and	CC	and
they	PP	they
'	POS	'
re	NN	re
like	IN	like
,	,	,
"	``	"
What	WP	what
'	POS	'
s	NN	S
she	PP	she
doing	VBG	do
?	SENT	?
!	SENT	!
What	WP	what
'	POS	'
s	NN	S
she	PP	she
doing	VBG	do
?	SENT	?
!	SENT	!
"	''	"
And	CC	and
then	RB	then
I	NP	I
'	POS	'
ll	NN	ll
kind	RB	kind
of	IN	of
be	VB	be
like	IN	like
—	:	-
—	:	-
and	CC	and
then	RB	then
they	PP	they
'	POS	'
re	NN	re
like	IN	like
,	,	,
"	''	"
Whoa	NP	Whoa
!	SENT	!
"	''	"
I	NP	I
'	POS	'
m	NN	m
sure	JJ	sure
you	PP	you
'	''	'
re	IN	re
trying	VBG	try
to	TO	to
figure	VB	figure
out	RP	out
,	,	,
"	``	"
Well	UH	well
,	,	,
how	WRB	how
does	VBZ	do
this	DT	this
thing	NN	thing
work	NN	work
?	SENT	?
"	''	"
Well	RB	well
,	,	,
what	WP	what
I	PP	I
'	POS	'
m	NN	m
doing	VBG	do
is	VBZ	be
controlling	VBG	control
the	DT	the
pitch	NN	pitch
with	IN	with
my	PP$	my
left	JJ	left
hand	NN	hand
.	SENT	.
See	VB	see
,	,	,
the	DT	the
closer	RBR	closer
I	PP	I
get	VBP	get
to	TO	to
this	DT	this
antenna	NN	antenna
,	,	,
the	DT	the
higher	JJR	high
the	DT	the
note	NN	note
gets	VBZ	get
—	:	-
—	:	-
and	CC	and
you	PP	you
can	MD	can
get	VB	get
it	PP	it
really	RB	really
low	JJ	low
.	SENT	.
And	CC	and
with	IN	with
this	DT	this
hand	NN	hand
I	PP	I
'	POS	'
m	NN	m
controlling	VBG	control
the	DT	the
volume	NN	volume
,	,	,
so	RB	so
the	DT	the
further	RBR	further
away	RB	away
my	PP$	my
right	JJ	right
hand	NN	hand
gets	VBZ	get
,	,	,
the	DT	the
louder	RBR	louder
it	PP	it
gets	VBZ	get
.	SENT	.
So	RB	so
basically	RB	basically
,	,	,
with	IN	with
both	DT	both
of	IN	of
your	PP$	your
hands	NNS	hand
you	PP	you
'	''	'
re	IN	re
controlling	VBG	control
pitch	NN	pitch
and	CC	and
volume	NN	volume
and	CC	and
kind	NN	kind
of	IN	of
trying	VBG	try
to	TO	to
create	VB	create
the	DT	the
illusion	NN	illusion
that	IN	that
you	PP	you
'	''	'
re	IN	re
doing	VBG	do
separate	JJ	separate
notes	NNS	note
,	,	,
when	WRB	when
really	RB	really
it	PP	it
'	POS	'
s	NN	S
continuously	RB	continuously
going	VBG	go
.	SENT	.
.	SENT	.
.	SENT	.
Sometimes	RB	sometimes
I	PP	I
startle	VBP	startle
myself	PP	myself
:	:	:
I	PP	I
'	POS	'
ll	NNS	<unknown>
forget	VBP	forget
that	IN	that
I	PP	I
have	VBP	have
it	PP	it
on	IN	on
,	,	,
and	CC	and
I	PP	I
'	POS	'
ll	NNS	<unknown>
lean	VBP	lean
over	RP	over
to	TO	to
pick	VB	pick
up	RP	up
something	NN	something
,	,	,
and	CC	and
then	RB	then
it	PP	it
goes	VBZ	go
like	IN	like
—	:	-
—	:	-
"	``	"
Oh	UH	oh
!	SENT	!
"	``	"
And	CC	and
it	PP	it
'	POS	'
s	NN	S
like	IN	like
a	DT	a
funny	JJ	funny
sound	NN	sound
effect	NN	effect
that	WDT	that
follows	VBZ	follow
you	PP	you
around	RP	around
if	IN	if
you	PP	you
don	VBP	don
'	''	'
t	NN	t
turn	VB	turn
the	DT	the
thing	NN	thing
off	RB	off
.	SENT	.
Maybe	RB	maybe
we	PP	we
'	POS	'
ll	NNS	<unknown>
go	VBP	go
into	IN	into
the	DT	the
next	JJ	next
tune	NN	tune
,	,	,
because	IN	because
I	PP	I
totally	RB	totally
lost	VBD	lose
where	WRB	where
this	DT	this
is	VBZ	be
going	VBG	go
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
do	VB	do
a	DT	a
song	NN	song
by	IN	by
David	NP	David
Mash	NP	Mash
called	VBD	call
"	``	"
Listen	VB	listen
:	:	:
the	DT	the
Words	NNS	word
Are	VBP	be
Gone	VBN	go
,	,	,
"	''	"
and	CC	and
maybe	RB	maybe
I	NP	I
'	POS	'
ll	NNS	<unknown>
have	VBP	have
words	NNS	word
come	VBN	come
back	RB	back
into	IN	into
me	PP	me
afterwards	RB	afterwards
if	IN	if
I	PP	I
can	MD	can
relax	VB	relax
.	SENT	.
So	RB	so
,	,	,
I	PP	I
'	POS	'
m	NN	m
trying	VBG	try
to	TO	to
think	VB	think
of	IN	of
some	DT	some
of	IN	of
the	DT	the
questions	NNS	question
that	WDT	that
are	VBP	be
commonly	RB	commonly
asked	VBN	ask
;	:	;
there	EX	there
are	VBP	be
so	RB	so
many	JJ	many
.	SENT	.
And	CC	and
.	SENT	.
.	SENT	.
.	SENT	.
Well	RB	well
,	,	,
I	PP	I
guess	VBP	guess
I	PP	I
could	MD	could
tell	VB	tell
you	PP	you
a	DT	a
little	JJ	little
of	IN	of
the	DT	the
history	NN	history
of	IN	of
the	DT	the
theremin	NN	<unknown>
.	SENT	.
It	PP	it
was	VBD	be
invented	VBN	invent
around	IN	around
the	DT	the
1920s	NNS	1920s
,	,	,
and	CC	and
the	DT	the
inventor	NN	inventor
,	,	,
L��on	NP	<unknown>
Theremin	NP	<unknown>
—	:	-
he	PP	he
also	RB	also
was	VBD	be
a	DT	a
musician	NN	musician
besides	IN	besides
an	DT	an
inventor	NN	inventor
—	:	-
he	PP	he
came	VBD	come
up	RP	up
with	IN	with
the	DT	the
idea	NN	idea
for	IN	for
making	VBG	make
the	DT	the
theremin	NN	<unknown>
,	,	,
I	PP	I
think	VBP	think
,	,	,
when	WRB	when
he	PP	he
was	VBD	be
working	VBG	work
on	IN	on
some	DT	some
shortwave	NN	shortwave
radios	NNS	radio
.	SENT	.
And	CC	and
there	EX	there
'	''	'
d	SYM	d
be	VB	be
that	DT	that
