So	RB	so
it	PP	it
was	VBD	be
about	RB	about
four	CD	four
years	NNS	year
ago	RB	ago
,	,	,
five	CD	five
years	NNS	year
ago	RB	ago
,	,	,
I	PP	I
was	VBD	be
sitting	VBG	sit
on	IN	on
a	DT	a
stage	NN	stage
in	IN	in
Philadelphia	NP	Philadelphia
,	,	,
I	PP	I
think	VBP	think
it	PP	it
was	VBD	be
,	,	,
with	IN	with
a	DT	a
bag	NN	bag
similar	JJ	similar
to	TO	to
this	DT	this
.	SENT	.
And	CC	and
I	PP	I
was	VBD	be
pulling	VBG	pull
a	DT	a
molecule	NN	molecule
out	RP	out
of	IN	of
this	DT	this
bag	NN	bag
.	SENT	.
And	CC	and
I	PP	I
was	VBD	be
saying	VBG	say
,	,	,
you	PP	you
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
this	DT	this
molecule	NN	molecule
really	RB	really
well	RB	well
,	,	,
but	CC	but
your	PP$	your
body	NN	body
knows	VBZ	know
it	PP	it
extremely	RB	extremely
well	RB	well
.	SENT	.
And	CC	and
I	PP	I
was	VBD	be
thinking	VBG	think
that	IN	that
your	PP$	your
body	NN	body
hated	VBD	hate
it	PP	it
,	,	,
at	IN	at
the	DT	the
time	NN	time
,	,	,
because	IN	because
we	PP	we
are	VBP	be
very	RB	very
immune	JJ	immune
to	TO	to
this	DT	this
.	SENT	.
This	DT	this
is	VBZ	be
called	VBN	call
alpha-gal	JJ	<unknown>
epitope	NN	Epitope
.	SENT	.
And	CC	and
the	DT	the
fact	NN	fact
that	IN	that
pig	NN	pig
heart	NN	heart
valves	NNS	valve
have	VBP	have
lots	NNS	lot
of	IN	of
these	DT	these
on	IN	on
them	PP	them
is	VBZ	be
the	DT	the
reason	NN	reason
that	IN	that
you	PP	you
can	MD	can
'	''	'
t	NN	t
transplant	NN	transplant
a	DT	a
pig	NN	pig
heart	NN	heart
valve	NN	valve
into	IN	into
a	DT	a
person	NN	person
easily	RB	easily
.	SENT	.
Actually	RB	actually
our	PP$	our
body	NN	body
doesn	NN	<unknown>
'	POS	'
t	NN	t
hate	VBP	hate
these	DT	these
.	SENT	.
Our	PP$	our
body	NN	body
loves	VBZ	love
these	DT	these
.	SENT	.
It	PP	it
eats	VBZ	eat
them	PP	them
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
the	DT	the
cells	NNS	cell
in	IN	in
our	PP$	our
immune	JJ	immune
system	NN	system
are	VBP	be
always	RB	always
hungry	JJ	hungry
.	SENT	.
And	CC	and
if	IN	if
an	DT	an
antibody	NN	antibody
is	VBZ	be
stuck	VBN	stick
to	TO	to
one	CD	one
of	IN	of
these	DT	these
things	NNS	thing
on	IN	on
the	DT	the
cell	NN	cell
,	,	,
it	PP	it
means	VBZ	mean
"	``	"
that	RB	that
'	''	'
s	NN	S
food	NN	food
.	SENT	.
"	''	"
Now	RB	now
,	,	,
I	PP	I
was	VBD	be
thinking	VBG	think
about	RB	about
that	IN	that
and	CC	and
I	PP	I
said	VBD	say
,	,	,
you	PP	you
know	VBP	know
,	,	,
we	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
this	DT	this
immune	JJ	immune
response	NN	response
to	TO	to
this	DT	this
ridiculous	JJ	ridiculous
molecule	NN	molecule
that	IN	that
we	PP	we
don	VB	don
'	''	'
t	NN	t
make	VB	make
,	,	,
and	CC	and
we	PP	we
see	VBP	see
it	PP	it
a	DT	a
lot	NN	lot
in	IN	in
other	JJ	other
animals	NNS	animal
and	CC	and
stuff	NN	stuff
.	SENT	.
But	CC	but
I	PP	I
said	VBD	say
we	PP	we
can	MD	can
'	''	'
t	NN	t
get	VB	get
rid	JJ	rid
of	IN	of
it	PP	it
,	,	,
because	IN	because
all	PDT	all
the	DT	the
people	NNS	people
who	WP	who
tried	VBD	try
to	TO	to
transplant	VB	transplant
heart	NN	heart
valves	NNS	valve
found	VBD	find
out	IN	out
you	PP	you
can	MD	can
'	''	'
t	NN	t
get	VB	get
rid	JJ	rid
of	IN	of
that	DT	that
immunity	NN	immunity
.	SENT	.
And	CC	and
I	PP	I
said	VBD	say
,	,	,
why	WRB	why
don	NN	don
'	POS	'
t	NN	t
you	PP	you
use	VBP	use
that	RB	that
?	SENT	?
What	WP	what
if	IN	if
I	PP	I
could	MD	could
stick	VB	stick
this	DT	this
molecule	NN	molecule
,	,	,
slap	VB	slap
it	PP	it
onto	IN	onto
a	DT	a
bacteria	NNS	bacterium
that	WDT	that
was	VBD	be
pathogenic	JJ	pathogenic
to	TO	to
me	PP	me
,	,	,
that	WDT	that
had	VBD	have
just	RB	just
invaded	VBN	invade
my	PP$	my
lungs	NNS	lung
?	SENT	?
I	PP	I
mean	VBP	mean
I	PP	I
could	MD	could
immediately	RB	immediately
tap	VB	tap
into	IN	into
an	DT	an
immune	JJ	immune
response	NN	response
that	WDT	that
was	VBD	be
already	RB	already
there	RB	there
,	,	,
where	WRB	where
it	PP	it
was	VBD	be
not	RB	not
going	VBG	go
to	TO	to
take	VB	take
five	CD	five
or	CC	or
six	CD	six
days	NNS	day
to	TO	to
develop	VB	develop
it	PP	it
—	:	-
it	PP	it
was	VBD	be
going	VBG	go
to	TO	to
immediately	RB	immediately
attack	VB	attack
whatever	WDT	whatever
this	DT	this
thing	NN	thing
was	VBD	be
on	IN	on
.	SENT	.
It	PP	it
was	VBD	be
kind	NN	kind
of	IN	of
like	IN	like
the	DT	the
same	JJ	same
thing	NN	thing
that	WDT	that
happens	VBZ	happen
when	WRB	when
you	PP	you
,	,	,
like	IN	like
when	WRB	when
you	PP	you
'	POS	'
re	NN	re
getting	VBG	get
stopped	VBN	stop
for	IN	for
a	DT	a
traffic	NN	traffic
ticket	NN	ticket
in	IN	in
L	NP	L
.	SENT	.
A	DT	a
.	SENT	.
,	,	,
and	CC	and
the	DT	the
cop	NN	cop
drops	VBZ	drop
a	DT	a
bag	NN	bag
of	IN	of
marijuana	NN	marijuana
in	IN	in
the	DT	the
back	NN	back
of	IN	of
your	PP$	your
car	NN	car
,	,	,
and	CC	and
then	RB	then
charges	VBZ	charge
you	PP	you
for	IN	for
possession	NN	possession
of	IN	of
marijuana	NN	marijuana
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
like	IN	like
this	DT	this
very	RB	very
fast	JJ	fast
,	,	,
very	RB	very
efficient	JJ	efficient
way	NN	way
to	TO	to
get	VB	get
people	NNS	people
off	IN	off
the	DT	the
street	NN	street
.	SENT	.
So	RB	so
