Everyone	NN	everyone
says	VBZ	say
you	PP	you
have	VB	have
to	TO	to
get	VB	get
ready	JJ	ready
to	TO	to
retire	VB	retire
financially	RB	financially
.	SENT	.
And	CC	and
of	IN	of
course	NN	course
you	PP	you
do	VBP	do
.	SENT	.
But	CC	but
what	WP	what
they	PP	they
don	VBP	don
'	''	'
t	NN	t
tell	VBP	tell
you	PP	you
is	VBZ	be
that	IN	that
you	PP	you
also	RB	also
have	VB	have
to	TO	to
get	VB	get
ready	JJ	ready
psychologically	RB	psychologically
.	SENT	.
Who	WP	who
knew	VBD	know
?	SENT	?
But	CC	but
it	PP	it
'	POS	'
s	NNS	<unknown>
important	JJ	important
for	IN	for
a	DT	a
couple	NN	couple
of	IN	of
reasons	NNS	reason
.	SENT	.
First	RB	first
,	,	,
10	CD	@card@
,	,	,
000	CD	@card@
North	NP	North
Americans	NPS	Americans
will	MD	will
retire	VB	retire
today	NN	today
and	CC	and
every	DT	every
day	NN	day
for	IN	for
the	DT	the
next	JJ	next
10	CD	@card@
to	TO	to
15	CD	@card@
years	NNS	year
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
retirement	NN	retirement
tsunami	NN	tsunami
.	SENT	.
And	CC	and
when	WRB	when
these	DT	these
folks	NNS	folk
come	VBP	come
crashing	VBG	crash
onto	IN	onto
the	DT	the
beach	NN	beach
,	,	,
a	DT	a
lot	NN	lot
of	IN	of
them	PP	them
are	VBP	be
going	VBG	go
to	TO	to
feel	VB	feel
like	IN	like
fish	NN	fish
out	RP	out
of	IN	of
water	NN	water
,	,	,
without	IN	without
a	DT	a
clue	NN	clue
as	IN	as
to	TO	to
what	WP	what
to	TO	to
expect	VB	expect
.	SENT	.
Secondly	RB	secondly
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
important	JJ	important
because	IN	because
there	EX	there
is	VBZ	be
a	DT	a
very	RB	very
good	JJ	good
chance	NN	chance
that	IN	that
you	PP	you
will	MD	will
live	VB	live
one	CD	one
third	NN	third
of	IN	of
your	PP$	your
life	NN	life
in	IN	in
retirement	NN	retirement
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	NN	S
important	JJ	important
that	IN	that
you	PP	you
have	VBP	have
a	DT	a
heads	VBZ	head
up	RP	up
to	TO	to
the	DT	the
fact	NN	fact
that	IN	that
there	EX	there
will	MD	will
be	VB	be
significant	JJ	significant
psychological	JJ	psychological
changes	NNS	change
and	CC	and
challenges	NNS	challenge
that	WDT	that
come	VBP	come
with	IN	with
it	PP	it
.	SENT	.
I	PP	I
belong	VBP	belong
to	TO	to
a	DT	a
walking	VBG	walk
group	NN	group
that	WDT	that
meets	VBZ	meet
early	RB	early
three	CD	three
mornings	NNS	morning
a	DT	a
week	NN	week
.	SENT	.
Our	PP$	our
primary	JJ	primary
goal	NN	goal
is	VBZ	be
to	TO	to
put	VB	put
10	CD	@card@
,	,	,
000	CD	@card@
steps	NNS	step
on	IN	on
our	PP$	our
Fitbits	NP	<unknown>
,	,	,
and	CC	and
then	RB	then
we	PP	we
go	VBP	go
for	IN	for
coffee	NN	coffee
and	CC	and
cinnamon	NN	cinnamon
buns	NNS	bun
more	RBR	more
importantly	RB	importantly
.	SENT	.
So	IN	so
we	PP	we
'	POS	'
ve	NN	ve
gotten	VBN	get
the	DT	the
habit	NN	habit
of	IN	of
,	,	,
as	IN	as
we	PP	we
walk	VBP	walk
,	,	,
