So	IN	so
a	DT	a
while	NN	while
ago	RB	ago
now	RB	now
,	,	,
I	PP	I
did	VBD	do
a	DT	a
PhD	NN	PhD
,	,	,
and	CC	and
I	PP	I
actually	RB	actually
thought	VBD	think
it	PP	it
would	MD	would
be	VB	be
quite	RB	quite
easy	JJ	easy
to	TO	to
do	VB	do
research	NN	research
.	SENT	.
Turns	NNS	turn
out	IN	out
it	PP	it
was	VBD	be
really	RB	really
hard	JJ	hard
.	SENT	.
My	PP$	my
PhD	NN	PhD
was	VBD	be
spent	VBN	spend
coding	VBG	code
up	RP	up
neural	JJ	neural
network	NN	network
layers	NNS	layer
and	CC	and
writing	VBG	write
CUDA	NP	Cuda
kernels	NNS	kernel
,	,	,
very	RB	very
much	RB	much
computer-based	JJ	computer-based
science	NN	science
.	SENT	.
And	CC	and
at	IN	at
that	DT	that
time	NN	time
,	,	,
I	PP	I
had	VBD	have
a	DT	a
friend	NN	friend
who	WP	who
worked	VBD	work
in	IN	in
a	DT	a
lab	NN	lab
doing	VBG	do
real	JJ	real
messy	JJ	messy
science	NN	science
.	SENT	.
He	PP	he
was	VBD	be
trying	VBG	try
to	TO	to
work	VB	work
out	RP	out
the	DT	the
structure	NN	structure
of	IN	of
proteins	NNS	protein
experimentally	RB	experimentally
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
a	DT	a
really	RB	really
difficult	JJ	difficult
thing	NN	thing
to	TO	to
do	VB	do
.	SENT	.
It	PP	it
can	MD	can
take	VB	take
a	DT	a
whole	JJ	whole
PhD	NN	PhD
'	POS	'
s	JJ	<unknown>
worth	NN	worth
of	IN	of
work	NN	work
just	RB	just
to	TO	to
work	VB	work
out	RP	out
the	DT	the
structure	NN	structure
of	IN	of
a	DT	a
single	JJ	single
new	JJ	new
protein	NN	protein
system	NN	system
.	SENT	.
And	CC	and
then	RB	then
10	CD	@card@
years	NNS	year
later	RBR	later
,	,	,
the	DT	the
field	NN	field
that	IN	that
I	PP	I
was	VBD	be
in	IN	in
,	,	,
machine	NN	machine
learning	NN	learning
,	,	,
revolutionized	VBD	revolutionize
his	PP$	his
world	NN	world
of	IN	of
protein	NN	protein
structure	NN	structure
.	SENT	.
A	DT	a
neural	JJ	neural
network	NN	network
called	VBD	call
AlphaFold	NNS	<unknown>
was	VBD	be
created	VBN	create
by	IN	by
DeepMind	NN	<unknown>
that	WDT	that
can	MD	can
very	RB	very
accurately	RB	accurately
predict	VB	predict
the	DT	the
structure	NN	structure
of	IN	of
proteins	NNS	protein
and	CC	and
solved	VBD	solve
this	DT	this
50-year	JJ	<unknown>
challenge	NN	challenge
of	IN	of
trying	VBG	try
to	TO	to
do	VB	do
protein	NN	protein
folding	NN	folding
.	SENT	.
And	CC	and
just	RB	just
two	CD	two
weeks	NNS	week
ago	RB	ago
,	,	,
this	DT	this
won	VBD	win
the	DT	the
Nobel	NP	Nobel
Prize	NP	Prize
in	IN	in
chemistry	NN	chemistry
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
estimated	VBD	estimate
that	IN	that
since	IN	since
the	DT	the
release	NN	release
of	IN	of
this	DT	this
model	NN	model
,	,	,
we	PP	we
'	POS	'
ve	NN	ve
saved	VBD	save
over	IN	over
a	DT	a
billion	NN	billion
years	NNS	year
of	IN	of
research	NN	research
time	NN	time
.	SENT	.
A	DT	a
billion	NN	billion
years	NNS	year
.	SENT	.
A	DT	a
whole	JJ	whole
PhD	NN	PhD
'	POS	'
s	JJ	<unknown>
worth	NN	worth
of	IN	of
work	NN	work
is	VBZ	be
now	RB	now
approximated	VBN	approximate
by	IN	by
a	DT	a
couple	NN	couple
of	IN	of
seconds	NNS	second
of	IN	of
neural	JJ	neural
network	NN	network
time	NN	time
.	SENT	.
And	CC	and
to	TO	to
my	PP$	my
friend	NN	friend
,	,	,
this	DT	this
might	MD	might
sound	VB	sound
a	DT	a
bit	NN	bit
depressing	VBG	depress
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
sorry	RB	sorry
about	IN	about
that	DT	that
,	,	,
but	CC	but
to	TO	to
me	PP	me
,	,	,
this	DT	this
is	VBZ	be
just	RB	just
really	RB	really
an	DT	an
incredible	JJ	incredible
thing	NN	thing
.	SENT	.
The	DT	the
sheer	JJ	sheer
scale	NN	scale
of	IN	of
new	JJ	new
knowledge	NN	knowledge
about	IN	about
our	PP$	our
protein	NN	protein
universe	NN	universe
that	IN	that
we	PP	we
now	RB	now
have	VBP	have
access	NN	access
to	TO	to
,	,	,
due	JJ	due
to	TO	to
an	DT	an
AI	NN	ai
model	NN	model
that	RB	that
'	POS	'
s	NN	S
able	JJ	able
to	TO	to
replace	VB	replace
the	DT	the
need	NN	need
for	IN	for
real-world	NN	real-world
experimental	JJ	experimental
lab	NN	lab
work	NN	work
.	SENT	.
And	CC	and
that	DT	that
frees	VBZ	free
up	RP	up
our	PP$	our
precious	JJ	precious
human	JJ	human
time	NN	time
to	TO	to
begin	VB	begin
probing	VBG	probe
the	DT	the
next	JJ	next
frontiers	NNS	frontier
of	IN	of
science	NN	science
.	SENT	.
Now	RB	now
some	DT	some
people	NNS	people
say	VBP	say
that	IN	that
this	DT	this
is	VBZ	be
a	DT	a
one-time-only	JJ	<unknown>
event	NN	event
,	,	,
that	WDT	that
we	PP	we
can	MD	can
'	''	'
t	NN	t
expect	VBP	expect
to	TO	to
see	VB	see
these	DT	these
sort	NN	sort
of	IN	of
breakthroughs	NNS	breakthrough
in	IN	in
science	NN	science
with	IN	with
AI	VBZ	ai
to	TO	to
be	VB	be
repeated	VBN	repeat
.	SENT	.
And	CC	and
I	PP	I
disagree	VBP	disagree
.	SENT	.
We	PP	we
will	MD	will
continue	VB	continue
to	TO	to
see	VB	see
breakthroughs	NNS	breakthrough
in	IN	in
understanding	VBG	understand
our	PP$	our
real	JJ	real
messy	JJ	messy
world	NN	world
with	IN	with
AI	NN	ai
.	SENT	.
Why	WRB	why
?	SENT	?
Because	IN	because
we	PP	we
now	RB	now
have	VBP	have
the	DT	the
neural	JJ	neural
network	NN	network
architectures	NNS	architecture
that	WDT	that
can	MD	can
eat	VB	eat
up	RP	up
any	DT	any
data	NNS	datum
modality	NN	modality
that	IN	that
you	PP	you
throw	VBP	throw
at	IN	at
them	PP	them
.	SENT	.
And	CC	and
we	PP	we
have	VBP	have
tried	VBN	try
and	CC	and
tested	VBN	test
recipes	NNS	recipe
of	IN	of
incorporating	VBG	incorporate
any	DT	any
possible	JJ	possible
signal	NN	signal
in	IN	in
the	DT	the
world	NN	world
into	IN	into
these	DT	these
learning	VBG	learn
algorithms	NNS	algorithm
.	SENT	.
And	CC	and
then	RB	then
we	PP	we
have	VBP	have
the	DT	the
engineering	NN	engineering
and	CC	and
infrastructure	NN	infrastructure
to	TO	to
scale	VB	scale
these	DT	these
models	NNS	model
to	TO	to
whatever	WDT	whatever
size	NN	size
is	VBZ	be
needed	VBN	need
to	TO	to
take	VB	take
advantage	NN	advantage
of	IN	of
the	DT	the
massive	JJ	massive
amounts	NNS	amount
of	IN	of
compute	NN	compute
power	NN	power
that	IN	that
we	PP	we
can	MD	can
create	VB	create
.	SENT	.
And	CC	and
finally	RB	finally
,	,	,
we	PP	we
'	POS	'
re	NN	re
always	RB	always
creating	VBG	create
new	JJ	new
ways	NNS	way
to	TO	to
record	VB	record
and	CC	and
measure	VB	measure
every	DT	every
detail	NN	detail
of	IN	of
our	PP$	our
real	JJ	real
messy	JJ	messy
world	NN	world
that	WDT	that
then	RB	then
creates	VBZ	create
even	RB	even
bigger	JJR	big
data	NN	data
sets	NNS	set
that	WDT	that
help	VBP	help
us	PP	us
train	VBP	train
even	RB	even
richer	JJR	rich
models	NNS	model
.	SENT	.
