Let	NP	Let
'	POS	'
s	NN	S
cut	VBD	cut
right	RB	right
to	TO	to
the	DT	the
chase	NN	chase
:	:	:
for	IN	for
most	JJS	most
people	NNS	people
,	,	,
budgeting	VBG	budget
just	RB	just
doesn	NN	<unknown>
'	POS	'
t	NN	t
work	NN	work
.	SENT	.
[	SYM	[
Your	PP$	your
Money	NN	money
and	CC	and
Your	PP$	your
Mind	NN	mind
with	IN	with
Wendy	NP	Wendy
De	NP	De
La	NP	La
Rosa	NP	Rosa
]	SYM	]
You	PP	you
maybe	RB	maybe
follow	VBP	follow
your	PP$	your
budget	NN	budget
for	IN	for
a	DT	a
few	JJ	few
days	NNS	day
or	CC	or
a	DT	a
few	JJ	few
weeks	NNS	week
,	,	,
but	CC	but
soon	RB	soon
,	,	,
you	PP	you
forget	VBP	forget
about	IN	about
your	PP$	your
budget	NN	budget
and	CC	and
stop	VB	stop
tracking	VBG	track
the	DT	the
flow	NN	flow
of	IN	of
your	PP$	your
money	NN	money
.	SENT	.
And	CC	and
there	EX	there
goes	VBZ	go
your	PP$	your
budget	NN	budget
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
because	IN	because
of	IN	of
reality	NN	reality
is	VBZ	be
,	,	,
most	JJS	most
of	IN	of
your	PP$	your
budget	NN	budget
is	VBZ	be
fixed	VBN	fix
.	SENT	.
You	PP	you
can	MD	can
'	''	'
t	NN	t
really	RB	really
do	VBP	do
anything	NN	anything
about	IN	about
it	PP	it
without	IN	without
making	VBG	make
major	JJ	major
life	NN	life
decisions	NNS	decision
.	SENT	.
Your	PP$	your
rent	NN	rent
is	VBZ	be
your	PP$	your
rent	NN	rent
.	SENT	.
Your	PP$	your
phone	NN	phone
bill	NN	bill
is	VBZ	be
your	PP$	your
phone	NN	phone
bill	NN	bill
.	SENT	.
Your	PP$	your
car	NN	car
payment	NN	payment
is	VBZ	be
your	PP$	your
car	NN	car
payment	NN	payment
.	SENT	.
But	CC	but
the	DT	the
focus	NN	focus
of	IN	of
today	NN	today
is	VBZ	be
the	DT	the
fact	NN	fact
that	IN	that
many	JJ	many
people	NNS	people
struggle	NN	struggle
with	IN	with
the	DT	the
little	JJ	little
,	,	,
ongoing	JJ	ongoing
,	,	,
frequent	JJ	frequent
purchases	NNS	purchase
like	IN	like
eating	VBG	eat
out	RP	out
,	,	,
delivery	NN	delivery
services	NNS	service
or	CC	or
shopping	NN	shopping
.	SENT	.
So	RB	so
let	VB	let
'	''	'
s	NNS	<unknown>
tackle	VBP	tackle
each	DT	each
one	CD	one
of	IN	of
those	DT	those
individually	RB	individually
.	SENT	.
First	RB	first
,	,	,
let	VBP	let
'	POS	'
s	JJ	<unknown>
talk	NN	talk
about	IN	about
eating	VBG	eat
out	RP	out
.	SENT	.
In	IN	in
my	PP$	my
research	NN	research
along	RP	along
with	IN	with
some	DT	some
colleagues	NNS	colleague
,	,	,
I	PP	I
found	VBD	find
that	IN	that
eating	VBG	eat
out	RB	out
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
biggest	JJS	big
financial	JJ	financial
regrets	NNS	regret
that	IN	that
people	NNS	people
have	VBP	have
.	SENT	.
The	DT	the
only	JJ	only
other	JJ	other
expense	NN	expense
that	RB	that
'	POS	'
s	NN	S
even	RB	even
less	RBR	less
satisfying	JJ	satisfying
than	IN	than
eating	VBG	eat
out	RP	out
are	VBP	be
bank	NN	bank
fees	NNS	fee
!	SENT	!
For	IN	for
eating	VBG	eat
out	RP	out
,	,	,
instead	RB	instead
of	IN	of
making	VBG	make
a	DT	a
financial	JJ	financial
budget	NN	budget
,	,	,
where	WRB	where
you	PP	you
tell	VBP	tell
yourself	PP	yourself
you	PP	you
'	POS	'
re	NN	re
only	RB	only
going	VBG	go
to	TO	to
spend	VB	spend
100	CD	@card@
dollars	NNS	dollar
a	DT	a
month	NN	month
on	IN	on
eating	VBG	eat
out	RP	out
,	,	,
let	VBP	let
'	POS	'
s	JJ	<unknown>
focus	NN	focus
on	IN	on
what	WP	what
I	PP	I
call	VBP	call
a	DT	a
"	``	"
frequency	NN	frequency
budget	NN	budget
"	''	"
instead	RB	instead
.	SENT	.
So	RB	so
instead	RB	instead
of	IN	of
focusing	VBG	focus
on	IN	on
the	DT	the
amount	NN	amount
of	IN	of
money	NN	money
that	RB	that
'	POS	'
s	NN	S
much	RB	much
harder	RBR	harder
to	TO	to
track	VB	track
and	CC	and
sometimes	RB	sometimes
even	RB	even
impossible	JJ	impossible
to	TO	to
track	NN	track
,	,	,
let	VBN	let
'	POS	'
s	JJ	<unknown>
focus	NN	focus
