Look	VB	look
,	,	,
I	PP	I
had	VBD	have
second	JJ	second
thoughts	NNS	thought
,	,	,
really	RB	really
,	,	,
about	RB	about
whether	IN	whether
I	PP	I
could	MD	could
talk	VB	talk
about	RB	about
this	DT	this
to	TO	to
such	PDT	such
a	DT	a
vital	JJ	vital
and	CC	and
alive	JJ	alive
audience	NN	audience
as	IN	as
you	PP	you
guys	VBZ	guy
.	SENT	.
Then	RB	then
I	PP	I
remembered	VBD	remember
the	DT	the
quote	NN	quote
from	IN	from
Gloria	NP	Gloria
Steinem	NP	Steinem
,	,	,
which	WDT	which
goes	VBZ	go
,	,	,
"	``	"
The	DT	the
truth	NN	truth
will	MD	will
set	VB	set
you	PP	you
free	JJ	free
,	,	,
but	CC	but
first	RB	first
it	PP	it
will	MD	will
piss	VB	piss
you	PP	you
off	RP	off
.	SENT	.
"	''	"
So	IN	so
â	NP	<unknown>
So	RB	so
with	IN	with
that	IN	that
in	IN	in
mind	NN	mind
,	,	,
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
set	VB	set
about	IN	about
trying	VBG	try
to	TO	to
do	VB	do
those	DT	those
things	NNS	thing
here	RB	here
,	,	,
and	CC	and
talk	VB	talk
about	IN	about
dying	VBG	die
in	IN	in
the	DT	the
21st	JJ	21st
century	NN	century
.	SENT	.
Now	RB	now
the	DT	the
first	JJ	first
thing	NN	thing
that	WDT	that
will	MD	will
piss	VB	piss
you	PP	you
off	RP	off
,	,	,
undoubtedly	RB	undoubtedly
,	,	,
is	VBZ	be
that	IN	that
all	DT	all
of	IN	of
us	PP	us
are	VBP	be
,	,	,
in	IN	in
fact	NN	fact
,	,	,
going	VBG	go
to	TO	to
die	VB	die
in	IN	in
the	DT	the
21st	JJ	21st
century	NN	century
.	SENT	.
There	EX	there
will	MD	will
be	VB	be
no	DT	no
exceptions	NNS	exception
to	TO	to
that	DT	that
.	SENT	.
There	EX	there
are	VBP	be
,	,	,
apparently	RB	apparently
,	,	,
about	RB	about
one	CD	one
in	IN	in
eight	CD	eight
of	IN	of
you	PP	you
who	WP	who
think	VBP	think
you	PP	you
'	''	'
re	IN	re
immortal	NN	immortal
,	,	,
on	IN	on
surveys	NNS	survey
,	,	,
but	CC	but
â	NP	<unknown>
Unfortunately	RB	unfortunately
,	,	,
that	DT	that
isn	NN	isn
'	POS	'
t	NN	t
going	VBG	go
to	TO	to
happen	VB	happen
.	SENT	.
While	IN	while
I	PP	I
give	VBP	give
this	DT	this
talk	NN	talk
,	,	,
in	IN	in
the	DT	the
next	JJ	next
10	CD	@card@
minutes	NNS	minute
,	,	,
a	DT	a
hundred	CD	hundred
million	CD	million
of	IN	of
my	PP$	my
cells	NNS	cell
will	MD	will
die	VB	die
,	,	,
and	CC	and
over	IN	over
the	DT	the
course	NN	course
of	IN	of
today	NN	today
,	,	,
2	CD	@card@
,	,	,
000	CD	@card@
of	IN	of
my	PP$	my
brain	NN	brain
cells	NNS	cell
will	MD	will
die	VB	die
and	CC	and
never	RB	never
come	VB	come
back	RB	back
,	,	,
so	RB	so
you	PP	you
could	MD	could
argue	VB	argue
that	IN	that
the	DT	the
dying	VBG	die
process	NN	process
starts	VBZ	start
pretty	RB	pretty
early	RB	early
in	IN	in
the	DT	the
piece	NN	piece
.	SENT	.
Anyway	RB	anyway
,	,	,
the	DT	the
second	JJ	second
thing	NN	thing
I	PP	I
want	VBP	want
to	TO	to
say	VB	say
about	IN	about
dying	VBG	die
in	IN	in
the	DT	the
21st	JJ	21st
century	NN	century
,	,	,
apart	RB	apart
from	IN	from
it	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
happen	VB	happen
to	TO	to
everybody	NN	everybody
,	,	,
is	VBZ	be
it	PP	it
'	POS	'
s	NNS	<unknown>
shaping	VBG	shape
up	RP	up
to	TO	to
be	VB	be
a	DT	a
bit	NN	bit
of	IN	of
a	DT	a
train	NN	train
wreck	NN	wreck
for	IN	for
most	JJS	most
of	IN	of
us	PP	us
,	,	,
unless	IN	unless
we	PP	we
do	VBP	do
something	NN	something
to	TO	to
try	VB	try
and	CC	and
reclaim	VB	reclaim
this	DT	this
process	NN	process
from	IN	from
the	DT	the
rather	RB	rather
inexorable	JJ	inexorable
trajectory	NN	trajectory
that	IN	that
it	PP	it
'	POS	'
s	NN	S
currently	RB	currently
on	IN	on
.	SENT	.
So	RB	so
there	EX	there
you	PP	you
go	VBP	go
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
the	DT	the
truth	NN	truth
.	SENT	.
No	DT	no
doubt	NN	doubt
that	WDT	that
will	MD	will
piss	VB	piss
you	PP	you
off	RP	off
,	,	,
and	CC	and
now	RB	now
let	VB	let
'	''	'
s	NNS	<unknown>
see	VBP	see
whether	IN	whether
we	PP	we
can	MD	can
set	VB	set
you	PP	you
free	JJ	free
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
promise	NN	promise
anything	NN	anything
.	SENT	.
Now	RB	now
,	,	,
as	IN	as
you	PP	you
heard	VBD	hear
in	IN	in
the	DT	the
intro	NN	intro
,	,	,
I	PP	I
work	VBP	work
in	IN	in
intensive	JJ	intensive
care	NN	care
,	,	,
and	CC	and
I	PP	I
think	VBP	think
I	PP	I
'	''	'
ve	NN	ve
