Natalie	NP	Natalie
MacMaster	NP	MacMaster
:	:	:
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
just	RB	just
quickly	RB	quickly
start	VB	start
out	RP	out
with	IN	with
a	DT	a
little	JJ	little
bit	NN	bit
of	IN	of
music	NN	music
here	RB	here
.	SENT	.
Thank	VB	thank
you	PP	you
!	SENT	!
I	PP	I
took	VBD	take
my	PP$	my
shoes	NNS	shoe
off	RP	off
to	TO	to
dance	VB	dance
,	,	,
but	CC	but
maybe	RB	maybe
I	NP	I
'	POS	'
ll	NNS	<unknown>
get	VBP	get
at	IN	at
that	DT	that
later	RBR	later
.	SENT	.
Anyways	RB	anyways
,	,	,
I	PP	I
.	SENT	.
.	SENT	.
.	SENT	.
where	WRB	where
to	TO	to
start	VB	start
?	SENT	?
Well	RB	well
,	,	,
I	PP	I
'	POS	'
m	NN	m
really	RB	really
excited	VBN	excite
to	TO	to
talk	VB	talk
a	DT	a
bit	NN	bit
about	IN	about
my	PP$	my
own	JJ	own
upbringing	NN	upbringing
in	IN	in
music	NN	music
and	CC	and
family	NN	family
and	CC	and
all	DT	all
of	IN	of
that	DT	that
,	,	,
but	CC	but
I	PP	I
'	POS	'
m	NN	m
even	RB	even
more	RBR	more
excited	JJ	excited
for	IN	for
you	PP	you
people	NNS	people
to	TO	to
hear	VB	hear
about	IN	about
Donnell	NP	Donnell
'	POS	'
s	JJ	<unknown>
amazing	JJ	amazing
family	NN	family
and	CC	and
maybe	RB	maybe
even	RB	even
a	DT	a
little	JJ	little
bit	NN	bit
about	IN	about
how	WRB	how
we	PP	we
met	VBD	meet
,	,	,
and	CC	and
all	PDT	all
that	DT	that
sort	NN	sort
of	IN	of
thing	NN	thing
,	,	,
but	CC	but
for	IN	for
those	DT	those
of	IN	of
you	PP	you
that	WDT	that
may	MD	may
not	RB	not
be	VB	be
familiar	JJ	familiar
with	IN	with
my	PP$	my
upbringing	NN	upbringing
,	,	,
I	PP	I
'	POS	'
m	NN	m
from	IN	from
Cape	NP	Cape
Breton	NP	Breton
Island	NP	Island
,	,	,
Nova	NP	Nova
Scotia	NP	Scotia
,	,	,
eastern	JJ	eastern
Canada	NP	Canada
,	,	,
which	WDT	which
is	VBZ	be
a	DT	a
very	RB	very
,	,	,
very	RB	very
musical	JJ	musical
island	NN	island
,	,	,
and	CC	and
its	PP$	its
origins	NNS	origin
come	VBN	come
from	IN	from
Scotland	NP	Scotland
with	IN	with
the	DT	the
music	NN	music
and	CC	and
all	PDT	all
the	DT	the
traditions	NNS	tradition
,	,	,
the	DT	the
dancing	NN	dancing
,	,	,
the	DT	the
language	NN	language
,	,	,
which	WDT	which
unfortunately	RB	unfortunately
is	VBZ	be
dying	VBG	die
out	RP	out
in	IN	in
Cape	NP	Cape
Breton	NP	Breton
.	SENT	.
The	DT	the
traditional	JJ	traditional
language	NN	language
is	VBZ	be
Gaelic	JJ	Gaelic
,	,	,
but	CC	but
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
music	NN	music
came	VBD	come
from	IN	from
the	DT	the
Gaelic	JJ	Gaelic
language	NN	language
,	,	,
and	CC	and
the	DT	the
dancing	NN	dancing
and	CC	and
the	DT	the
singing	NN	singing
and	CC	and
everything	NN	everything
,	,	,
and	CC	and
my	PP$	my
bloodline	NN	bloodline
is	VBZ	be
Scottish	JJ	Scottish
through	IN	through
and	CC	and
through	IN	through
,	,	,
but	CC	but
my	PP$	my
mother	NN	mother
and	CC	and
father	NN	father
are	VBP	be
two	CD	two
very	RB	very
,	,	,
very	RB	very
musical	JJ	musical
people	NNS	people
.	SENT	.
My	PP$	my
mom	NN	mom
taught	VBD	teach
me	PP	me
to	TO	to
dance	VB	dance
when	WRB	when
I	PP	I
was	VBD	be
five	CD	five
,	,	,
and	CC	and
my	PP$	my
dad	NN	dad
taught	VBD	teach
me	PP	me
to	TO	to
play	VB	play
fiddle	NN	fiddle
when	WRB	when
I	PP	I
was	VBD	be
nine	CD	nine
.	SENT	.
My	PP$	my
uncle	NN	uncle
is	VBZ	be
a	DT	a
very	RB	very
well-known	JJ	well-known
Cape	NP	Cape
Breton	NP	Breton
fiddler	NN	fiddler
.	SENT	.
His	PP$	his
name	NN	name
'	POS	'
s	NN	S
Buddy	NP	Buddy
MacMaster	NP	MacMaster
,	,	,
and	CC	and
just	RB	just
a	DT	a
wonderful	JJ	wonderful
guy	NN	guy
,	,	,
and	CC	and
we	PP	we
have	VBP	have
a	DT	a
great	JJ	great
tradition	NN	tradition
at	IN	at
home	NN	home
called	VBD	call
square	JJ	square
dancing	NN	dancing
,	,	,
and	CC	and
we	PP	we
had	VBD	have
parties	NNS	party
,	,	,
great	JJ	great
parties	NNS	party
at	IN	at
