Bigger	JJR	big
welcome	NN	welcome
!	SENT	!
Hello	UH	hello
,	,	,
San	NP	San
Francisco	NP	Francisco
!	SENT	!
TEDx	NP	<unknown>
â	NP	<unknown>
oh	UH	oh
my	PP$	my
God	NP	God
,	,	,
blinding	NN	blinding
light	NN	light
!	SENT	!
Hi	UH	hi
,	,	,
everybody	NN	everybody
!	SENT	!
How	WRB	how
are	VBP	be
you	PP	you
?	SENT	?
Fine	NN	fine
?	SENT	?
!	SENT	!
Oh	UH	oh
my	PP$	my
gosh	NN	gosh
!	SENT	!
Okay	RB	okay
,	,	,
so	RB	so
.	SENT	.
.	SENT	.
.	SENT	.
My	PP$	my
name	NN	name
is	VBZ	be
Mel	NP	Mel
Robbins	NP	Robbins
,	,	,
and	CC	and
for	IN	for
the	DT	the
last	JJ	last
seventeen	CD	seventeen
years	NNS	year
,	,	,
I	PP	I
have	VBP	have
done	VBN	do
nothing	NN	nothing
but	CC	but
help	NN	help
people	NNS	people
get	VBP	get
everything	NN	everything
that	IN	that
they	PP	they
want	VBP	want
.	SENT	.
Within	IN	within
reason	NN	reason
!	SENT	!
My	PP$	my
husband	NN	husband
'	POS	'
s	NN	S
here	RB	here
.	SENT	.
So	RB	so
,	,	,
I	PP	I
'	POS	'
ve	NN	ve
done	VBN	do
it	PP	it
in	IN	in
the	DT	the
courtroom	NN	courtroom
,	,	,
in	IN	in
the	DT	the
boardroom	NN	boardroom
,	,	,
in	IN	in
the	DT	the
bedroom	NN	bedroom
,	,	,
in	IN	in
people	NNS	people
'	POS	'
s	NN	S
living	NN	living
room	NN	room
,	,	,
whatever	WDT	whatever
room	NN	room
you	PP	you
want	VBP	want
to	TO	to
be	VB	be
in	IN	in
,	,	,
if	IN	if
I	PP	I
'	POS	'
m	NN	m
there	RB	there
,	,	,
I	PP	I
will	MD	will
help	VB	help
you	PP	you
get	VB	get
whatever	WDT	whatever
you	PP	you
want	VBP	want
by	IN	by
any	DT	any
means	NNS	mean
necessary	JJ	necessary
.	SENT	.
For	IN	for
the	DT	the
last	JJ	last
three	CD	three
years	NNS	year
â	NP	<unknown>
I	CD	@card@
host	NN	host
a	DT	a
syndicated	JJ	syndicated
radio	NN	radio
show	NN	show
.	SENT	.
Five	CD	five
days	NNS	day
a	DT	a
week	NN	week
,	,	,
I	PP	I
go	VBP	go
live	VB	live
in	IN	in
forty	NN	forty
cities	NNS	city
and	CC	and
I	PP	I
talk	VBP	talk
to	TO	to
men	NNS	man
and	CC	and
women	NNS	woman
across	IN	across
America	NP	America
who	WP	who
feel	VBP	feel
stuck	VBN	stick
.	SENT	.
Do	VB	do
you	PP	you
know	VB	know
that	IN	that
a	DT	a
third	JJ	third
of	IN	of
Americans	NPS	Americans
feel	VBP	feel
dissatisfied	JJ	dissatisfied
with	IN	with
their	PP$	their
lives	NNS	life
right	RB	right
now	RB	now
?	SENT	?
That	DT	that
is	VBZ	be
a	DT	a
hundred	CD	hundred
million	CD	million
people	NNS	people
!	SENT	!
That	IN	that
'	POS	'
s	NN	S
insane	NN	insane
!	SENT	!
And	CC	and
I	PP	I
'	POS	'
ve	NNS	<unknown>
come	VBP	come
face	NN	face
to	TO	to
face	VB	face
with	IN	with
it	PP	it
in	IN	in
this	DT	this
new	JJ	new
show	NN	show
that	IN	that
I	NP	I
'	POS	'
m	NN	m
doing	VBG	do
,	,	,
which	WDT	which
is	VBZ	be
also	RB	also
insane	JJ	insane
,	,	,
it	PP	it
'	POS	'
s	NN	S
called	VBD	call
"	``	"
In-laws	NNS	in-law
"	''	"
.	SENT	.
I	PP	I
move	VBP	move
in	IN	in
with	IN	with
families	NNS	family
across	IN	across
America	NP	America
â	NP	<unknown>
You	PP	you
guessed	VBD	guess
it	PP	it
!	SENT	!
â	NP	<unknown>
who	WP	who
are	VBP	be
at	IN	at
war	NN	war
with	IN	with
their	PP$	their
in-laws	NNS	in-law
.	SENT	.
We	PP	we
move	VBP	move
them	PP	them
into	IN	into
the	DT	the
same	JJ	same
house	NN	house
,	,	,
I	PP	I
verbally	RB	verbally
assassinate	VBP	assassinate
everybody	NN	everybody
,	,	,
we	PP	we
open	VBP	open
up	RP	up
Pandora	NP	Pandora
'	POS	'
s	NN	S
box	NN	box
,	,	,
and	CC	and
I	PP	I
get	VBP	get
people	NNS	people
to	TO	to
stop	VB	stop
arguing	VBG	argue
about	IN	about
the	DT	the
donuts	NNS	donut
and	CC	and
who	WP	who
is	VBZ	be
hosting	VBG	host
Thanksgiving	NP	Thanksgiving
dinner	NN	dinner
,	,	,
and	CC	and
talk	VB	talk
about	IN	about
the	DT	the
real	JJ	real
stuff	NN	stuff
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	VBG	<unknown>
what	WP	what
I	PP	I
want	VBP	want
to	TO	to
talk	VB	talk
to	TO	to
you	PP	you
about	RB	about
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
here	RB	here
for	IN	for
you	PP	you
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
tell	VB	tell
you	PP	you
everything	NN	everything
I	PP	I
know	VBP	know
in	IN	in
less	JJR	less
than	IN	than
eighteen	CD	eighteen
minutes	NNS	minute
about	RB	about
how	WRB	how
to	TO	to
get	VB	get
what	WP	what
you	PP	you
want	VBP	want
.	SENT	.
So	RB	so
I	PP	I
want	VBP	want
you	PP	you
to	TO	to
take	VB	take
a	DT	a
millisecond	NN	millisecond
right	RB	right
now	RB	now
and	CC	and
think	VBP	think
about	RB	about
what	WP	what
you	PP	you
want	VBP	want
.	SENT	.
You	PP	you
!	SENT	!
And	CC	and
I	PP	I
want	VBP	want
you	PP	you
to	TO	to
be	VB	be
selfish	JJ	selfish
.	SENT	.
Screw	VB	screw
Simon	NP	Simon
and	CC	and
the	DT	the
"	``	"
We	PP	we
"	``	"
thing	NN	thing
.	SENT	.
This	DT	this
is	VBZ	be
about	IN	about
me	PP	me
,	,	,
right	RB	right
now	RB	now
!	SENT	!
Sorry	RB	sorry
,	,	,
Simon	NP	Simon
.	SENT	.
What	WP	what
do	VBP	do
you	PP	you
want	VBP	want
?	SENT	?
And	CC	and
here	RB	here
'	''	'
s	VBG	<unknown>
the	DT	the
deal	NN	deal
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
want	VBP	want
it	PP	it
to	TO	to
sound	VB	sound
good	JJ	good
to	TO	to
other	JJ	other
people	NNS	people
.	SENT	.
Being	VBG	be
healthy	JJ	healthy
will	MD	will
not	RB	not
get	VB	get
your	PP$	your
ass	NN	ass
on	IN	on
a	DT	a
treadmill	NN	treadmill
.	SENT	.
Losing	VBG	lose
your	PP$	your
manboobs	NNS	manboob
,	,	,
so	RB	so
you	PP	you
can	MD	can
hook	VB	hook
up	RP	up
with	IN	with
somebody	NN	somebody
,	,	,
now	RB	now
that	RB	that
'	''	'
s	NN	S
motivation	NN	motivation
.	SENT	.
So	RB	so
,	,	,
I	PP	I
want	VBP	want
to	TO	to
know	VB	know
:	:	:
What	WP	what
do	VBP	do
you	PP	you
want	VBP	want
?	SENT	?
Do	VBP	do
you	PP	you
want	VBP	want
to	TO	to
lose	VB	lose
weight	NN	weight
?	SENT	?
Do	VBP	do
you	PP	you
want	VBP	want
to	TO	to
triple	VB	triple
your	PP$	your
income	NN	income
?	SENT	?
Do	VBP	do
you	PP	you
want	VBP	want
to	TO	to
start	VB	start
a	DT	a
nonprofit	JJ	nonprofit
?	SENT	?
Do	VBP	do
you	PP	you
want	VBP	want
to	TO	to
find	VB	find
love	NN	love
?	SENT	?
What	WP	what
is	VBZ	be
it	PP	it
?	SENT	?
Get	VB	get
it	PP	it
,	,	,
right	RB	right
here	RB	here
.	SENT	.
You	PP	you
know	VBP	know
what	WP	what
it	PP	it
is	VBZ	be
,	,	,
don	NN	don
'	POS	'
t	NN	t
analyze	VB	analyze
it	PP	it
to	TO	to
death	NN	death
,	,	,
just	RB	just
pick	VB	pick
something	NN	something
.	SENT	.
That	IN	that
'	POS	'
s	JJ	<unknown>
part	NN	part
of	IN	of
the	DT	the
problem	NN	problem
.	SENT	.
You	PP	you
won	VBD	win
'	''	'
t	NN	t
pick	NN	pick
.	SENT	.
So	RB	so
,	,	,
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
be	VB	be
talking	VBG	talk
about	RB	about
how	WRB	how
you	PP	you
get	VBP	get
what	WP	what
you	PP	you
want	VBP	want
.	SENT	.
And	CC	and
frankly	RB	frankly
,	,	,
getting	VBG	get
what	WP	what
you	PP	you
want	VBP	want
is	VBZ	be
simple	JJ	simple
.	SENT	.
But	CC	but
notice	VB	notice
I	PP	I
didn	NN	<unknown>
'	POS	'
t	NN	t
say	VBP	say
it	PP	it
was	VBD	be
easy	JJ	easy
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
very	RB	very
simple	JJ	simple
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
if	IN	if
you	PP	you
think	VBP	think
about	IN	about
it	PP	it
,	,	,
we	PP	we
live	VBP	live
in	IN	in
the	DT	the
most	RBS	most
amazing	JJ	amazing
moment	NN	moment
in	IN	in
time	NN	time
.	SENT	.
So	IN	so
that	DT	that
thing	NN	thing
that	IN	that
you	PP	you
have	VBP	have
up	RB	up
here	RB	here
,	,	,
whatever	WDT	whatever
it	PP	it
may	MD	may
be	VB	be
,	,	,
you	PP	you
want	VBP	want
to	TO	to
use	VB	use
healthy	JJ	healthy
eating	NN	eating
to	TO	to
cure	VB	cure
your	PP$	your
diabetes	NN	diabetes
,	,	,
you	PP	you
want	VBP	want
to	TO	to
figure	VB	figure
out	RP	out
how	WRB	how
to	TO	to
take	VB	take
care	NN	care
of	IN	of
the	DT	the
elders	NNS	elder
and	CC	and
start	VB	start
a	DT	a
new	JJ	new
hospice	NN	hospice
center	NN	center
,	,	,
you	PP	you
want	VBP	want
to	TO	to
move	VB	move
to	TO	to
Africa	NP	Africa
and	CC	and
build	VB	build
a	DT	a
school	NN	school
.	SENT	.
.	SENT	.
.	SENT	.
Guess	VBP	guess
what	WP	what
?	SENT	?
You	PP	you
can	MD	can
walk	VB	walk
into	IN	into
a	DT	a
book	NN	book
store	NN	store
â	NP	<unknown>
right	RB	right
now	RB	now
!	SENT	!
â	NP	<unknown>
and	CC	and
buy	VB	buy
at	IN	at
