Thank	VB	thank
you	PP	you
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
thrilled	VBD	thrill
to	TO	to
be	VB	be
here	RB	here
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
talk	VB	talk
about	IN	about
a	DT	a
new	JJ	new
,	,	,
old	JJ	old
material	NN	material
that	WDT	that
still	RB	still
continues	VBZ	continue
to	TO	to
amaze	VB	amaze
us	PP	us
,	,	,
and	CC	and
that	WDT	that
might	MD	might
impact	VB	impact
the	DT	the
way	NN	way
we	PP	we
think	VBP	think
about	IN	about
material	NN	material
science	NN	science
,	,	,
high	JJ	high
technology	NN	technology
â	NP	<unknown>
and	CC	and
maybe	RB	maybe
,	,	,
along	IN	along
the	DT	the
way	NN	way
,	,	,
also	RB	also
do	VBP	do
some	DT	some
stuff	NN	stuff
for	IN	for
medicine	NN	medicine
and	CC	and
for	IN	for
global	JJ	global
health	NN	health
and	CC	and
help	NN	help
reforestation	NN	reforestation
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	NN	S
kind	NN	kind
of	IN	of
a	DT	a
bold	JJ	bold
statement	NN	statement
.	SENT	.
I	NP	I
'	POS	'
ll	NNS	<unknown>
tell	VBP	tell
you	PP	you
a	DT	a
little	JJ	little
bit	NN	bit
more	RBR	more
.	SENT	.
This	DT	this
material	NN	material
actually	RB	actually
has	VBZ	have
some	DT	some
traits	NNS	trait
that	WDT	that
make	VBP	make
it	PP	it
seem	VBP	seem
almost	RB	almost
too	RB	too
good	JJ	good
to	TO	to
be	VB	be
true	JJ	true
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
sustainable	JJ	sustainable
;	:	;
it	PP	it
'	POS	'
s	NN	S
a	DT	a
sustainable	JJ	sustainable
material	NN	material
that	WDT	that
is	VBZ	be
processed	VBN	process
all	RB	all
in	IN	in
water	NN	water
and	CC	and
at	IN	at
room	NN	room
temperature	NN	temperature
â	NP	<unknown>
and	CC	and
is	VBZ	be
biodegradable	JJ	biodegradable
with	IN	with
a	DT	a
clock	NN	clock
,	,	,
so	RB	so
you	PP	you
can	MD	can
watch	VB	watch
it	PP	it
dissolve	VB	dissolve
instantaneously	RB	instantaneously
in	IN	in
a	DT	a
glass	NN	glass
of	IN	of
water	NN	water
or	CC	or
have	VB	have
it	PP	it
stable	JJ	stable
for	IN	for
years	NNS	year
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
edible	JJ	edible
;	:	;
it	PP	it
'	POS	'
s	NNS	<unknown>
implantable	JJ	implantable
in	IN	in
the	DT	the
human	JJ	human
body	NN	body
without	IN	without
causing	VBG	cause
any	DT	any
immune	JJ	immune
response	NN	response
.	SENT	.
It	PP	it
actually	RB	actually
gets	VBZ	get
reintegrated	VBN	reintegrate
in	IN	in
the	DT	the
body	NN	body
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
technological	JJ	technological
,	,	,
so	RB	so
it	PP	it
can	MD	can
do	VB	do
things	NNS	thing
like	IN	like
microelectronics	NNS	microelectronics
,	,	,
and	CC	and
maybe	RB	maybe
photonics	NNS	photonic
do	VBP	do
.	SENT	.
And	CC	and
the	DT	the
material	NN	material
looks	VBZ	look
something	NN	something
like	IN	like
this	DT	this
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
this	DT	this
material	NN	material
you	PP	you
see	VBP	see
is	VBZ	be
clear	JJ	clear
and	CC	and
transparent	JJ	transparent
.	SENT	.
The	DT	the
components	NNS	component
of	IN	of
this	DT	this
material	NN	material
are	VBP	be
just	RB	just
water	NN	water
and	CC	and
protein	NN	protein
.	SENT	.
So	IN	so
this	DT	this
material	NN	material
is	VBZ	be
silk	NN	silk
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	JJ	<unknown>
kind	NN	kind
of	IN	of
different	JJ	different
from	IN	from
what	WP	what
we	PP	we
'	POS	'
re	NN	re
used	VBD	use
to	TO	to
thinking	VBG	think
about	IN	about
silk	NN	silk
.	SENT	.
So	IN	so
the	DT	the
question	NN	question
is	VBZ	be
,	,	,
how	WRB	how
do	VBP	do
you	PP	you
reinvent	VB	reinvent
something	NN	something
that	WDT	that
has	VBZ	have
been	VBN	be
around	RB	around
for	IN	for
five	CD	five
millennia	NNS	millennium
?	SENT	?
The	DT	the
process	NN	process
of	IN	of
discovery	NN	discovery
,	,	,
generally	RB	generally
,	,	,
is	VBZ	be
inspired	VBN	inspire
by	IN	by
nature	NN	nature
.	SENT	.
And	CC	and
so	RB	so
we	PP	we
marvel	VB	marvel
at	IN	at
silk	NN	silk
worms	NNS	worm
â	NP	<unknown>
the	DT	the
silk	NN	silk
worm	NN	worm
you	PP	you
see	VBP	see
here	RB	here
spinning	VBG	spin
its	PP$	its
fiber	NN	fiber
.	SENT	.
The	DT	the
silk	NN	silk
worm	NN	worm
does	VBZ	do
a	DT	a
remarkable	JJ	remarkable
thing	NN	thing
:	:	:
it	PP	it
uses	VBZ	use
these	DT	these
two	CD	two
ingredients	NNS	ingredient
,	,	,
protein	NN	protein
and	CC	and
water	NN	water
,	,	,
that	WDT	that
are	VBP	be
in	IN	in
its	PP$	its
gland	NN	gland
,	,	,
to	TO	to
make	VB	make
a	DT	a
material	NN	material
that	WDT	that
is	VBZ	be
exceptionally	RB	exceptionally
tough	JJ	tough
for	IN	for
protection	NN	protection
â	NP	<unknown>
so	RB	so
comparable	JJ	comparable
to	TO	to
technical	JJ	technical
fibers	NNS	fiber
like	IN	like
Kevlar	NP	Kevlar
.	SENT	.
And	CC	and
so	RB	so
in	IN	in
the	DT	the
reverse	JJ	reverse
engineering	NN	engineering
process	NN	process
that	IN	that
we	PP	we
know	VBP	know
about	RB	about
,	,	,
and	CC	and
that	IN	that
we	PP	we
'	POS	'
re	NN	re
familiar	JJ	familiar
with	IN	with
,	,	,
for	IN	for
the	DT	the
textile	JJ	textile
industry	NN	industry
,	,	,
the	DT	the
textile	JJ	textile
industry	NN	industry
goes	VBZ	go
and	CC	and
unwinds	VBZ	unwind
the	DT	the
cocoon	NN	cocoon
and	CC	and
then	RB	then
weaves	VBZ	weave
glamorous	JJ	glamorous
things	NNS	thing
.	SENT	.
We	PP	we
want	VBP	want
to	TO	to
know	VB	know
how	WRB	how
you	PP	you
go	VBP	go
from	IN	from
water	NN	water
and	CC	and
protein	NN	protein
to	TO	to
this	DT	this
liquid	JJ	liquid
Kevlar	NP	Kevlar
,	,	,
to	TO	to
this	DT	this
natural	JJ	natural
Kevlar	NP	Kevlar
.	SENT	.
So	IN	so
the	DT	the
insight	NN	insight
is	VBZ	be
how	WRB	how
do	VBP	do
you	PP	you
actually	RB	actually
reverse	RB	reverse
engineer	VB	engineer
this	DT	this
and	CC	and
go	VBP	go
from	IN	from
cocoon	NN	cocoon
to	TO	to
gland	NN	gland
and	CC	and
get	VB	get
water	NN	water
and	CC	and
protein	NN	protein
that	WDT	that
is	VBZ	be
your	PP$	your
starting	VBG	start
material	NN	material
