There	EX	there
are	VBP	be
so	RB	so
many	JJ	many
strong	JJ	strong
opinions	NNS	opinion
about	IN	about
how	WRB	how
bad	JJ	bad
the	DT	the
internet	NN	Internet
has	VBZ	have
become	VBN	become
.	SENT	.
How	WRB	how
it	PP	it
has	VBZ	have
weaponized	JJ	<unknown>
mediocrity	NN	mediocrity
.	SENT	.
Normalized	VBN	normalize
mis-	NN	<unknown>
and	CC	and
disinformation	NN	disinformation
.	SENT	.
But	CC	but
for	IN	for
me	PP	me
,	,	,
the	DT	the
information	NN	information
superhighway	NN	superhighway
has	VBZ	have
always	RB	always
been	VBN	be
my	PP$	my
savior	NN	savior
.	SENT	.
As	IN	as
a	DT	a
little	JJ	little
boy	NN	boy
,	,	,
I	PP	I
was	VBD	be
sent	VBN	send
from	IN	from
Nigeria	NP	Nigeria
to	TO	to
boarding	VBG	board
school	NN	school
in	IN	in
the	DT	the
English	JJ	English
countryside	NN	countryside
.	SENT	.
It	PP	it
was	VBD	be
like	IN	like
"	``	"
Harry	NP	Harry
Potter	NP	Potter
"	''	"
without	IN	without
the	DT	the
magic	NN	magic
.	SENT	.
It	PP	it
was	VBD	be
a	DT	a
confusing	JJ	confusing
and	CC	and
troubling	JJ	troubling
time	NN	time
for	IN	for
an	DT	an
already	RB	already
sensitive	JJ	sensitive
little	JJ	little
boy	NN	boy
who	WP	who
was	VBD	be
far	RB	far
from	IN	from
home	NN	home
.	SENT	.
I	PP	I
was	VBD	be
more	RBR	more
like	IN	like
an	DT	an
exotic	JJ	exotic
animal	NN	animal
in	IN	in
a	DT	a
petting	VBG	pet
zoo	NN	zoo
rather	RB	rather
than	IN	than
a	DT	a
student	NN	student
.	SENT	.
And	CC	and
to	TO	to
top	VB	top
it	PP	it
off	RP	off
,	,	,
I	PP	I
'	POS	'
m	NN	m
dyslexic	JJ	dyslexic
and	CC	and
today	NN	today
what	WP	what
would	MD	would
be	VB	be
described	VBN	describe
as	IN	as
neurodiverse	NN	neurodiverse
,	,	,
which	WDT	which
for	IN	for
me	PP	me
meant	VBD	mean
that	IN	that
the	DT	the
classroom	NN	classroom
was	VBD	be
impossibly	RB	impossibly
slow	JJ	slow
and	CC	and
my	PP$	my
brain	NN	brain
was	VBD	be
not	RB	not
capable	JJ	capable
of	IN	of
assimilating	VBG	assimilate
how	WRB	how
they	PP	they
were	VBD	be
teaching	VBG	teach
me	PP	me
.	SENT	.
So	RB	so
for	IN	for
a	DT	a
big	JJ	big
part	NN	part
of	IN	of
my	PP$	my
life	NN	life
,	,	,
I	PP	I
was	VBD	be
ashamed	JJ	ashamed
of	IN	of
my	PP$	my
own	JJ	own
mind	NN	mind
.	SENT	.
And	CC	and
if	IN	if
I	PP	I
'	POS	'
m	NN	m
being	VBG	be
honest	JJ	honest
,	,	,
I	PP	I
was	VBD	be
ashamed	JJ	ashamed
of	IN	of
myself	PP	myself
.	SENT	.
Luckily	RB	luckily
,	,	,
the	DT	the
internet	NN	Internet
had	VBD	have
other	JJ	other
ideas	NNS	idea
.	SENT	.
Every	DT	every
time	NN	time
I	PP	I
consumed	VBD	consume
something	NN	something
online	JJ	online
,	,	,
my	PP$	my
brain	NN	brain
felt	VBD	feel
alive	JJ	alive
.	SENT	.
It	PP	it
was	VBD	be
an	DT	an
awakening	NN	awakening
of	IN	of
sorts	NNS	sort
.	SENT	.
And	CC	and
luckily	RB	luckily
for	IN	for
me	PP	me
,	,	,
I	PP	I
am	VBP	be
the	DT	the
right	JJ	right
age	NN	age
to	TO	to
have	VB	have
discovered	VBN	discover
the	DT	the
internet	NN	Internet
in	IN	in
that	DT	that
very	JJ	very
,	,	,
very	JJ	very
moment	NN	moment
.	SENT	.
So	RB	so
what	WP	what
did	VBD	do
I	PP	I
start	VBP	start
doing	VBG	do
?	SENT	?
I	PP	I
started	VBD	start
realizing	VBG	realize
how	WRB	how
my	PP$	my
mind	NN	mind
worked	VBD	work
.	SENT	.
How	WRB	how
I	PP	I
could	MD	could
assimilate	VB	assimilate
audiovisual	JJ	audiovisual
experiences	NNS	experience
intensely	RB	intensely
.	SENT	.
How	WRB	how
I	PP	I
could	MD	could
name	VB	name
a	DT	a
song	NN	song
within	IN	within
the	DT	the
first	JJ	first
second	NN	second
or	CC	or
the	DT	the
first	JJ	first
note	NN	note
.	SENT	.
Or	CC	or
talk	NN	talk
about	IN	about
scenes	NNS	scene
in	IN	in
films	NNS	film
like	IN	like
I	PP	I
lived	VBD	live
them	PP	them
.	SENT	.
And	CC	and
how	WRB	how
overwhelmingly	RB	overwhelmingly
powerful	JJ	powerful
artistic	JJ	artistic
experiences	NNS	experience
were	VBD	be
for	IN	for
me	PP	me
.	SENT	.
This	DT	this
became	VBD	become
my	PP$	my
savior	NN	savior
.	SENT	.
And	CC	and
I	PP	I
wanted	VBD	want
to	TO	to
share	VB	share
it	PP	it
with	IN	with
my	PP$	my
friends	NNS	friend
.	SENT	.
So	IN	so
pop	JJ	pop
ballads	NNS	ballad
like	IN	like
"	``	"
More	RBR	more
Than	IN	than
Words	NNS	word
"	''	"
by	IN	by
Extreme	NN	extreme
.	SENT	.
Street	NP	Street
poetry	NN	poetry
like	IN	like
"	``	"
Brenda	NP	Brenda
'	POS	'
s	NN	S
Got	VBD	get
a	DT	a
Baby	NP	Baby
"	''	"
by	IN	by
Tupac	NP	Tupac
.	SENT	.
Films	NNS	film
like	IN	like
"	``	"
The	DT	the
Last	JJ	last
of	IN	of
the	DT	the
Mohicans	NP	<unknown>
,	,	,
"	''	"
"	''	"
Love	NP	Love
Jones	NP	Jones
,	,	,
"	''	"
and	CC	and
of	IN	of
course	NN	course
,	,	,
"	``	"
Cinema	NN	cinema
Paradiso	NP	Paradiso
.	SENT	.
"	``	"
These	DT	these
experiences	NNS	experience
were	VBD	be
way	RB	way
more	JJR	more
than	IN	than
entertainment	NN	entertainment
for	IN	for
me	PP	me
.	SENT	.
I	PP	I
was	VBD	be
being	VBG	be
raised	VBN	raise
by	IN	by
these	DT	these
experiences	NNS	experience
,	,	,
and	CC	and
I	PP	I
needed	VBD	need
to	TO	to
share	VB	share
it	PP	it
with	IN	with
as	IN	as
many	JJ	many
people	NNS	people
as	IN	as
possible	JJ	possible
.	SENT	.
So	IN	so
my	PP$	my
friends	NNS	friend
would	MD	would
come	VB	come
with	IN	with
their	PP$	their
hard	JJ	hard
drives	NNS	drive
,	,	,
and	CC	and
I	PP	I
would	MD	would
download	NN	<unknown>
and	CC	and
share	NN	share
pictures	NNS	picture
and	CC	and
poetry	NN	poetry
and	CC	and
film	NN	film
for	IN	for
them	PP	them
.	SENT	.
For	IN	for
me	PP	me
,	,	,
the	DT	the
internet	NN	Internet
had	VBD	have
become	VBN	become
an	DT	an
endless	JJ	endless
library	NN	library
of	IN	of
the	DT	the
extraordinary	JJ	extraordinary
.	SENT	.
And	CC	and
I	PP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
just	RB	just
have	VBP	have
the	DT	the
keys	NNS	key
to	TO	to
this	DT	this
library	NN	library
.	SENT	.
I	PP	I
lived	VBD	live
there	RB	there
.	SENT	.
We	PP	we
would	MD	would
talk	VB	talk
about	IN	about
Fela	NP	Fela
Kuti	NP	<unknown>
,	,	,
Joni	NP	Joni
Mitchell	NP	Mitchell
,	,	,
Neil	NP	Neil
Young	NP	Young
.	SENT	.
These	DT	these
were	VBD	be
