Hello	UH	hello
,	,	,
I	PP	I
'	POS	'
m	NN	m
Aline	NP	Aline
Sousa	NP	Sousa
,	,	,
34	CD	@card@
years	NNS	year
old	JJ	old
,	,	,
and	CC	and
I	PP	I
am	VBP	be
a	DT	a
waste	NN	waste
picker	NN	picker
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
also	RB	also
the	DT	the
third	JJ	third
generation	NN	generation
of	IN	of
pickers	NNS	picker
in	IN	in
my	PP$	my
family	NN	family
and	CC	and
have	VBP	have
seven	CD	seven
children	NNS	child
.	SENT	.
I	NP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
helping	VBG	help
my	PP$	my
grandmother	NN	grandmother
with	IN	with
recycling	VBG	recycle
work	NN	work
since	IN	since
I	PP	I
was	VBD	be
14	CD	@card@
.	SENT	.
Picking	VBG	pick
the	DT	the
waste	NN	waste
or	CC	or
sorting	VBG	sort
it	PP	it
at	IN	at
the	DT	the
cooperative	NN	cooperative
.	SENT	.
I	PP	I
know	VBP	know
that	IN	that
recycling	NN	recycling
is	VBZ	be
a	DT	a
life-changing	VBG	life-change
tool	NN	tool
not	RB	not
only	RB	only
for	IN	for
my	PP$	my
family	NN	family
but	CC	but
for	IN	for
every	DT	every
picker	NN	picker
who	WP	who
works	VBZ	work
with	IN	with
me	PP	me
at	IN	at
the	DT	the
cooperative	NN	cooperative
.	SENT	.
The	DT	the
improper	JJ	improper
handling	NN	handling
of	IN	of
waste	NN	waste
is	VBZ	be
the	DT	the
third	JJ	third
largest	JJS	large
source	NN	source
of	IN	of
methane	NN	methane
in	IN	in
the	DT	the
world	NN	world
,	,	,
and	CC	and
the	DT	the
second	JJ	second
largest	JJS	large
in	IN	in
Brazil	NP	Brazil
.	SENT	.
Historically	RB	historically
,	,	,
trash	NN	trash
is	VBZ	be
a	DT	a
huge	JJ	huge
problem	NN	problem
in	IN	in
Global	NP	Global
South	NP	South
countries	NNS	country
.	SENT	.
And	CC	and
we	PP	we
are	VBP	be
always	RB	always
there	RB	there
,	,	,
regardless	RB	regardless
of	IN	of
service	NN	service
assistance	NN	assistance
,	,	,
collecting	VBG	collect
and	CC	and
selecting	VBG	select
where	WRB	where
there	EX	there
'	''	'
s	NNS	<unknown>
not	RB	not
an	DT	an
efficient	JJ	efficient
and	CC	and
formal	JJ	formal
service	NN	service
.	SENT	.
We	PP	we
are	VBP	be
leading	VBG	lead
the	DT	the
effort	NN	effort
to	TO	to
reduce	VB	reduce
methane	NN	methane
emissions	NNS	emission
in	IN	in
our	PP$	our
sector	NN	sector
.	SENT	.
I	PP	I
represent	VBP	represent
Brasília	NP	<unknown>
'	POS	'
s	JJ	<unknown>
pickers	NNS	picker
in	IN	in
the	DT	the
National	NP	National
Movement	NP	Movement
of	IN	of
Pickers	NNS	picker
,	,	,
or	CC	or
NMP	NP	NMP
.	SENT	.
I	PP	I
am	VBP	be
also	RB	also
President	NP	President
of	IN	of
CENTCOOP	NP	<unknown>
,	,	,
which	WDT	which
is	VBZ	be
the	DT	the
second	JJ	second
largest	JJS	large
cooperative	JJ	cooperative
central	NN	central
for	IN	for
waste	NN	waste
pickers	NNS	picker
in	IN	in
Brazil	NP	Brazil
.	SENT	.
We	PP	we
have	VBP	have
approximately	RB	approximately
20	CD	@card@
cooperatives	NNS	cooperative
,	,	,
and	CC	and
about	RB	about
1	CD	@card@
,	,	,
000	CD	@card@
members	NNS	member
associated	VBN	associate
with	IN	with
them	PP	them
,	,	,
and	CC	and
here	RB	here
in	IN	in
Brasília	NP	<unknown>
,	,	,
72	CD	@card@
%	NN	%
are	VBP	be
women	NNS	woman
.	SENT	.
The	DT	the
National	NP	National
Movement	NP	Movement
of	IN	of
Pickers	NNS	picker
estimates	NNS	estimate
from	IN	from
300	CD	@card@
,	,	,
000	CD	@card@
to	TO	to
1	CD	@card@
million	CD	million
workers	NNS	worker
,	,	,
and	CC	and
from	IN	from
that	DT	that
number	NN	number
,	,	,
72	CD	@card@
%	NN	%
are	VBP	be
Black	NP	Black
,	,	,
like	IN	like
me	PP	me
,	,	,
and	CC	and
56	CD	@card@
%	NN	%
are	VBP	be
women	NNS	woman
.	SENT	.
And	CC	and
those	DT	those
women	NNS	woman
are	VBP	be
also	RB	also
in	IN	in
leadership	NN	leadership
and	CC	and
decision-making	NN	decision-making
positions	NNS	position
in	IN	in
their	PP$	their
cooperatives	NNS	cooperative
.	SENT	.
Globally	RB	globally
,	,	,
we	PP	we
estimate	VBP	estimate
about	RB	about
20	CD	@card@
million	CD	million
workers	NNS	worker
recycling	VBG	recycle
throughout	IN	throughout
the	DT	the
world	NN	world
.	SENT	.
Although	IN	although
the	DT	the
development	NN	development
process	NN	process
of	IN	of
waste	NN	waste
management	NN	management
and	CC	and
society	NN	society
tries	VBZ	try
to	TO	to
marginalize	VB	marginalize
us	PP	us
,	,	,
we	PP	we
are	VBP	be
the	DT	the
ones	NNS	one
who	WP	who
make	VBP	make
the	DT	the
difference	NN	difference
in	IN	in
recycling	NN	recycling
.	SENT	.
Without	IN	without
us	PP	us
,	,	,
this	DT	this
system	NN	system
would	MD	would
be	VB	be
collapsed	VBN	collapse
.	SENT	.
In	IN	in
Brazil	NP	Brazil
,	,	,
only	RB	only
about	IN	about
30	CD	@card@
%	NN	%
of	IN	of
