Let	VB	let
me	PP	me
show	VB	show
you	PP	you
some	DT	some
images	NNS	image
of	IN	of
what	WP	what
I	PP	I
consider	VBP	consider
to	TO	to
be	VB	be
the	DT	the
cities	NNS	city
of	IN	of
tomorrow	NN	tomorrow
.	SENT	.
So	RB	so
,	,	,
that	IN	that
'	POS	'
s	JJ	<unknown>
Kibera	NP	<unknown>
,	,	,
the	DT	the
largest	JJS	large
squatter	NN	squatter
community	NN	community
in	IN	in
Nairobi	NP	Nairobi
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
squatter	NN	squatter
community	NN	community
in	IN	in
Sanjay	NP	Sanjay
Gandhi	NP	Gandhi
National	NP	National
Park	NP	Park
in	IN	in
Bombay	NP	Bombay
,	,	,
India	NP	India
,	,	,
what	WP	what
'	POS	'
s	NN	S
called	VBD	call
Mumbai	NP	Mumbai
these	DT	these
days	NNS	day
.	SENT	.
This	DT	this
is	VBZ	be
Hosinia	NP	<unknown>
,	,	,
the	DT	the
largest	JJS	large
and	CC	and
most	RBS	most
urbanized	VBN	urbanize
favela	NP	favela
in	IN	in
Rio	NP	Rio
de	NP	de
Janeiro	NP	Janeiro
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
Sultanbelyi	NP	<unknown>
,	,	,
which	WDT	which
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
largest	JJS	large
squatter	NN	squatter
communities	NNS	community
in	IN	in
Istanbul	NP	Istanbul
.	SENT	.
They	PP	they
are	VBP	be
what	WP	what
I	PP	I
consider	VBP	consider
to	TO	to
be	VB	be
the	DT	the
cities	NNS	city
of	IN	of
tomorrow	NN	tomorrow
,	,	,
the	DT	the
new	JJ	new
urban	JJ	urban
world	NN	world
.	SENT	.
Now	RB	now
,	,	,
why	WRB	why
do	VBP	do
I	PP	I
say	VBP	say
that	RB	that
?	SENT	?
To	TO	to
tell	VB	tell
you	PP	you
about	RB	about
that	IN	that
I	PP	I
have	VBP	have
to	TO	to
talk	VB	talk
about	IN	about
this	DT	this
fellow	NN	fellow
here	RB	here
,	,	,
his	PP$	his
name	NN	name
is	VBZ	be
Julius	NP	Julius
.	SENT	.
And	CC	and
I	PP	I
met	VBD	meet
Julius	NP	Julius
the	DT	the
last	JJ	last
week	NN	week
that	IN	that
I	PP	I
was	VBD	be
living	VBG	live
in	IN	in
Kibera	NP	<unknown>
.	SENT	.
So	RB	so
,	,	,
I	PP	I
had	VBD	have
been	VBN	be
there	RB	there
almost	RB	almost
three	CD	three
months	NNS	month
,	,	,
and	CC	and
I	PP	I
was	VBD	be
touring	VBG	tour
around	RP	around
the	DT	the
city	NN	city
going	VBG	go
to	TO	to
different	JJ	different
squatter	NN	squatter
areas	NNS	area
and	CC	and
Julius	NP	Julius
was	VBD	be
tagging	VBG	tag
along	RP	along
,	,	,
and	CC	and
he	PP	he
was	VBD	be
bug	NN	bug
eyed	VBN	eye
and	CC	and
at	IN	at
certain	JJ	certain
points	NNS	point
we	PP	we
were	VBD	be
walking	VBG	walk
around	RP	around
,	,	,
he	PP	he
grabbed	VBD	grab
my	PP$	my
hand	NN	hand
for	IN	for
support	NN	support
,	,	,
which	WDT	which
is	VBZ	be
something	NN	something
most	RBS	most
Kenyans	NNS	Kenyan
would	MD	would
never	RB	never
consider	VB	consider
doing	VBG	do
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
very	RB	very
polite	JJ	polite
and	CC	and
they	PP	they
don	VBP	don
'	''	'
t	NN	t
get	VB	get
so	RB	so
forward	RB	forward
so	RB	so
quickly	RB	quickly
.	SENT	.
And	CC	and
I	PP	I
found	VBD	find
out	RP	out
later	RBR	later
that	IN	that
it	PP	it
was	VBD	be
Julius	NP	Julius
'	POS	'
first	JJ	first
day	NN	day
in	IN	in
Nairobi	NP	Nairobi
,	,	,
and	CC	and
he	PP	he
'	POS	'
s	NN	S
one	CD	one
of	IN	of
many	JJ	many
.	SENT	.
So	RB	so
,	,	,
close	JJ	close
to	TO	to
200	CD	@card@
,	,	,
000	CD	@card@
people	NNS	people
a	DT	a
day	NN	day
migrate	VB	migrate
from	IN	from
the	DT	the
rural	JJ	rural
to	TO	to
the	DT	the
urban	JJ	urban
areas	NNS	area
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
be	VB	be
fair	JJ	fair
to	TO	to
the	DT	the
statisticians	NNS	statistician
who	WP	who
talked	VBD	talk
this	DT	this
morning	NN	morning
,	,	,
not	RB	not
almost	RB	almost
1	CD	@card@
.	SENT	.
5	CD	@card@
million	CD	million
people	NNS	people
a	DT	a
week	NN	week
,	,	,
but	CC	but
almost	RB	almost
1	CD	@card@
.	SENT	.
4	CD	@card@
million	CD	million
people	NNS	people
a	DT	a
week	NN	week
but	CC	but
I	PP	I
'	POS	'
m	NN	m
a	DT	a
journalist	NN	journalist
,	,	,
and	CC	and
we	PP	we
exaggerate	VBP	exaggerate
,	,	,
so	RB	so
almost	RB	almost
1	CD	@card@
.	SENT	.
5	CD	@card@
million	CD	million
people	NNS	people
a	DT	a
week	NN	week
,	,	,
close	JJ	close
to	TO	to
70	CD	@card@
million	CD	million
people	NNS	people
a	DT	a
year	NN	year
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
do	VBP	do
the	DT	the
math	NN	math
,	,	,
that	WDT	that
'	POS	'
s	NN	S
130	CD	@card@
people	NNS	people
every	DT	every
minute	NN	minute
.	SENT	.
So	RB	so
,	,	,
that	IN	that
'	''	'
ll	NN	ll
be	VB	be
—	:	-
in	IN	in
the	DT	the
18	CD	@card@
minutes	NNS	minute
that	IN	that
I	NP	I
'	POS	'
m	NN	m
given	VBN	give
to	TO	to
talk	VB	talk
here	RB	here
,	,	,
between	IN	between
two	CD	two
and	CC	and
three	CD	three
thousand	CD	thousand
people	NNS	people
will	MD	will
have	VB	have
journeyed	VBN	journey
to	TO	to
the	DT	the
cities	NNS	city
.	SENT	.
And	CC	and
here	RB	here
are	VBP	be
the	DT	the
