Shall	MD	shall
I	PP	I
ask	VB	ask
for	IN	for
a	DT	a
show	NN	show
of	IN	of
hands	NNS	hand
or	CC	or
a	DT	a
clapping	VBG	clap
of	IN	of
people	NNS	people
in	IN	in
different	JJ	different
generations	NNS	generation
?	SENT	?
I	NP	I
'	POS	'
m	NN	m
interested	JJ	interested
in	IN	in
how	WRB	how
many	JJ	many
are	VBP	be
three	CD	three
to	TO	to
12	CD	@card@
years	NNS	year
old	JJ	old
.	SENT	.
None	NN	none
,	,	,
huh	NP	Huh
?	SENT	?
All	DT	all
right	NN	right
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
talk	VB	talk
about	IN	about
dinosaurs	NNS	dinosaur
.	SENT	.
Do	VB	do
you	PP	you
remember	VB	remember
dinosaurs	NNS	dinosaur
when	WRB	when
you	PP	you
were	VBD	be
that	DT	that
age	NN	age
?	SENT	?
Dinosaurs	NNS	dinosaur
are	VBP	be
kind	JJ	kind
of	IN	of
funny	JJ	funny
,	,	,
you	PP	you
know	VBP	know
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
kind	NN	kind
of	IN	of
go	NN	go
in	IN	in
a	DT	a
different	JJ	different
direction	NN	direction
right	RB	right
now	RB	now
.	SENT	.
I	PP	I
hope	VBP	hope
you	PP	you
all	DT	all
realize	VBP	realize
that	DT	that
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
ll	NNS	<unknown>
just	RB	just
give	VB	give
you	PP	you
my	PP$	my
message	NN	message
up	IN	up
front	NN	front
:	:	:
Try	VB	try
not	RB	not
to	TO	to
go	VB	go
extinct	JJ	extinct
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
it	PP	it
.	SENT	.
People	NNS	people
ask	VBP	ask
me	PP	me
a	DT	a
lot	NN	lot
—	:	-
in	IN	in
fact	NN	fact
,	,	,
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
asked	JJ	asked
questions	NNS	question
I	PP	I
get	VBP	get
is	VBZ	be
,	,	,
why	WRB	why
do	VBP	do
children	NNS	child
like	IN	like
dinosaurs	NNS	dinosaur
so	RB	so
much	RB	much
?	SENT	?
What	WP	what
'	POS	'
s	NNS	<unknown>
the	DT	the
fascination	NN	fascination
?	SENT	?
And	CC	and
I	PP	I
usually	RB	usually
just	RB	just
say	VB	say
,	,	,
"	``	"
Well	UH	well
,	,	,
dinosaurs	NNS	dinosaur
were	VBD	be
big	JJ	big
,	,	,
different	JJ	different
and	CC	and
gone	VBN	go
.	SENT	.
"	``	"
They	PP	they
'	POS	'
re	NN	re
all	RB	all
gone	VBN	go
.	SENT	.
Well	RB	well
that	RB	that
'	''	'
s	NNS	<unknown>
not	RB	not
true	JJ	true
,	,	,
but	CC	but
