When	WRB	when
I	PP	I
was	VBD	be
nine	CD	nine
years	NNS	year
old	JJ	old
,	,	,
my	PP$	my
mom	NN	mom
asked	VBD	ask
me	PP	me
what	WP	what
I	PP	I
would	MD	would
want	VB	want
my	PP$	my
house	NN	house
to	TO	to
look	VB	look
like	IN	like
,	,	,
and	CC	and
I	PP	I
drew	VBD	draw
this	DT	this
fairy	JJ	fairy
mushroom	NN	mushroom
.	SENT	.
And	CC	and
then	RB	then
she	PP	she
actually	RB	actually
built	VBD	build
it	PP	it
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
think	VBP	think
I	PP	I
realized	VBD	realize
this	DT	this
was	VBD	be
so	RB	so
unusual	JJ	unusual
at	IN	at
the	DT	the
time	NN	time
,	,	,
and	CC	and
maybe	RB	maybe
I	PP	I
still	RB	still
haven	NN	haven
'	POS	'
t	NN	t
,	,	,
because	IN	because
I	PP	I
'	POS	'
m	NN	m
still	RB	still
designing	VBG	design
houses	NNS	house
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
six-story	NN	six-story
bespoke	VBD	bespeak
home	NN	home
on	IN	on
the	DT	the
island	NN	island
of	IN	of
Bali	NP	Bali
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
built	VBD	build
almost	RB	almost
entirely	RB	entirely
from	IN	from
bamboo	NN	bamboo
.	SENT	.
The	DT	the
living	NN	living
room	NN	room
overlooks	VBZ	overlook
the	DT	the
valley	NN	valley
from	IN	from
the	DT	the
fourth	JJ	fourth
floor	NN	floor
.	SENT	.
You	PP	you
enter	VBP	enter
the	DT	the
house	NN	house
by	IN	by
a	DT	a
bridge	NN	bridge
.	SENT	.
It	PP	it
can	MD	can
get	VB	get
hot	JJ	hot
in	IN	in
the	DT	the
tropics	NNS	tropic
,	,	,
so	RB	so
we	PP	we
make	VBP	make
big	JJ	big
curving	VBG	curve
roofs	NNS	roof
to	TO	to
catch	VB	catch
the	DT	the
breezes	NNS	breeze
.	SENT	.
But	CC	but
some	DT	some
rooms	NNS	room
have	VBP	have
tall	JJ	tall
windows	NNS	window
to	TO	to
keep	VB	keep
the	DT	the
air	NN	air
conditioning	NN	conditioning
in	IN	in
and	CC	and
the	DT	the
bugs	NNS	bug
out	RP	out
.	SENT	.
This	DT	this
room	NN	room
we	PP	we
left	VBD	leave
open	JJ	open
.	SENT	.
We	PP	we
made	VBD	make
an	DT	an
air-conditioned	JJ	air-conditioned
,	,	,
tented	VBN	tent
bed	NN	bed
.	SENT	.
And	CC	and
one	CD	one
client	NN	client
wanted	VBD	want
a	DT	a
TV	NN	TV
room	NN	room
in	IN	in
the	DT	the
corner	NN	corner
of	IN	of
her	PP$	her
living	NN	living
room	NN	room
.	SENT	.
Boxing	VBG	box
off	RP	off
an	DT	an
area	NN	area
with	IN	with
tall	JJ	tall
walls	NNS	wall
just	RB	just
didn	NP	<unknown>
'	POS	'
