Hi	UH	hi
,	,	,
my	PP$	my
name	NN	name
is	VBZ	be
Frank	NP	Frank
,	,	,
and	CC	and
I	PP	I
collect	VBP	collect
secrets	NNS	secret
.	SENT	.
It	PP	it
all	RB	all
started	VBD	start
with	IN	with
a	DT	a
crazy	JJ	crazy
idea	NN	idea
in	IN	in
November	NP	November
of	IN	of
2004	CD	@card@
.	SENT	.
I	PP	I
printed	VBD	print
up	RB	up
3	CD	@card@
,	,	,
000	CD	@card@
self-addressed	JJ	self-addressed
postcards	NNS	postcard
,	,	,
just	RB	just
like	IN	like
this	DT	this
.	SENT	.
They	PP	they
were	VBD	be
blank	JJ	blank
on	IN	on
one	CD	one
side	NN	side
,	,	,
and	CC	and
on	IN	on
the	DT	the
other	JJ	other
side	NN	side
I	PP	I
listed	VBD	list
some	DT	some
simple	JJ	simple
instructions	NNS	instruction
.	SENT	.
I	PP	I
asked	VBD	ask
people	NNS	people
to	TO	to
anonymously	RB	anonymously
share	VB	share
an	DT	an
artful	JJ	artful
secret	NN	secret
they	PP	they
'	POS	'
d	NN	d
never	RB	never
told	VBD	tell
anyone	NN	anyone
before	RB	before
.	SENT	.
And	CC	and
I	PP	I
handed	VBD	hand
out	RP	out
these	DT	these
postcards	NNS	postcard
randomly	RB	randomly
on	IN	on
the	DT	the
streets	NNS	street
of	IN	of
Washington	NP	Washington
,	,	,
D	NP	D
.	SENT	.
C	LS	c
.	SENT	.
,	,	,
not	RB	not
knowing	VBG	know
what	WP	what
to	TO	to
expect	VB	expect
.	SENT	.
But	CC	but
soon	RB	soon
the	DT	the
idea	NN	idea
began	VBD	begin
spreading	VBG	spread
virally	RB	<unknown>
.	SENT	.
People	NNS	people
began	VBD	begin
to	TO	to
buy	VB	buy
their	PP$	their
own	JJ	own
postcards	NNS	postcard
and	CC	and
make	VB	make
their	PP$	their
own	JJ	own
postcards	NNS	postcard
.	SENT	.
I	PP	I
started	VBD	start
receiving	VBG	receive
secrets	NNS	secret
in	IN	in
my	PP$	my
home	NN	home
mailbox	NN	mailbox
,	,	,
not	RB	not
just	RB	just
with	IN	with
postmarks	NNS	postmark
from	IN	from
Washington	NP	Washington
,	,	,
D	NP	D
.	SENT	.
C	LS	c
.	SENT	.
,	,	,
but	CC	but
from	IN	from
Texas	NP	Texas
,	,	,
California	NP	California
,	,	,
Vancouver	NP	Vancouver
,	,	,
New	NP	New
Zealand	NP	Zealand
,	,	,
Iraq	NP	Iraq
.	SENT	.
Soon	RB	soon
my	PP$	my
crazy	JJ	crazy
idea	NN	idea
didn	NN	<unknown>
'	POS	'
t	NN	t
seem	VBP	seem
so	RB	so
crazy	JJ	crazy
.	SENT	.
PostSecret	NP	PostSecret
.	SENT	.
com	NN	com
is	VBZ	be
the	DT	the
most	RBS	most
visited	VBN	visit
advertisement-free	JJ	<unknown>
blog	NN	<unknown>
in	IN	in
the	DT	the
world	NN	world
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
my	PP$	my
postcard	NN	postcard
collection	NN	collection
today	NN	today
.	SENT	.
You	PP	you
can	MD	can
see	VB	see
my	PP$	my
wife	NN	wife
struggling	VBG	struggle
to	TO	to
stack	VB	stack
a	DT	a
brick	NN	brick
of	IN	of
postcards	NNS	postcard
on	IN	on
a	DT	a
pyramid	NN	pyramid
of	IN	of
over	IN	over
a	DT	a
half-million	NN	half-million
secrets	NNS	secret
.	SENT	.
What	WP	what
I	PP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
do	VB	do
now	RB	now
is	VBZ	be
share	NN	share
with	IN	with
you	PP	you
a	DT	a
very	RB	very
special	JJ	special
handful	NN	handful
of	IN	of
secrets	NNS	secret
from	IN	from
that	DT	that
collection	NN	collection
,	,	,
starting	VBG	start
with	IN	with
this	DT	this
one	CD	one
.	SENT	.
"	``	"
I	PP	I
found	VBD	find
these	DT	these
stamps	NNS	stamp
as	IN	as
a	DT	a
child	NN	child
,	,	,
and	CC	and
I	PP	I
have	VBP	have
been	VBN	be
waiting	VBG	wait
all	PDT	all
my	PP$	my
life	NN	life
to	TO	to
have	VB	have
someone	NN	someone
to	TO	to
send	VB	send
them	PP	them
to	TO	to
.	SENT	.
I	PP	I
never	RB	never
did	VBD	do
have	VB	have
someone	NN	someone
.	SENT	.
"	``	"
Secrets	NNS	secret
can	MD	can
take	VB	take
many	JJ	many
forms	NNS	form
.	SENT	.
They	PP	they
can	MD	can
be	VB	be
shocking	JJ	shocking
or	CC	or
silly	JJ	silly
or	CC	or
soulful	JJ	soulful
.	SENT	.
They	PP	they
can	MD	can
connect	VB	connect
us	PP	us
to	TO	to
our	PP$	our
deepest	JJS	deep
humanity	NN	humanity
or	CC	or
with	IN	with
people	NNS	people
we	PP	we
'	POS	'
ll	NNS	<unknown>
never	RB	never
meet	VBP	meet
.	SENT	.
Maybe	RB	maybe
one	CD	one
of	IN	of
you	PP	you
sent	VBD	send
this	DT	this
one	CD	one
in	RB	in
.	SENT	.
