Nicholas	NP	Nicholas
Negroponte	NP	Negroponte
:	:	:
Can	MD	can
we	PP	we
switch	VB	switch
to	TO	to
the	DT	the
video	JJ	video
disc	NN	disc
,	,	,
which	WDT	which
is	VBZ	be
in	IN	in
play	NN	play
mode	NN	mode
?	SENT	?
I	NP	I
'	POS	'
m	NN	m
really	RB	really
interested	JJ	interested
in	IN	in
how	WRB	how
you	PP	you
put	VBP	put
people	NNS	people
and	CC	and
computers	NNS	computer
together	RB	together
.	SENT	.
We	PP	we
will	MD	will
be	VB	be
using	VBG	use
the	DT	the
TV	NN	TV
screens	NNS	screen
or	CC	or
their	PP$	their
equivalents	NNS	equivalent
for	IN	for
electronic	JJ	electronic
books	NNS	book
of	IN	of
the	DT	the
future	NN	future
.	SENT	.
Very	RB	very
interested	JJ	interested
in	IN	in
touch-sensitive	JJ	touch-sensitive
displays	NNS	display
,	,	,
high-tech	JJ	high-tech
,	,	,
high-touch	NN	high-touch
,	,	,
not	RB	not
having	VBG	have
to	TO	to
pick	VB	pick
up	RP	up
your	PP$	your
fingers	NNS	finger
to	TO	to
use	VB	use
them	PP	them
.	SENT	.
There	EX	there
is	VBZ	be
another	DT	another
way	NN	way
where	WRB	where
computers	NNS	computer
touch	VBP	touch
people	NNS	people
:	:	:
wearing	VBG	wear
,	,	,
physically	RB	physically
wearing	VBG	wear
.	SENT	.
Suddenly	RB	suddenly
on	IN	on
September	NP	September
11th	JJ	11th
,	,	,
the	DT	the
world	NN	world
got	VBD	get
bigger	JJR	big
.	SENT	.
NN	NP	NN
:	:	:
Thank	VB	thank
you	PP	you
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
When	WRB	when
I	PP	I
was	VBD	be
asked	VBN	ask
to	TO	to
do	VB	do
this	DT	this
,	,	,
I	PP	I
was	VBD	be
also	RB	also
asked	VBN	ask
to	TO	to
look	VB	look
at	IN	at
all	DT	all
14	CD	@card@
TED	VBP	ted
Talks	NNS	talk
that	IN	that
I	PP	I
had	VBD	have
given	VBN	give
,	,	,
chronologically	RB	chronologically
.	SENT	.
The	DT	the
first	JJ	first
one	CD	one
was	VBD	be
actually	RB	actually
two	CD	two
hours	NNS	hour
.	SENT	.
The	DT	the
second	JJ	second
one	CD	one
was	VBD	be
an	DT	an
hour	NN	hour
,	,	,
and	CC	and
then	RB	then
they	PP	they
became	VBD	become
half	DT	half
hours	NNS	hour
,	,	,
and	CC	and
all	RB	all
I	PP	I
noticed	VBD	notice
was	VBD	be
my	PP$	my
bald	JJ	bald
spot	NN	spot
getting	VBG	get
bigger	JJR	big
.	SENT	.
Imagine	VB	imagine
seeing	VBG	see
your	PP$	your
life	NN	life
,	,	,
30	CD	@card@
years	NNS	year
of	IN	of
it	PP	it
,	,	,
go	VB	go
by	IN	by
,	,	,
and	CC	and
it	PP	it
was	VBD	be
,	,	,
to	TO	to
say	VB	say
the	DT	the
least	JJS	least
,	,	,
for	IN	for
me	PP	me
,	,	,
quite	RB	quite
a	DT	a
shocking	JJ	shocking
experience	NN	experience
.	SENT	.
So	RB	so
what	WP	what
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
do	VB	do
in	IN	in
my	PP$	my
time	NN	time
is	VBZ	be
try	NN	try
and	CC	and
share	NN	share
with	IN	with
you	PP	you
what	WP	what
happened	VBD	happen
during	IN	during
the	DT	the
30	CD	@card@
years	NNS	year
,	,	,
and	CC	and
then	RB	then
also	RB	also
make	VB	make
a	DT	a
prediction	NN	prediction
,	,	,
and	CC	and
then	RB	then
tell	VB	tell
you	PP	you
a	DT	a
little	JJ	little
bit	NN	bit
about	IN	about
what	WP	what
I	PP	I
'	POS	'
m	NN	m
doing	VBG	do
next	JJ	next
.	SENT	.
And	CC	and
I	PP	I
put	VBD	put
on	IN	on
a	DT	a
slide	NN	slide
where	WRB	where
TED	VBP	ted
1	CD	@card@
happened	VBN	happen
in	IN	in
my	PP$	my
life	NN	life
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
rather	RB	rather
important	JJ	important
because	IN	because
I	PP	I
had	VBD	have
done	VBN	do
15	CD	@card@
years	NNS	year
of	IN	of
research	NN	research
before	IN	before
it	PP	it
,	,	,
so	RB	so
I	PP	I
had	VBD	have
a	DT	a
backlog	NN	backlog
,	,	,
so	RB	so
it	PP	it
was	VBD	be
easy	JJ	easy
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
that	IN	that
I	PP	I
was	VBD	be
Fidel	NP	Fidel
Castro	NP	Castro
and	CC	and
I	PP	I
could	MD	could
talk	VB	talk
for	IN	for
two	CD	two
hours	NNS	hour
,	,	,
or	CC	or
Bucky	NP	Bucky
Fuller	NP	Fuller
.	SENT	.
I	PP	I
had	VBD	have
15	CD	@card@
years	NNS	year
of	IN	of
stuff	NN	stuff
,	,	,
and	CC	and
the	DT	the
Media	NP	Media
Lab	NP	Lab
was	VBD	be
about	RB	about
to	TO	to
start	VB	start
.	SENT	.
So	RB	so
that	DT	that
was	VBD	be
easy	JJ	easy
.	SENT	.
But	CC	but
there	EX	there
are	VBP	be
a	DT	a
couple	NN	couple
of	IN	of
things	NNS	thing
about	IN	about
that	DT	that
period	NN	period
and	CC	and
about	IN	about
what	WP	what
happened	VBD	happen
that	WDT	that
are	VBP	be
really	RB	really
quite	RB	quite
important	JJ	important
.	SENT	.
One	CD	one
is	VBZ	be
that	IN	that
it	PP	it
was	VBD	be
a	DT	a
period	NN	period
when	WRB	when
computers	NNS	computer
weren	NNS	<unknown>
'	POS	'
t	NN	t
yet	RB	yet
for	IN	for
people	NNS	people
.	SENT	.
And	CC	and
the	DT	the
other	JJ	other
thing	NN	thing
that	IN	that
sort	NN	sort
of	IN	of
happened	VBN	happen
during	IN	during
that	DT	that
time	NN	time
is	VBZ	be
that	IN	that
we	PP	we
were	VBD	be
considered	VBN	consider
sissy	JJ	sissy
computer	NN	computer
scientists	NNS	scientist
.	SENT	.
We	PP	we
weren	NNS	<unknown>
'	POS	'
t	NN	t
considered	VBD	consider
the	DT	the
real	JJ	real
thing	NN	thing
.	SENT	.
So	RB	so
what	WP	what
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
show	VB	show
you	PP	you
is	VBZ	be
,	,	,
in	IN	in
retrospect	NN	retrospect
,	,	,
a	DT	a
lot	NN	lot
more	RBR	more
interesting	JJ	interesting
and	CC	and
a	DT	a
lot	NN	lot
more	RBR	more
accepted	JJ	accepted
than	IN	than
it	PP	it
was	VBD	be
at	IN	at
the	DT	the
time	NN	time
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
characterize	VB	characterize
the	DT	the
years	NNS	year
and	CC	and
I	PP	I
'	POS	'
m	NN	m
even	RB	even
going	VBG	go
to	TO	to
go	VB	go
back	RB	back
to	TO	to
some	DT	some
very	RB	very
early	JJ	early
work	NN	work
of	IN	of
mine	NN	mine
,	,	,
and	CC	and
this	DT	this
was	VBD	be
the	DT	the
kind	NN	kind
of	IN	of
stuff	NN	stuff
I	PP	I
was	VBD	be
doing	VBG	do
in	IN	in
the	DT	the
'	''	'
60s	JJ	<unknown>
:	:	:
very	RB	very
direct	JJ	direct
manipulation	NN	manipulation
,	,	,
very	RB	very
influenced	VBN	influence
as	IN	as
I	PP	I
studied	VBD	study
architecture	NN	architecture
by	IN	by
the	DT	the
architect	NN	architect
Moshe	NP	Moshe
Safdie	NP	Safdie
,	,	,
and	CC	and
you	PP	you
can	MD	can
see	VB	see
that	IN	that
we	PP	we
even	RB	even
built	VBD	build
robotic	JJ	robotic
things	NNS	thing
that	WDT	that
could	MD	could
build	VB	build
habitat-like	JJ	<unknown>
structures	NNS	structure
.	SENT	.
And	CC	and
this	DT	this
for	IN	for
me	PP	me
was	VBD	be
not	RB	not
yet	RB	yet
the	DT	the
Media	NP	Media
Lab	NP	Lab
,	,	,
but	CC	but
was	VBD	be
the	DT	the
beginning	NN	beginning
of	IN	of
what	WP	what
I	PP	I
'	POS	'
ll	NNS	<unknown>
call	VBP	call
sensory	JJ	sensory
computing	NN	computing
,	,	,
and	CC	and
I	PP	I
pick	VBP	pick
fingers	NNS	finger
partly	RB	partly
because	IN	because
everybody	NN	everybody
thought	VBD	think
it	PP	it
was	VBD	be
ridiculous	JJ	ridiculous
.	SENT	.
Papers	NNS	paper
were	VBD	be
published	VBN	publish
about	RB	about
how	WRB	how
stupid	JJ	stupid
it	PP	it
was	VBD	be
to	TO	to
use	VB	use
fingers	NNS	finger
.	SENT	.
Three	CD	three
reasons	NNS	reason
:	:	:
One	CD	one
was	VBD	be
they	PP	they
were	VBD	be
low-resolution	NN	low-resolution
.	SENT	.
The	DT	the
other	JJ	other
