What	WP	what
makes	VBZ	make
organized	JJ	organized
crime	NN	crime
strong	JJ	strong
?	SENT	?
It	PP	it
is	VBZ	be
very	RB	very
well-connected	JJ	well-connected
across	IN	across
borders	NNS	border
.	SENT	.
Criminal	JJ	criminal
leaders	NNS	leader
can	MD	can
cooperate	VB	cooperate
over	IN	over
long	JJ	long
distances	NNS	distance
,	,	,
build	VB	build
efficient	JJ	efficient
logistics	NNS	logistic
and	CC	and
hide	VB	hide
their	PP$	their
wealth	NN	wealth
across	IN	across
many	JJ	many
jurisdictions	NNS	jurisdiction
.	SENT	.
How	WRB	how
do	VBP	do
we	PP	we
know	VBP	know
about	IN	about
this	DT	this
?	SENT	?
One	CD	one
of	IN	of
the	DT	the
reasons	NNS	reason
is	VBZ	be
journalists	NNS	journalist
.	SENT	.
We	PP	we
are	VBP	be
often	RB	often
the	DT	the
first	JJ	first
ones	NNS	one
to	TO	to
reveal	VB	reveal
the	DT	the
enormous	JJ	enormous
schemes	NNS	scheme
of	IN	of
organized	JJ	organized
crime	NN	crime
networks	NNS	network
.	SENT	.
At	IN	at
some	DT	some
point	NN	point
,	,	,
journalists	NNS	journalist
started	VBD	start
connecting	VBG	connect
across	IN	across
borders	NNS	border
,	,	,
too	RB	too
.	SENT	.
During	IN	during
the	DT	the
last	JJ	last
decade	NN	decade
,	,	,
there	EX	there
was	VBD	be
a	DT	a
number	NN	number
of	IN	of
groundbreaking	JJ	groundbreaking
,	,	,
cross-border	JJ	cross-border
investigations	NNS	investigation
that	WDT	that
had	VBD	have
dozens	NNS	dozen
of	IN	of
media	NNS	medium
organizations	NNS	organization
working	VBG	work
together	RB	together
.	SENT	.
"	''	"
Panama	NP	Panama
Papers	NP	Papers
"	''	"
is	VBZ	be
probably	RB	probably
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
famous	JJ	famous
of	IN	of
such	JJ	such
cross-border	JJ	cross-border
journalism	NN	journalism
collaborations	NNS	collaboration
.	SENT	.
It	PP	it
had	VBD	have
more	JJR	more
than	IN	than
100	CD	@card@
media	NNS	medium
working	VBG	work
on	IN	on
it	PP	it
;	:	;
it	PP	it
affected	VBD	affect
countries	NNS	country
on	IN	on
every	DT	every
continent	NN	continent
.	SENT	.
More	RBR	more
importantly	RB	importantly
,	,	,
it	PP	it
led	VBD	lead
to	TO	to
more	JJR	more
than	IN	than
one	CD	one
billion	NN	billion
dollars	NNS	dollar
to	TO	to
be	VB	be
recovered	VBN	recover
to	TO	to
the	DT	the
economies	NNS	economy
of	IN	of
the	DT	the
countries	NNS	country
they	PP	they
were	VBD	be
stolen	VBN	steal
from	IN	from
.	SENT	.
Now	RB	now
let	VB	let
'	''	'
s	NNS	<unknown>
take	VBP	take
a	DT	a
look	NN	look
at	IN	at
maps	NNS	map
that	WDT	that
show	VBP	show
which	WDT	which
countries	NNS	country
were	VBD	be
featured	VBN	feature
in	IN	in
three	CD	three
major	JJ	major
global	JJ	global
investigations	NNS	investigation
from	IN	from
2016	CD	@card@
to	TO	to
2021	CD	@card@
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
"	``	"
Panama	NP	Panama
Papers	NP	Papers
,	,	,
"	''	"
"	''	"
Paradise	NP	Paradise
Papers	NP	Papers
,	,	,
"	''	"
"	''	"
Pandora	NP	Pandora
Papers	NP	Papers
.	SENT	.
"	``	"
As	IN	as
you	PP	you
can	MD	can
see	VB	see
,	,	,
some	DT	some
countries	NNS	country
keep	VB	keep
being	VBG	be
blank	JJ	blank
spots	NNS	spot
on	IN	on
these	DT	these
maps	NNS	map
,	,	,
and	CC	and
one	CD	one
of	IN	of
them	PP	them
is	VBZ	be
Kyrgyzstan	NP	Kyrgyzstan
,	,	,
my	PP$	my
home	NN	home
country	NN	country
.	SENT	.
And	CC	and
does	VBZ	do
it	PP	it
mean	VBP	mean
there	EX	there
is	VBZ	be
no	DT	no
organized	JJ	organized
crime	NN	crime
in	IN	in
Kyrgyzstan	NP	Kyrgyzstan
or	CC	or
maybe	RB	maybe
no	DT	no
corruption	NN	corruption
?	SENT	?
No	DT	no
way	NN	way
.	SENT	.
There	EX	there
is	VBZ	be
a	DT	a
lot	NN	lot
of	IN	of
corruption	NN	corruption
in	IN	in
my	PP$	my
country	NN	country
,	,	,
and	CC	and
organized	JJ	organized
crime	NN	crime
is	VBZ	be
a	DT	a
pretty	RB	pretty
powerful	JJ	powerful
force	NN	force
.	SENT	.
Kyrgyzstan	NP	Kyrgyzstan
was	VBD	be
just	RB	just
not	RB	not
covered	VBN	cover
in	IN	in
major	JJ	major
global	JJ	global
investigations	NNS	investigation
for	IN	for
a	DT	a
very	RB	very
long	JJ	long
time	NN	time
.	SENT	.
I	NP	I
