Hi	NP	Hi
there	RB	there
.	SENT	.
I	PP	I
could	MD	could
be	VB	be
wrong	JJ	wrong
,	,	,
but	CC	but
I	PP	I
think	VBP	think
this	DT	this
talk	NN	talk
may	MD	may
have	VB	have
the	DT	the
distinction	NN	distinction
of	IN	of
being	VBG	be
the	DT	the
one	CD	one
talk	NN	talk
in	IN	in
this	DT	this
series	NN	series
that	WDT	that
ends	VBZ	end
with	IN	with
orgasm	NN	orgasm
.	SENT	.
But	CC	but
let	VB	let
'	''	'
s	NNS	<unknown>
not	RB	not
get	VBP	get
ahead	RB	ahead
of	IN	of
ourselves	PP	ourselves
.	SENT	.
Have	VBP	have
you	PP	you
ever	RB	ever
thought	VBD	think
about	IN	about
the	DT	the
fact	NN	fact
that	IN	that
you	PP	you
'	POS	'
re	NN	re
here	RB	here
,	,	,
alive	JJ	alive
on	IN	on
this	DT	this
planet	NN	planet
because	IN	because
every	DT	every
one	CD	one
of	IN	of
your	PP$	your
ancestors	NNS	ancestor
reproduced	VBD	reproduce
?	SENT	?
Every	DT	every
one	CD	one
,	,	,
in	IN	in
an	DT	an
unbroken	JJ	unbroken
chain	NN	chain
,	,	,
all	PDT	all
the	DT	the
way	NN	way
back	RB	back
to	TO	to
the	DT	the
first	JJ	first
life	NN	life
on	IN	on
this	DT	this
planet	NN	planet
,	,	,
over	IN	over
three	CD	three
and	CC	and
a	DT	a
half	JJ	half
billion	NN	billion
years	NNS	year
ago	RB	ago
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
a	DT	a
lot	NN	lot
of	IN	of
reproducing	VBG	reproduce
.	SENT	.
And	CC	and
for	IN	for
the	DT	the
past	JJ	past
billion	NN	billion
years	NNS	year
,	,	,
your	PP$	your
ancestors	NNS	ancestor
reproduced	VBD	reproduce
sexually	RB	sexually
.	SENT	.
So	IN	so
sex	NN	sex
is	VBZ	be
a	DT	a
pretty	RB	pretty
big	JJ	big
deal	NN	deal
.	SENT	.
But	CC	but
you	PP	you
probably	RB	probably
knew	VBD	know
that	DT	that
.	SENT	.
But	CC	but
let	VB	let
'	''	'
s	JJ	<unknown>
talk	NN	talk
about	IN	about
human	JJ	human
mating	NN	mating
.	SENT	.
Why	WRB	why
does	VBZ	do
human	JJ	human
mating	NN	mating
take	VB	take
the	DT	the
forms	NNS	form
that	IN	that
it	PP	it
does	VBZ	do
?	SENT	?
Why	WRB	why
are	VBP	be
we	PP	we
attracted	VBN	attract
to	TO	to
certain	JJ	certain
people	NNS	people
?	SENT	?
Why	WRB	why
do	VBP	do
we	PP	we
sometimes	RB	sometimes
form	VBP	form
long-term	JJ	long-term
romantic	JJ	romantic
relationships	NNS	relationship
?	SENT	?
Why	WRB	why
do	VBP	do
we	PP	we
sometimes	RB	sometimes
cheat	VBP	cheat
?	SENT	?
Now	RB	now
I	PP	I
don	VB	don
'	''	'
t	NN	t
mean	VB	mean
why	WRB	why
consciously	RB	consciously
do	VBP	do
we	PP	we
do	VBP	do
these	DT	these
things	NNS	thing
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
mean	NN	mean
what	WP	what
happens	VBZ	happen
in	IN	in
the	DT	the
brain	NN	brain
to	TO	to
cause	VB	cause
it	PP	it
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
why	WRB	why
did	VBD	do
we	PP	we
evolve	VB	evolve
these	DT	these
feelings	NNS	feeling
and	CC	and
these	DT	these
behaviors	NNS	behavior
?	SENT	?
In	IN	in
other	JJ	other
words	NNS	word
,	,	,
how	WRB	how
did	VBD	do
the	DT	the
underlying	VBG	underlie
brain	NN	brain
structures	NNS	structure
and	CC	and
brain	NN	brain
chemistry	NN	chemistry
contribute	VBP	contribute
to	TO	to
our	PP$	our
ancestors	NNS	ancestor
'	POS	'
reproductive	JJ	reproductive
success	NN	success
so	RB	so
that	IN	that
those	DT	those
traits	NNS	trait
got	VBD	get
passed	VBN	pass
on	IN	on
into	IN	into
the	DT	the
present	JJ	present
generation	NN	generation
while	IN	while
others	NNS	other
didn	NN	<unknown>
'	POS	'
t	NN	t
.	SENT	.
Answering	VBG	answer
evolutionary	JJ	evolutionary
questions	NNS	question
like	IN	like
this	DT	this
is	VBZ	be
like	IN	like
being	VBG	be
a	DT	a
crime	NN	crime
scene	NN	scene
investigator	NN	investigator
,	,	,
we	PP	we
'	POS	'
re	NN	re
left	VBD	leave
with	IN	with
the	DT	the
evidence	NN	evidence
,	,	,
and	CC	and
we	PP	we
have	VBP	have
to	TO	to
try	VB	try
to	TO	to
establish	VB	establish
what	WP	what
happened	VBN	happen
.	SENT	.
So	RB	so
let	VB	let
'	''	'
s	NNS	<unknown>
go	VBP	go
back	RB	back
six	CD	six
or	CC	or
seven	CD	seven
million	CD	million
years	NNS	year
ago	RB	ago
to	TO	to
our	PP$	our
early	JJ	early
ancestors	NNS	ancestor
.	SENT	.
This	DT	this
is	VBZ	be
right	RB	right
after	IN	after
the	DT	the
split	NN	split
between	IN	between
our	PP$	our
lineage	NN	lineage
and	CC	and
the	DT	the
lineage	NN	lineage
that	WDT	that
would	MD	would
eventually	RB	eventually
give	VB	give
rise	NN	rise
to	TO	to
chimpanzees	NNS	chimpanzee
.	SENT	.
Now	RB	now
these	DT	these
were	VBD	be
small	RB	small
brained	VBN	brain
apes	NNS	ape
,	,	,
they	PP	they
walked	VBD	walk
on	IN	on
two	CD	two
legs	NNS	leg
,	,	,
and	CC	and
males	NNS	male
probably	RB	probably
fought	VBD	fight
each	DT	each
other	JJ	other
for	IN	for
mating	VBG	mate
opportunities	NNS	opportunity
.	SENT	.
We	PP	we
know	VBP	know
this	DT	this
because	IN	because
males	NNS	male
fight	NN	fight
for	IN	for
mates	NNS	mate
in	IN	in
all	DT	all
of	IN	of
our	PP$	our
closest	JJS	close
living	NN	living
relatives	NNS	relative
,	,	,
chimpanzees	NNS	chimpanzee
,	,	,
orangutans	NNS	orangutan
,	,	,
gorillas	NNS	gorilla
