There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
lot	NN	lot
of	IN	of
exciting	JJ	exciting
things	NNS	thing
happening	VBG	happen
in	IN	in
the	DT	the
design	NN	design
world	NN	world
and	CC	and
at	IN	at
IDEO	NP	<unknown>
this	DT	this
past	JJ	past
year	NN	year
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
pleased	VBD	please
to	TO	to
get	VB	get
a	DT	a
chance	NN	chance
to	TO	to
share	VB	share
some	DT	some
of	IN	of
those	DT	those
with	IN	with
you	PP	you
.	SENT	.
I	NP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
attend	VB	attend
the	DT	the
first	JJ	first
TED	VB	ted
back	RB	back
in	IN	in
1984	CD	@card@
but	CC	but
I	NP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
to	TO	to
a	DT	a
lot	NN	lot
of	IN	of
them	PP	them
since	IN	since
that	DT	that
time	NN	time
.	SENT	.
I	PP	I
thought	VBD	think
it	PP	it
[	SYM	[
would	MD	would
]	SYM	]
kind	RB	kind
of	IN	of
be	VB	be
interesting	JJ	interesting
to	TO	to
think	VB	think
back	RB	back
to	TO	to
that	DT	that
time	NN	time
when	WRB	when
Richard	NP	Richard
got	VBD	get
the	DT	the
whole	JJ	whole
thing	NN	thing
started	VBD	start
.	SENT	.
Thank	VB	thank
you	PP	you
very	RB	very
much	RB	much
,	,	,
Richard	NP	Richard
;	:	;
it	PP	it
'	POS	'
s	RB	<unknown>
been	VBN	be
a	DT	a
big	JJ	big
,	,	,
enjoyable	JJ	enjoyable
part	NN	part
of	IN	of
my	PP$	my
life	NN	life
,	,	,
coming	VBG	come
here	RB	here
.	SENT	.
And	CC	and
so	RB	so
thinking	VBG	think
back	RB	back
,	,	,
I	PP	I
was	VBD	be
thinking	VBG	think
those	DT	those
of	IN	of
us	PP	us
in	IN	in
Silicon	NP	Silicon
Valley	NP	Valley
were	VBD	be
really	RB	really
focused	VBN	focus
on	IN	on
products	NNS	product
or	CC	or
objects	NNS	object
—	:	-
certainly	RB	certainly
technological	JJ	technological
objects	NNS	object
.	SENT	.
And	CC	and
so	RB	so
it	PP	it
was	VBD	be
great	JJ	great
fun	NN	fun
in	IN	in
those	DT	those
days	NNS	day
,	,	,
and	CC	and
some	DT	some
of	IN	of
those	DT	those
of	IN	of
you	PP	you
who	WP	who
are	VBP	be
in	IN	in
the	DT	the
audience	NN	audience
were	VBD	be
my	PP$	my
clients	NNS	client
.	SENT	.
We	PP	we
'	POS	'
d	NN	d
come	VBN	come
in	IN	in
with	IN	with
some	DT	some
prototype	NN	prototype
underneath	IN	underneath
a	DT	a
black	JJ	black
cloth	NN	cloth
and	CC	and
we	PP	we
'	POS	'
d	NN	d
put	VBD	put
it	PP	it
on	IN	on
the	DT	the
conference	NN	conference
table	NN	table
,	,	,
and	CC	and
we	PP	we
'	POS	'
d	NN	d
pull	VB	pull
off	RP	off
the	DT	the
black	JJ	black
cloth	NN	cloth
and	CC	and
everybody	NN	everybody
would	MD	would
"	``	"
ooh	NP	ooh
"	''	"
and	CC	and
"	``	"
ah	UH	ah
.	SENT	.
"	``	"
That	DT	that
was	VBD	be
a	DT	a
really	RB	really
good	JJ	good
time	NN	time
.	SENT	.
And	CC	and
so	IN	so
we	PP	we
'	POS	'
ll	NNS	<unknown>
continue	VBP	continue
to	TO	to
focus	VB	focus
on	IN	on
products	NNS	product
,	,	,
as	IN	as
we	PP	we
always	RB	always
have	VBP	have
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
were	VBD	be
here	RB	here
last	JJ	last
year	NN	year
,	,	,
I	PP	I
probably	RB	probably
wrestled	VBD	wrestle
you	PP	you
to	TO	to
the	DT	the
floor	NN	floor
and	CC	and
tried	VBD	try
to	TO	to
show	VB	show
you	PP	you
my	PP$	my
new	JJ	new
EyeModule	NP	<unknown>
2	CD	@card@
,	,	,
which	WDT	which
was	VBD	be
a	DT	a
camera	NN	camera
that	WDT	that
plugged	VBD	plug
into	IN	into
the	DT	the
Handspring	NN	handspring
.	SENT	.
And	CC	and
I	PP	I
took	VBD	take
a	DT	a
lot	NN	lot
of	IN	of
pictures	NNS	picture
last	JJ	last
year	NN	year
;	:	;
very	RB	very
few	JJ	few
people	NNS	people
knew	VBD	know
what	WP	what
I	PP	I
was	VBD	be
up	RP	up
to	TO	to
,	,	,
but	CC	but
I	PP	I
took	VBD	take
a	DT	a
lot	NN	lot
of	IN	of
pictures	NNS	picture
.	SENT	.
This	DT	this
year	NN	year
—	:	-
maybe	RB	maybe
you	PP	you
could	MD	could
show	VB	show
the	DT	the
slides	NNS	slide
—	:	-
this	DT	this
year	NN	year
we	PP	we
'	''	'
re	IN	re
carrying	VBG	carry
this	DT	this
Treo	NP	<unknown>
,	,	,
which	WDT	which
we	PP	we
had	VBD	have
a	DT	a
lot	NN	lot
to	TO	to
do	VB	do
with	IN	with
and	CC	and
helped	VBD	help
Handspring	NN	handspring
design	VB	design
it	PP	it
.	SENT	.
Also	RB	also
,	,	,
though	IN	though
we	PP	we
designed	VBD	design
it	PP	it
a	DT	a
few	JJ	few
years	NNS	year
ago	RB	ago
—	:	-
it	PP	it
'	POS	'
s	NNS	<unknown>
just	RB	just
become	VBP	become
ubiquitous	JJ	ubiquitous
in	IN	in
the	DT	the
last	JJ	last
year	NN	year
or	CC	or
so	RB	so
—	:	-
this	DT	this
Heartstream	NP	Heartstream
defibrillator	NN	defibrillator
which	WDT	which
is	VBZ	be
saving	VBG	save
lives	NNS	life
.	SENT	.
Maybe	RB	maybe
you	PP	you
'	POS	'
ve	NN	ve
seen	VBN	see
them	PP	them
in	IN	in
the	DT	the
airports	NNS	airport
?	SENT	?
They	PP	they
seem	VBP	seem
to	TO	to
be	VB	be
everywhere	RB	everywhere
now	RB	now
.	SENT	.
Lots	NNS	lot
of	IN	of
lives	NNS	life
are	VBP	be
being	VBG	be
saved	VBN	save
by	IN	by
those	DT	those
.	SENT	.
And	CC	and
,	,	,
we	PP	we
'	POS	'
re	NN	re
just	RB	just
about	RB	about
to	TO	to
announce	VB	announce
the	DT	the
Zinio	NP	<unknown>
Reader	NP	Reader
product	NN	product
that	IN	that
I	PP	I
believe	VBP	believe
will	MD	will
make	VB	make
magazines	NNS	magazine
even	RB	even
more	RBR	more
enjoyable	JJ	enjoyable
to	TO	to
read	VB	read
.	SENT	.
So	RB	so
,	,	,
we	PP	we
really	RB	really
will	MD	will
continue	VB	continue
to	TO	to
focus	VB	focus
on	IN	on
products	NNS	product
.	SENT	.
But	CC	but
something	NN	something
'	POS	'
s	NN	S
happened	VBD	happen
in	IN	in
the	DT	the
last	JJ	last
18	CD	@card@
years	NNS	year
since	IN	since
Richard	NP	Richard
started	VBD	start
TED	VB	ted
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NN	S
that	IN	that
people	NNS	people
like	IN	like
us	PP	us
—	:	-
I	PP	I
know	VBP	know
people	NNS	people
in	IN	in
other	JJ	other
places	NNS	place
have	VBP	have
caught	VBN	catch
onto	IN	onto
this	DT	this
for	IN	for
a	DT	a
long	JJ	long
time	NN	time
,	,	,
but	CC	but
for	IN	for
us	PP	us
,	,	,
we	PP	we
'	POS	'
ve	NN	ve
really	RB	really
just	RB	just
started	VBN	start
.	SENT	.
.	SENT	.
.	SENT	.
we	PP	we
'	POS	'
ve	JJ	<unknown>
kind	NN	kind
of	IN	of
climbed	VBN	climb
Maslow	NP	Maslow
'	POS	'
s	JJ	<unknown>
hierarchy	NN	hierarchy
a	DT	a
little	JJ	little
bit	NN	bit
—	:	-
and	CC	and
so	IN	so
we	PP	we
'	POS	'
re	NN	re
now	RB	now
focused	VBD	focus
more	JJR	more
and	CC	and
more	JJR	more
on	IN	on
human-centered	JJ	<unknown>
design	NN	design
,	,	,
human-centeredness	NN	human-centeredness
in	IN	in
an	DT	an
approach	NN	approach
to	TO	to
design	VB	design
.	SENT	.
That	WDT	that
really	RB	really
involves	VBZ	involve
designing	VBG	design
behaviors	NNS	behavior
and	CC	and
personality	NN	personality
into	IN	into
products	NNS	product
.	SENT	.
And	CC	and
I	PP	I
