Chris	NP	Chris
Anderson	NP	Anderson
:	:	:
We	PP	we
had	VBD	have
Edward	NP	Edward
Snowden	NP	Snowden
here	RB	here
a	DT	a
couple	NN	couple
days	NNS	day
ago	RB	ago
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
response	NN	response
time	NN	time
.	SENT	.
And	CC	and
several	JJ	several
of	IN	of
you	PP	you
have	VBP	have
written	VBN	write
to	TO	to
me	PP	me
with	IN	with
questions	NNS	question
to	TO	to
ask	VB	ask
our	PP$	our
guest	NN	guest
here	RB	here
from	IN	from
the	DT	the
NSA	NP	NSA
.	SENT	.
So	IN	so
Richard	NP	Richard
Ledgett	NP	Ledgett
is	VBZ	be
the	DT	the
15th	JJ	15th
deputy	JJ	deputy
director	NN	director
of	IN	of
the	DT	the
National	NP	National
Security	NP	Security
Agency	NP	Agency
,	,	,
and	CC	and
he	PP	he
'	POS	'
s	NN	S
a	DT	a
senior	JJ	senior
civilian	JJ	civilian
officer	NN	officer
there	RB	there
,	,	,
acts	NNS	act
as	IN	as
its	PP$	its
chief	JJ	chief
operating	VBG	operate
officer	NN	officer
,	,	,
guiding	VBG	guide
strategies	NNS	strategy
,	,	,
setting	VBG	set
internal	JJ	internal
policies	NNS	policy
,	,	,
and	CC	and
serving	VBG	serve
as	IN	as
the	DT	the
principal	JJ	principal
advisor	NN	advisor
to	TO	to
the	DT	the
director	NN	director
.	SENT	.
And	CC	and
all	RB	all
being	VBG	be
well	RB	well
,	,	,
welcome	VB	welcome
,	,	,
Rick	NP	Rick
Ledgett	NP	Ledgett
,	,	,
to	TO	to
TED	VB	ted
.	SENT	.
Richard	NP	Richard
Ledgett	NP	Ledgett
:	:	:
I	PP	I
'	POS	'
m	NN	m
really	RB	really
thankful	JJ	thankful
for	IN	for
the	DT	the
opportunity	NN	opportunity
to	TO	to
talk	VB	talk
to	TO	to
folks	NNS	folk
here	RB	here
.	SENT	.
I	PP	I
look	VBP	look
forward	RB	forward
to	TO	to
the	DT	the
conversation	NN	conversation
,	,	,
so	RB	so
thanks	NNS	thanks
for	IN	for
