Over	IN	over
the	DT	the
last	JJ	last
13	CD	@card@
years	NNS	year
—	:	-
one	CD	one
,	,	,
three	CD	three
,	,	,
13	CD	@card@
years	NNS	year
—	:	-
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
part	NN	part
of	IN	of
an	DT	an
exceptional	JJ	exceptional
team	NN	team
at	IN	at
InSightec	NP	<unknown>
in	IN	in
Israel	NP	Israel
and	CC	and
partners	NNS	partner
around	IN	around
the	DT	the
world	NN	world
for	IN	for
taking	VBG	take
this	DT	this
idea	NN	idea
,	,	,
this	DT	this
concept	NN	concept
,	,	,
noninvasive	JJ	noninvasive
surgery	NN	surgery
,	,	,
from	IN	from
the	DT	the
research	NN	research
lab	NN	lab
to	TO	to
routine	JJ	routine
clinical	JJ	clinical
use	NN	use
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
what	WP	what
I	PP	I
'	POS	'
ll	NNS	<unknown>
tell	VBP	tell
you	PP	you
about	RB	about
.	SENT	.
13	CD	@card@
years	NNS	year
—	:	-
for	IN	for
some	DT	some
of	IN	of
you	PP	you
,	,	,
you	PP	you
can	MD	can
empathize	VB	empathize
with	IN	with
that	DT	that
number	NN	number
.	SENT	.
For	IN	for
me	PP	me
,	,	,
today	NN	today
,	,	,
on	IN	on
this	DT	this
date	NN	date
,	,	,
it	PP	it
'	POS	'
s	NN	S
like	IN	like
a	DT	a
second	JJ	second
bar	NN	bar
mitzvah	NN	mitzvah
experience	NN	experience
.	SENT	.
So	IN	so
this	DT	this
dream	NN	dream
is	VBZ	be
really	RB	really
enabled	VBN	enable
by	IN	by
the	DT	the
convergence	NN	convergence
of	IN	of
two	CD	two
known	VBN	know
technologies	NNS	technology
.	SENT	.
One	PP	one
is	VBZ	be
the	DT	the
focused	JJ	focused
ultrasound	NN	ultrasound
,	,	,
and	CC	and
the	DT	the
other	JJ	other
one	CD	one
is	VBZ	be
the	DT	the
vision-enabled	JJ	<unknown>
magnetic	JJ	magnetic
resonance	NN	resonance
imaging	NN	imaging
.	SENT	.
So	IN	so
let	NN	let
'	POS	'
s	JJ	<unknown>
first	JJ	first
talk	NN	talk
about	IN	about
focused	JJ	focused
ultrasound	NN	ultrasound
.	SENT	.
And	CC	and
I	PP	I
hold	VBP	hold
in	IN	in
my	PP$	my
hand	NN	hand
a	DT	a
tissue-mimicking	JJ	<unknown>
phantom	NN	phantom
.	SENT	.
It	PP	it
is	VBZ	be
made	VBN	make
out	RP	out
of	IN	of
silicon	NN	silicon
.	SENT	.
It	PP	it
is	VBZ	be
transparent	JJ	transparent
,	,	,
made	VBN	make
just	RB	just
for	IN	for
you	PP	you
.	SENT	.
So	RB	so
you	PP	you
see	VBP	see
,	,	,
it	PP	it
'	POS	'
s	NN	S
all	RB	all
intact	JJ	intact
,	,	,
completely	RB	completely
transparent	JJ	transparent
.	SENT	.
I	NP	I
'	POS	'
ll	NNS	<unknown>
take	VBP	take
you	PP	you
now	RB	now
to	TO	to
the	DT	the
acoustic	JJ	acoustic
lab	NN	lab
.	SENT	.
You	PP	you
see	VBP	see
the	DT	the
phantom	NN	phantom
within	IN	within
the	DT	the
aquarium	NN	aquarium
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
setup	NN	setup
I	PP	I
put	VBD	put
in	IN	in
a	DT	a
physics	NN	physics
lab	NN	lab
.	SENT	.
On	IN	on
the	DT	the
right-hand	JJ	right-hand
side	NN	side
,	,	,
you	PP	you
see	VBP	see
an	DT	an
ultrasonic	JJ	ultrasonic
transducer	NN	transducer
.	SENT	.
So	IN	so
the	DT	the
ultrasonic	JJ	ultrasonic
transducer	NN	transducer
emits	VBZ	emit
basically	RB	basically
an	DT	an
ultrasonic	JJ	ultrasonic
beam	NN	beam
that	WDT	that
focuses	VBZ	focus
inside	IN	inside
the	DT	the
phantom	NN	phantom
.	SENT	.
Okay	RB	okay
,	,	,
when	WRB	when
you	PP	you
hear	VBP	hear
the	DT	the
click	NN	click
,	,	,
this	DT	this
is	VBZ	be
when	WRB	when
the	DT	the
energy	NN	energy
starts	VBZ	start
to	TO	to
emit	VB	emit
and	CC	and
you	PP	you
see	VBP	see
a	DT	a
little	JJ	little
lesion	NN	lesion
form	NN	form
inside	IN	inside
the	DT	the
phantom	NN	phantom
.	SENT	.
Okay	RB	okay
,	,	,
so	IN	so
everything	NN	everything
around	IN	around
it	PP	it
is	VBZ	be
whole	JJ	whole
and	CC	and
intact	JJ	intact
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
just	RB	just
a	DT	a
lesion	NN	lesion
formed	VBD	form
inside	RB	inside
.	SENT	.
So	RB	so
think	VB	think
about	RB	about
,	,	,
this	DT	this
is	VBZ	be
in	IN	in
your	PP$	your
brain	NN	brain
.	SENT	.
We	PP	we
need	VBP	need
to	TO	to
reach	VB	reach
a	DT	a
target	NN	target
inside	IN	inside
the	DT	the
brain	NN	brain
.	SENT	.
We	PP	we
can	MD	can
do	VB	do
it	PP	it
without	IN	without
harming	VBG	harm
any	DT	any
tissue	NN	tissue
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
,	,	,
I	PP	I
think	VBP	think
,	,	,
the	DT	the
first	JJ	first
kosher	JJ	kosher
Hippocratic	JJ	Hippocratic
surgical	JJ	surgical
system	NN	system
.	SENT	.
Okay	RB	okay
,	,	,
so	RB	so
let	VBD	let
'	''	'
s	NNS	<unknown>
talk	VBP	talk
a	DT	a
little	JJ	little
bit	NN	bit
about	IN	about
ultrasound	NN	ultrasound
,	,	,
the	DT	the
force	NN	force
of	IN	of
ultrasound	NN	ultrasound
.	SENT	.
You	PP	you
know	VBP	know
all	RB	all
about	IN	about
imaging	NN	imaging
,	,	,
right	RB	right
,	,	,
ultrasound	NN	ultrasound
imaging	NN	imaging
.	SENT	.
And	CC	and
you	PP	you
know	VBP	know
also	RB	also
