Nine	CD	nine
years	NNS	year
ago	RB	ago
,	,	,
my	PP$	my
sister	NN	sister
discovered	VBD	discover
lumps	NNS	lump
in	IN	in
her	PP$	her
neck	NN	neck
and	CC	and
arm	NN	arm
and	CC	and
was	VBD	be
diagnosed	VBN	diagnose
with	IN	with
cancer	NN	cancer
.	SENT	.
From	IN	from
that	DT	that
day	NN	day
,	,	,
she	PP	she
started	VBD	start
to	TO	to
benefit	VB	benefit
from	IN	from
the	DT	the
understanding	NN	understanding
that	IN	that
science	NN	science
has	VBZ	have
of	IN	of
cancer	NN	cancer
.	SENT	.
Every	DT	every
time	NN	time
she	PP	she
went	VBD	go
to	TO	to
the	DT	the
doctor	NN	doctor
,	,	,
they	PP	they
measured	VBD	measure
specific	JJ	specific
molecules	NNS	molecule
that	WDT	that
gave	VBD	give
them	PP	them
information	NN	information
about	IN	about
how	WRB	how
she	PP	she
was	VBD	be
doing	VBG	do
and	CC	and
what	WP	what
to	TO	to
do	VB	do
next	JJ	next
.	SENT	.
New	JJ	new
medical	JJ	medical
options	NNS	option
became	VBD	become
available	JJ	available
every	DT	every
few	JJ	few
years	NNS	year
.	SENT	.
Everyone	NN	everyone
recognized	VBD	recognize
that	IN	that
she	PP	she
was	VBD	be
struggling	VBG	struggle
heroically	RB	heroically
with	IN	with
a	DT	a
biological	JJ	biological
illness	NN	illness
.	SENT	.
This	DT	this
spring	NN	spring
,	,	,
she	PP	she
received	VBD	receive
an	DT	an
innovative	JJ	innovative
new	JJ	new
medical	JJ	medical
treatment	NN	treatment
in	IN	in
a	DT	a
clinical	JJ	clinical
trial	NN	trial
.	SENT	.
It	PP	it
dramatically	RB	dramatically
knocked	VBD	knock
back	RB	back
her	PP$	her
cancer	NN	cancer
.	SENT	.
Guess	VBP	guess
who	WP	who
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
spend	VB	spend
this	DT	this
Thanksgiving	NP	Thanksgiving
with	IN	with
?	SENT	?
My	PP$	my
vivacious	JJ	vivacious
sister	NN	sister
,	,	,
who	WP	who
gets	VBZ	get
more	JJR	more
exercise	NN	exercise
than	IN	than
I	PP	I
do	VBP	do
,	,	,
and	CC	and
who	WP	who
,	,	,
like	IN	like
perhaps	RB	perhaps
many	JJ	many
people	NNS	people
in	IN	in
this	DT	this
room	NN	room
,	,	,
increasingly	RB	increasingly
talks	NNS	talk
about	IN	about
a	DT	a
lethal	JJ	lethal
illness	NN	illness
in	IN	in
the	DT	the
past	JJ	past
tense	NN	tense
.	SENT	.
Science	NP	Science
can	MD	can
,	,	,
in	IN	in
our	PP$	our
lifetimes	NNS	lifetime
—	:	-
even	RB	even
in	IN	in
a	DT	a
decade	NN	decade
—	:	-
transform	VB	transform
what	WP	what
it	PP	it
means	VBZ	mean
to	TO	to
have	VB	have
a	DT	a
specific	JJ	specific
illness	NN	illness
.	SENT	.
But	CC	but
not	RB	not
for	IN	for
all	DT	all
illnesses	NNS	illness
.	SENT	.
My	PP$	my
friend	NN	friend
Robert	NP	Robert
and	CC	and
I	PP	I
were	VBD	be
classmates	NNS	classmate
in	IN	in
