OK	UH	OK
,	,	,
first	RB	first
,	,	,
some	DT	some
introductions	NNS	introduction
.	SENT	.
My	PP$	my
mom	NN	mom
,	,	,
Jennie	NP	Jennie
,	,	,
took	VBD	take
this	DT	this
picture	NN	picture
.	SENT	.
That	IN	that
'	''	'
s	VBG	<unknown>
my	PP$	my
dad	NN	dad
,	,	,
Frank	NP	Frank
,	,	,
in	IN	in
the	DT	the
middle	NN	middle
.	SENT	.
And	CC	and
on	IN	on
his	PP$	his
left	NN	left
,	,	,
my	PP$	my
sisters	NNS	sister
:	:	:
Mary	NP	Mary
Catherine	NP	Catherine
,	,	,
Judith	NP	Judith
Ann	NP	Ann
,	,	,
Theresa	NP	Theresa
Marie	NP	Marie
.	SENT	.
John	NP	John
Patrick	NP	Patrick
'	POS	'
s	NNS	<unknown>
sitting	VBG	sit
on	IN	on
his	PP$	his
lap	NN	lap
and	CC	and
Kevin	NP	Kevin
Michael	NP	Michael
'	POS	'
s	NN	S
on	IN	on
his	PP$	his
right	NN	right
.	SENT	.
And	CC	and
in	IN	in
the	DT	the
pale-blue	JJ	pale-blue
windbreaker	NN	windbreaker
,	,	,
Susan	NP	Susan
Diane	NP	Diane
.	SENT	.
Me	PP	me
.	SENT	.
I	PP	I
loved	VBD	love
growing	VBG	grow
up	RP	up
in	IN	in
a	DT	a
big	JJ	big
family	NN	family
.	SENT	.
And	CC	and
one	CD	one
of	IN	of
my	PP$	my
favorite	JJ	favorite
things	NNS	thing
was	VBD	be
picking	VBG	pick
names	NNS	name
.	SENT	.
But	CC	but
by	IN	by
the	DT	the
time	NN	time
child	NN	child
number	NN	number
seven	CD	seven
came	VBD	come
along	RP	along
,	,	,
we	PP	we
had	VBD	have
nearly	RB	nearly
run	VBN	run
out	RP	out
of	IN	of
middle	JJ	middle
names	NNS	name
.	SENT	.
It	PP	it
was	VBD	be
a	DT	a
long	JJ	long
deliberation	NN	deliberation
before	IN	before
we	PP	we
finally	RB	finally
settled	VBD	settle
on	IN	on
Jennifer	NP	Jennifer
Bridget	NP	Bridget
.	SENT	.
Every	DT	every
parent	NN	parent
in	IN	in
this	DT	this
audience	NN	audience
knows	VBZ	know
the	DT	the
joy	NN	joy
and	CC	and
excitement	NN	excitement
of	IN	of
picking	VBG	pick
a	DT	a
new	JJ	new
baby	NN	baby
'	POS	'
s	NN	S
name	NN	name
.	SENT	.
And	CC	and
I	PP	I
was	VBD	be
excited	VBN	excite
and	CC	and
thrilled	VBN	thrill
to	TO	to
help	VB	help
my	PP$	my
mom	NN	mom
in	IN	in
that	DT	that
special	JJ	special
ceremonial	JJ	ceremonial
moment	NN	moment
.	SENT	.
But	CC	but
it	PP	it
'	POS	'
s	NNS	<unknown>
not	RB	not
like	VBP	like
that	IN	that
everywhere	RB	everywhere
.	SENT	.
I	PP	I
travel	VBP	travel
a	DT	a
lot	NN	lot
and	CC	and
I	PP	I
see	VBP	see
a	DT	a
lot	NN	lot
.	SENT	.
But	CC	but
it	PP	it
took	VBD	take
me	PP	me
by	IN	by
surprise	NN	surprise
to	TO	to
learn	VB	learn
in	IN	in
an	DT	an
area	NN	area
of	IN	of
Ethiopia	NP	Ethiopia
,	,	,
parents	NNS	parent
delay	VBP	delay
picking	VBG	pick
the	DT	the
names	NNS	name
for	IN	for
their	PP$	their
new	JJ	new
babies	NNS	baby
by	IN	by
a	DT	a
month	NN	month
or	CC	or
more	JJR	more
.	SENT	.
Why	WRB	why
delay	VB	delay
?	SENT	?
Why	WRB	why
not	RB	not
take	VB	take
advantage	NN	advantage
of	IN	of
this	DT	this
special	JJ	special
ceremonial	JJ	ceremonial
time	NN	time
?	SENT	?
Well	RB	well
,	,	,
they	PP	they
delay	VBP	delay
because	IN	because
they	PP	they
'	POS	'
re	NN	re
afraid	JJ	afraid
.	SENT	.
They	PP	they
'	''	'
re	IN	re
afraid	JJ	afraid
their	PP$	their
baby	NN	baby
will	MD	will
die	VB	die
.	SENT	.
And	CC	and
this	DT	this
loss	NN	loss
might	MD	might
be	VB	be
a	DT	a
little	RB	little
more	RBR	more
bearable	JJ	bearable
without	IN	without
a	DT	a
name	NN	name
.	SENT	.
A	DT	a
face	NN	face
without	IN	without
a	DT	a
name	NN	name
might	MD	might
help	VB	help
them	PP	them
feel	VB	feel
just	RB	just
a	DT	a
little	RB	little
less	RBR	less
attached	VBN	attach
.	SENT	.
So	RB	so
here	RB	here
we	PP	we
are	VBP	be
in	IN	in
one	CD	one
part	NN	part
of	IN	of
the	DT	the
world	NN	world
—	:	-
a	DT	a
time	NN	time
of	IN	of
joy	NN	joy
,	,	,
excitement	NN	excitement
,	,	,
dreaming	VBG	dream
of	IN	of
the	DT	the
future	NN	future
of	IN	of
that	DT	that
child	NN	child
—	:	-
while	IN	while
in	IN	in
another	DT	another
world	NN	world
,	,	,
parents	NNS	parent
are	VBP	be
filled	VBN	fill
with	IN	with
dread	NN	dread
,	,	,
not	RB	not
daring	VBG	dare
to	TO	to
dream	VB	dream
of	IN	of
a	DT	a
future	NN	future
for	IN	for
their	PP$	their
child	NN	child
beyond	IN	beyond
a	DT	a
few	JJ	few
precious	JJ	precious
weeks	NNS	week
.	SENT	.
How	WRB	how
can	MD	can
that	RB	that
be	VB	be
?	SENT	?
How	WRB	how
can	MD	can
it	PP	it
be	VB	be
that	IN	that
2	CD	@card@
.	SENT	.
6	CD	@card@
million	CD	million
babies	NNS	baby
die	VBP	die
around	IN	around
the	DT	the
world	NN	world
before	IN	before
they	PP	they
