Fifteen	CD	fifteen
years	NNS	year
ago	RB	ago
,	,	,
it	PP	it
was	VBD	be
widely	RB	widely
assumed	VBN	assume
that	IN	that
the	DT	the
vast	JJ	vast
majority	NN	majority
of	IN	of
brain	NN	brain
development	NN	development
takes	VBZ	take
place	NN	place
in	IN	in
the	DT	the
first	JJ	first
few	JJ	few
years	NNS	year
of	IN	of
life	NN	life
.	SENT	.
Back	RB	back
then	RB	then
,	,	,
15	CD	@card@
years	NNS	year
ago	RB	ago
,	,	,
we	PP	we
didn	NNS	<unknown>
'	''	'
t	NN	t
have	VBP	have
the	DT	the
ability	NN	ability
to	TO	to
look	VB	look
inside	IN	inside
the	DT	the
living	JJ	living
human	JJ	human
brain	NN	brain
and	CC	and
track	NN	track
development	NN	development
across	IN	across
the	DT	the
lifespan	NN	lifespan
.	SENT	.
In	IN	in
the	DT	the
past	JJ	past
decade	NN	decade
or	CC	or
so	RB	so
,	,	,
mainly	RB	mainly
due	JJ	due
to	TO	to
advances	NNS	advance
in	IN	in
brain	NN	brain
imaging	NN	imaging
technology	NN	technology
such	JJ	such
as	IN	as
magnetic	JJ	magnetic
resonance	NN	resonance
imaging	NN	imaging
,	,	,
or	CC	or
MRI	NP	MRI
,	,	,
neuroscientists	NNS	neuroscientist
have	VBP	have
started	VBN	start
to	TO	to
look	VB	look
inside	IN	inside
the	DT	the
living	JJ	living
human	JJ	human
brain	NN	brain
of	IN	of
all	DT	all
ages	NNS	age
,	,	,
and	CC	and
to	TO	to
track	VB	track
changes	NNS	change
in	IN	in
brain	NN	brain
structure	NN	structure
and	CC	and
brain	NN	brain
function	NN	function
,	,	,
so	RB	so
we	PP	we
use	VBP	use
structural	JJ	structural
MRI	NP	MRI
if	IN	if
you	PP	you
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
take	VB	take
a	DT	a
snapshot	NN	snapshot
,	,	,
a	DT	a
photograph	NN	photograph
,	,	,
at	IN	at
really	RB	really
high	JJ	high
resolution	NN	resolution
of	IN	of
the	DT	the
inside	NN	inside
of	IN	of
the	DT	the
living	JJ	living
human	JJ	human
brain	NN	brain
,	,	,
and	CC	and
we	PP	we
can	MD	can
ask	VB	ask
questions	NNS	question
like	IN	like
,	,	,
how	WRB	how
much	JJ	much
gray	JJ	gray
matter	NN	matter
does	VBZ	do
the	DT	the
brain	NN	brain
contain	VBP	contain
,	,	,
and	CC	and
how	WRB	how
does	VBZ	do
that	DT	that
change	NN	change
with	IN	with
age	NN	age
?	SENT	?
And	CC	and
we	PP	we
also	RB	also
use	VBP	use
functional	JJ	functional
MRI	NP	MRI
,	,	,
called	VBD	call
fMRI	NNS	<unknown>
,	,	,
to	TO	to
take	VB	take
a	DT	a
video	NN	video
,	,	,
a	DT	a
movie	NN	movie
,	,	,
of	IN	of
brain	NN	brain
activity	NN	activity
when	WRB	when
participants	NNS	participant
are	VBP	be
taking	VBG	take
part	NN	part
in	IN	in
some	DT	some
kind	NN	kind
of	IN	of
task	NN	task
like	IN	like
thinking	VBG	think
or	CC	or
feeling	VBG	feel
or	CC	or
perceiving	VBG	perceive
something	NN	something
