Five	CD	five
years	NNS	year
ago	RB	ago
,	,	,
I	PP	I
experienced	VBD	experience
a	DT	a
bit	NN	bit
of	IN	of
what	WP	what
it	PP	it
must	MD	must
have	VB	have
been	VBN	be
like	JJ	like
to	TO	to
be	VB	be
Alice	NP	Alice
in	IN	in
Wonderland	NN	wonderland
.	SENT	.
Penn	NP	Penn
State	NP	State
asked	VBD	ask
me	PP	me
,	,	,
a	DT	a
communications	NNS	communication
teacher	NN	teacher
,	,	,
to	TO	to
teach	VB	teach
a	DT	a
communications	NNS	communication
class	NN	class
for	IN	for
engineering	NN	engineering
students	NNS	student
.	SENT	.
And	CC	and
I	PP	I
was	VBD	be
scared	VBN	scare
.	SENT	.
Really	RB	really
scared	VBN	scare
.	SENT	.
Scared	VBN	scare
of	IN	of
these	DT	these
students	NNS	student
with	IN	with
their	PP$	their
big	JJ	big
brains	NNS	brain
and	CC	and
their	PP$	their
big	JJ	big
books	NNS	book
and	CC	and
their	PP$	their
big	JJ	big
,	,	,
unfamiliar	JJ	unfamiliar
words	NNS	word
.	SENT	.
But	CC	but
as	IN	as
these	DT	these
conversations	NNS	conversation
unfolded	VBD	unfold
,	,	,
I	PP	I
experienced	VBD	experience
what	WP	what
Alice	NP	Alice
must	MD	must
have	VB	have
when	WRB	when
she	PP	she
went	VBD	go
down	RP	down
that	DT	that
rabbit	NN	rabbit
hole	NN	hole
and	CC	and
saw	VBD	see
that	DT	that
door	NN	door
to	TO	to
a	DT	a
whole	JJ	whole
new	JJ	new
world	NN	world
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
just	RB	just
how	WRB	how
I	PP	I
felt	VBD	feel
as	IN	as
I	PP	I
had	VBD	have
those	DT	those
conversations	NNS	conversation
with	IN	with
the	DT	the
students	NNS	student
.	SENT	.
I	PP	I
was	VBD	be
amazed	VBN	amaze
at	IN	at
the	DT	the
ideas	NNS	idea
that	IN	that
they	PP	they
had	VBD	have
,	,	,
and	CC	and
I	PP	I
wanted	VBD	want
others	NNS	other
to	TO	to
experience	VB	experience
this	DT	this
wonderland	NN	wonderland
as	IN	as
well	RB	well
.	SENT	.
And	CC	and
I	PP	I
believe	VBP	believe
the	DT	the
key	NN	key
to	TO	to
opening	VBG	open
that	IN	that
door	NN	door
is	VBZ	be
great	JJ	great
communication	NN	communication
.	SENT	.
We	PP	we
desperately	RB	desperately
need	VBP	need
great	JJ	great
communication	NN	communication
from	IN	from
our	PP$	our
scientists	NNS	scientist
and	CC	and
engineers	NNS	engineer
in	IN	in
order	NN	order
to	TO	to
change	VB	change
the	DT	the
world	NN	world
.	SENT	.
Our	PP$	our
scientists	NNS	scientist
and	CC	and
engineers	NNS	engineer
are	VBP	be
the	DT	the
ones	NNS	one
that	WDT	that
are	VBP	be
tackling	VBG	tackle
our	PP$	our
grandest	JJS	grand
challenges	NNS	challenge
,	,	,
from	IN	from
energy	NN	energy
to	TO	to
environment	NN	environment
to	TO	to
health	NN	health
care	NN	care
,	,	,
among	IN	among
others	NNS	other
,	,	,
and	CC	and
if	IN	if
we	PP	we
don	NN	don
'	POS	'
t	NN	t
