So	RB	so
,	,	,
I	PP	I
had	VBD	have
been	VBN	be
a	DT	a
photographer	NN	photographer
for	IN	for
18	CD	@card@
years	NNS	year
before	IN	before
I	PP	I
began	VBD	begin
the	DT	the
Microsculpture	NP	<unknown>
Project	NP	Project
.	SENT	.
And	CC	and
in	IN	in
that	DT	that
time	NN	time
,	,	,
I	PP	I
had	VBD	have
shot	VBN	shoot
global	JJ	global
ad	NN	ad
campaigns	NNS	campaign
,	,	,
I	PP	I
had	VBD	have
the	DT	the
opportunity	NN	opportunity
to	TO	to
photograph	VB	photograph
some	DT	some
of	IN	of
my	PP$	my
generation	NN	generation
'	POS	'
s	NN	S
icons	NNS	icon
,	,	,
and	CC	and
I	PP	I
was	VBD	be
traveling	VBG	travel
the	DT	the
world	NN	world
.	SENT	.
I	PP	I
got	VBD	get
to	TO	to
a	DT	a
point	NN	point
in	IN	in
my	PP$	my
career	NN	career
that	IN	that
I	PP	I
dreamed	VBD	dream
of	IN	of
getting	VBG	get
to	TO	to
,	,	,
and	CC	and
yet	RB	yet
,	,	,
for	IN	for
some	DT	some
reason	NN	reason
,	,	,
I	PP	I
still	RB	still
felt	VBD	feel
a	DT	a
little	JJ	little
bit	NN	bit
unfulfilled	JJ	unfulfilled
.	SENT	.
Despite	IN	despite
the	DT	the
extraordinary	JJ	extraordinary
things	NNS	thing
I	PP	I
was	VBD	be
shooting	VBG	shoot
and	CC	and
experiencing	VBG	experience
,	,	,
they	PP	they
'	POS	'
d	NN	d
started	VBD	start
to	TO	to
feel	VB	feel
a	DT	a
little	JJ	little
bit	NN	bit
ordinary	JJ	ordinary
to	TO	to
me	PP	me
.	SENT	.
I	PP	I
was	VBD	be
also	RB	also
getting	VBG	get
concerned	JJ	concerned
about	IN	about
how	WRB	how
disposable	JJ	disposable
photography	NN	photography
had	VBD	have
started	VBN	start
to	TO	to
feel	VB	feel
in	IN	in
the	DT	the
digital	JJ	digital
world	NN	world
,	,	,
and	CC	and
I	PP	I
really	RB	really
wanted	VBD	want
to	TO	to
produce	VB	produce
images	NNS	image
that	WDT	that
had	VBD	have
a	DT	a
sense	NN	sense
of	IN	of
worth	NN	worth
again	RB	again
.	SENT	.
And	CC	and
I	PP	I
needed	VBD	need
a	DT	a
subject	NN	subject
that	WDT	that
felt	VBD	feel
extraordinary	JJ	extraordinary
.	SENT	.
Sometimes	RB	sometimes
I	PP	I
wish	VBP	wish
I	PP	I
had	VBD	have
the	DT	the
eyes	NNS	eye
of	IN	of
a	DT	a
child	NN	child
.	SENT	.
And	CC	and
by	IN	by
that	WDT	that
I	PP	I
mean	VBP	mean
,	,	,
I	PP	I
wish	VBP	wish
I	PP	I
could	MD	could
look	VB	look
at	IN	at
the	DT	the
world	NN	world
in	IN	in
the	DT	the
same	JJ	same
as	IN	as
I	PP	I
did	VBD	do
when	WRB	when
I	PP	I
was	VBD	be
a	DT	a
small	JJ	small
boy	NN	boy
.	SENT	.
I	PP	I
think	VBP	think
there	EX	there
is	VBZ	be
a	DT	a
danger	NN	danger
,	,	,
as	IN	as
we	PP	we
get	VBP	get
older	JJR	old
,	,	,
that	IN	that
our	PP$	our
curiosity	NN	curiosity
becomes	VBZ	become
slightly	RB	slightly
muted	VBN	mute
or	CC	or
dulled	VBN	dull
by	IN	by
familiarity	NN	familiarity
.	SENT	.
And	CC	and
as	IN	as
a	DT	a
visual	JJ	visual
creator	NN	creator
,	,	,
one	CD	one
of	IN	of
the	DT	the
challenges	NNS	challenge
for	IN	for
me	PP	me
is	VBZ	be
to	TO	to
present	VB	present
the	DT	the
familiar	JJ	familiar
in	IN	in
a	DT	a
new	JJ	new
and	CC	and
engaging	JJ	engaging
way	NN	way
.	SENT	.
Fortunately	RB	fortunately
for	IN	for
me	PP	me
,	,	,
though	RB	though
,	,	,
I	PP	I
'	POS	'
ve	NN	ve
got	VBD	get
two	CD	two
great	JJ	great
kids	NNS	kid
who	WP	who
are	VBP	be
still	RB	still
curious	JJ	curious
about	IN	about
the	DT	the
world	NN	world
.	SENT	.
Sebastian	NP	Sebastian
—	:	-
he	PP	he
'	POS	'
s	NN	S
still	RB	still
curious	JJ	curious
about	IN	about
the	DT	the
world	NN	world
,	,	,
and	CC	and
in	IN	in
2014	CD	@card@
,	,	,
in	IN	in
spring	NN	spring
,	,	,
he	PP	he
brought	VBD	bring
in	IN	in
a	DT	a
ground	NN	ground
beetle	NN	beetle
from	IN	from
the	DT	the
garden	NN	garden
.	SENT	.
There	EX	there
was	VBD	be
nothing	NN	nothing
particularly	RB	particularly
special	JJ	special
about	IN	about
this	DT	this
insect	NN	insect
—	:	-
you	PP	you
know	VBP	know
,	,	,
it	PP	it
was	VBD	be
a	DT	a
common	JJ	common
species	NN	species
.	SENT	.
But	CC	but
he	PP	he
was	VBD	be
still	RB	still
curious	JJ	curious
,	,	,
and	CC	and
he	PP	he
brought	VBD	bring
it	PP	it
up	RP	up
to	TO	to
my	PP$	my
office	NN	office
,	,	,
and	CC	and
we	PP	we
decided	VBD	decide
to	TO	to
look	VB	look
at	IN	at
it	PP	it
under	IN	under
his	PP$	his
microscope	NN	microscope
.	SENT	.
He	PP	he
had	VBD	have
a	DT	a
little	JJ	little
science	NN	science
kit	NN	kit
for	IN	for
Christmas	NP	Christmas
.	SENT	.
