Adam	NP	Adam
Grant	NP	Grant
:	:	:
I	PP	I
'	POS	'
m	NN	m
actually	RB	actually
curious	JJ	curious
about	IN	about
this	DT	this
idea	NN	idea
of	IN	of
putting	VBG	put
people	NNS	people
at	IN	at
ease	NN	ease
.	SENT	.
How	WRB	how
do	VBP	do
you	PP	you
think	VBP	think
about	RB	about
doing	VBG	do
that	IN	that
when	WRB	when
you	PP	you
show	VBP	show
up	RP	up
?	SENT	?
Justin	NP	Justin
Trudeau	NP	Trudeau
:	:	:
I	PP	I
don	VBP	don
'	''	'
t	NN	t
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
think	VBP	think
about	IN	about
it	PP	it
.	SENT	.
Being	VBG	be
able	JJ	able
to	TO	to
just	RB	just
try	VB	try
and	CC	and
get	VB	get
through	IN	through
people	NNS	people
'	POS	'
s	NNS	<unknown>
preconceived	VBD	preconceive
notions	NNS	notion
or	CC	or
expectations	NNS	expectation
or	CC	or
nervousness	NN	nervousness
to	TO	to
try	VB	try
and	CC	and
have	VBP	have
a	DT	a
real	JJ	real
conversation	NN	conversation
as	IN	as
quickly	RB	quickly
as	RB	as
possible	JJ	possible
is	VBZ	be
just	RB	just
something	NN	something
that	IN	that
I	PP	I
guess	VBP	guess
.	SENT	.
.	SENT	.
.	SENT	.
I	PP	I
guess	VBP	guess
I	PP	I
learned	VBD	learn
how	WRB	how
to	TO	to
try	VB	try
to	TO	to
do	VB	do
throughout	IN	throughout
my	PP$	my
life	NN	life
.	SENT	.
Talking	VBG	talk
about	IN	about
the	DT	the
weather	NN	weather
always	RB	always
sort	RB	sort
of	IN	of
bored	VBN	bore
me	PP	me
,	,	,
but	CC	but
actually	RB	actually
having	VBG	have
real	JJ	real
conversations	NNS	conversation
about	IN	about
things	NNS	thing
that	IN	that
matter	NN	matter
was	VBD	be
what	WP	what
I	PP	I
always	RB	always
wanted	VBD	want
to	TO	to
do	VB	do
whenever	WRB	whenever
I	PP	I
'	POS	'
d	NN	d
meet	VB	meet
anyone	NN	anyone
.	SENT	.
And	CC	and
people	NNS	people
would	MD	would
come	VB	come
at	IN	at
me	PP	me
with	IN	with
a	DT	a
certain	JJ	certain
amount	NN	amount
of	IN	of
preconceptions	NNS	preconception
because	IN	because
my	PP$	my
father	NN	father
was	VBD	be
prime	JJ	prime
minister	NN	minister
and	CC	and
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
known	VBN	know
factor	NN	factor
around	IN	around
me	PP	me
that	IN	that
getting	VBG	get
them	PP	them
to	TO	to
a	DT	a
place	NN	place
where	WRB	where
they	PP	they
could	MD	could
actually	RB	actually
be	VB	be
comfortable	JJ	comfortable
in	IN	in
being	VBG	be
themselves	PP	themselves
quickly	RB	quickly
became	VBD	become
something	NN	something
that	IN	that
I	PP	I
wanted	VBD	want
to	TO	to
see	VB	see
and	CC	and
do	VB	do
in	IN	in
all	PDT	all
my	PP$	my
interactions	NNS	interaction
.	SENT	.
AG	NP	AG
:	:	:
Mission	NN	mission
accomplished	VBN	accomplish
.	SENT	.
JT	NP	JT
:	:	:
There	RB	there
you	PP	you
go	VBP	go
.	SENT	.
AG	NP	AG
:	:	:
This	DT	this
is	VBZ	be
something	NN	something
of	IN	of
the	DT	the
family	NN	family
business	NN	business
.	SENT	.
You	PP	you
got	VBD	get
to	TO	to
see	VB	see
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
job	NN	job
up	RB	up
close	RB	close
long	JJ	long
before	IN	before
you	PP	you
took	VBD	take
it	PP	it
.	SENT	.
What	WP	what
surprised	VBD	surprise
you	PP	you
the	DT	the
most	JJS	most
that	IN	that
you	PP	you
didn	NNS	<unknown>
'	POS	'
t	NN	t
expect	VBP	expect
?	SENT	?
JT	NP	JT
:	:	:
Yeah	RB	yeah
,	,	,
my	PP$	my
first	JJ	first
13	CD	@card@
years	NNS	year
of	IN	of
life	NN	life
growing	VBG	grow
up	RP	up
with	IN	with
my	PP$	my
dad	NN	dad
in	IN	in
this	DT	this
role	NN	role
was	VBD	be
the	DT	the
international	JJ	international
summits	NNS	summit
,	,	,
was	VBD	be
the	DT	the
speeches	NNS	speech
,	,	,
was	VBD	be
the	DT	the
people	NNS	people
coming	VBG	come
up	RP	up
to	TO	to
him	PP	him
in	IN	in
restaurants	NNS	restaurant
for	IN	for
the	DT	the
rest	NN	rest
of	IN	of
his	PP$	his
life	NN	life
saying	VBG	say
,	,	,
"	``	"
Thank	VB	thank
you	PP	you
for	IN	for
doing	VBG	do
this	DT	this
.	SENT	.
"	''	"
"	``	"
Thank	VB	thank
you	PP	you
for	IN	for
doing	VBG	do
that	DT	that
.	SENT	.
"	``	"
And	CC	and
it	PP	it
was	VBD	be
always	RB	always
the	DT	the
big	JJ	big
things	NNS	thing
.	SENT	.
The	DT	the
little	JJ	little
things	NNS	thing
were	VBD	be
the	DT	the
things	NNS	thing
I	PP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
see	VBP	see
as	IN	as
a	DT	a
kid	NN	kid
that	IN	that
really	RB	really
matter	NN	matter
.	SENT	.
When	WRB	when
I	PP	I
first	RB	first
got	VBD	get
elected	VBN	elect
,	,	,
I	NP	I
wasn	NP	<unknown>
'	POS	'
t	NN	t
leader	NN	leader
,	,	,
I	NP	I
wasn	NP	<unknown>
'	POS	'
t	NN	t
even	RB	even
on	IN	on
the	DT	the
government	NN	government
side	NN	side
.	SENT	.
I	PP	I
was	VBD	be
just	RB	just
a	DT	a
simple	JJ	simple
backbench	NN	backbench
MP	NN	MP
discovering	VBG	discover
the	DT	the
ways	NNS	way
in	IN	in
which	WDT	which
being	NN	being
a	DT	a
community	NN	community
'	POS	'
s	NN	S
representative	NN	representative
,	,	,
being	VBG	be
their	PP$	their
voice	NN	voice
here	RB	here
in	IN	in
Ottawa	NP	Ottawa
,	,	,
being	VBG	be
in	IN	in
service	NN	service
of	IN	of
people	NNS	people
,	,	,
even	RB	even
if	IN	if
you	PP	you
'	POS	'
re	NN	re
not	RB	not
in	IN	in
government	NN	government
,	,	,
even	RB	even
if	IN	if
you	PP	you
'	POS	'
re	NN	re
not	RB	not
in	IN	in
charge	NN	charge
,	,	,
actually	RB	actually
makes	VBZ	make
a	DT	a
difference	NN	difference
.	SENT	.
And	CC	and
discovering	VBG	discover
that	IN	that
made	VBN	make
this	DT	this
job	NN	job
a	DT	a
lot	NN	lot
more	JJR	more
like	IN	like
what	WP	what
I	PP	I
knew	VBD	know
professionally	RB	professionally
,	,	,
which	WDT	which
was	VBD	be
being	VBG	be
a	DT	a
teacher	NN	teacher
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
those	DT	those
