Good	JJ	good
morning	NN	morning
everyone	NN	everyone
.	SENT	.
First	JJ	first
of	IN	of
all	DT	all
,	,	,
it	PP	it
'	POS	'
s	RB	<unknown>
been	VBN	be
fantastic	JJ	fantastic
being	VBG	be
here	RB	here
over	IN	over
these	DT	these
past	JJ	past
few	JJ	few
days	NNS	day
.	SENT	.
And	CC	and
secondly	RB	secondly
,	,	,
I	PP	I
feel	VBP	feel
it	PP	it
'	''	'
s	VBG	<unknown>
a	DT	a
great	JJ	great
honor	NN	honor
to	TO	to
kind	NN	kind
of	IN	of
wind	NN	wind
up	IN	up
this	DT	this
extraordinary	JJ	extraordinary
gathering	NN	gathering
of	IN	of
people	NNS	people
,	,	,
these	DT	these
amazing	JJ	amazing
talks	NNS	talk
that	IN	that
we	PP	we
'	POS	'
ve	NN	ve
had	VBD	have
.	SENT	.
I	PP	I
feel	VBP	feel
that	IN	that
I	NP	I
'	POS	'
ve	NN	ve
fitted	VBD	fit
in	IN	in
,	,	,
in	IN	in
many	JJ	many
ways	NNS	way
,	,	,
to	TO	to
some	DT	some
of	IN	of
the	DT	the
things	NNS	thing
that	IN	that
I	NP	I
'	POS	'
ve	NN	ve
heard	VBD	hear
.	SENT	.
I	PP	I
came	VBD	come
directly	RB	directly
here	RB	here
from	IN	from
the	DT	the
deep	JJ	deep
,	,	,
deep	JJ	deep
tropical	JJ	tropical
rainforest	NN	rainforest
in	IN	in
Ecuador	NP	Ecuador
,	,	,
where	WRB	where
I	PP	I
was	VBD	be
out	RP	out
—	:	-
you	PP	you
could	MD	could
only	RB	only
get	VB	get
there	RB	there
by	IN	by
a	DT	a
plane	NN	plane
—	:	-
with	IN	with
indigenous	JJ	indigenous
people	NNS	people
with	IN	with
paint	NN	paint
on	IN	on
their	PP$	their
faces	NNS	face
and	CC	and
parrot	NN	parrot
feathers	NNS	feather
on	IN	on
their	PP$	their
headdresses	NNS	headdress
,	,	,
where	WRB	where
these	DT	these
people	NNS	people
are	VBP	be
fighting	VBG	fight
to	TO	to
try	VB	try
and	CC	and
keep	VB	keep
the	DT	the
oil	NN	oil
companies	NNS	company
,	,	,
and	CC	and
keep	VB	keep
the	DT	the
roads	NNS	road
,	,	,
out	RB	out
of	IN	of
their	PP$	their
forests	NNS	forest
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
fighting	VBG	fight
to	TO	to
develop	VB	develop
their	PP$	their
own	JJ	own
way	NN	way
of	IN	of
living	VBG	live
within	IN	within
the	DT	the
forest	NN	forest
in	IN	in
a	DT	a
world	NN	world
that	RB	that
'	POS	'
s	NNS	<unknown>
clean	JJ	clean
,	,	,
a	DT	a
world	NN	world
that	IN	that
isn	NP	isn
'	POS	'
t	NN	t
contaminated	JJ	contaminated
,	,	,
a	DT	a
world	NN	world
that	IN	that
isn	NP	isn
'	POS	'
t	NN	t
polluted	VBD	pollute
.	SENT	.
And	CC	and
what	WP	what
was	VBD	be
so	RB	so
amazing	JJ	amazing
to	TO	to
me	PP	me
,	,	,
and	CC	and
what	WP	what
fits	VBZ	fit
right	RB	right
in	IN	in
with	IN	with
what	WP	what
we	PP	we
'	''	'
re	IN	re
all	DT	all
talking	VBG	talk
about	RB	about
here	RB	here
at	IN	at
TED	VB	ted
,	,	,
is	VBZ	be
that	IN	that
there	EX	there
,	,	,
right	RB	right
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
this	DT	this
rainforest	NN	rainforest
,	,	,
was	VBD	be
some	DT	some
solar	JJ	solar
panels	NNS	panel
—	:	-
the	DT	the
first	JJ	first
in	IN	in
that	DT	that
part	NN	part
of	IN	of
Ecuador	NP	Ecuador
—	:	-
and	CC	and
that	WDT	that
was	VBD	be
mainly	RB	mainly
to	TO	to
bring	VB	bring
water	NN	water
up	RB	up
by	IN	by
pump	VB	pump
so	RB	so
that	IN	that
the	DT	the
women	NNS	woman
wouldn	NN	<unknown>
'	POS	'
t	NN	t
have	VBP	have
to	TO	to
go	VB	go
down	RP	down
.	SENT	.
The	DT	the
water	NN	water
was	VBD	be
cleaned	VBN	clean
,	,	,
but	CC	but
because	IN	because
they	PP	they
got	VBD	get
a	DT	a
lot	NN	lot
of	IN	of
batteries	NNS	battery
,	,	,
they	PP	they
were	VBD	be
able	JJ	able
to	TO	to
store	VB	store
a	DT	a
lot	NN	lot
of	IN	of
electricity	NN	electricity
.	SENT	.
So	IN	so
every	DT	every
house	NN	house
—	:	-
and	CC	and
there	EX	there
were	VBD	be
,	,	,
I	PP	I
think	VBP	think
,	,	,
eight	CD	eight
houses	NNS	house
in	IN	in
this	DT	this
little	JJ	little
community	NN	community
—	:	-
could	MD	could
have	VB	have
light	JJ	light
for	IN	for
,	,	,
I	PP	I
think	VBP	think
it	PP	it
was	VBD	be
about	IN	about
half	PDT	half
an	DT	an
hour	NN	hour
each	DT	each
evening	NN	evening
.	SENT	.
And	CC	and
there	EX	there
is	VBZ	be
the	DT	the
Chief	NP	Chief
,	,	,
in	IN	in
all	PDT	all
his	PP$	his
regal	JJ	regal
finery	NN	finery
,	,	,
with	IN	with
a	DT	a
laptop	JJ	laptop
computer	NN	computer
.	SENT	.
And	CC	and
this	DT	this
man	NN	man
,	,	,
he	PP	he
has	VBZ	have
been	VBN	be
outside	JJ	outside
,	,	,
but	CC	but
he	PP	he
'	POS	'
s	NNS	<unknown>
gone	VBN	go
back	RB	back
,	,	,
and	CC	and
he	PP	he
was	VBD	be
saying	VBG	say
,	,	,
"	``	"
You	PP	you
know	VBP	know
,	,	,
we	PP	we
have	VBP	have
suddenly	RB	suddenly
jumped	VBN	jump
into	IN	into
a	DT	a
whole	JJ	whole
new	JJ	new
era	NN	era
,	,	,
and	CC	and
we	PP	we
didn	NP	<unknown>
'	POS	'
t	NN	t
even	RB	even
know	VBP	know
about	IN	about
the	DT	the
white	JJ	white
man	NN	man
50	CD	@card@
years	NNS	year
ago	RB	ago
,	,	,
and	CC	and
now	RB	now
here	RB	here
we	PP	we
are	VBP	be
with	IN	with
laptop	JJ	laptop
computers	NNS	computer
,	,	,
and	CC	and
there	EX	there
are	VBP	be
some	DT	some
things	NNS	thing
we	PP	we
want	VBP	want
to	TO	to
learn	VB	learn
from	IN	from
the	DT	the
modern	JJ	modern
world	NN	world
.	SENT	.
We	PP	we
want	VBP	want
to	TO	to
know	VB	know
about	IN	about
health	NN	health
care	NN	care
.	SENT	.
We	PP	we
want	VBP	want
to	TO	to
know	VB	know
about	RB	about
what	WP	what
other	JJ	other
people	NNS	people
do	VBP	do
—	:	-
we	PP	we
'	POS	'
re	NN	re
interested	JJ	interested
in	IN	in
it	PP	it
.	SENT	.
And	CC	and
we	PP	we
want	VBP	want
to	TO	to
learn	VB	learn
other	JJ	other
languages	NNS	language
.	SENT	.
We	PP	we
want	VBP	want
to	TO	to
know	VB	know
English	JJ	English
and	CC	and
French	JJ	French
and	CC	and
perhaps	RB	perhaps
Chinese	JJ	Chinese
,	,	,
and	CC	and
we	PP	we
'	POS	'
re	NN	re
good	JJ	good
at	IN	at
languages	NNS	language
.	SENT	.
"	''	"
So	RB	so
there	EX	there
he	PP	he
is	VBZ	be
with	IN	with
his	PP$	his
little	JJ	little
laptop	NN	laptop
computer	NN	computer
,	,	,
but	CC	but
fighting	VBG	fight
against	IN	against
the	DT	the
might	NN	might
of	IN	of
the	DT	the
pressures	NNS	pressure
—	:	-
because	IN	because
of	IN	of
the	DT	the
debt	NN	debt
,	,	,
the	DT	the
foreign	JJ	foreign
debt	NN	debt
of	IN	of
Ecuador	NP	Ecuador
—	:	-
fighting	VBG	fight
the	DT	the
pressure	NN	pressure
of	IN	of
World	NP	World
Bank	NP	Bank
,	,	,
IMF	NP	IMF
,	,	,
and	CC	and
of	IN	of
course	NN	course
the	DT	the
people	NNS	people
who	WP	who
want	VBP	want
to	TO	to
exploit	VB	exploit
the	DT	the
forests	NNS	forest
and	CC	and
take	VB	take
out	RP	out
the	DT	the
oil	NN	oil
.	SENT	.
And	CC	and
so	RB	so
,	,	,
coming	VBG	come
directly	RB	directly
from	IN	from
there	EX	there
to	TO	to
here	RB	here
.	SENT	.
But	CC	but
,	,	,
of	IN	of
course	NN	course
,	,	,
my	PP$	my
real	JJ	real
field	NN	field
of	IN	of
expertise	NN	expertise
lies	VBZ	lie
in	IN	in
an	DT	an
even	RB	even
different	JJ	different
kind	NN	kind
of	IN	of
civilization	NN	civilization
—	:	-
I	PP	I
can	MD	can
'	''	'
t	NN	t
really	RB	really
call	VBP	call
it	PP	it
a	DT	a
civilization	NN	civilization
.	SENT	.
A	DT	a
different	JJ	different
way	NN	way
of	IN	of
life	NN	life
,	,	,
a	DT	a
different	JJ	different
being	NN	being
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
talked	VBD	talk
earlier	RBR	earlier
—	:	-
this	DT	this
wonderful	JJ	wonderful
talk	NN	talk
by	IN	by
Wade	NP	Wade
Davis	NP	Davis
about	IN	about
the	DT	the
different	JJ	different
cultures	NNS	culture
of	IN	of
the	DT	the
humans	NNS	human
around	IN	around
the	DT	the
world	NN	world
—	:	-
but	CC	but
the	DT	the
world	NN	world
is	VBZ	be
not	RB	not
composed	VBN	compose
only	RB	only
of	IN	of
human	JJ	human
beings	NNS	being
;	:	;
there	EX	there
are	VBP	be
also	RB	also
other	JJ	other
animal	NN	animal
beings	NNS	being
.	SENT	.
And	CC	and
I	PP	I
propose	VBP	propose
to	TO	to
bring	VB	bring
into	IN	into
this	DT	this
TED	VBP	ted
conference	NN	conference
,	,	,
as	IN	as
I	PP	I
always	RB	always
do	VBP	do
around	IN	around
the	DT	the
world	NN	world
,	,	,
the	DT	the
voice	NN	voice
of	IN	of
the	DT	the
animal	JJ	animal
kingdom	NN	kingdom
.	SENT	.
Too	RB	too
often	RB	often
we	PP	we
just	RB	just
see	VBP	see
a	DT	a
few	JJ	few
slides	NNS	slide
,	,	,
or	CC	or
a	DT	a
bit	NN	bit
of	IN	of
film	NN	film
,	,	,
but	CC	but
these	DT	these
beings	NNS	being
have	VBP	have
voices	NNS	voice
that	WDT	that
mean	VBP	mean
something	NN	something
.	SENT	.
And	CC	and
so	RB	so
,	,	,
I	PP	I
want	VBP	want
to	TO	to
give	VB	give
you	PP	you
a	DT	a
greeting	NN	greeting
,	,	,
as	RB	as
from	IN	from
a	DT	a
chimpanzee	NN	chimpanzee
in	IN	in
the	DT	the
forests	NNS	forest
of	IN	of
Tanzania	NP	Tanzania
—	:	-
Ooh	NP	Ooh
,	,	,
ooh	NP	ooh
,	,	,
ooh	NP	ooh
,	,	,
ooh	NP	ooh
,	,	,
ooh	NP	ooh
,	,	,
ooh	NP	ooh
,	,	,
ooh	NP	ooh
,	,	,
ooh	NP	ooh
,	,	,
ooh	NP	ooh
,	,	,
ooh	NP	ooh
,	,	,
ooh	NP	ooh
,	,	,
ooh	NP	ooh
,	,	,
ooh	NP	ooh
,	,	,
ooh	NP	ooh
,	,	,
