Hi	NP	Hi
everyone	NN	everyone
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
an	DT	an
artist	NN	artist
and	CC	and
a	DT	a
dad	NN	dad
â	NP	<unknown>
second	JJ	second
time	NN	time
around	RB	around
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
And	CC	and
I	PP	I
want	VBP	want
to	TO	to
share	VB	share
with	IN	with
you	PP	you
my	PP$	my
latest	JJS	late
art	NN	art
project	NN	project
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
children	NNS	child
'	POS	'
s	NN	S
book	NN	book
for	IN	for
the	DT	the
iPad	NN	<unknown>
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
little	JJ	little
quirky	JJ	quirky
and	CC	and
silly	JJ	silly
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
called	VBD	call
"	``	"
Pop-It	NP	<unknown>
,	,	,
"	``	"
And	CC	and
it	PP	it
'	POS	'
s	NN	S
about	IN	about
the	DT	the
things	NNS	thing
little	JJ	little
kids	NNS	kid
do	VBP	do
with	IN	with
their	PP$	their
parents	NNS	parent
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
about	RB	about
potty	JJ	potty
training	NN	training
â	NP	<unknown>
as	IN	as
most	JJS	most
of	IN	of
you	PP	you
,	,	,
I	PP	I
hope	VBP	hope
,	,	,
know	VBP	know
.	SENT	.
You	PP	you
can	MD	can
tickle	VB	tickle
the	DT	the
rug	NN	rug
.	SENT	.
You	PP	you
can	MD	can
make	VB	make
the	DT	the
baby	NN	baby
poop	NN	poop
.	SENT	.
You	PP	you
can	MD	can
do	VB	do
all	PDT	all
those	DT	those
fun	NN	fun
things	NNS	thing
.	SENT	.
You	PP	you
can	MD	can
burst	VB	burst
bubbles	NNS	bubble
.	SENT	.
You	PP	you
can	MD	can
draw	VB	draw
,	,	,
as	IN	as
everyone	NN	everyone
should	MD	should
.	SENT	.
But	CC	but
you	PP	you
know	VBP	know
,	,	,
I	PP	I
have	VBP	have
a	DT	a
problem	NN	problem
with	IN	with
children	NNS	child
'	POS	'
s	NN	S
books	NNS	book
:	:	:
I	PP	I
think	VBP	think
they	PP	they
'	''	'
re	IN	re
full	JJ	full
of	IN	of
propaganda	NN	propaganda
.	SENT	.
At	IN	at
least	JJS	least
an	DT	an
Indian	JJ	Indian
trying	VBG	try
to	TO	to
get	VB	get
one	CD	one
of	IN	of
these	DT	these
American	JJ	American
books	NNS	book
in	IN	in
Park	NP	Park
Slope	NP	Slope
,	,	,
forget	VB	forget
it	PP	it
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
the	DT	the
way	NN	way
I	PP	I
was	VBD	be
brought	VBN	bring
up	RP	up
.	SENT	.
So	RB	so
I	PP	I
said	VBD	say
,	,	,
"	``	"
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
counter	VB	counter
this	DT	this
with	IN	with
my	PP$	my
own	JJ	own
propaganda	NN	propaganda
.	SENT	.
"	``	"
If	IN	if
you	PP	you
notice	VBP	notice
carefully	RB	carefully
,	,	,
it	PP	it
'	POS	'
s	NN	S
a	DT	a
homosexual	JJ	homosexual
couple	NN	couple
bringing	VBG	bring
up	RP	up
a	DT	a
child	NN	child
.	SENT	.
You	PP	you
don	VBP	don
'	''	'
t	NN	t
like	IN	like
it	PP	it
?	SENT	?
Shake	VB	shake
it	PP	it
,	,	,
and	CC	and
you	PP	you
have	VBP	have
a	DT	a
lesbian	JJ	lesbian
couple	NN	couple
.	SENT	.
Shake	VB	shake
it	PP	it
,	,	,
and	CC	and
you	PP	you
have	VBP	have
a	DT	a
heterosexual	JJ	heterosexual
couple	NN	couple
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
even	RB	even
believe	VBP	believe
in	IN	in
the	DT	the
concept	NN	concept
of	IN	of
an	DT	an
ideal	JJ	ideal
family	NN	family
.	SENT	.
I	PP	I
have	VBP	have
to	TO	to
tell	VB	tell
you	PP	you
about	IN	about
my	PP$	my
childhood	NN	childhood
.	SENT	.
I	PP	I
went	VBD	go
to	TO	to
this	DT	this
very	RB	very
proper	JJ	proper
Christian	JJ	Christian
school	NN	school
taught	VBN	teach
by	IN	by
nuns	NNS	nun
,	,	,
fathers	NNS	father
,	,	,
brothers	NNS	brother
,	,	,
sisters	NNS	sister
.	SENT	.
Basically	RB	basically
,	,	,
I	PP	I
was	VBD	be
brought	VBN	bring
up	RP	up
to	TO	to
be	VB	be
a	DT	a
good	JJ	good
Samaritan	NN	Samaritan
,	,	,
and	CC	and
I	PP	I
am	VBP	be
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
d	NN	d
go	VB	go
at	IN	at
the	DT	the
end	NN	end
of	IN	of
the	DT	the
day	NN	day
to	TO	to
a	DT	a
traditional	JJ	traditional
Hindu	JJ	Hindu
house	NN	house
,	,	,
which	WDT	which
was	VBD	be
probably	RB	probably
the	DT	the
only	JJ	only
Hindu	JJ	Hindu
house	NN	house
in	IN	in
a	DT	a
predominantly	RB	predominantly
Islamic	JJ	Islamic
neighborhood	NN	neighborhood
.	SENT	.
Basically	RB	basically
,	,	,
I	PP	I
celebrated	VBD	celebrate
every	DT	every
religious	JJ	religious
function	NN	function
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
when	WRB	when
there	EX	there
was	VBD	be
a	DT	a
wedding	NN	wedding
in	IN	in
our	PP$	our
neighborhood	NN	neighborhood
,	,	,
all	RB	all
of	IN	of
us	PP	us
would	MD	would
paint	VB	paint
our	PP$	our
houses	NNS	house
for	IN	for
the	DT	the
wedding	NN	wedding
.	SENT	.
I	PP	I
remember	VBP	remember
we	PP	we
cried	VBD	cry
profusely	RB	profusely
when	WRB	when
the	DT	the
little	JJ	little
goats	NNS	goat
we	PP	we
played	VBD	play
with	IN	with
in	IN	in
the	DT	the
summer	NN	summer
became	VBD	become
biriani	NN	biriani
.	SENT	.
We	PP	we
all	RB	all
had	VBD	have
to	TO	to
fast	JJ	fast
during	IN	during
Ramadan	NP	Ramadan
.	SENT	.
It	PP	it
was	VBD	be
a	DT	a
very	RB	very
beautiful	JJ	beautiful
time	NN	time
.	SENT	.
But	CC	but
I	PP	I
must	MD	must
say	VB	say
,	,	,
I	PP	I
'	POS	'
ll	NNS	<unknown>
never	RB	never
forget	VBP	forget
,	,	,
when	WRB	when
I	PP	I
was	VBD	be
13	CD	@card@
years	NNS	year
old	JJ	old
,	,	,
this	DT	this
happened	VBD	happen
.	SENT	.
Babri	NP	<unknown>
Masjid	NN	masjid
â	NP	<unknown>
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
beautiful	JJ	beautiful
mosques	NNS	mosque
in	IN	in
India	NP	India
,	,	,
built	VBN	build
by	IN	by
King	NP	King
Babur	NP	<unknown>
,	,	,
I	PP	I
think	VBP	think
,	,	,
in	IN	in
the	DT	the
16th	JJ	16th
century	NN	century
â	NP	<unknown>
was	VBD	be
demolished	VBN	demolish
by	IN	by
Hindu	JJ	Hindu
activists	NNS	activist
.	SENT	.
This	DT	this
caused	VBN	cause
major	JJ	major
riots	NNS	riot
in	IN	in
my	PP$	my
city	NN	city
.	SENT	.
And	CC	and
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
,	,	,
I	PP	I
was	VBD	be
affected	VBN	affect
by	IN	by
this	DT	this
communal	JJ	communal
unrest	NN	unrest
.	SENT	.
My	PP$	my
little	JJ	little
five-year-old	JJ	five-year-old
kid	NN	kid
neighbor	NN	neighbor
comes	VBZ	come
running	VBG	run
in	IN	in
,	,	,
and	CC	and
he	PP	he
says	VBZ	say
,	,	,
"	``	"
Rags	NNS	rag
,	,	,
Rags	NNS	rag
.	SENT	.
You	PP	you
know	VBP	know
the	DT	the
Hindus	NNS	Hindu
are	VBP	be
killing	VBG	kill
us	PP	us
Muslims	NNS	Muslim
.	SENT	.
Be	VB	be
careful	JJ	careful
.	SENT	.
"	''	"
I	NP	I
'	POS	'
m	NN	m
like	IN	like
,	,	,
"	''	"
Dude	NP	Dude
,	,	,
I	NP	I
'	POS	'
m	NN	m
Hindu	NN	Hindu
.	SENT	.
"	``	"
He	PP	he
'	POS	'
s	NNS	<unknown>
like	VBP	like
,	,	,
"	``	"
Huh	NP	Huh
!	SENT	!
"	``	"
You	PP	you
know	VBP	know
,	,	,
my	PP$	my
work	NN	work
is	VBZ	be
inspired	VBN	inspire
by	IN	by
events	NNS	event
such	JJ	such
as	IN	as
this	DT	this
.	SENT	.
Even	RB	even
in	IN	in
my	PP$	my
gallery	NN	gallery
shows	NNS	show
,	,	,
I	PP	I
try	VBP	try
and	CC	and
revisit	VBP	revisit
historic	JJ	historic
events	NNS	event
like	IN	like
Babri	NP	<unknown>
Masjid	NN	masjid
,	,	,
distill	VB	distill
only	RB	only
its	PP$	its
emotional	JJ	emotional
residue	NN	residue
and	CC	and
image	NN	image
my	PP$	my
own	JJ	own
life	NN	life
.	SENT	.
Imagine	VB	imagine
history	NN	history
being	VBG	be
taught	VBN	teach
differently	RB	differently
.	SENT	.
Remember	VB	remember
that	IN	that
children	NNS	child
'	POS	'
s	NN	S
book	NN	book
where	WRB	where
you	PP	you
shake	VBP	shake
and	CC	and
the	DT	the
sexuality	NN	sexuality
of	IN	of
the	DT	the
parents	NNS	parent
change	NN	change
?	SENT	?
I	PP	I
have	VBP	have
another	DT	another
idea	NN	idea
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
children	NNS	child
'	POS	'
s	NN	S
book	NN	book
about	IN	about
Indian	JJ	Indian
independence	NN	independence
â	NP	<unknown>
very	RB	very
patriotic	JJ	patriotic
.	SENT	.
But	CC	but
when	WRB	when
you	PP	you
shake	VBP	shake
it	PP	it
,	,	,
you	PP	you
get	VBP	get
Pakistan	NP	Pakistan
'	POS	'
s	NN	S
perspective	NN	perspective
.	SENT	.
Shake	VB	shake
it	PP	it
again	RB	again
,	,	,
and	CC	and
you	PP	you
get	VBP	get
the	DT	the
British	JJ	British
perspective	NN	perspective
.	SENT	.
You	PP	you
have	VBP	have
to	TO	to
separate	JJ	separate
fact	NN	fact
from	IN	from
bias	NN	bias
,	,	,
right	RB	right
.	SENT	.
Even	RB	even
my	PP$	my
books	NNS	book
on	IN	on
children	NNS	child
have	VBP	have
cute	JJ	cute
,	,	,
fuzzy	JJ	fuzzy
animals	NNS	animal
.	SENT	.
But	CC	but
they	PP	they
'	POS	'
re	NN	re
playing	NN	playing
geopolitics	NNS	geopolitics
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
playing	NN	playing
out	IN	out
Israel-Palestine	NP	Israel-Palestine
,	,	,
India-Pakistan	NP	India-Pakistan
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
I	PP	I
'	POS	'
m	NN	m
making	VBG	make
a	DT	a
very	RB	very
important	JJ	important
argument	NN	argument
.	SENT	.
And	CC	and
my	PP$	my
argument	NN	argument
[	SYM	[
is	VBZ	be
]	SYM	]
that	IN	that
the	DT	the
only	JJ	only
way	NN	way
for	IN	for
us	PP	us
to	TO	to
teach	VB	teach
creativity	NN	creativity
is	VBZ	be
by	IN	by
teaching	VBG	teach
children	NNS	child
perspectives	NNS	perspective
at	IN	at
the	DT	the
earliest	JJS	early
stage	NN	stage
.	SENT	.
After	IN	after
all	DT	all
,	,	,
children	NNS	child
'	POS	'
s	NN	S
books	NNS	book
are	VBP	be
manuals	NNS	manual
on	IN	on
parenting	VBG	parent
,	,	,
so	IN	so
you	PP	you
better	RBR	well
give	VB	give
them	PP	them
children	NNS	child
'	POS	'
s	NN	S
books	NNS	book
that	WDT	that
teach	VBP	teach
them	PP	them
perspectives	NNS	perspective
.	SENT	.
And	CC	and
conversely	RB	conversely
,	,	,
only	RB	only
when	WRB	when
you	PP	you
teach	VBP	teach
perspectives	NNS	perspective
will	MD	will
a	DT	a
child	NN	child
be	VB	be
able	JJ	able
to	TO	to
imagine	VB	imagine
and	CC	and
put	VB	put
themselves	PP	themselves
in	IN	in
the	DT	the
shoes	NNS	shoe
of	IN	of
someone	NN	someone
who	WP	who
is	VBZ	be
different	JJ	different
from	IN	from
them	PP	them
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
making	VBG	make
an	DT	an
argument	NN	argument
that	IN	that
art	NN	art
and	CC	and
creativity	NN	creativity
are	VBP	be
very	RB	very
essential	JJ	essential
tools	NNS	tool
in	IN	in
empathy	NN	empathy
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
I	PP	I
can	MD	can
'	''	'
t	NN	t
promise	VBP	promise
my	PP$	my
child	NN	child
a	DT	a
life	NN	life
without	IN	without
bias	NN	bias
â	NP	<unknown>
we	PP	we
'	''	'
re	IN	re
all	DT	all
biased	VBN	bias
â	NP	<unknown>
but	CC	but
I	PP	I
promise	VBP	promise
to	TO	to
bias	VB	bias
my	PP$	my
child	NN	child
with	IN	with
multiple	JJ	multiple
perspectives	NNS	perspective
.	SENT	.
Thank	VB	thank
you	PP	you
very	RB	very
much	RB	much
.	SENT	.
