Welcome	JJ	welcome
to	TO	to
Bayeku	NP	<unknown>
,	,	,
a	DT	a
riverine	JJ	riverine
community	NN	community
in	IN	in
Ikorodu	NP	<unknown>
,	,	,
Lagos	NP	Lagos
â	NP	<unknown>
a	DT	a
vivid	JJ	vivid
representation	NN	representation
of	IN	of
several	JJ	several
riverine	JJ	riverine
communities	NNS	community
across	IN	across
Nigeria	NP	Nigeria
,	,	,
communities	NNS	community
whose	WP$	whose
waterways	NNS	waterway
have	VBP	have
been	VBN	be
infested	VBN	infest
by	IN	by
an	DT	an
invasive	JJ	invasive
aquatic	JJ	aquatic
weed	NN	weed
;	:	;
communities	NNS	community
where	WRB	where
economic	JJ	economic
livelihoods	NNS	livelihood
have	VBP	have
been	VBN	be
hampered	VBN	hamper
:	:	:
fishing	NN	fishing
,	,	,
marine	JJ	marine
transportation	NN	transportation
and	CC	and
trading	NN	trading
;	:	;
communities	NNS	community
where	WRB	where
fish	NN	fish
yields	NNS	yield
have	VBP	have
diminished	VBN	diminish
;	:	;
communities	NNS	community
where	WRB	where
schoolchildren	NNS	schoolchildren
are	VBP	be
unable	JJ	unable
to	TO	to
go	VB	go
to	TO	to
school	NN	school
for	IN	for
days	NNS	day
,	,	,
sometimes	RB	sometimes
weeks	NNS	week
,	,	,
on	IN	on
end	NN	end
.	SENT	.
Who	WP	who
would	MD	would
have	VB	have
thought	VBN	think
that	IN	that
this	DT	this
plant	NN	plant
with	IN	with
round	NN	round
leaves	NNS	leaf
,	,	,
inflated	JJ	inflated
stems	NNS	stem
,	,	,
and	CC	and
showy	JJ	showy
,	,	,
lavender	JJ	lavender
flowers	NNS	flower
would	MD	would
cause	VB	cause
such	JJ	such
havoc	NN	havoc
in	IN	in
these	DT	these
communities	NNS	community
.	SENT	.
The	DT	the
plant	NN	plant
is	VBZ	be
known	VBN	know
as	IN	as
water	NN	water
hyacinth	NN	hyacinth
and	CC	and
its	PP$	its
botanical	JJ	botanical
name	NN	name
,	,	,
Eichhornia	NP	<unknown>
crassipes	NNS	<unknown>
.	SENT	.
Interestingly	RB	interestingly
,	,	,
in	IN	in
Nigeria	NP	Nigeria
,	,	,
the	DT	the
plant	NN	plant
is	VBZ	be
also	RB	also
known	VBN	know
by	IN	by
other	JJ	other
names	NNS	name
,	,	,
names	NNS	name
associated	VBN	associate
with	IN	with
historical	JJ	historical
events	NNS	event
,	,	,
as	RB	as
well	RB	well
as	IN	as
myths	NNS	myth
.	SENT	.
In	IN	in
some	DT	some
places	NNS	place
,	,	,
the	DT	the
plant	NN	plant
is	VBZ	be
called	VBN	call
Babangida	NP	Babangida
.	SENT	.
When	WRB	when
you	PP	you
hear	VBP	hear
Babangida	NP	Babangida
,	,	,
you	PP	you
remember	VBP	remember
the	DT	the
military	JJ	military
and	CC	and
military	JJ	military
coups	NNS	coup
.	SENT	.
And	CC	and
you	PP	you
think	VBP	think
:	:	:
fear	NN	fear
,	,	,
restraint	NN	restraint
.	SENT	.
In	IN	in
parts	NNS	part
of	IN	of
Nigeria	NP	Nigeria
in	IN	in
the	DT	the
Niger	NP	Niger
Delta	NP	Delta
,	,	,
the	DT	the
plant	NN	plant
is	VBZ	be
also	RB	also
known	VBN	know
as	IN	as
Abiola	NP	Abiola
.	SENT	.
When	WRB	when
you	PP	you
hear	VBP	hear
Abiola	NP	Abiola
,	,	,
you	PP	you
remember	VBP	remember
annulled	VBN	annul
elections	NNS	election
and	CC	and
you	PP	you
think	VBP	think
:	:	:
dashed	VBN	dash
hopes	NNS	hope
.	SENT	.
In	IN	in
the	DT	the
southwestern	JJ	southwestern
part	NN	part
of	IN	of
Nigeria	NP	Nigeria
,	,	,
the	DT	the
plant	NN	plant
is	VBZ	be
known	VBN	know
as	IN	as
Gbe	NP	Gbe
'	POS	'
borun	NN	<unknown>
.	SENT	.
Gbe	NP	Gbe
'	POS	'
borun	NN	<unknown>
is	VBZ	be
a	DT	a
Yoruba	NP	Yoruba
phrase	NN	phrase
which	WDT	which
translates	VBZ	translate
to	TO	to
"	``	"
gossip	VB	gossip
,	,	,
"	''	"
or	CC	or
"	``	"
talebearer	NN	talebearer
.	SENT	.
"	``	"
When	WRB	when
you	PP	you
think	VBP	think
of	IN	of
gossip	NN	gossip
,	,	,
you	PP	you
think	VBP	think
:	:	:
rapid	JJ	rapid
reproduction	NN	reproduction
,	,	,
destruction	NN	destruction
.	SENT	.
And	CC	and
in	IN	in
the	DT	the
Igala-speaking	NP	Igala-speaking
part	NN	part
of	IN	of
Nigeria	NP	Nigeria
,	,	,
the	DT	the
plant	NN	plant
is	VBZ	be
known	VBN	know
as	IN	as
A	DT	a
Kp	NP	<unknown>
'	POS	'
iye	NP	iye
Kp	NP	<unknown>
'	POS	'
oma	NN	oma
,	,	,
And	CC	and
when	WRB	when
you	PP	you
hear	VBP	hear
that	IN	that
,	,	,
you	PP	you
think	VBP	think
of	IN	of
death	NN	death
.	SENT	.
It	PP	it
literally	RB	literally
translates	VBZ	translate
to	TO	to
"	``	"
death	NN	death
to	TO	to
mother	NN	mother
and	CC	and
child	NN	child
.	SENT	.
"	``	"
I	PP	I
personally	RB	personally
had	VBD	have
my	PP$	my
encounter	NN	encounter
with	IN	with
this	DT	this
plant	NN	plant
in	IN	in
the	DT	the
year	NN	year
2009	CD	@card@
.	SENT	.
It	PP	it
was	VBD	be
shortly	RB	shortly
after	IN	after
I	PP	I
had	VBD	have
relocated	VBN	relocate
from	IN	from
the	DT	the
