Two	CD	two
years	NNS	year
ago	RB	ago
,	,	,
I	PP	I
became	VBD	become
an	DT	an
accidental	JJ	accidental
intrapreneur	NN	<unknown>
.	SENT	.
Meaning	VBG	mean
an	DT	an
entrepreneur	NN	entrepreneur
,	,	,
but	CC	but
within	IN	within
a	DT	a
larger	JJR	large
company	NN	company
.	SENT	.
Didn	NP	<unknown>
'	POS	'
t	NN	t
mean	VBP	mean
to	TO	to
.	SENT	.
When	WRB	when
I	PP	I
started	VBD	start
at	IN	at
Intuit	VBP	intuit
in	IN	in
2020	CD	@card@
,	,	,
my	PP$	my
job	NN	job
was	VBD	be
to	TO	to
do	VB	do
marketing	NN	marketing
and	CC	and
advertising	NN	advertising
for	IN	for
QuickBooks	NNS	Quickbook
,	,	,
but	CC	but
it	PP	it
was	VBD	be
in	IN	in
that	DT	that
position	NN	position
that	IN	that
I	PP	I
saw	VBD	see
an	DT	an
opportunity	NN	opportunity
,	,	,
an	DT	an
opportunity	NN	opportunity
for	IN	for
Intuit	VB	intuit
,	,	,
to	TO	to
help	VB	help
connect	VB	connect
our	PP$	our
small-business	NN	small-business
customers	NNS	customer
with	IN	with
complementary	JJ	complementary
products	NNS	product
and	CC	and
services	NNS	service
that	WDT	that
would	MD	would
help	VB	help
them	PP	them
grow	VB	grow
and	CC	and
thrive	VB	thrive
,	,	,
while	IN	while
also	RB	also
being	VBG	be
good	JJ	good
for	IN	for
our	PP$	our
business	NN	business
.	SENT	.
Now	RB	now
,	,	,
I	PP	I
sat	VBD	sit
on	IN	on
the	DT	the
idea	NN	idea
for	IN	for
a	DT	a
while	NN	while
,	,	,
really	RB	really
wanting	VBG	want
to	TO	to
focus	VB	focus
on	IN	on
the	DT	the
work	NN	work
that	WDT	that
was	VBD	be
right	RB	right
in	IN	in
front	NN	front
of	IN	of
me	PP	me
,	,	,
but	CC	but
I	PP	I
couldn	NN	<unknown>
'	POS	'
t	NN	t
shake	VB	shake
it	PP	it
.	SENT	.
So	RB	so
I	PP	I
eventually	RB	eventually
pulled	VBD	pull
together	RB	together
a	DT	a
proposal	NN	proposal
,	,	,
brought	VBD	bring
it	PP	it
to	TO	to
our	PP$	our
leadership	NN	leadership
team	NN	team
,	,	,
and	CC	and
much	RB	much
to	TO	to
my	PP$	my
surprise	NN	surprise
,	,	,
they	PP	they
said	VBD	say
,	,	,
"	``	"
Go	VB	go
pursue	VB	pursue
it	PP	it
.	SENT	.
"	``	"
And	CC	and
it	PP	it
was	VBD	be
at	IN	at
that	DT	that
moment	NN	moment
I	PP	I
started	VBD	start
making	VBG	make
every	DT	every
mistake	NN	mistake
possible	JJ	possible
in	IN	in
trying	VBG	try
to	TO	to
bring	VB	bring
it	PP	it
to	TO	to
life	NN	life
.	SENT	.
But	CC	but
through	IN	through
those	DT	those
mistakes	NNS	mistake
,	,	,
I	PP	I
'	POS	'
ve	NN	ve
learned	VBD	learn
what	WP	what
it	PP	it
means	VBZ	mean
to	TO	to
be	VB	be
a	DT	a
successful	JJ	successful
intrapreneur	NN	<unknown>
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
