Hi	UH	hi
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
ask	VB	ask
you	PP	you
to	TO	to
raise	VB	raise
your	PP$	your
arms	NNS	arm
and	CC	and
wave	NN	wave
back	RB	back
,	,	,
just	RB	just
the	DT	the
way	NN	way
I	PP	I
am	VBP	be
â	NP	<unknown>
kind	NN	kind
of	IN	of
a	DT	a
royal	JJ	royal
wave	NN	wave
.	SENT	.
You	PP	you
can	MD	can
mimic	VB	mimic
what	WP	what
you	PP	you
can	MD	can
see	VB	see
.	SENT	.
You	PP	you
can	MD	can
program	VB	program
the	DT	the
hundreds	NNS	hundred
of	IN	of
muscles	NNS	muscle
in	IN	in
your	PP$	your
arm	NN	arm
.	SENT	.
Soon	RB	soon
,	,	,
you	PP	you
'	POS	'
ll	NNS	<unknown>
be	VB	be
able	JJ	able
to	TO	to
look	VB	look
inside	IN	inside
your	PP$	your
brain	NN	brain
and	CC	and
program	NN	program
,	,	,
control	VBP	control
the	DT	the
hundreds	NNS	hundred
of	IN	of
brain	NN	brain
areas	NNS	area
that	WDT	that
you	PP	you
see	VBP	see
there	RB	there
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
tell	VB	tell
you	PP	you
about	IN	about
that	DT	that
technology	NN	technology
.	SENT	.
People	NNS	people
have	VBP	have
wanted	VBN	want
to	TO	to
look	VB	look
inside	IN	inside
the	DT	the
human	JJ	human
mind	NN	mind
,	,	,
the	DT	the
human	JJ	human
brain	NN	brain
,	,	,
for	IN	for
thousands	NNS	thousand
of	IN	of
years	NNS	year
.	SENT	.
Well	RB	well
,	,	,
coming	VBG	come
out	RP	out
of	IN	of
the	DT	the
research	NN	research
labs	NNS	lab
just	RB	just
now	RB	now
,	,	,
for	IN	for
our	PP$	our
generation	NN	generation
,	,	,
is	VBZ	be
the	DT	the
possibility	NN	possibility
to	TO	to
do	VB	do
that	DT	that
.	SENT	.
People	NNS	people
envision	VBP	envision
this	DT	this
as	RB	as
being	VBG	be
very	RB	very
difficult	JJ	difficult
.	SENT	.
You	PP	you
had	VBD	have
to	TO	to
take	VB	take
a	DT	a
spaceship	NN	spaceship
,	,	,
shrink	VB	shrink
it	PP	it
down	RP	down
,	,	,
inject	VB	inject
it	PP	it
into	IN	into
the	DT	the
bloodstream	NN	bloodstream
.	SENT	.
It	PP	it
was	VBD	be
terribly	RB	terribly
dangerous	JJ	dangerous
.	SENT	.
You	PP	you
could	MD	could
be	VB	be
attacked	VBN	attack
by	IN	by
white	JJ	white
blood	NN	blood
cells	NNS	cell
in	IN	in
the	DT	the
arteries	NNS	artery
.	SENT	.
But	CC	but
now	RB	now
,	,	,
we	PP	we
have	VBP	have
a	DT	a
real	JJ	real
technology	NN	technology
to	TO	to
do	VB	do
this	DT	this
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
fly	VB	fly
into	IN	into
my	PP$	my
colleague	NN	colleague
Peter	NP	Peter
'	POS	'
s	NN	S
brain	NN	brain
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
do	VB	do
it	PP	it
non-	NN	non-
invasively	RB	<unknown>
using	VBG	use
MRI	NP	MRI
.	SENT	.
We	PP	we
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
to	TO	to
inject	VB	inject
anything	NN	anything
.	SENT	.
We	PP	we
don	VBP	don
'	''	'
t	NN	t
need	NN	need
radiation	NN	radiation
.	SENT	.
We	PP	we
will	MD	will
be	VB	be
able	JJ	able
to	TO	to
fly	VB	fly
into	IN	into
the	DT	the
anatomy	NN	anatomy
of	IN	of
Peter	NP	Peter
'	POS	'
s	NN	S
brain	NN	brain
â	NP	<unknown>
literally	RB	literally
,	,	,
fly	VBP	fly
into	IN	into
his	PP$	his
body	NN	body
â	NP	<unknown>
but	CC	but
more	RBR	more
importantly	RB	importantly
,	,	,
we	PP	we
can	MD	can
look	VB	look
into	IN	into
his	PP$	his
mind	NN	mind
.	SENT	.
When	WRB	when
Peter	NP	Peter
moves	VBZ	move
his	PP$	his
arm	NN	arm
,	,	,
that	DT	that
yellow	JJ	yellow
spot	NN	spot
you	PP	you
see	VBP	see
there	EX	there
is	VBZ	be
the	DT	the
interface	NN	interface
to	TO	to
the	DT	the
functioning	NN	functioning
of	IN	of
Peter	NP	Peter
'	POS	'
s	JJ	<unknown>
mind	NN	mind
taking	VBG	take
place	NN	place
.	SENT	.
Now	RB	now
you	PP	you
'	POS	'
ve	NNS	<unknown>
seen	VBN	see
before	IN	before
that	DT	that
with	IN	with
electrodes	NNS	electrode
you	PP	you
can	MD	can
control	VB	control
robotic	JJ	robotic
arms	NNS	arm
,	,	,
that	DT	that
brain	NN	brain
imaging	NN	imaging
and	CC	and
scanners	NNS	scanner
can	MD	can
show	VB	show
you	PP	you
the	DT	the
insides	NNS	inside
of	IN	of
brains	NNS	brain
.	SENT	.
What	WP	what
'	POS	'
s	NN	S
new	JJ	new
is	VBZ	be
that	IN	that
that	DT	that
process	NN	process
has	VBZ	have
typically	RB	typically
taken	VBN	take
days	NNS	day
or	CC	or
months	NNS	month
of	IN	of
analysis	NN	analysis
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
