Most	JJS	most
of	IN	of
the	DT	the
talks	NNS	talk
that	IN	that
you	PP	you
'	POS	'
ve	NN	ve
heard	VBD	hear
in	IN	in
the	DT	the
last	JJ	last
several	JJ	several
fabulous	JJ	fabulous
days	NNS	day
have	VBP	have
been	VBN	be
from	IN	from
people	NNS	people
who	WP	who
have	VBP	have
the	DT	the
characteristic	NN	characteristic
that	IN	that
they	PP	they
have	VBP	have
thought	VBN	think
about	IN	about
something	NN	something
,	,	,
they	PP	they
are	VBP	be
experts	NNS	expert
,	,	,
they	PP	they
know	VBP	know
what	WP	what
'	POS	'
s	NNS	<unknown>
going	VBG	go
on	IN	on
.	SENT	.
All	DT	all
of	IN	of
you	PP	you
know	VBP	know
about	IN	about
the	DT	the
topic	NN	topic
that	IN	that
I	NP	I
'	POS	'
m	NN	m
supposed	VBN	suppose
to	TO	to
talk	VB	talk
about	RB	about
.	SENT	.
That	DT	that
is	VBZ	be
,	,	,
you	PP	you
know	VBP	know
what	WP	what
simplicity	NN	simplicity
is	VBZ	be
,	,	,
you	PP	you
know	VBP	know
what	WP	what
complexity	NN	complexity
is	VBZ	be
.	SENT	.
The	DT	the
trouble	NN	trouble
is	VBZ	be
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
.	SENT	.
And	CC	and
what	WP	what
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
do	VB	do
is	VBZ	be
share	VB	share
with	IN	with
you	PP	you
my	PP$	my
ignorance	NN	ignorance
on	IN	on
this	DT	this
subject	NN	subject
.	SENT	.
I	PP	I
want	VBP	want
you	PP	you
to	TO	to
read	VB	read
this	DT	this
,	,	,
because	IN	because
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
come	VB	come
back	RB	back
to	TO	to
it	PP	it
in	IN	in
a	DT	a
moment	NN	moment
.	SENT	.
The	DT	the
quote	NN	quote
is	VBZ	be
from	IN	from
the	DT	the
fabled	JJ	fabled
Potter	NP	Potter
Stewart	NP	Stewart
opinion	NN	opinion
on	IN	on
pornography	NN	pornography
.	SENT	.
And	CC	and
let	VB	let
me	PP	me
just	RB	just
read	VBP	read
it	PP	it
,	,	,
the	DT	the
important	JJ	important
details	NNS	detail
here	RB	here
:	:	:
"	``	"
Shorthand	NN	shorthand
description	NN	description
,	,	,
[	SYM	[
'	POS	'
hardcore	JJ	hardcore
pornography	NN	pornography
'	''	'
]	SYM	]
;	:	;
and	CC	and
perhaps	RB	perhaps
I	PP	I
could	MD	could
never	RB	never
succeed	VB	succeed
in	IN	in
intelligibly	RB	intelligibly
defining	VBG	define
it	PP	it
.	SENT	.
But	CC	but
I	PP	I
know	VBP	know
it	PP	it
when	WRB	when
I	PP	I
see	VBP	see
it	PP	it
.	SENT	.
"	''	"
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
come	VB	come
back	RB	back
to	TO	to
that	DT	that
in	IN	in
a	DT	a
moment	NN	moment
.	SENT	.
So	RB	so
,	,	,
what	WP	what
is	VBZ	be
simplicity	NN	simplicity
?	SENT	?
It	PP	it
'	POS	'
s	NN	S
good	JJ	good
to	TO	to
start	VB	start
with	IN	with
some	DT	some
examples	NNS	example
.	SENT	.
A	DT	a
coffee	NN	coffee
cup	NN	cup
—	:	-
we	PP	we
don	VBP	don
'	''	'
t	NN	t
think	VBP	think
about	IN	about
coffee	NN	coffee
cups	NNS	cup
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NN	S
much	RB	much
more	RBR	more
interesting	JJ	interesting
than	IN	than
one	CD	one
might	MD	might
think	VB	think
—	:	-
a	DT	a
coffee	NN	coffee
cup	NN	cup
is	VBZ	be
a	DT	a
device	NN	device
,	,	,
which	WDT	which
has	VBZ	have
a	DT	a
container	NN	container
and	CC	and
a	DT	a
handle	NN	handle
.	SENT	.
The	DT	the
handle	NN	handle
enables	VBZ	enable
you	PP	you
to	TO	to
hold	VB	hold
it	PP	it
when	WRB	when
the	DT	the
container	NN	container
is	VBZ	be
filled	VBN	fill
with	IN	with
hot	JJ	hot
liquid	NN	liquid
.	SENT	.
Why	WRB	why
is	VBZ	be
that	IN	that
important	JJ	important
?	SENT	?
Well	RB	well
,	,	,
it	PP	it
enables	VBZ	enable
you	PP	you
to	TO	to
drink	VB	drink
coffee	NN	coffee
.	SENT	.
But	CC	but
also	RB	also
,	,	,
by	IN	by
the	DT	the
way	NN	way
,	,	,
the	DT	the
coffee	NN	coffee
is	VBZ	be
hot	JJ	hot
,	,	,
the	DT	the
liquid	NN	liquid
is	VBZ	be
sterile	JJ	sterile
;	:	;
you	PP	you
'	POS	'
re	NN	re
not	RB	not
likely	JJ	likely
to	TO	to
get	VB	get
cholera	NN	cholera
that	DT	that
way	NN	way
.	SENT	.
So	IN	so
the	DT	the
coffee	NN	coffee
cup	NN	cup
,	,	,
or	CC	or
the	DT	the
cup	NN	cup
with	IN	with
a	DT	a
handle	NN	handle
,	,	,
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
tools	NNS	tool
used	VBN	use
by	IN	by
society	NN	society
to	TO	to
maintain	VB	maintain
public	JJ	public
health	NN	health
.	SENT	.
Scissors	NN	scissors
are	VBP	be
your	PP$	your
clothes	NNS	clothes
,	,	,
glasses	NNS	glass
enable	VBP	enable
you	PP	you
to	TO	to
see	VB	see
things	NNS	thing
and	CC	and
keep	VB	keep
you	PP	you
from	IN	from
being	VBG	be
eaten	VBN	eat
by	IN	by
cheetahs	NNS	cheetah
or	CC	or
run	VB	run
down	RP	down
by	IN	by
automobiles	NNS	automobile
,	,	,
and	CC	and
books	NNS	book
are	VBP	be
,	,	,
after	IN	after
all	DT	all
,	,	,
your	PP$	your
education	NN	education
.	SENT	.
But	CC	but
there	EX	there
'	''	'
s	VBG	<unknown>
another	DT	another
class	NN	class
of	IN	of
simple	JJ	simple
things	NNS	thing
,	,	,
which	WDT	which
are	VBP	be
also	RB	also
very	RB	very
important	JJ	important
.	SENT	.
Simple	JJ	simple
in	IN	in
function	NN	function
,	,	,
but	CC	but
not	RB	not
at	IN	at
all	DT	all
simple	NN	simple
in	IN	in
how	WRB	how
they	PP	they
'	POS	'
re	NN	re
constructed	VBD	construct
.	SENT	.
And	CC	and
the	DT	the
two	CD	two
here	RB	here
are	VBP	be
