Chris	NP	Chris
Anderson	NP	Anderson
:	:	:
Shep	NP	Shep
,	,	,
thank	VBP	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
coming	VBG	come
.	SENT	.
I	PP	I
think	VBP	think
your	PP$	your
plane	NN	plane
landed	VBD	land
literally	RB	literally
two	CD	two
hours	NNS	hour
ago	RB	ago
in	IN	in
Vancouver	NP	Vancouver
.	SENT	.
Such	PDT	such
a	DT	a
treat	VBP	treat
to	TO	to
have	VB	have
you	PP	you
.	SENT	.
So	RB	so
,	,	,
talk	VB	talk
us	PP	us
through	IN	through
how	WRB	how
do	VBP	do
you	PP	you
get	VB	get
from	IN	from
Einstein	NP	Einstein
'	POS	'
s	JJ	<unknown>
equation	NN	equation
to	TO	to
a	DT	a
black	JJ	black
hole	NN	hole
?	SENT	?
Sheperd	NP	Sheperd
Doeleman	NP	Doeleman
:	:	:
Over	IN	over
100	CD	@card@
years	NNS	year
ago	RB	ago
,	,	,
Einstein	NP	Einstein
came	VBD	come
up	RP	up
with	IN	with
this	DT	this
geometric	JJ	geometric
theory	NN	theory
of	IN	of
gravity	NN	gravity
which	WDT	which
deforms	VBZ	deform
space-time	NN	space-time
.	SENT	.
So	RB	so
,	,	,
matter	NN	matter
deforms	VBZ	deform
space-time	NN	space-time
,	,	,
and	CC	and
then	RB	then
space-time	NN	space-time
tells	VBZ	tell
matter	NN	matter
in	IN	in
turn	NN	turn
how	WRB	how
to	TO	to
move	VB	move
around	IN	around
it	PP	it
.	SENT	.
And	CC	and
you	PP	you
can	MD	can
get	VB	get
enough	JJ	enough
matter	NN	matter
into	IN	into
a	DT	a
small	JJ	small
enough	JJ	enough
region	NN	region
that	IN	that
it	PP	it
punctures	VBZ	puncture
space-time	NN	space-time
,	,	,
and	CC	and
that	IN	that
even	RB	even
light	JJ	light
can	NN	can
'	POS	'
t	NN	t
escape	NN	escape
,	,	,
the	DT	the
force	NN	force
of	IN	of
gravity	NN	gravity
keeps	VBZ	keep
even	RB	even
light	VB	light
inside	RB	inside
.	SENT	.
CA	MD	ca
:	:	:
And	CC	and
