Well	RB	well
,	,	,
hello	NN	hello
.	SENT	.
This	DT	this
is	VBZ	be
Sophie	NP	Sophie
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
all	DT	all
right	NN	right
,	,	,
don	NN	don
'	POS	'
t	NN	t
worry	NN	worry
,	,	,
everything	NN	everything
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
be	VB	be
fine	JJ	fine
.	SENT	.
There	EX	there
are	VBP	be
some	DT	some
people	NNS	people
on	IN	on
the	DT	the
balcony	NN	balcony
that	WDT	that
are	VBP	be
very	RB	very
happy	JJ	happy
to	TO	to
be	VB	be
up	RB	up
there	RB	there
now	RB	now
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
Sophie	NP	Sophie
â	NP	<unknown>
not	RB	not
Sophia	NP	Sophia
â	NP	<unknown>
no	RB	no
,	,	,
Sophie	NP	Sophie
.	SENT	.
She	PP	she
has	VBZ	have
a	DT	a
French	JJ	French
name	NN	name
.	SENT	.
And	CC	and
you	PP	you
wonder	VBP	wonder
why	WRB	why
?	SENT	?
So	IN	so
Sophie	NP	Sophie
,	,	,
for	IN	for
most	JJS	most
people	NNS	people
,	,	,
is	VBZ	be
the	DT	the
incarnation	NN	incarnation
of	IN	of
terror	NN	terror
,	,	,
really	RB	really
.	SENT	.
She	NN	she
'	POS	'
s	NN	S
far	RB	far
too	RB	too
leggy	JJ	leggy
,	,	,
she	PP	she
'	POS	'
s	NN	S
far	RB	far
too	RB	too
hairy	JJ	hairy
,	,	,
and	CC	and
she	PP	she
'	POS	'
s	NN	S
far	RB	far
too	RB	too
big	JJ	big
to	TO	to
ever	RB	ever
be	VB	be
trusted	VBN	trust
.	SENT	.
But	CC	but
to	TO	to
me	PP	me
,	,	,
Sophie	NP	Sophie
is	VBZ	be
a	DT	a
fantastic	JJ	fantastic
feat	NN	feat
of	IN	of
bioengineering	NN	bioengineering
.	SENT	.
You	PP	you
see	VBP	see
,	,	,
Sophie	NP	Sophie
is	VBZ	be
a	DT	a
testimony	NN	testimony
to	TO	to
all	DT	all
those	DT	those
creatures	NNS	creature
that	WDT	that
have	VBP	have
managed	VBN	manage
to	TO	to
survive	VB	survive
since	IN	since
the	DT	the
beginning	NN	beginning
of	IN	of
time	NN	time
;	:	;
all	PDT	all
those	DT	those
animals	NNS	animal
that	WDT	that
have	VBP	have
managed	VBN	manage
to	TO	to
have	VB	have
offspring	NN	offspring
generation	NN	generation
after	IN	after
generation	NN	generation
,	,	,
until	IN	until
this	DT	this
day	NN	day
.	SENT	.
You	PP	you
see	VBP	see
,	,	,
over	IN	over
one	CD	one
billion	NN	billion
years	NNS	year
ago	RB	ago
,	,	,
the	DT	the
first	JJ	first
primitive	JJ	primitive
cells	NNS	cell
started	VBD	start
to	TO	to
evolve	VB	evolve
on	IN	on
this	DT	this
planet	NN	planet
.	SENT	.
It	PP	it
took	VBD	take
spiders	NNS	spider
430	CD	@card@
million	CD	million
years	NNS	year
to	TO	to
become	VB	become
what	WP	what
they	PP	they
are	VBP	be
now	RB	now
:	:	:
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
versatile	JJ	versatile
,	,	,
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
diverse	JJ	diverse
and	CC	and
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
evolved	VBN	evolve
groups	NNS	group
â	NP	<unknown>
of	IN	of
predators	NNS	predator
to	TO	to
ever	RB	ever
walk	VB	walk
this	DT	this
earth	NN	earth
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
actually	RB	actually
quite	RB	quite
sporty	JJ	sporty
to	TO	to
give	VB	give
a	DT	a
speech	NN	speech
while	IN	while
wrangling	VBG	wrangle
a	DT	a
tarantula	NN	tarantula
,	,	,
I	PP	I
have	VBP	have
to	TO	to
say	VB	say
.	SENT	.
So	RB	so
,	,	,
we	PP	we
shouldn	NNS	<unknown>
'	POS	'
t	NN	t
forget	VBP	forget
that	IN	that
Sophie	NP	Sophie
â	NP	<unknown>
and	CC	and
in	IN	in
fact	NN	fact
,	,	,
all	RB	all
of	IN	of
us	PP	us
â	NP	<unknown>
we	PP	we
all	RB	all
are	VBP	be
a	DT	a
testimony	NN	testimony
to	TO	to
all	DT	all
those	DT	those
ruthless	JJ	ruthless
battles	NNS	battle
that	WDT	that
actually	RB	actually
were	VBD	be
won	VBN	win
consistently	RB	consistently
by	IN	by
all	PDT	all
our	PP$	our
ancestors	NNS	ancestor
,	,	,
all	PDT	all
our	PP$	our
predecessors	NNS	predecessor
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
all	RB	all
of	IN	of
us	PP	us
,	,	,
every	DT	every
single	JJ	single
one	CD	one
of	IN	of
you	PP	you
,	,	,
is	VBZ	be
in	IN	in
fact	NN	fact
an	DT	an
uninterrupted	JJ	uninterrupted
,	,	,
one-billion-years-old	JJ	<unknown>
success	NN	success
story	NN	story
.	SENT	.
And	CC	and
in	IN	in
the	DT	the
gaze	NN	gaze
of	IN	of
Sophie	NP	Sophie
,	,	,
that	DT	that
success	NN	success
is	VBZ	be
partly	RB	partly
due	JJ	due
to	TO	to
what	WP	what
she	PP	she
has	VBZ	have
in	IN	in
her	PP$	her
chest	NN	chest
,	,	,
just	RB	just
under	IN	under
her	PP$	her
eyes	NNS	eye
.	SENT	.
In	IN	in
there	RB	there
,	,	,
she	PP	she
has	VBZ	have
a	DT	a
pair	NN	pair
of	IN	of
venom	NN	venom
glands	NNS	gland
that	WDT	that
are	VBP	be
attached	VBN	attach
to	TO	to
a	DT	a
pair	NN	pair
of	IN	of
fangs	NNS	fang
,	,	,
and	CC	and
those	DT	those
fangs	NNS	fang
are	VBP	be
folded	VBN	fold
into	IN	into
her	PP$	her
mouth	NN	mouth
.	SENT	.
So	RB	so
,	,	,
without	IN	without
those	DT	those
fangs	NNS	fang
and	CC	and
without	IN	without
this	DT	this
venom	NN	venom
,	,	,
Sophie	NP	Sophie
would	MD	would
have	VB	have
never	RB	never
managed	VBN	manage
to	TO	to
survive	VB	survive
.	SENT	.
Now	RB	now
,	,	,
many	JJ	many
animals	NNS	animal
have	VBP	have
evolved	VBN	evolve
