Why	WRB	why
is	VBZ	be
it	PP	it
so	RB	so
hard	JJ	hard
to	TO	to
change	VB	change
the	DT	the
direction	NN	direction
of	IN	of
our	PP$	our
civilization	NN	civilization
?	SENT	?
I	NP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
suggest	VB	suggest
that	IN	that
what	WP	what
'	POS	'
s	NNS	<unknown>
missing	VBG	miss
at	IN	at
this	DT	this
point	NN	point
is	VBZ	be
not	RB	not
more	JJR	more
facts	NNS	fact
and	CC	and
information	NN	information
or	CC	or
even	RB	even
technology	NN	technology
.	SENT	.
We	PP	we
have	VBP	have
more	RBR	more
than	IN	than
enough	RB	enough
.	SENT	.
What	WP	what
'	POS	'
s	NN	S
missing	VBG	miss
is	VBZ	be
insight	NN	insight
.	SENT	.
My	PP$	my
teacher	NN	teacher
,	,	,
Zen	NP	Zen
master	NN	master
Thich	NP	<unknown>
Nhat	NP	Nhat
Hanh	NP	Hanh
,	,	,
has	VBZ	have
said	VBN	say
that	IN	that
if	IN	if
we	PP	we
haven	NN	haven
'	POS	'
t	NN	t
yet	RB	yet
changed	VBD	change
our	PP$	our
way	NN	way
of	IN	of
living	NN	living
,	,	,
it	PP	it
'	POS	'
s	NN	S
because	IN	because
the	DT	the
awakening	NN	awakening
isn	NN	isn
'	POS	'
t	NN	t
strong	JJ	strong
enough	NN	enough
.	SENT	.
We	PP	we
can	MD	can
'	''	'
t	NN	t
hope	VBP	hope
to	TO	to
change	VB	change
the	DT	the
world	NN	world
if	IN	if
we	PP	we
can	MD	can
'	''	'
t	NN	t
change	VB	change
our	PP$	our
own	JJ	own
way	NN	way
of	IN	of
seeing	VBG	see
things	NNS	thing
,	,	,
our	PP$	our
consciousness	NN	consciousness
.	SENT	.
But	CC	but
how	WRB	how
can	MD	can
we	PP	we
do	VB	do
this	DT	this
?	SENT	?
In	IN	in
the	DT	the
Zen	NP	Zen
tradition	NN	tradition
,	,	,
we	PP	we
know	VBP	know
that	IN	that
awakening	NN	awakening
doesn	NN	<unknown>
'	POS	'
t	NN	t
happen	VB	happen
only	RB	only
with	IN	with
the	DT	the
intellect	NN	intellect
.	SENT	.
We	PP	we
need	VBP	need
to	TO	to
engage	VB	engage
our	PP$	our
whole	JJ	whole
being	JJ	being
right	NN	right
in	IN	in
the	DT	the
heart	NN	heart
of	IN	of
the	DT	the
present	JJ	present
moment	NN	moment
.	SENT	.
And	CC	and
a	DT	a
very	RB	very
simple	JJ	simple
way	NN	way
to	TO	to
do	VB	do
this	DT	this
is	VBZ	be
with	IN	with
the	DT	the
practice	NN	practice
of	IN	of
mindful	JJ	mindful
walking	NN	walking
,	,	,
a	DT	a
powerful	JJ	powerful
meditation	NN	meditation
that	IN	that
doesn	NP	<unknown>
'	POS	'
t	NN	t
require	VBP	require
hard	JJ	hard
labor	NN	labor
or	CC	or
even	RB	even
extra	JJ	extra
time	NN	time
.	SENT	.
Do	VB	do
you	PP	you
remember	VB	remember
the	DT	the
first	JJ	first
steps	NNS	step
you	PP	you
took	VBD	take
outside	IN	outside
this	DT	this
morning	NN	morning
?	SENT	?
The	DT	the
feel	NN	feel
of	IN	of
the	DT	the
ground	NN	ground
underfoot	RB	underfoot
,	,	,
the	DT	the
fall	NN	fall
of	IN	of
the	DT	the
light	NN	light
,	,	,
the	DT	the
quality	NN	quality
of	IN	of
the	DT	the
air	NN	air
.	SENT	.
Do	VB	do
you	PP	you
remember	VB	remember
the	DT	the
first	JJ	first
tree	NN	tree
on	IN	on
your	PP$	your
way	NN	way
?	SENT	?
Life	NN	life
is	VBZ	be
there	RB	there
for	IN	for
us	PP	us
,	,	,
but	CC	but
the	DT	the
question	NN	question
is	VBZ	be
,	,	,
are	VBP	be
we	PP	we
there	RB	there
for	IN	for
life	NN	life
?	SENT	?
Perhaps	RB	perhaps
this	DT	this
morning	NN	morning
we	PP	we
had	VBD	have
something	NN	something
more	RBR	more
important	JJ	important
to	TO	to
do	VB	do
.	SENT	.
Perhaps	RB	perhaps
we	PP	we
were	VBD	be
in	IN	in
a	DT	a
hurry	NN	hurry
.	SENT	.
Many	JJ	many
of	IN	of
us	PP	us
have	VBP	have
a	DT	a
feeling	NN	feeling
that	IN	that
we	PP	we
are	VBP	be
running	VBG	run
out	RP	out
of	IN	of
time	NN	time
.	SENT	.
But	CC	but
when	WRB	when
we	PP	we
rush	VBP	rush
to	TO	to
do	VB	do
something	NN	something
,	,	,
are	VBP	be
we	PP	we
saving	VBG	save
time	NN	time
or	CC	or
are	VBP	be
we	PP	we
losing	VBG	lose
it	PP	it
?	SENT	?
There	EX	there
is	VBZ	be
a	DT	a
lot	NN	lot
that	WDT	that
is	VBZ	be
urgent	JJ	urgent
,	,	,
but	CC	but
in	IN	in
order	NN	order
to	TO	to
take	VB	take
the	DT	the
kind	NN	kind
of	IN	of
radical	JJ	radical
,	,	,
decisive	JJ	decisive
action	NN	action
that	IN	that
our	PP$	our
planet	NN	planet
is	VBZ	be
calling	VBG	call
for	IN	for
,	,	,
we	PP	we
need	VBP	need
to	TO	to
be	VB	be
fully	RB	fully
present	JJ	present
,	,	,
grounded	VBN	ground
and	CC	and
alert	JJ	alert
,	,	,
fearless	JJ	fearless
and	CC	and
free	JJ	free
.	SENT	.
It	PP	it
is	VBZ	be
our	PP$	our
way	NN	way
of	IN	of
being	VBG	be
that	DT	that
has	VBZ	have
got	VBN	get
us	PP	us
into	IN	into
our	PP$	our
current	JJ	current
crises	NNS	crisis
,	,	,
and	CC	and
it	PP	it
is	VBZ	be
our	PP$	our
way	NN	way
of	IN	of
being	VBG	be
that	DT	that
can	MD	can
get	VB	get
us	PP	us
out	RP	out
.	SENT	.
Mindful	JJ	mindful
walking	NN	walking
can	MD	can
help	VB	help
.	SENT	.
We	PP	we
really	RB	really
feel	VBP	feel
the	DT	the
contact	NN	contact
between	IN	between
our	PP$	our
feet	NNS	foot
and	CC	and
the	DT	the
ground	NN	ground
.	SENT	.
And	CC	and
we	PP	we
enjoy	VBP	enjoy
the	DT	the
harmony	NN	harmony
between	IN	between
our	PP$	our
breathing	NN	breathing
and	CC	and
our	PP$	our
steps	NNS	step
.	SENT	.
With	IN	with
each	DT	each
step	NN	step
,	,	,
we	PP	we
arrive	VBP	arrive
into	IN	into
our	PP$	our
body	NN	body
,	,	,
into	IN	into
the	DT	the
present	JJ	present
moment	NN	moment
.	SENT	.
And	CC	and
we	PP	we
become	VBP	become
fascinated	VBN	fascinate
by	IN	by
the	DT	the
whole	JJ	whole
experience	NN	experience
of	IN	of
walking	VBG	walk
.	SENT	.
And	CC	and
for	IN	for
those	DT	those
of	IN	of
us	PP	us
who	WP	who
are	VBP	be
physically	RB	physically
unable	JJ	unable
to	TO	to
walk	VB	walk
,	,	,
perhaps	RB	perhaps
we	PP	we
are	VBP	be
in	IN	in
a	DT	a
wheelchair	NN	wheelchair
,	,	,
we	PP	we
enjoy	VBP	enjoy
the	DT	the
experience	NN	experience
of	IN	of
moving	VBG	move
through	IN	through
space	NN	space
.	SENT	.
And	CC	and
we	PP	we
open	VBP	open
up	RP	up
our	PP$	our
senses	NNS	sense
to	TO	to
the	DT	the
sky	NN	sky
,	,	,
to	TO	to
the	DT	the
trees	NNS	tree
,	,	,
to	TO	to
the	DT	the
people	NNS	people
around	IN	around
us	PP	us
,	,	,
or	CC	or
simply	RB	simply
to	TO	to
the	DT	the
hum	NN	hum
of	IN	of
life	NN	life
in	IN	in
the	DT	the
city	NN	city
.	SENT	.
And	CC	and
we	PP	we
have	VBP	have
a	DT	a
chance	NN	chance
to	TO	to
wake	VB	wake
up	RP	up
to	TO	to
what	WP	what
is	VBZ	be
going	VBG	go
on	RP	on
,	,	,
in	IN	in
us	PP	us
and	CC	and
around	IN	around
us	PP	us
.	SENT	.
And	CC	and
in	IN	in
the	DT	the
Zen	NP	Zen
tradition	NN	tradition
,	,	,
we	PP	we
also	RB	also
use	VBP	use
questions	NNS	question
to	TO	to
help	VB	help
us	PP	us
wake	VB	wake
up	RP	up
.	SENT	.
To	TO	to
help	VB	help
spark	NN	spark
awakening	NN	awakening
.	SENT	.
And	CC	and
today	NN	today
I	PP	I
would	MD	would
like	VB	like
to	TO	to
offer	VB	offer
you	PP	you
three	CD	three
.	SENT	.
The	DT	the
