I	PP	I
am	VBP	be
an	DT	an
astrodynamicist	JJ	<unknown>
â	NP	<unknown>
you	PP	you
know	VBP	know
,	,	,
like	VBP	like
that	IN	that
guy	NN	guy
Rich	NP	Rich
Purnell	NP	Purnell
in	IN	in
the	DT	the
movie	NN	movie
"	``	"
The	DT	the
Martian	NN	Martian
.	SENT	.
"	``	"
And	CC	and
it	PP	it
'	POS	'
s	VBG	<unknown>
my	PP$	my
job	NN	job
to	TO	to
study	VB	study
and	CC	and
predict	VB	predict
motion	NN	motion
of	IN	of
objects	NNS	object
in	IN	in
space	NN	space
.	SENT	.
Currently	RB	currently
we	PP	we
track	VBP	track
about	RB	about
one	CD	one
percent	NN	percent
of	IN	of
hazardous	JJ	hazardous
objects	NNS	object
on	IN	on
orbit	NN	orbit
â	NP	<unknown>
hazardous	JJ	hazardous
to	TO	to
services	NNS	service
like	IN	like
location	NN	location
,	,	,
agriculture	NN	agriculture
,	,	,
banking	NN	banking
,	,	,
television	NN	television
and	CC	and
communications	NNS	communication
,	,	,
and	CC	and
soon	RB	soon
â	NP	<unknown>
very	RB	very
soon	RB	soon
â	NP	<unknown>
even	RB	even
the	DT	the
internet	NN	Internet
itself	PP	itself
.	SENT	.
Now	RB	now
these	DT	these
services	NNS	service
are	VBP	be
not	RB	not
protected	VBN	protect
from	IN	from
,	,	,
roughly	RB	roughly
,	,	,
half	PDT	half
a	DT	a
million	CD	million
objects	NNS	object
the	DT	the
size	NN	size
of	IN	of
a	DT	a
speck	NN	speck
of	IN	of
paint	VB	paint
all	PDT	all
the	DT	the
way	NN	way
to	TO	to
a	DT	a
school	NN	school
bus	NN	bus
in	IN	in
size	NN	size
.	SENT	.
A	DT	a
speck	NN	speck
of	IN	of
paint	NN	paint
,	,	,
traveling	VBG	travel
at	IN	at
the	DT	the
right	JJ	right
speed	NN	speed
,	,	,
impacting	VBG	impact
one	CD	one
of	IN	of
these	DT	these
objects	NNS	object
,	,	,
could	MD	could
render	VB	render
it	PP	it
absolutely	RB	absolutely
useless	JJ	useless
.	SENT	.
But	CC	but
we	PP	we
can	MD	can
'	''	'
t	NN	t
track	NN	track
things	NNS	thing
as	IN	as
small	JJ	small
as	IN	as
a	DT	a
speck	NN	speck
of	IN	of
paint	NN	paint
.	SENT	.
We	PP	we
can	MD	can
only	RB	only
track	VB	track
things	NNS	thing
as	IN	as
small	JJ	small
as	RB	as
say	VBP	say
,	,	,
a	DT	a
smartphone	NN	smartphone
.	SENT	.
So	RB	so
of	IN	of
this	DT	this
half	JJ	half
million	CD	million
objects	NNS	object
that	IN	that
we	PP	we
should	MD	should
be	VB	be
concerned	VBN	concern
about	RB	about
,	,	,
we	PP	we
can	MD	can
only	RB	only
track	VB	track
about	IN	about
26	CD	@card@
,	,	,
000	CD	@card@
of	IN	of
these	DT	these
objects	NNS	object
.	SENT	.
And	CC	and
of	IN	of
these	DT	these
26	CD	@card@
,	,	,
000	CD	@card@
,	,	,
only	RB	only
2	CD	@card@
,	,	,
000	CD	@card@
actually	RB	actually
work	NN	work
.	SENT	.
Everything	NN	everything
else	RB	else
is	VBZ	be
garbage	NN	garbage
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
a	DT	a
lot	NN	lot
of	IN	of
garbage	NN	garbage
.	SENT	.
To	TO	to
make	VB	make
things	NNS	thing
a	DT	a
little	JJ	little
bit	NN	bit
worse	RBR	worse
,	,	,
most	JJS	most
of	IN	of
what	WP	what
we	PP	we
launch	VB	launch
into	IN	into
orbit	NN	orbit
never	RB	never
comes	VBZ	come
back	RB	back
.	SENT	.
We	PP	we
send	VBP	send
the	DT	the
satellite	NN	satellite
in	IN	in
orbit	NN	orbit
,	,	,
it	PP	it
stops	VBZ	stop
working	VBG	work
,	,	,
it	PP	it
runs	VBZ	run
out	RP	out
of	IN	of
fuel	NN	fuel
,	,	,
and	CC	and
we	PP	we
send	VBP	send
something	NN	something
else	RB	else
up	RB	up
.	SENT	.
.	SENT	.
.	SENT	.
and	CC	and
then	RB	then
we	PP	we
send	VB	send
up	RP	up
something	NN	something
else	RB	else
.	SENT	.
.	SENT	.
.	SENT	.
and	CC	and
then	RB	then
something	NN	something
else	RB	else
.	SENT	.
And	CC	and
every	DT	every
once	RB	once
in	IN	in
a	DT	a
while	NN	while
,	,	,
two	CD	two
of	IN	of
these	DT	these
things	NNS	thing
will	MD	will
collide	VB	collide
with	IN	with
each	DT	each
other	JJ	other
or	CC	or
one	CD	one
of	IN	of
these	DT	these
things	NNS	thing
will	MD	will
explode	VB	explode
,	,	,
or	CC	or
even	RB	even
worse	JJR	bad
,	,	,
somebody	NN	somebody
might	MD	might
just	RB	just
happen	VB	happen
to	TO	to
destroy	VB	destroy
one	CD	one
of	IN	of
their	PP$	their
satellites	NNS	satellite
on	IN	on
orbit	NN	orbit
,	,	,
and	CC	and
this	DT	this
generates	VBZ	generate
many	JJ	many
,	,	,
many	JJ	many
more	JJR	more
pieces	NNS	piece
,	,	,
most	JJS	most
of	IN	of
which	WDT	which
also	RB	also
never	RB	never
come	VB	come
back	RB	back
.	SENT	.
Now	RB	now
these	DT	these
things	NNS	thing
are	VBP	be
not	RB	not
just	RB	just
randomly	RB	randomly
scattered	VBN	scatter
in	IN	in
orbit	NN	orbit
.	SENT	.
It	PP	it
turns	VBZ	turn
out	RP	out
that	IN	that
given	VBN	give
the	DT	the
curvature	NN	curvature
of	IN	of
space-time	NN	space-time
,	,	,
there	EX	there
are	VBP	be
ideal	JJ	ideal
locations	NNS	location
where	WRB	where
we	PP	we
put	VBP	put
some	DT	some
of	IN	of
these	DT	these
satellites	NNS	satellite
â	NP	<unknown>
think	VBP	think
of	IN	of
these	DT	these
as	IN	as
space	NN	space
highways	NNS	highway
.	SENT	.
Very	RB	very
much	RB	much
like	IN	like
highways	NNS	highway
on	IN	on
earth	NN	earth
,	,	,
these	DT	these
space	NN	space
highways	NNS	highway
can	MD	can
only	RB	only
take	VB	take
up	RP	up
a	DT	a
maximum	JJ	maximum
capacity	NN	capacity
of	IN	of
traffic	NN	traffic
to	TO	to
sustain	VB	sustain
space-safe	NN	<unknown>
operations	NNS	operation
.	SENT	.
Unlike	IN	unlike
highways	NNS	highway
on	IN	on
earth	NN	earth
,	,	,
there	EX	there
are	VBP	be
actually	RB	actually
no	DT	no
space	NN	space
traffic	NN	traffic
rules	NNS	rule
.	SENT	.
None	NN	none
whatsoever	RB	whatsoever
,	,	,
OK	UH	OK
?	SENT	?
Wow	NN	wow
.	SENT	.
What	WP	what
could	MD	could
possibly	RB	possibly
go	VB	go
wrong	JJ	wrong
with	IN	with
that	DT	that
?	SENT	?
Now	RB	now
,	,	,
what	WP	what
would	MD	would
be	VB	be
really	RB	really
nice	JJ	nice
is	VBZ	be
if	IN	if
we	PP	we
had	VBD	have
something	NN	something
like	IN	like
a	DT	a
space	NN	space
traffic	NN	traffic
map	NN	map
,	,	,
like	IN	like
a	DT	a
Waze	NN	<unknown>
for	IN	for
space	NN	space
that	IN	that
I	PP	I
could	MD	could
look	VB	look
up	RP	up
and	CC	and
see	VB	see
