What	WP	what
I	PP	I
want	VBP	want
to	TO	to
tell	VB	tell
you	PP	you
about	IN	about
today	NN	today
is	VBZ	be
how	WRB	how
I	PP	I
see	VBP	see
robots	NNS	robot
invading	VBG	invade
our	PP$	our
lives	NNS	life
at	IN	at
multiple	JJ	multiple
levels	NNS	level
,	,	,
over	IN	over
multiple	JJ	multiple
timescales	NNS	timescale
.	SENT	.
And	CC	and
when	WRB	when
I	PP	I
look	VBP	look
out	RP	out
in	IN	in
the	DT	the
future	NN	future
,	,	,
I	PP	I
can	MD	can
'	''	'
t	NN	t
imagine	VB	imagine
a	DT	a
world	NN	world
,	,	,
500	CD	@card@
years	NNS	year
from	IN	from
now	RB	now
,	,	,
where	WRB	where
we	PP	we
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
robots	NNS	robot
everywhere	RB	everywhere
.	SENT	.
Assuming	VBG	assume
â	NP	<unknown>
despite	IN	despite
all	PDT	all
the	DT	the
dire	JJ	dire
predictions	NNS	prediction
from	IN	from
many	JJ	many
people	NNS	people
about	IN	about
our	PP$	our
future	JJ	future
â	NP	<unknown>
assuming	VBG	assume
we	PP	we
'	POS	'
re	NN	re
still	RB	still
around	RB	around
,	,	,
I	PP	I
can	MD	can
'	''	'
t	NN	t
imagine	VB	imagine
the	DT	the
world	NN	world
not	RB	not
being	VBG	be
populated	VBN	populate
with	IN	with
robots	NNS	robot
.	SENT	.
And	CC	and
then	RB	then
the	DT	the
question	NN	question
is	VBZ	be
,	,	,
well	RB	well
,	,	,
if	IN	if
they	PP	they
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
be	VB	be
here	RB	here
in	IN	in
500	CD	@card@
years	NNS	year
,	,	,
are	VBP	be
they	PP	they
going	VBG	go
to	TO	to
be	VB	be
everywhere	RB	everywhere
sooner	RBR	sooner
than	IN	than
that	DT	that
?	SENT	?
Are	VBP	be
they	PP	they
going	VBG	go
to	TO	to
be	VB	be
around	RB	around
in	IN	in
50	CD	@card@
years	NNS	year
?	SENT	?
Yeah	RB	yeah
,	,	,
I	PP	I
think	VBP	think
that	IN	that
'	POS	'
s	NN	S
pretty	RB	pretty
likely	JJ	likely
â	NP	<unknown>
there	RB	there
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
be	VB	be
lots	NNS	lot
of	IN	of
robots	NNS	robot
everywhere	RB	everywhere
.	SENT	.
And	CC	and
in	IN	in
fact	NN	fact
I	PP	I
think	VBP	think
that	IN	that
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
be	VB	be
a	DT	a
lot	NN	lot
sooner	RBR	sooner
than	IN	than
that	DT	that
.	SENT	.
I	PP	I
think	VBP	think
we	PP	we
'	''	'
re	IN	re
sort	NN	sort
of	IN	of
on	IN	on
the	DT	the
cusp	NN	cusp
of	IN	of
robots	NNS	robot
becoming	VBG	become
common	JJ	common
,	,	,
and	CC	and
I	PP	I
think	VBP	think
we	PP	we
'	''	'
re	IN	re
sort	NN	sort
of	IN	of
around	IN	around
1978	CD	@card@
or	CC	or
1980	CD	@card@
in	IN	in
personal	JJ	personal
computer	NN	computer
years	NNS	year
,	,	,
where	WRB	where
the	DT	the
first	JJ	first
few	JJ	few
robots	NNS	robot
are	VBP	be
starting	VBG	start
to	TO	to
appear	VB	appear
.	SENT	.
Computers	NNS	computer
sort	NN	sort
of	IN	of
came	VBD	come
around	RP	around
through	IN	through
games	NNS	game
and	CC	and
toys	NNS	toy
.	SENT	.
And	CC	and
you	PP	you
know	VBP	know
,	,	,
the	DT	the
first	JJ	first
computer	NN	computer
most	JJS	most
people	NNS	people
had	VBD	have
in	IN	in
the	DT	the
house	NN	house
may	MD	may
have	VB	have
been	VBN	be
a	DT	a
computer	NN	computer
to	TO	to
play	VB	play
Pong	NP	Pong
,	,	,
a	DT	a
little	JJ	little
microprocessor	NN	microprocessor
embedded	VBN	embed
,	,	,
and	CC	and
then	RB	then
other	JJ	other
games	NNS	game
that	WDT	that
came	VBD	come
after	IN	after
that	DT	that
.	SENT	.
And	CC	and
we	PP	we
'	POS	'
re	NN	re
starting	VBG	start
to	TO	to
see	VB	see
that	DT	that
same	JJ	same
sort	NN	sort
of	IN	of
thing	NN	thing
with	IN	with
robots	NNS	robot
:	:	:
LEGO	NP	Lego
Mindstorms	NP	Mindstorms
,	,	,
Furbies	NP	<unknown>
â	NP	<unknown>
who	WP	who
here	RB	here
â	NP	<unknown>
did	VBD	do
anyone	NN	anyone
here	RB	here
have	VBP	have
a	DT	a
Furby	NP	Furby
?	SENT	?
Yeah	RB	yeah
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
38	CD	@card@
million	CD	million
of	IN	of
them	PP	them
sold	VBD	sell
worldwide	RB	worldwide
.	SENT	.
They	PP	they
are	VBP	be
pretty	RB	pretty
common	JJ	common
.	SENT	.
And	CC	and
they	PP	they
'	POS	'
re	NN	re
a	DT	a
little	JJ	little
tiny	JJ	tiny
robot	NN	robot
,	,	,
a	DT	a
simple	JJ	simple
robot	NN	robot
with	IN	with
some	DT	some
sensors	NNS	sensor
,	,	,
a	DT	a
little	JJ	little
bit	NN	bit
of	IN	of
processing	NN	processing
actuation	NN	actuation
.	SENT	.
On	IN	on
the	DT	the
right	NN	right
there	EX	there
is	VBZ	be
another	DT	another
robot	NN	robot
doll	NN	doll
,	,	,
who	WP	who
you	PP	you
could	MD	could
get	VB	get
a	DT	a
couple	NN	couple
of	IN	of
years	NNS	year
ago	RB	ago
.	SENT	.
And	CC	and
just	RB	just
as	RB	as
in	IN	in
the	DT	the
early	JJ	early
days	NNS	day
,	,	,
when	WRB	when
there	EX	there
was	VBD	be
a	DT	a
lot	NN	lot
of	IN	of
sort	NN	sort
of	IN	of
amateur	JJ	amateur
interaction	NN	interaction
over	IN	over
computers	NNS	computer
,	,	,
you	PP	you
can	MD	can
now	RB	now
get	VB	get
various	JJ	various
hacking	JJ	hacking
kits	NNS	kit
,	,	,
how-to-hack	NN	<unknown>
books	NNS	book
.	SENT	.
And	CC	and
on	IN	on
the	DT	the
left	NN	left
there	EX	there
is	VBZ	be
a	DT	a
platform	NN	platform
from	IN	from
Evolution	NN	evolution
Robotics	NP	Robotics
,	,	,
where	WRB	where
you	PP	you
put	VBD	put
a	DT	a
PC	NN	PC
on	IN	on
,	,	,
and	CC	and
you	PP	you
program	VBP	program
this	DT	this
thing	NN	thing
with	IN	with
a	DT	a
GUI	NP	Gui
to	TO	to
wander	VB	wander
around	RP	around
your	PP$	your
house	NN	house
and	CC	and
do	VB	do
various	JJ	various
stuff	NN	stuff
.	SENT	.
And	CC	and
then	RB	then
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
higher	JJR	high
price	NN	price
point	NN	point
sort	NN	sort
of	IN	of
robot	NN	robot
toys	NNS	toy
â	NP	<unknown>
the	DT	the
Sony	NP	Sony
Aibo	NP	<unknown>
.	SENT	.
And	CC	and
on	IN	on
the	DT	the
right	NN	right
there	RB	there
,	,	,
is	VBZ	be
one	CD	one
that	IN	that
the	DT	the
NEC	NP	NEC
developed	VBD	develop
,	,	,
the	DT	the
PaPeRo	NP	<unknown>
,	,	,
which	WDT	which
I	PP	I
don	VBP	don
'	''	'
t	NN	t
think	VBP	think
they	PP	they
'	''	'
re	IN	re
going	VBG	go
to	TO	to
release	VB	release
.	SENT	.
But	CC	but
nevertheless	RB	nevertheless
,	,	,
those	DT	those
sorts	NNS	sort
of	IN	of
things	NNS	thing
are	VBP	be
out	RB	out
there	RB	there
.	SENT	.
And	CC	and
we	PP	we
'	POS	'
ve	NNS	<unknown>
seen	VBN	see
,	,	,
over	IN	over
the	DT	the
last	JJ	last
two	CD	two
or	CC	or
three	CD	three
years	NNS	year
,	,	,
lawn-mowing	VBG	lawn-mow
robots	NNS	robot
,	,	,
Husqvarna	NP	Husqvarna
on	IN	on
the	DT	the
bottom	NN	bottom
,	,	,
Friendly	NP	Friendly
Robotics	NP	Robotics
on	IN	on
top	NN	top
there	RB	there
,	,	,
an	DT	an
Israeli	JJ	Israeli
company	NN	company
.	SENT	.
And	CC	and
then	RB	then
in	IN	in
the	DT	the
last	JJ	last
12	CD	@card@
months	NNS	month
or	CC	or
so	IN	so
we	PP	we
'	POS	'
ve	NN	ve
started	VBD	start
to	TO	to
see	VB	see
a	DT	a
bunch	NN	bunch
of	IN	of
home-cleaning	NN	home-cleaning
robots	NNS	robot
appear	VBP	appear
.	SENT	.
The	DT	the
top	NN	top
left	VBD	leave
one	PP	one
is	VBZ	be
a	DT	a
very	RB	very
nice	JJ	nice
home-cleaning	NN	home-cleaning
robot	NN	robot
from	IN	from
a	DT	a
company	NN	company
called	VBN	call
Dyson	NP	Dyson
,	,	,
in	IN	in
the	DT	the
U	NP	U
.	SENT	.
K	NP	K
.	SENT	.
Except	IN	except
it	PP	it
was	VBD	be
so	RB	so
expensive	JJ	expensive
â	NP	<unknown>
3	CD	@card@
,	,	,
500	CD	@card@
dollars	NNS	dollar
â	NP	<unknown>
they	PP	they
didn	NP	<unknown>
'	POS	'
t	NN	t
release	VB	release
it	PP	it
.	SENT	.
But	CC	but
at	IN	at
the	DT	the
bottom	NN	bottom
left	VBD	leave
,	,	,
you	PP	you
see	VBP	see
Electrolux	NP	Electrolux
,	,	,
which	WDT	which
is	VBZ	be
on	IN	on
sale	NN	sale
.	SENT	.
Another	DT	another
one	CD	one
from	IN	from
Karcher	NP	Karcher
.	SENT	.
At	IN	at
the	DT	the
bottom	JJ	bottom
right	NN	right
is	VBZ	be
one	CD	one
that	IN	that
I	PP	I
built	VBD	build
in	IN	in
my	PP$	my
lab	NN	lab
about	IN	about
10	CD	@card@
years	NNS	year
ago	RB	ago
,	,	,
and	CC	and
we	PP	we
finally	RB	finally
turned	VBD	turn
that	IN	that
into	IN	into
a	DT	a
product	NN	product
.	SENT	.
And	CC	and
let	VB	let
me	PP	me
just	RB	just
show	VBP	show
you	PP	you
that	DT	that
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
give	VB	give
this	DT	this
away	RB	away
I	PP	I
think	VBP	think
,	,	,
Chris	NP	Chris
said	VBD	say
,	,	,
after	IN	after
the	DT	the
talk	NN	talk
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
robot	NN	robot
that	IN	that
you	PP	you
can	MD	can
go	VB	go
out	RP	out
and	CC	and
buy	VB	buy
,	,	,
and	CC	and
that	WDT	that
will	MD	will
clean	VB	clean
up	RP	up
your	PP$	your
floor	NN	floor
.	SENT	.
And	CC	and
it	PP	it
starts	VBZ	start
off	RB	off
sort	VB	sort
of	IN	of
just	RB	just
going	VBG	go
around	RP	around
in	IN	in
ever-increasing	VBG	ever-increase
circles	NNS	circle
.	SENT	.
If	IN	if
it	PP	it
hits	VBZ	hit
something	NN	something
â	NP	<unknown>
you	PP	you
people	NNS	people
see	VBP	see
that	DT	that
?	SENT	?
Now	RB	now
it	PP	it
'	POS	'
s	JJ	<unknown>
doing	VBG	do
wall-following	NN	wall-following
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
following	VBG	follow
around	IN	around
my	PP$	my
feet	NNS	foot
to	TO	to
clean	VB	clean
up	RP	up
around	IN	around
me	PP	me
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
see	VBP	see
,	,	,
let	VBP	let
'	POS	'
s	NN	S
â	NP	<unknown>
oh	UH	oh
,	,	,
who	WP	who
stole	VBD	steal
my	PP$	my
Rice	NP	Rice
Krispies	NP	Krispies
?	SENT	?
They	PP	they
stole	VBD	steal
my	PP$	my
Rice	NP	Rice
Krispies	NP	Krispies
!	SENT	!
Don	NP	Don
'	POS	'
t	NN	t
worry	NN	worry
,	,	,
relax	VB	relax
,	,	,
no	UH	no
,	,	,
relax	VB	relax
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
robot	NN	robot
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
smart	JJ	smart
!	SENT	!
See	VB	see
,	,	,
the	DT	the
three-year-old	JJ	three-year-old
kids	NNS	kid
,	,	,
they	PP	they
don	VBP	don
'	''	'
t	NN	t
worry	VBP	worry
about	IN	about
it	PP	it
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
grown-ups	NNS	grown-up
that	WDT	that
get	VBP	get
really	RB	really
upset	VB	upset
.	SENT	.
We	PP	we
'	POS	'
ll	NN	ll
just	RB	just
put	VBD	put
some	DT	some
crap	NN	crap
here	RB	here
.	SENT	.
Okay	JJ	okay
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
if	IN	if
you	PP	you
see	VBP	see
â	NP	<unknown>
so	RB	so
,	,	,
I	PP	I
put	VBD	put
a	DT	a
bunch	NN	bunch
of	IN	of
Rice	NP	Rice
Krispies	NP	Krispies
there	RB	there
,	,	,
I	PP	I
put	VBD	put
some	DT	some
pennies	NNS	penny
,	,	,
let	VBN	let
'	POS	'
s	NNS	<unknown>
just	RB	just
shoot	VBP	shoot
it	PP	it
at	IN	at
that	DT	that
,	,	,
see	VB	see
if	IN	if
it	PP	it
cleans	VBZ	clean
up	RP	up
.	SENT	.
Yeah	RB	yeah
,	,	,
OK	UH	OK
.	SENT	.
So	IN	so
â	NP	<unknown>
we	PP	we
'	POS	'
ll	NNS	<unknown>
leave	VBP	leave
that	IN	that
for	IN	for
later	RBR	later
.	SENT	.
Part	NN	part
of	IN	of
the	DT	the
trick	NN	trick
was	VBD	be
building	VBG	build
a	DT	a
better	JJR	good
cleaning	NN	cleaning
mechanism	NN	mechanism
,	,	,
actually	RB	actually
;	:	;
the	DT	the
intelligence	NN	intelligence
on	IN	on
board	NN	board
was	VBD	be
fairly	RB	fairly
simple	JJ	simple
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NNS	<unknown>
true	JJ	true
with	IN	with
a	DT	a
lot	NN	lot
of	IN	of
robots	NNS	robot
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
all	RB	all
,	,	,
I	PP	I
think	VBP	think
,	,	,
become	VBP	become
,	,	,
sort	NN	sort
of	IN	of
computational	JJ	computational
chauvinists	NNS	chauvinist
,	,	,
and	CC	and
think	VBP	think
that	IN	that
computation	NN	computation
is	VBZ	be
everything	NN	everything
,	,	,
but	CC	but
the	DT	the
mechanics	NNS	mechanic
still	RB	still
matter	VBP	matter
.	SENT	.
Here	RB	here
'	''	'
s	VBG	<unknown>
another	DT	another
robot	NN	robot
,	,	,
the	DT	the
PackBot	NP	<unknown>
,	,	,
that	WDT	that
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
building	VBG	build
for	IN	for
a	DT	a
bunch	NN	bunch
of	IN	of
years	NNS	year
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
military	JJ	military
surveillance	NN	surveillance
robot	NN	robot
,	,	,
to	TO	to
go	VB	go
in	IN	in
ahead	RB	ahead
of	IN	of
troops	NNS	troop
â	NP	<unknown>
looking	VBG	look
at	IN	at
caves	NNS	cave
,	,	,
for	IN	for
instance	NN	instance
.	SENT	.
But	CC	but
we	PP	we
had	VBD	have
to	TO	to
make	VB	make
it	PP	it
fairly	RB	fairly
robust	JJ	robust
,	,	,
much	RB	much
more	RBR	more
robust	JJ	robust
than	IN	than
the	DT	the
robots	NNS	robot
we	PP	we
build	VBP	build
in	IN	in
our	PP$	our
labs	NNS	lab
.	SENT	.
On	IN	on
board	NN	board
that	IN	that
robot	NN	robot
is	VBZ	be
a	DT	a
PC	NN	PC
running	VBG	run
Linux	NP	Linux
.	SENT	.
It	PP	it
can	MD	can
withstand	VB	withstand
a	DT	a
400G	JJ	<unknown>
shock	NN	shock
.	SENT	.
The	DT	the
robot	NN	robot
has	VBZ	have
local	JJ	local
intelligence	NN	intelligence
:	:	:
it	PP	it
can	MD	can
flip	VB	flip
itself	PP	itself
over	RP	over
,	,	,
can	MD	can
get	VB	get
itself	PP	itself
into	IN	into
communication	NN	communication
range	NN	range
,	,	,
can	MD	can
go	VB	go
upstairs	RB	upstairs
by	IN	by
itself	PP	itself
,	,	,
et	CC	et
cetera	NP	cetera
.	SENT	.
Okay	RB	okay
,	,	,
so	IN	so
it	PP	it
'	POS	'
s	NN	S
doing	VBG	do
local	JJ	local
navigation	NN	navigation
there	RB	there
.	SENT	.
A	DT	a
soldier	NN	soldier
gives	VBZ	give
it	PP	it
a	DT	a
command	NN	command
to	TO	to
go	VB	go
upstairs	NN	upstairs
,	,	,
and	CC	and
it	PP	it
does	VBZ	do
.	SENT	.
That	DT	that
was	VBD	be
not	RB	not
a	DT	a
controlled	JJ	controlled
descent	NN	descent
.	SENT	.
Now	RB	now
it	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
head	VB	head
off	RP	off
.	SENT	.
And	CC	and
the	DT	the
big	JJ	big
breakthrough	NN	breakthrough
for	IN	for
these	DT	these
robots	NNS	robot
,	,	,
really	RB	really
,	,	,
was	VBD	be
September	NP	September
11th	JJ	11th
.	SENT	.
We	PP	we
had	VBD	have
the	DT	the
robots	NNS	robot
down	RB	down
at	IN	at
the	DT	the
World	NP	World
Trade	NP	Trade
Center	NP	Center
late	RB	late
that	DT	that
evening	NN	evening
.	SENT	.
Couldn	NP	<unknown>
'	POS	'
t	NN	t
do	VBP	do
a	DT	a
lot	NN	lot
in	IN	in
the	DT	the
main	JJ	main
rubble	NN	rubble
pile	NN	pile
,	,	,
things	NNS	thing
were	VBD	be
just	RB	just
too	RB	too
â	NP	<unknown>
there	EX	there
was	VBD	be
nothing	NN	nothing
left	VBN	leave
to	TO	to
do	VB	do
.	SENT	.
But	CC	but
we	PP	we
did	VBD	do
go	VB	go
into	IN	into
all	PDT	all
the	DT	the
surrounding	VBG	surround
buildings	NNS	building
that	WDT	that
had	VBD	have
been	VBN	be
evacuated	VBN	evacuate
,	,	,
