There	EX	there
'	''	'
s	VBG	<unknown>
an	DT	an
ancient	JJ	ancient
parable	NN	parable
about	IN	about
a	DT	a
farmer	NN	farmer
who	WP	who
lost	VBD	lose
his	PP$	his
horse	NN	horse
.	SENT	.
And	CC	and
neighbors	NNS	neighbor
came	VBD	come
over	RP	over
to	TO	to
say	VB	say
,	,	,
"	``	"
Oh	UH	oh
,	,	,
that	WDT	that
'	POS	'
s	NN	S
too	RB	too
bad	JJ	bad
.	SENT	.
"	''	"
And	CC	and
the	DT	the
farmer	NN	farmer
said	VBD	say
,	,	,
"	``	"
Good	JJ	good
or	CC	or
bad	JJ	bad
,	,	,
hard	JJ	hard
to	TO	to
say	VB	say
.	SENT	.
"	``	"
Days	NNS	day
later	RBR	later
,	,	,
the	DT	the
horse	NN	horse
returns	VBZ	return
and	CC	and
brings	VBZ	bring
with	IN	with
it	PP	it
seven	CD	seven
wild	JJ	wild
horses	NNS	horse
.	SENT	.
And	CC	and
neighbors	NNS	neighbor
come	VBP	come
over	RP	over
to	TO	to
say	VB	say
,	,	,
"	``	"
Oh	UH	oh
,	,	,
that	WDT	that
'	POS	'
s	NN	S
so	RB	so
good	JJ	good
!	SENT	!
"	''	"
And	CC	and
the	DT	the
farmer	NN	farmer
just	RB	just
shrugs	VBZ	shrug
and	CC	and
says	VBZ	say
,	,	,
"	``	"
Good	JJ	good
or	CC	or
bad	JJ	bad
,	,	,
hard	JJ	hard
to	TO	to
say	VB	say
.	SENT	.
"	``	"
The	DT	the
next	JJ	next
day	NN	day
,	,	,
the	DT	the
farmer	NN	farmer
'	POS	'
s	NN	S
son	NN	son
rides	VBZ	ride
one	CD	one
of	IN	of
the	DT	the
wild	JJ	wild
horses	NNS	horse
,	,	,
is	VBZ	be
thrown	VBN	throw
off	RP	off
and	CC	and
breaks	VBZ	break
his	PP$	his
leg	NN	leg
.	SENT	.
And	CC	and
the	DT	the
neighbors	NNS	neighbor
say	VBP	say
,	,	,
"	``	"
Oh	UH	oh
,	,	,
that	WDT	that
'	POS	'
s	JJ	<unknown>
terrible	JJ	terrible
luck	NN	luck
.	SENT	.
"	''	"
And	CC	and
the	DT	the
farmer	NN	farmer
says	VBZ	say
,	,	,
"	``	"
Good	JJ	good
or	CC	or
bad	JJ	bad
,	,	,
hard	JJ	hard
to	TO	to
say	VB	say
.	SENT	.
"	''	"
Eventually	RB	eventually
,	,	,
officers	NNS	officer
come	VBP	come
knocking	VBG	knock
on	IN	on
people	NNS	people
'	POS	'
s	NN	S
doors	NNS	door
,	,	,
looking	VBG	look
for	IN	for
men	NNS	man
to	TO	to
draft	VB	draft
for	IN	for
an	DT	an
army	NN	army
,	,	,
and	CC	and
they	PP	they
see	VBP	see
the	DT	the
farmer	NN	farmer
'	POS	'
s	NN	S
son	NN	son
and	CC	and
his	PP$	his
leg	NN	leg
and	CC	and
they	PP	they
pass	VBP	pass
him	PP	him
by	IN	by
.	SENT	.
And	CC	and
neighbors	NNS	neighbor
say	VBP	say
,	,	,
"	''	"
Ooh	NP	Ooh
,	,	,
that	WDT	that
'	POS	'
s	JJ	<unknown>
great	JJ	great
luck	NN	luck
!	SENT	!
"	''	"
And	CC	and
the	DT	the
farmer	NN	farmer
says	VBZ	say
,	,	,
"	``	"
Good	JJ	good
or	CC	or
bad	JJ	bad
,	,	,
hard	JJ	hard
to	TO	to
say	VB	say
.	SENT	.
"	``	"
I	PP	I
first	RB	first
heard	VBD	hear
this	DT	this
story	NN	story
20	CD	@card@
years	NNS	year
ago	RB	ago
,	,	,
and	CC	and
I	PP	I
have	VBP	have
since	RB	since
applied	VBN	apply
it	PP	it
100	CD	@card@
times	NNS	time
.	SENT	.
Didn	NP	<unknown>
'	POS	'
t	NN	t
get	VB	get
the	DT	the
job	NN	job
I	PP	I
wanted	VBD	want
:	:	:
good	JJ	good
or	CC	or
bad	JJ	bad
,	,	,
hard	JJ	hard
to	TO	to
say	VB	say
.	SENT	.
Got	VBN	get
the	DT	the
job	NN	job
I	PP	I
wanted	VBD	want
:	:	:
good	JJ	good
or	CC	or
bad	JJ	bad
,	,	,
hard	JJ	hard
to	TO	to
say	VB	say
.	SENT	.
To	TO	to
me	PP	me
,	,	,
the	DT	the
story	NN	story
is	VBZ	be
not	RB	not
about	RB	about
looking	VBG	look
on	IN	on
the	DT	the
bright	JJ	bright
side	NN	side
or	CC	or
waiting	VBG	wait
to	TO	to
see	VB	see
how	WRB	how
things	NNS	thing
turn	VBP	turn
out	RP	out
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
about	IN	about
how	WRB	how
eager	JJ	eager
we	PP	we
can	MD	can
be	VB	be
to	TO	to
label	VB	label
a	DT	a
situation	NN	situation
,	,	,
to	TO	to
put	VB	put
concrete	JJ	concrete
around	IN	around
it	PP	it
by	IN	by
judging	VBG	judge
it	PP	it
.	SENT	.
But	CC	but
reality	NN	reality
is	VBZ	be
much	RB	much
more	RBR	more
fluid	JJ	fluid
,	,	,
and	CC	and
good	JJ	good
and	CC	and
bad	JJ	bad
are	VBP	be
often	RB	often
incomplete	JJ	incomplete
stories	NNS	story
that	IN	that
we	PP	we
tell	VBP	tell
ourselves	PP	ourselves
.	SENT	.
The	DT	the
parable	NN	parable
has	VBZ	have
been	VBN	be
my	PP$	my
warning	NN	warning
that	IN	that
by	IN	by
gripping	VBG	grip
tightly	RB	tightly
to	TO	to
the	DT	the
story	NN	story
of	IN	of
good	JJ	good
or	CC	or
bad	JJ	bad
,	,	,
I	PP	I
close	VBP	close
down	RP	down
my	PP$	my
ability	NN	ability
to	TO	to
truly	RB	truly
see	VB	see
a	DT	a
situation	NN	situation
.	SENT	.
I	PP	I
learn	VBP	learn
more	RBR	more
when	WRB	when
I	PP	I
proceed	VB	proceed
and	CC	and
loosen	VB	loosen
my	PP$	my
grip	NN	grip
and	CC	and
proceed	VB	proceed
openly	RB	openly
with	IN	with
curiosity	NN	curiosity
and	CC	and
wonder	NN	wonder
.	SENT	.
But	CC	but
seven	CD	seven
years	NNS	year
ago	RB	ago
,	,	,
when	WRB	when
I	PP	I
was	VBD	be
pregnant	JJ	pregnant
with	IN	with
my	PP$	my
first	JJ	first
child	NN	child
,	,	,
I	PP	I
completely	RB	completely
forgot	VBD	forget
this	DT	this
lesson	NN	lesson
.	SENT	.
I	PP	I
believed	VBD	believe
I	PP	I
knew	VBD	know
wholeheartedly	RB	wholeheartedly
what	WP	what
was	VBD	be
good	JJ	good
.	SENT	.
When	WRB	when
it	PP	it
came	VBD	come
to	TO	to
having	VBG	have
kids	NNS	kid
,	,	,
I	PP	I
thought	VBD	think
that	IN	that
good	NN	good
was	VBD	be
some	DT	some
version	NN	version
of	IN	of
a	DT	a
superbaby	NN	<unknown>
,	,	,
some	DT	some
ultrahealthy	JJ	ultrahealthy
human	NN	human
who	WP	who
possessed	VBD	possess
not	RB	not
a	DT	a
single	JJ	single
flaw	NN	flaw
and	CC	and
would	MD	would
practically	RB	practically
wear	VB	wear
a	DT	a
cape	NN	cape
flying	VBG	fly
into	IN	into
her	PP$	her
superhero	NN	superhero
future	NN	future
.	SENT	.
I	PP	I
took	VBD	take
DHA	NP	DHA
pills	NNS	pill
to	TO	to
ensure	VB	ensure
that	IN	that
my	PP$	my
baby	NN	baby
had	VBD	have
a	DT	a
super-high-functioning	NN	super-high-functioning
,	,	,
supersmart	NN	supersmart
brain	NN	brain
,	,	,
and	CC	and
I	PP	I
ate	VBD	eat
mostly	RB	mostly
organic	JJ	organic
food	NN	food
,	,	,
and	CC	and
I	PP	I
trained	VBD	train
for	IN	for
a	DT	a
medication-free	JJ	<unknown>
labor	NN	labor
,	,	,
and	CC	and
I	PP	I
did	VBD	do
many	JJ	many
other	JJ	other
things	NNS	thing
because	IN	because
I	PP	I
thought	VBD	think
these	DT	these
things	NNS	thing
would	MD	would
help	VB	help
me	PP	me
make	VB	make
not	RB	not
just	RB	just
a	DT	a
good	JJ	good
baby	NN	baby
,	,	,
but	CC	but
the	DT	the
best	JJS	good
baby	NN	baby
possible	JJ	possible
.	SENT	.
When	WRB	when
my	PP$	my
daughter	NN	daughter
Fiona	NP	Fiona
