Picture	NN	picture
this	DT	this
:	:	:
It	PP	it
'	POS	'
s	JJ	<unknown>
Monday	NP	Monday
morning	NN	morning
,	,	,
you	PP	you
'	POS	'
re	NN	re
at	IN	at
the	DT	the
office	NN	office
,	,	,
you	PP	you
'	POS	'
re	NN	re
settling	VBG	settle
in	IN	in
for	IN	for
the	DT	the
day	NN	day
at	IN	at
work	NN	work
,	,	,
and	CC	and
this	DT	this
guy	NN	guy
that	IN	that
you	PP	you
sort	RB	sort
of	IN	of
recognize	VB	recognize
from	IN	from
down	RB	down
the	DT	the
hall	NN	hall
,	,	,
walks	VBZ	walk
right	NN	right
into	IN	into
your	PP$	your
cubicle	NN	cubicle
and	CC	and
he	PP	he
steals	VBZ	steal
your	PP$	your
chair	NN	chair
.	SENT	.
Doesn	NP	<unknown>
'	POS	'
t	NN	t
say	VBP	say
a	DT	a
word	NN	word
â	NP	<unknown>
just	RB	just
rolls	VBZ	roll
away	RB	away
with	IN	with
it	PP	it
.	SENT	.
Doesn	NP	<unknown>
'	POS	'
t	NN	t
give	VB	give
you	PP	you
any	DT	any
information	NN	information
about	IN	about
why	WRB	why
he	PP	he
took	VBD	take
your	PP$	your
chair	NN	chair
out	RP	out
of	IN	of
all	PDT	all
the	DT	the
other	JJ	other
chairs	NNS	chair
that	WDT	that
are	VBP	be
out	RB	out
there	RB	there
.	SENT	.
Doesn	NP	<unknown>
'	POS	'
t	NN	t
acknowledge	VBP	acknowledge
the	DT	the
fact	NN	fact
that	IN	that
you	PP	you
might	MD	might
need	VB	need
your	PP$	your
chair	NN	chair
to	TO	to
get	VB	get
some	DT	some
work	NN	work
done	VBN	do
today	NN	today
.	SENT	.
You	PP	you
wouldn	NP	<unknown>
'	POS	'
t	NN	t
stand	NN	stand
for	IN	for
it	PP	it
.	SENT	.
You	PP	you
'	POS	'
d	NN	d
make	VB	make
a	DT	a
stink	NN	stink
.	SENT	.
You	PP	you
'	POS	'
d	NN	d
follow	VB	follow
that	DT	that
guy	NN	guy
back	RB	back
to	TO	to
his	PP$	his
cubicle	NN	cubicle
and	CC	and
you	PP	you
'	POS	'
d	NN	d
say	VBP	say
,	,	,
"	''	"
Why	WRB	why
my	PP$	my
chair	NN	chair
?	SENT	?
"	''	"
Okay	RB	okay
,	,	,
so	RB	so
now	RB	now
it	PP	it
'	POS	'
s	JJ	<unknown>
Tuesday	NP	Tuesday
morning	NN	morning
and	CC	and
you	PP	you
'	POS	'
re	NN	re
at	IN	at
the	DT	the
office	NN	office
,	,	,
and	CC	and
a	DT	a
meeting	NN	meeting
invitation	NN	invitation
pops	VBZ	pop
up	RP	up
in	IN	in
your	PP$	your
calendar	NN	calendar
