By	IN	by
the	DT	the
year	NN	year
2050	CD	@card@
,	,	,
the	DT	the
population	NN	population
of	IN	of
Africa	NP	Africa
will	MD	will
have	VB	have
doubled	VBN	double
.	SENT	.
One	CD	one
in	IN	in
four	CD	four
people	NNS	people
on	IN	on
Earth	NP	Earth
will	MD	will
be	VB	be
African	JJ	African
at	IN	at
that	DT	that
point	NN	point
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
both	DT	both
really	RB	really
exciting	JJ	exciting
and	CC	and
daunting	JJ	daunting
all	RB	all
at	IN	at
once	RB	once
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
really	RB	really
exciting	JJ	exciting
because	IN	because
,	,	,
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
in	IN	in
the	DT	the
modern	JJ	modern
era	NN	era
,	,	,
there	EX	there
will	MD	will
be	VB	be
enough	JJ	enough
Africans	NNS	African
on	IN	on
the	DT	the
Earth	NN	earth
to	TO	to
bully	VB	bully
everybody	NN	everybody
else	RB	else
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
only	RB	only
kidding	VBG	kid
.	SENT	.
But	CC	but
it	PP	it
'	POS	'
s	NNS	<unknown>
daunting	JJ	daunting
,	,	,
because	IN	because
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
have	VB	have
to	TO	to
have	VB	have
economies	NNS	economy
that	WDT	that
can	MD	can
sustain	VB	sustain
this	DT	this
population	NN	population
growth	NN	growth
,	,	,
and	CC	and
many	JJ	many
of	IN	of
the	DT	the
people	NNS	people
are	VBP	be
going	VBG	go
to	TO	to
be	VB	be
very	RB	very
young	JJ	young
.	SENT	.
Now	RB	now
most	RBS	most
of	IN	of
governments	NNS	government
in	IN	in
Africa	NP	Africa
have	VBP	have
a	DT	a
plan	NN	plan
for	IN	for
this	DT	this
economic	JJ	economic
growth	NN	growth
—	:	-
in	IN	in
Kenya	NP	Kenya
,	,	,
we	PP	we
call	VBP	call
ours	PP	ours
Vision2030	JJ	<unknown>
—	:	-
and	CC	and
they	PP	they
'	POS	'
re	NN	re
all	RB	all
predicated	VBN	predicate
on	IN	on
industrialization	NN	industrialization
.	SENT	.
The	DT	the
thing	NN	thing
is	VBZ	be
,	,	,
though	RB	though
,	,	,
that	IN	that
the	DT	the
world	NN	world
is	VBZ	be
