You	PP	you
know	VBP	know
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
small	JJ	small
country	NN	country
nestled	VBN	nestle
in	IN	in
the	DT	the
Himalayan	NP	Himalayan
Mountains	NP	Mountains
,	,	,
far	RB	far
from	IN	from
these	DT	these
beautiful	JJ	beautiful
mountains	NNS	mountain
,	,	,
where	WRB	where
the	DT	the
people	NNS	people
of	IN	of
the	DT	the
Kingdom	NP	Kingdom
of	IN	of
Bhutan	NP	Bhutan
have	VBP	have
decided	VBN	decide
to	TO	to
do	VB	do
something	NN	something
different	JJ	different
,	,	,
which	WDT	which
is	VBZ	be
to	TO	to
measure	VB	measure
their	PP$	their
gross	JJ	gross
national	JJ	national
happiness	NN	happiness
rather	RB	rather
than	IN	than
their	PP$	their
gross	JJ	gross
national	JJ	national
product	NN	product
.	SENT	.
And	CC	and
why	WRB	why
not	RB	not
?	SENT	?
After	IN	after
all	DT	all
,	,	,
happiness	NN	happiness
is	VBZ	be
not	RB	not
just	RB	just
a	DT	a
privilege	NN	privilege
for	IN	for
the	DT	the
lucky	JJ	lucky
few	JJ	few
,	,	,
but	CC	but
a	DT	a
fundamental	JJ	fundamental
human	JJ	human
right	NN	right
for	IN	for
all	DT	all
.	SENT	.
And	CC	and
what	WP	what
is	VBZ	be
happiness	NN	happiness
?	SENT	?
Happiness	NN	happiness
is	VBZ	be
the	DT	the
freedom	NN	freedom
of	IN	of
choice	NN	choice
.	SENT	.
The	DT	the
freedom	NN	freedom
to	TO	to
chose	NN	chose
where	WRB	where
to	TO	to
live	VB	live
,	,	,
what	WP	what
to	TO	to
do	VB	do
,	,	,
what	WP	what
to	TO	to
buy	VB	buy
,	,	,
what	WP	what
to	TO	to
sell	VB	sell
,	,	,
from	IN	from
whom	WP	whom
,	,	,
to	TO	to
whom	WP	whom
,	,	,
when	WRB	when
and	CC	and
how	WRB	how
.	SENT	.
Where	WRB	where
does	VBZ	do
choice	NN	choice
come	VBN	come
from	IN	from
?	SENT	?
And	CC	and
who	WP	who
gets	VBZ	get
to	TO	to
express	VB	express
it	PP	it
,	,	,
and	CC	and
how	WRB	how
do	VBP	do
we	PP	we
express	VB	express
it	PP	it
?	SENT	?
Well	RB	well
,	,	,
one	CD	one
way	NN	way
to	TO	to
express	VB	express
choice	NN	choice
is	VBZ	be
through	IN	through
the	DT	the
market	NN	market
.	SENT	.
Well-functioning	VBG	well-function
markets	NNS	market
provide	VB	provide
choices	NNS	choice
,	,	,
and	CC	and
ultimately	RB	ultimately
,	,	,
the	DT	the
ability	NN	ability
to	TO	to
express	VB	express
one	CD	one
'	POS	'
s	JJ	<unknown>
pursuit	NN	pursuit
for	IN	for
happiness	NN	happiness
.	SENT	.
The	DT	the
great	JJ	great
Indian	JJ	Indian
economist	NN	economist
,	,	,
Amartya	NP	<unknown>
Sen	NP	Sen
,	,	,
was	VBD	be
awarded	VBN	award
the	DT	the
Nobel	NP	Nobel
prize	NN	prize
for	IN	for
demonstrating	VBG	demonstrate
that	DT	that
famine	NN	famine
is	VBZ	be
not	RB	not
so	RB	so
much	JJ	much
about	IN	about
the	DT	the
availability	NN	availability
