Lindsay	NP	Lindsay
Levin	NP	Levin
:	:	:
So	RB	so
Dave	NP	Dave
,	,	,
in	IN	in
just	RB	just
a	DT	a
few	JJ	few
months	NNS	month
,	,	,
you	PP	you
transition	NN	transition
into	IN	into
a	DT	a
new	JJ	new
role	NN	role
as	IN	as
CEO	NN	CEO
of	IN	of
consumer	NN	consumer
retail	NN	retail
at	IN	at
Amazon	NP	Amazon
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
a	DT	a
big	JJ	big
role	NN	role
.	SENT	.
How	WRB	how
will	MD	will
climate	NN	climate
sit	VBP	sit
as	IN	as
a	DT	a
priority	NN	priority
for	IN	for
you	PP	you
,	,	,
given	VBN	give
all	PDT	all
the	DT	the
other	JJ	other
things	NNS	thing
you	PP	you
'	POS	'
ll	NNS	<unknown>
have	VBP	have
on	IN	on
your	PP$	your
plate	NN	plate
?	SENT	?
Dave	NP	Dave
Clark	NP	Clark
:	:	:
We	PP	we
'	POS	'
ve	NN	ve
spent	VBD	spend
much	RB	much
of	IN	of
our	PP$	our
end	NN	end
of	IN	of
the	DT	the
summer	NN	summer
in	IN	in
smoke-filled	JJ	smoke-filled
Seattle	NP	Seattle
,	,	,
unable	JJ	unable
to	TO	to
enjoy	VB	enjoy
the	DT	the
majestic	JJ	majestic
Pacific	NP	Pacific
Northwest	NP	Northwest
due	JJ	due
to	TO	to
all	PDT	all
the	DT	the
fires	NNS	fire
that	WDT	that
encompassed	VBD	encompass
the	DT	the
West	NP	West
Coast	NP	Coast
of	IN	of
the	DT	the
US	NP	US
this	DT	this
summer	NN	summer
.	SENT	.
Climate	NN	climate
is	VBZ	be
a	DT	a
very	RB	very
real	JJ	real
challenge	NN	challenge
for	IN	for
all	DT	all
of	IN	of
us	PP	us
,	,	,
not	RB	not
just	RB	just
at	IN	at
Amazon	NP	Amazon
,	,	,
but	CC	but
in	IN	in
our	PP$	our
daily	JJ	daily
lives	NNS	life
at	IN	at
this	DT	this
point	NN	point
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
focused	VBN	focus
on	IN	on
this	DT	this
with	IN	with
the	DT	the
team	NN	team
and	CC	and
with	IN	with
Kara	NP	Kara
for	IN	for
years	NNS	year
now	RB	now
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
we	PP	we
'	POS	'
ve	NN	ve
embedded	VBD	embed
the	DT	the
sustainability	NN	sustainability
teams	NNS	team
inside	RB	inside
of	IN	of
our	PP$	our
operations	NNS	operation
team	NN	team
,	,	,
as	RB	as
opposed	VBN	oppose
to	TO	to
being	VBG	be
a	DT	a
separate	JJ	separate
part	NN	part
of	IN	of
the	DT	the
company	NN	company
,	,	,
because	IN	because
we	PP	we
wanted	VBD	want
those	DT	those
teams	NNS	team
connected	VBN	connect
with	IN	with
the	DT	the
groups	NNS	group
that	WDT	that
can	MD	can
actually	RB	actually
make	VB	make
change	NN	change
.	SENT	.
LL	NP	LL
:	:	:
Kara	NP	Kara
,	,	,
can	MD	can
you	PP	you
describe	VB	describe
a	DT	a
couple	NN	couple
of	IN	of
the	DT	the
biggest	JJS	big
hurdles	NNS	hurdle
you	PP	you
face	VBP	face
as	IN	as
you	PP	you
work	VBP	work
to	TO	to
reduce	VB	reduce
the	DT	the
carbon	NN	carbon
footprint	NN	footprint
of	IN	of
a	DT	a
company	NN	company
like	IN	like
Amazon	NP	Amazon
?	SENT	?
Kara	NP	Kara
Hurst	NP	Hurst
:	:	:
One	CD	one
of	IN	of
the	DT	the
really	RB	really
exciting	JJ	exciting
but	CC	but
also	RB	also
complex	JJ	complex
things	NNS	thing
about	IN	about
Amazon	NP	Amazon
is	VBZ	be
the	DT	the
diversity	NN	diversity
of	IN	of
businesses	NNS	business
that	IN	that
we	PP	we
'	POS	'
re	NN	re
