First	JJ	first
of	IN	of
all	DT	all
,	,	,
I	PP	I
'	POS	'
m	NN	m
a	DT	a
geek	NN	geek
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
an	DT	an
organic	JJ	organic
food-eating	NN	food-eating
,	,	,
carbon	NN	carbon
footprint-	NN	<unknown>
minimizing	VBG	minimize
,	,	,
robotic	JJ	robotic
surgery	NN	surgery
geek	NN	geek
.	SENT	.
And	CC	and
I	PP	I
really	RB	really
want	VBP	want
to	TO	to
build	VB	build
green	JJ	green
,	,	,
but	CC	but
I	PP	I
'	POS	'
m	NN	m
very	RB	very
suspicious	JJ	suspicious
of	IN	of
all	DT	all
of	IN	of
these	DT	these
well-meaning	JJ	well-meaning
articles	NNS	article
,	,	,
people	NNS	people
long	JJ	long
on	IN	on
moral	JJ	moral
authority	NN	authority
and	CC	and
short	JJ	short
on	IN	on
data	NNS	datum
,	,	,
telling	VBG	tell
me	PP	me
how	WRB	how
to	TO	to
do	VB	do
these	DT	these
kinds	NNS	kind
of	IN	of
things	NNS	thing
.	SENT	.
And	CC	and
so	RB	so
I	PP	I
have	VBP	have
to	TO	to
figure	VB	figure
this	DT	this
out	RP	out
for	IN	for
myself	PP	myself
.	SENT	.
For	IN	for
example	NN	example
:	:	:
Is	VBZ	be
this	DT	this
evil	NN	evil
?	SENT	?
I	PP	I
have	VBP	have
dropped	VBN	drop
a	DT	a
blob	NN	blob
of	IN	of
organic	JJ	organic
yogurt	NN	yogurt
from	IN	from
happy	JJ	happy
self-actualized	JJ	<unknown>
local	JJ	local
cows	NNS	cow
on	IN	on
my	PP$	my
counter	JJ	counter
top	NN	top
,	,	,
and	CC	and
I	PP	I
grab	VBP	grab
a	DT	a
paper	NN	paper
towel	NN	towel
and	CC	and
I	PP	I
want	VBP	want
to	TO	to
wipe	VB	wipe
it	PP	it
up	RP	up
.	SENT	.
But	CC	but
can	MD	can
I	PP	I
use	VB	use
a	DT	a
paper	NN	paper
towel	NN	towel
?	SENT	?
The	DT	the
answer	NN	answer
to	TO	to
this	DT	this
can	MD	can
be	VB	be
found	VBN	find
in	IN	in
embodied	VBN	embody
energy	NN	energy
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
amount	NN	amount
of	IN	of
energy	NN	energy
that	WDT	that
goes	VBZ	go
into	IN	into
any	DT	any
paper	NN	paper
towel	NN	towel
or	CC	or
embodied	VBN	embody
water	NN	water
,	,	,
and	CC	and
every	DT	every
time	NN	time
I	PP	I
use	VBP	use
a	DT	a
paper	NN	paper
towel	NN	towel
,	,	,
I	PP	I
am	VBP	be
using	VBG	use
this	DT	this
much	JJ	much
virtual	JJ	virtual
energy	NN	energy
and	CC	and
water	NN	water
.	SENT	.
Wipe	VB	wipe
it	PP	it
up	RP	up
,	,	,
throw	VB	throw
it	PP	it
away	RP	away
.	SENT	.
Now	RB	now
,	,	,
if	IN	if
I	PP	I
compare	VBP	compare
that	IN	that
to	TO	to
a	DT	a
cotton	NN	cotton
towel	NN	towel
that	IN	that
I	PP	I
can	MD	can
use	VB	use
a	DT	a
thousand	CD	thousand
times	NNS	time
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
a	DT	a
whole	JJ	whole
lot	NN	lot
of	IN	of
embodied	VBN	embody
energy	NN	energy
until	IN	until
I	PP	I
wash	VBP	wash
that	IN	that
yogurty	JJ	<unknown>
towel	NN	towel
.	SENT	.
This	DT	this
is	VBZ	be
now	RB	now
operating	VBG	operate
energy	NN	energy
.	SENT	.
So	RB	so
if	IN	if
I	PP	I
throw	VBP	throw
my	PP$	my
towel	NN	towel
in	IN	in
the	DT	the
washing	NN	washing
machine	NN	machine
,	,	,
I	PP	I
'	POS	'
ve	NN	ve
now	RB	now
put	VBD	put
energy	NN	energy
and	CC	and
water	NN	water
back	RB	back
into	IN	into
that	DT	that
