So	RB	so
in	IN	in
my	PP$	my
free	JJ	free
time	NN	time
outside	IN	outside
of	IN	of
Twitter	NN	twitter
I	PP	I
experiment	VBP	experiment
a	DT	a
little	JJ	little
bit	NN	bit
with	IN	with
telling	VBG	tell
stories	NNS	story
online	JJ	online
,	,	,
experimenting	VBG	experiment
with	IN	with
what	WP	what
we	PP	we
can	MD	can
do	VB	do
with	IN	with
new	JJ	new
digital	JJ	digital
tools	NNS	tool
.	SENT	.
And	CC	and
in	IN	in
my	PP$	my
job	NN	job
at	IN	at
Twitter	NN	twitter
,	,	,
I	PP	I
actually	RB	actually
spent	VBD	spend
a	DT	a
little	JJ	little
bit	NN	bit
of	IN	of
time	NN	time
working	VBG	work
with	IN	with
authors	NNS	author
and	CC	and
storytellers	NNS	storyteller
as	IN	as
well	RB	well
,	,	,
helping	VBG	help
to	TO	to
expand	VB	expand
out	RP	out
the	DT	the
bounds	NNS	bound
of	IN	of
what	WP	what
people	NNS	people
are	VBP	be
experimenting	VBG	experiment
with	IN	with
.	SENT	.
And	CC	and
I	PP	I
want	VBP	want
to	TO	to
talk	VB	talk
through	IN	through
some	DT	some
examples	NNS	example
today	NN	today
of	IN	of
things	NNS	thing
that	IN	that
people	NNS	people
have	VBP	have
done	VBN	do
that	IN	that
I	PP	I
think	VBP	think
are	VBP	be
really	RB	really
fascinating	VBG	fascinate
using	VBG	use
flexible	JJ	flexible
identity	NN	identity
and	CC	and
anonymity	NN	anonymity
on	IN	on
the	DT	the
web	NN	web
and	CC	and
blurring	VBG	blur
the	DT	the
lines	NNS	line
between	IN	between
fact	NN	fact
and	CC	and
fiction	NN	fiction
.	SENT	.
But	CC	but
I	PP	I
want	VBP	want
to	TO	to
start	VB	start
and	CC	and
go	VB	go
back	RB	back
to	TO	to
the	DT	the
1930s	NNS	1930s
.	SENT	.
Long	RB	long
before	IN	before
a	DT	a
little	JJ	little
thing	NN	thing
called	VBD	call
Twitter	NN	twitter
,	,	,
radio	NN	radio
brought	VBD	bring
us	PP	us
broadcasts	VBZ	broadcast
and	CC	and
connected	JJ	connected
millions	NNS	million
of	IN	of
people	NNS	people
to	TO	to
single	JJ	single
points	NNS	point
of	IN	of
broadcast	NN	broadcast
.	SENT	.
And	CC	and
from	IN	from
those	DT	those
single	JJ	single
points	NNS	point
emanated	VBD	emanate
stories	NNS	story
.	SENT	.
Some	DT	some
of	IN	of
them	PP	them
were	VBD	be
familiar	JJ	familiar
stories	NNS	story
.	SENT	.
Some	DT	some
of	IN	of
them	PP	them
were	VBD	be
new	JJ	new
stories	NNS	story
.	SENT	.
And	CC	and
for	IN	for
a	DT	a
while	IN	while
they	PP	they
were	VBD	be
familiar	JJ	familiar
formats	NNS	format
,	,	,
but	CC	but
then	RB	then
radio	NN	radio
began	VBD	begin
to	TO	to
evolve	VB	evolve
its	PP$	its
own	JJ	own
unique	JJ	unique
formats	NNS	format
specific	JJ	specific
to	TO	to
that	DT	that
medium	NN	medium
.	SENT	.
Think	VB	think
about	IN	about
episodes	NNS	episode
that	WDT	that
happened	VBD	happen
live	JJ	live
on	IN	on
radio	NN	radio
.	SENT	.
Combining	VBG	combine
the	DT	the
live	JJ	live
play	NN	play
and	CC	and
the	DT	the
serialization	NN	serialization
of	IN	of
written	JJ	written
fiction	NN	fiction
,	,	,
you	PP	you
get	VBP	get
this	DT	this
