Hello	UH	hello
,	,	,
everyone	NN	everyone
.	SENT	.
My	PP$	my
name	NN	name
is	VBZ	be
Orit	NP	Orit
,	,	,
yes	UH	yes
.	SENT	.
And	CC	and
I	PP	I
study	VBP	study
insurance	NN	insurance
.	SENT	.
Telling	VBG	tell
people	NNS	people
that	IN	that
you	PP	you
study	VBP	study
insurance	NN	insurance
is	VBZ	be
not	RB	not
a	DT	a
good	JJ	good
way	NN	way
to	TO	to
start	VB	start
a	DT	a
conversation	NN	conversation
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
if	IN	if
ever	RB	ever
you	PP	you
need	VBP	need
to	TO	to
end	VB	end
the	DT	the
conversation	NN	conversation
,	,	,
try	VB	try
it	PP	it
,	,	,
tell	VB	tell
people	NNS	people
you	PP	you
study	VBP	study
insurance	NN	insurance
.	SENT	.
People	NNS	people
don	NN	don
'	POS	'
t	NN	t
want	VBP	want
to	TO	to
talk	VB	talk
about	IN	about
insurance	NN	insurance
.	SENT	.
They	PP	they
don	VBP	don
'	''	'
t	NN	t
think	VB	think
it	PP	it
'	POS	'
s	VBG	<unknown>
all	PDT	all
that	DT	that
exciting	JJ	exciting
.	SENT	.
But	CC	but
I	PP	I
disagree	VBP	disagree
.	SENT	.
I	PP	I
find	VBP	find
insurance	NN	insurance
fascinating	JJ	fascinating
;	:	;
in	IN	in
fact	NN	fact
,	,	,
I	PP	I
find	VBP	find
it	PP	it
magical	JJ	magical
.	SENT	.
And	CC	and
today	NN	today
,	,	,
I	PP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
show	VB	show
you	PP	you
why	WRB	why
.	SENT	.
Now	RB	now
,	,	,
the	DT	the
famous	JJ	famous
author	NN	author
Franz	NP	Franz
Kafka	NP	Kafka
used	VBD	use
to	TO	to
work	VB	work
for	IN	for
an	DT	an
insurance	NN	insurance
company	NN	company
in	IN	in
Prague	NP	Prague
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
what	WP	what
Kafka	NP	Kafka
had	VBD	have
to	TO	to
say	VB	say
about	IN	about
