Hello	UH	hello
.	SENT	.
This	DT	this
is	VBZ	be
my	PP$	my
first	JJ	first
trip	NN	trip
,	,	,
first	JJ	first
time	NN	time
in	IN	in
life	NN	life
I	NP	I
'	POS	'
m	NN	m
outside	NN	outside
of	IN	of
the	DT	the
walls	NNS	wall
of	IN	of
Gaza	NP	Gaza
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
so	RB	so
happy	JJ	happy
to	TO	to
be	VB	be
here	RB	here
.	SENT	.
My	PP$	my
ambition	NN	ambition
always	RB	always
was	VBD	be
to	TO	to
be	VB	be
a	DT	a
pilot	NN	pilot
,	,	,
to	TO	to
fly	VB	fly
a	DT	a
plane	NN	plane
,	,	,
to	TO	to
feel	VB	feel
free	JJ	free
to	TO	to
fly	VB	fly
the	DT	the
sky	NN	sky
,	,	,
to	TO	to
touch	VB	touch
the	DT	the
sky	NN	sky
.	SENT	.
But	CC	but
that	DT	that
didn	NN	<unknown>
'	POS	'
t	NN	t
happen	VB	happen
.	SENT	.
Simply	RB	simply
,	,	,
I	PP	I
live	VBP	live
in	IN	in
Gaza	NP	Gaza
,	,	,
there	EX	there
is	VBZ	be
no	DT	no
airport	NN	airport
.	SENT	.
All	DT	all
borders	NNS	border
are	VBP	be
closed	VBN	close
on	IN	on
every	DT	every
side	NN	side
.	SENT	.
We	PP	we
live	VBP	live
in	IN	in
one	CD	one
of	IN	of
the	DT	the
biggest	JJS	big
prisons	NNS	prison
in	IN	in
the	DT	the
world	NN	world
.	SENT	.
The	DT	the
only	JJ	only
thing	NN	thing
I	PP	I
can	MD	can
do	VB	do
is	VBZ	be
just	RB	just
to	TO	to
look	VB	look
up	RP	up
to	TO	to
the	DT	the
sky	NN	sky
.	SENT	.
On	IN	on
some	DT	some
days	NNS	day
,	,	,
we	PP	we
are	VBP	be
lucky	JJ	lucky
if	IN	if
we	PP	we
have	VBP	have
electricity	NN	electricity
for	IN	for
four	CD	four
or	CC	or
five	CD	five
hours	NNS	hour
.	SENT	.
When	WRB	when
it	PP	it
'	POS	'
s	NN	S
cold	NN	cold
,	,	,
we	PP	we
make	VBP	make
a	DT	a
fire	NN	fire
on	IN	on
the	DT	the
front	NN	front
or	CC	or
on	IN	on
the	DT	the
roof	NN	roof
of	IN	of
our	PP$	our
homes	NNS	home
.	SENT	.
Sometimes	RB	sometimes
we	PP	we
make	VBP	make
food	NN	food
,	,	,
too	RB	too
.	SENT	.
My	PP$	my
job	NN	job
in	IN	in
Gaza	NP	Gaza
is	VBZ	be
to	TO	to
arrange	VB	arrange
everything	NN	everything
for	IN	for
journalists	NNS	journalist
who	WP	who
come	VBP	come
to	TO	to
my	PP$	my
homeland	NN	homeland
to	TO	to
tell	VB	tell
the	DT	the
stories	NNS	story
about	IN	about
what	WP	what
'	POS	'
s	NNS	<unknown>
going	VBG	go
on	IN	on
in	IN	in
Gaza	NP	Gaza
.	SENT	.
Many	JJ	many
mornings	NNS	morning
,	,	,
I	PP	I
had	VBD	have
to	TO	to
go	VB	go
to	TO	to
the	DT	the
border	NN	border
area	NN	area
to	TO	to
collect	VB	collect
a	DT	a
journalist	NN	journalist
.	SENT	.
If	IN	if
anything	NN	anything
should	MD	should
happen	VB	happen
to	TO	to
the	DT	the
journalist	NN	journalist
,	,	,
or	CC	or
if	IN	if
the	DT	the
journalist	NN	journalist
decides	VBZ	decide
to	TO	to
cover	VB	cover
a	DT	a
story	NN	story
the	DT	the
government	NN	government
doesn	NN	<unknown>
'	POS	'
t	NN	t
want	VBP	want
us	PP	us
to	TO	to
cover	VB	cover
,	,	,
bad	JJ	bad
things	NNS	thing
could	MD	could
happen	VB	happen
.	SENT	.
Navigating	VBG	navigate
through	IN	through
my	PP$	my
country	NN	country
helping	VBG	help
journalists	NNS	journalist
,	,	,
filmmakers	NP	filmmakers
,	,	,
news	NN	news
crews	NNS	crew
,	,	,
is	VBZ	be
my	PP$	my
working	VBG	work
life	NN	life
.	SENT	.
I	PP	I
believe	VBP	believe
my	PP$	my
success	NN	success
comes	VBZ	come
from	IN	from
building	VBG	build
a	DT	a
relationship	NN	relationship
not	RB	not
only	RB	only
with	IN	with
journalists	NNS	journalist
and	CC	and
the	DT	the
news	NN	news
crews	NNS	crew
,	,	,
but	CC	but
also	RB	also
with	IN	with
the	DT	the
communities	NNS	community
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
.	SENT	.
These	DT	these
communities	NNS	community
who	WP	who
don	VBP	don
'	POS	'
t	NN	t
want	VBP	want
their	PP$	their
stories	NNS	story
to	TO	to
be	VB	be
told	VBN	tell
,	,	,
I	PP	I
never	RB	never
looked	VBD	look
to	TO	to
them	PP	them
as	IN	as
stories	NNS	story
or	CC	or
numbers	NNS	number
.	SENT	.
But	CC	but
like	IN	like
me	PP	me
,	,	,
they	PP	they
are	VBP	be
human	JJ	human
beings	NNS	being
.	SENT	.
I	PP	I
have	VBP	have
built	VBN	build
up	RP	up
many	JJ	many
relationships	NNS	relationship
over	IN	over
10	CD	@card@
years	NNS	year
.	SENT	.
And	CC	and
guess	VBP	guess
what	WP	what
?	SENT	?
This	DT	this
gives	VBZ	give
me	PP	me
the	DT	the
chance	NN	chance
to	TO	to
get	VB	get
access	NN	access
to	TO	to
people	NNS	people
,	,	,
to	TO	to
stories	NNS	story
that	IN	that
others	NNS	other
can	MD	can
'	''	'
t	NN	t
.	SENT	.
In	IN	in
some	DT	some
certain	JJ	certain
situations	NNS	situation
,	,	,
I	PP	I
feel	VBP	feel
,	,	,
as	IN	as
a	DT	a
woman	NN	woman
,	,	,
I	PP	I
have	VBP	have
more	JJR	more
power	NN	power
.	SENT	.
Many	JJ	many
male	JJ	male
journalists	NNS	journalist
in	IN	in
my	PP$	my
society	NN	society
,	,	,
they	PP	they
want	VBP	want
to	TO	to
cover	VB	cover
a	DT	a
story	NN	story
about	IN	about
drug	NN	drug
addiction	NN	addiction
in	IN	in
my	PP$	my
country	NN	country
.	SENT	.
That	DT	that
problem	NN	problem
started	VBD	start
when	WRB	when
the	DT	the
Gaza	NP	Gaza
tunnel	NN	tunnel
was	VBD	be
being	VBG	be
built	VBN	build
.	SENT	.
With	IN	with
the	DT	the
siege	NN	siege
on	IN	on
Gaza	NP	Gaza
,	,	,
tunnels	NNS	tunnel
brought	VBD	bring
people	NNS	people
all	RB	all
the	DT	the
basic	JJ	basic
needs	NNS	need
like	IN	like
food	NN	food
,	,	,
building	VBG	build
material	NN	material
,	,	,
other	JJ	other
stuff	NN	stuff
we	PP	we
needed	VBD	need
.	SENT	.
But	CC	but
not	RB	not
anymore	RB	anymore
,	,	,
because	IN	because
the	DT	the
Egyptian	JJ	Egyptian
side	NN	side
flooded	VBD	flood
them	PP	them
up	RP	up
with	IN	with
water	NN	water
and	CC	and
they	PP	they
are	VBP	be
not	RB	not
working	VBG	work
anymore	RB	anymore
.	SENT	.
Drugs	NNS	drug
were	VBD	be
being	VBG	be
smuggled	VBN	smuggle
,	,	,
and	CC	and
many	JJ	many
young	JJ	young
people	NNS	people
got	VBD	get
addicted	VBN	addict
,	,	,
too	RB	too
.	SENT	.
In	IN	in
the	DT	the
tradition	NN	tradition
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
society	NN	society
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
forbidden	VBN	forbid
for	IN	for
men	NNS	man
to	TO	to
enter	VB	enter
the	DT	the
household	NN	household
.	SENT	.
So	RB	so
,	,	,
no	DT	no
male	JJ	male
journalists	NNS	journalist
get	VBP	get
the	DT	the
story	NN	story
.	SENT	.
But	CC	but
I	PP	I
did	VBD	do
.	SENT	.
I	PP	I
have	VBP	have
a	DT	a
wonderful	JJ	wonderful
husband	NN	husband
,	,	,
a	DT	a
wonderful	JJ	wonderful
husband	NN	husband
who	WP	who
supports	VBZ	support
me	PP	me
despite	IN	despite
all	PDT	all
the	DT	the
criticism	NN	criticism
he	PP	he
gets	VBZ	get
from	IN	from
the	DT	the
society	NN	society
.	SENT	.
He	PP	he
'	POS	'
s	NN	S
at	IN	at
home	NN	home
now	RB	now
with	IN	with
my	PP$	my
two	CD	two
kids	NNS	kid
,	,	,
and	CC	and
I	PP	I
have	VBP	have
another	DT	another
one	CD	one
that	WDT	that
'	POS	'
s	NNS	<unknown>
growing	VBG	grow
in	IN	in
here	RB	here
.	SENT	.
When	WRB	when
I	PP	I
'	POS	'
m	NN	m
working	NN	working
,	,	,
I	PP	I
call	VBP	call
him	PP	him
every	DT	every
two	CD	two
hours	NNS	hour
,	,	,
and	CC	and
he	PP	he
knows	VBZ	know
if	IN	if
he	PP	he
doesn	NN	<unknown>
'	POS	'
t	NN	t
hear	VBP	hear
from	IN	from
me	PP	me
,	,	,
he	PP	he
should	MD	should
call	VB	call
my	PP$	my
contact	NN	contact
,	,	,
the	DT	the
one	CD	one
who	WP	who
gives	VBZ	give
me	PP	me
access	NN	access
to	TO	to
the	DT	the
story	NN	story
,	,	,
which	WDT	which
is	VBZ	be
the	DT	the
one	CD	one
who	WP	who
I	PP	I
trust	VBP	trust
.	SENT	.
One	CD	one
of	IN	of
the	DT	the
times	NNS	time
in	IN	in
Gaza	NP	Gaza
,	,	,
during	IN	during
the	DT	the
kidnapping	NN	kidnapping
of	IN	of
the	DT	the
British	JJ	British
journalist	NN	journalist
Alan	NP	Alan
Johnston	NP	Johnston
,	,	,
I	PP	I
was	VBD	be
asked	VBN	ask
by	IN	by
an	DT	an
American	JJ	American
magazine	NN	magazine
to	TO	to
set	VB	set
up	RP	up
a	DT	a
meeting	NN	meeting
with	IN	with
the	DT	the
kidnappers	NNS	kidnapper
in	IN	in
Gaza	NP	Gaza
,	,	,
and	CC	and
I	PP	I
did	VBD	do
.	SENT	.
The	DT	the
journalist	NN	journalist
covering	VBG	cover
the	DT	the
story	NN	story
and	CC	and
I	PP	I
were	VBD	be
asked	VBN	ask
to	TO	to
meet	VB	meet
outside	JJ	outside
of	IN	of
his	PP$	his
hotel	NN	hotel
.	SENT	.
They	PP	they
came	VBD	come
,	,	,
they	PP	they
picked	VBD	pick
us	PP	us
up	RP	up
in	IN	in
a	DT	a
black	JJ	black
van	NN	van
with	IN	with
black	JJ	black
windows	NNS	window
,	,	,
they	PP	they
were	VBD	be
wearing	VBG	wear
masks	NNS	mask
on	IN	on
that	DT	that
day	NN	day
.	SENT	.
And	CC	and
they	PP	they
drove	VBD	drive
us	PP	us
away	RP	away
,	,	,
far	RB	far
away	RB	away
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
a	DT	a
field	NN	field
.	SENT	.
They	PP	they
took	VBD	take
our	PP$	our
cell	NN	cell
phones	NNS	phone
and	CC	and
we	PP	we
did	VBD	do
the	DT	the
interview	NN	interview
with	IN	with
the	DT	the
kidnapper	NN	kidnapper
outside	IN	outside
in	IN	in
that	DT	that
field	NN	field
.	SENT	.
I	PP	I
was	VBD	be
so	RB	so
scared	VBN	scare
that	DT	that
day	NN	day
,	,	,
a	DT	a
day	NN	day
I	PP	I
will	MD	will
never	RB	never
forget	VB	forget
.	SENT	.
So	RB	so
,	,	,
why	WRB	why
do	VBP	do
I	PP	I
do	VBP	do
what	WP	what
I	PP	I
do	VBP	do
?	SENT	?
I	PP	I
do	VBP	do
it	PP	it
because	IN	because
I	PP	I
believe	VBP	believe
if	IN	if
I	PP	I
didn	NN	<unknown>
'	POS	'
t	NN	t
,	,	,
a	DT	a
huge	JJ	huge
part	NN	part
of	IN	of
the	DT	the
story	NN	story
about	IN	about
Gaza	NP	Gaza
will	MD	will
be	VB	be
missing	VBG	miss
.	SENT	.
There	EX	there
are	VBP	be
some	DT	some
more	JJR	more
stories	NNS	story
I	PP	I
could	MD	could
tell	VB	tell
you	PP	you
about	IN	about
my	PP$	my
country	NN	country
.	SENT	.
And	CC	and
not	RB	not
all	RB	all
of	IN	of
them	PP	them
are	VBP	be
bad	JJ	bad
.	SENT	.
I	PP	I
love	VBP	love
my	PP$	my
country	NN	country
,	,	,
despite	IN	despite
the	DT	the
terrible	JJ	terrible
situation	NN	situation
we	PP	we
live	VBP	live
in	IN	in
—	:	-
siege	NN	siege
,	,	,
poverty	NN	poverty
,	,	,
unemployment	NN	unemployment
—	:	-
but	CC	but
there	EX	there
is	VBZ	be
life	NN	life
.	SENT	.
There	EX	there
are	VBP	be
people	NNS	people
who	WP	who
are	VBP	be
dreamers	NNS	dreamer
and	CC	and
amazing	JJ	amazing
people	NNS	people
full	JJ	full
of	IN	of
energy	NN	energy
.	SENT	.
We	PP	we
have	VBP	have
wonderful	JJ	wonderful
music	NN	music
,	,	,
and	CC	and
a	DT	a
great	JJ	great
music	NN	music
school	NN	school
.	SENT	.
We	PP	we
have	VBP	have
parkour	NN	<unknown>
dancers	NNS	dancer
who	WP	who
dance	VBP	dance
in	IN	in
the	DT	the
rubble	NN	rubble
of	IN	of
their	PP$	their
homes	NNS	home
.	SENT	.
And	CC	and
Gaza	NP	Gaza
is	VBZ	be
the	DT	the
only	JJ	only
place	NN	place
in	IN	in
the	DT	the
Arab	JJ	Arab
world	NN	world
where	WRB	where
Muslims	NPS	Muslims
and	CC	and
Christians	NPS	Christian
live	VBP	live
in	IN	in
strong	JJ	strong
brotherhood	NN	brotherhood
.	SENT	.
During	IN	during
the	DT	the
time	NN	time
of	IN	of
war	NN	war
,	,	,
the	DT	the
hardest	JJS	hard
part	NN	part
for	IN	for
me	PP	me
is	VBZ	be
leaving	VBG	leave
the	DT	the
house	NN	house
early	RB	early
in	IN	in
the	DT	the
morning	NN	morning
,	,	,
leaving	VBG	leave
my	PP$	my
children	NNS	child
.	SENT	.
I	PP	I
take	VBP	take
a	DT	a
picture	NN	picture
of	IN	of
them	PP	them
everyday	JJ	everyday
because	IN	because
I	PP	I
never	RB	never
know	VBP	know
