Hi	NP	Hi
there	RB	there
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
be	VB	be
talking	VBG	talk
a	DT	a
little	JJ	little
bit	NN	bit
about	IN	about
music	NN	music
,	,	,
machines	NNS	machine
and	CC	and
life	NN	life
.	SENT	.
Or	CC	or
,	,	,
more	RBR	more
specifically	RB	specifically
,	,	,
what	WP	what
we	PP	we
learned	VBD	learn
from	IN	from
the	DT	the
creation	NN	creation
of	IN	of
a	DT	a
very	RB	very
large	JJ	large
and	CC	and
complicated	JJ	complicated
machine	NN	machine
for	IN	for
a	DT	a
music	NN	music
video	NN	video
.	SENT	.
Some	DT	some
of	IN	of
you	PP	you
may	MD	may
recognize	VB	recognize
this	DT	this
image	NN	image
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
opening	VBG	open
frame	NN	frame
of	IN	of
the	DT	the
video	NN	video
that	IN	that
we	PP	we
created	VBD	create
.	SENT	.
We	PP	we
'	''	'
ll	NN	ll
be	VB	be
showing	VBG	show
the	DT	the
video	NN	video
at	IN	at
the	DT	the
end	NN	end
,	,	,
but	CC	but
before	IN	before
we	PP	we
do	VBP	do
,	,	,
I	PP	I
want	VBP	want
to	TO	to
talk	VB	talk
a	DT	a
little	JJ	little
bit	NN	bit
about	IN	about
what	WP	what
it	PP	it
is	VBZ	be
that	IN	that
they	PP	they
wanted	VBD	want
.	SENT	.
Now	RB	now
,	,	,
when	WRB	when
we	PP	we
first	RB	first
started	VBD	start
talking	VBG	talk
to	TO	to
OK	JJ	OK
Go	NP	Go
—	:	-
the	DT	the
name	NN	name
of	IN	of
the	DT	the
song	NN	song
is	VBZ	be
"	``	"
This	DT	this
Too	NP	Too
Shall	NP	Shall
Pass	NP	Pass
"	''	"
—	:	-
we	PP	we
were	VBD	be
really	RB	really
excited	VBN	excite
because	IN	because
they	PP	they
expressed	VBD	express
interest	NN	interest
in	IN	in
building	VBG	build
a	DT	a
machine	NN	machine
that	IN	that
they	PP	they
could	MD	could
dance	VB	dance
with	IN	with
.	SENT	.
And	CC	and
we	PP	we
were	VBD	be
very	RB	very
excited	VBN	excite
about	IN	about
this	DT	this
because	IN	because
,	,	,
of	IN	of
course	NN	course
,	,	,
they	PP	they
have	VBP	have
a	DT	a
history	NN	history
of	IN	of
dancing	NN	dancing
with	IN	with
machines	NNS	machine
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
responsible	JJ	responsible
for	IN	for
this	DT	this
video	NN	video
,	,	,
"	``	"
Here	RB	here
It	PP	it
Goes	VBZ	go
Again	RB	again
.	SENT	.
"	''	"
50-million-plus	JJ	50-million-plus
views	NNS	view
on	IN	on
YouTube	NP	<unknown>
.	SENT	.
Four	CD	four
guys	NNS	guy
dancing	VBG	dance
on	IN	on
treadmills	NNS	treadmill
,	,	,
no	DT	no
cuts	NNS	cut
,	,	,
just	RB	just
a	DT	a
static	JJ	static
camera	NN	camera
.	SENT	.
A	DT	a
fantastically	RB	fantastically
viral	JJ	viral
and	CC	and
wonderful	JJ	wonderful
video	NN	video
.	SENT	.
So	RB	so
we	PP	we
were	VBD	be
really	RB	really
excited	VBN	excite
about	IN	about
working	VBG	work
with	IN	with
them	PP	them
.	SENT	.
And	CC	and
we	PP	we
sort	VBP	sort
of	IN	of
started	VBN	start
talking	VBG	talk
about	IN	about
what	WP	what
it	PP	it
is	VBZ	be
that	IN	that
they	PP	they
wanted	VBD	want
.	SENT	.
And	CC	and
they	PP	they
explained	VBD	explain
that	IN	that
they	PP	they
wanted	VBD	want
kind	NN	kind
of	IN	of
a	DT	a
Rube	NP	Rube
Goldberg	NP	Goldberg
machine	NN	machine
.	SENT	.
Now	RB	now
,	,	,
for	IN	for
those	DT	those
of	IN	of
you	PP	you
who	WP	who
don	NN	don
'	POS	'
t	NN	t
know	VBP	know
,	,	,
a	DT	a
Rube	NP	Rube
Goldberg	NP	Goldberg
machine	NN	machine
is	VBZ	be
a	DT	a
complicated	JJ	complicated
contraption	NN	contraption
,	,	,
an	DT	an
incredibly	RB	incredibly
over-engineered	JJ	over-engineered
piece	NN	piece
of	IN	of
machinery	NN	machinery
that	WDT	that
accomplishes	VBZ	accomplish
a	DT	a
relatively	RB	relatively
simple	JJ	simple
task	NN	task
.	SENT	.
So	RB	so
we	PP	we
were	VBD	be
excited	VBN	excite
by	IN	by
this	DT	this
idea	NN	idea
,	,	,
and	CC	and
we	PP	we
started	VBD	start
talking	VBG	talk
about	RB	about
exactly	RB	exactly
what	WP	what
it	PP	it
would	MD	would
look	VB	look
like	IN	like
.	SENT	.
And	CC	and
we	PP	we
came	VBD	come
up	RP	up
with	IN	with
some	DT	some
parameters	NNS	parameter
,	,	,
because	RB	because
,	,	,
you	PP	you
know	VBP	know
,	,	,
building	VBG	build
a	DT	a
Rube	NP	Rube
Goldberg	NP	Goldberg
machine	NN	machine
has	VBZ	have
limitations	NNS	limitation
,	,	,
but	CC	but
it	PP	it
also	RB	also
is	VBZ	be
pretty	RB	pretty
wide	RB	wide
open	JJ	open
.	SENT	.
And	CC	and
we	PP	we
wanted	VBD	want
to	TO	to
make	VB	make
sure	JJ	sure
that	IN	that
we	PP	we
did	VBD	do
something	NN	something
that	WDT	that
would	MD	would
work	VB	work
for	IN	for
a	DT	a
music	NN	music
video	NN	video
.	SENT	.
So	RB	so
we	PP	we
came	VBD	come
up	RP	up
with	IN	with
a	DT	a
list	NN	list
of	IN	of
requirements	NNS	requirement
,	,	,
the	DT	the
"	``	"
10	CD	@card@
commandments	NNS	commandment
,	,	,
"	''	"
and	CC	and
they	PP	they
were	VBD	be
,	,	,
in	IN	in
order	NN	order
of	IN	of
ascending	VBG	ascend
difficulty	NN	difficulty
:	:	:
The	DT	the
first	JJ	first
is	VBZ	be
"	``	"
No	DT	no
magic	NN	magic
.	SENT	.
"	''	"
Everything	NN	everything
that	WDT	that
happened	VBD	happen
on	IN	on
screen	NN	screen
had	VBD	have
